1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","","",""
45,"2","1","灯油",149,0.0,-32.0,192,0.1,186,0.1,138,0.0,186,0.1,122,0.0,126,0.0,72,0.0
46,"2","1","プロパンガス",288,0.1,-32.6,405,0.2,400,0.1,296,0.1,420,0.1,205,0.1,207,0.0,80,0.0
47,"2","1","理髪料",428,0.1,4.1,241,0.1,480,0.2,356,0.1,368,0.1,399,0.1,541,0.1,612,0.1
48,"2","1","パーマネント代",134,0.0,-8.8,125,0.0,62,0.0,130,0.0,144,0.0,71,0.0,150,0.0,262,0.1
49,"2","1","洗濯代",628,0.2,7.0,499,0.2,435,0.1,521,0.2,360,0.1,656,0.2,741,0.2,1209,0.2
50,"2","1","新聞",1532,0.4,6.2,1739,0.7,1176,0.4,1373,0.4,1078,0.3,1230,0.3,2031,0.5,2086,0.4
51,"2","1","私立小学校",1284,0.4,142.3,-,-,-,-,104,0.0,2728,0.8,-,-,-,-,6348,1.3
52,"2","1","私立中学校",2074,0.6,8.4,5,0.0,527,0.2,2034,0.6,3159,0.9,1691,0.5,1241,0.3,5841,1.2
53,"2","1","私立高校",3631,1.0,-10.1,1280,0.5,1181,0.4,4307,1.3,1557,0.5,5635,1.5,7292,1.7,4063,0.8
54,"2","1","私立大学",12988,3.6,47.6,10855,4.2,7267,2.4,5022,1.5,4053,1.2,9124,2.4,22981,5.2,31774,6.4
55,"2","1","幼児教育費用",1417,0.4,-4.3,277,0.1,1797,0.6,2438,0.8,1674,0.5,972,0.3,1222,0.3,1560,0.3
56,"2","1","民営家賃",14656,4.0,2.5,10246,4.0,18079,6.0,13075,4.0,18587,5.4,13446,3.6,12474,2.8,16895,3.4
57,"2","1","地代",178,0.0,-26.4,88,0.0,267,0.1,573,0.2,62,0.0,-,-,263,0.1,-,-
