1,"東京都生計分析調査　令和 5年10月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",34268,9.3,45.6,1856,1.8,5478,3.2,14388,6.4,11774,4.2,18669,5.4,28053,6.0,158280,16.4
18,"3","選択的支出",1625,0.4,-43.5,-,-,327,0.2,-,-,1558,0.6,1531,0.4,3619,0.8,4308,0.4
19,"1","光熱・水道",19718,5.4,-14.8,9901,9.5,17501,10.1,19447,8.6,22306,7.9,20718,6.0,24484,5.2,23557,2.4
20,"2","基礎的支出",19718,5.4,-14.8,9901,9.5,17501,10.1,19447,8.6,22306,7.9,20718,6.0,24484,5.2,23557,2.4
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",14018,3.8,-2.0,3763,3.6,5622,3.2,7738,3.4,10074,3.6,14558,4.2,14499,3.1,41563,4.3
23,"2","基礎的支出",9568,2.6,2.8,3453,3.3,4706,2.7,6392,2.8,7961,2.8,8117,2.3,11456,2.4,24721,2.6
24,"3","選択的支出",4449,1.2,-11.1,310,0.3,917,0.5,1346,0.6,2113,0.8,6441,1.9,3043,0.7,16842,1.7
25,"1","被服及び履物",13769,3.8,-13.4,2519,2.4,5494,3.2,7390,3.3,11562,4.1,19350,5.6,26615,5.7,23382,2.4
26,"2","基礎的支出",608,0.2,-24.8,174,0.2,548,0.3,404,0.2,515,0.2,710,0.2,891,0.2,1003,0.1
27,"3","選択的支出",13162,3.6,-12.8,2345,2.2,4946,2.8,6986,3.1,11047,3.9,18640,5.4,25723,5.5,22379,2.3
28,"1","保健医療",21977,6.0,15.9,5080,4.9,9428,5.4,11114,4.9,16313,5.8,18124,5.2,29694,6.3,63610,6.6
29,"2","基礎的支出",18489,5.0,20.4,4230,4.0,7529,4.3,9771,4.3,12551,4.5,15267,4.4,24985,5.3,54691,5.7
30,"3","選択的支出",3487,1.0,-3.1,850,0.8,1899,1.1,1343,0.6,3762,1.3,2857,0.8,4709,1.0,8918,0.9
31,"1","交通・通信",42686,11.6,17.9,6388,6.1,13563,7.8,22295,9.9,24853,8.8,36939,10.7,52681,11.3,141013,14.6
32,"2","基礎的支出",7620,2.1,-4.3,1992,1.9,2996,1.7,5350,2.4,5379,1.9,8439,2.4,12528,2.7,16576,1.7
33,"3","選択的支出",35066,9.6,24.2,4396,4.2,10566,6.1,16945,7.5,19474,6.9,28500,8.3,40154,8.6,124437,12.9
34,"1","教育",30209,8.2,56.7,380,0.4,552,0.3,2019,0.9,4328,1.5,9663,2.8,21113,4.5,171837,17.8
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",30209,8.2,56.7,380,0.4,552,0.3,2019,0.9,4328,1.5,9663,2.8,21113,4.5,171837,17.8
37,"1","教養娯楽",40581,11.1,11.5,6842,6.5,17703,10.2,26008,11.5,33916,12.0,41532,12.0,61805,13.2,95637,9.9
38,"2","基礎的支出",7987,2.2,13.8,2754,2.6,5183,3.0,5164,2.3,9328,3.3,9232,2.7,9124,2.0,15021,1.6
39,"3","選択的支出",32593,8.9,10.9,4088,3.9,12520,7.2,20844,9.2,24589,8.7,32300,9.4,52682,11.3,80616,8.4
40,"1","その他の消費支出",44902,12.2,-5.2,9637,9.2,19077,11.0,26718,11.8,41552,14.8,50072,14.5,61918,13.2,104661,10.9
41,"2","基礎的支出",17987,4.9,-7.6,4795,4.6,9241,5.3,12646,5.6,16858,6.0,22409,6.5,21506,4.6,38217,4.0
42,"3","選択的支出",26915,7.3,-3.6,4842,4.6,9836,5.7,14073,6.2,24694,8.8,27663,8.0,40412,8.6,66444,6.9
