1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
40,"1","3","0","0","0","他の保険金",2013,-,3720,-,1618,-,1108,-,1133,-
41,"1","2","0","0","0","有価証券売却",205,-,-,-,-,-,594,-,-,-
42,"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-
43,"1","2","0","0","0","他の借入金",297,-,89,-,761,-,105,-,-,-
44,"1","2","0","0","0","クレジット購入借入金",143141,-,133552,-,138083,-,153305,-,151771,-
45,"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-
46,"1","2","0","0","0","実収入以外の受取のその他",525,-,587,-,591,-,472,-,122,-
47,"1","1","0","0","0","繰入金",341260,-,309757,-,333913,-,411529,-,184653,-
48,"2","0","0","0","0","支払",1599605,-,1444741,-,1560885,-,1768346,-,1557998,-
49,"2","1","0","0","0","実支出",516519,-,484690,-,518800,-,533984,-,546761,-
50,"2","2","0","0","0","生計支出",372088,-,356890,-,376619,-,374434,-,400834,-
51,"2","3","0","0","0","消費支出",363224,100.0,333482,100.0,366221,100.0,374434,100.0,400834,100.0
52,"2","4","1","0","0","食料",100628,27.7,88142,26.4,101376,27.7,105168,28.1,117880,29.4
53,"2","5","1","1","0","穀類",7277,2.0,5260,1.6,7081,1.9,8294,2.2,10049,2.5
54,"2","6","1","1","1","米類",1612,0.4,972,0.3,1656,0.5,1806,0.5,2565,0.6
55,"2","6","1","1","2","パン",3307,0.9,2484,0.7,3228,0.9,3793,1.0,4230,1.1
56,"2","6","1","1","3","麺類",1783,0.5,1348,0.4,1703,0.5,2004,0.5,2482,0.6
57,"2","6","1","1","4","他の穀類",575,0.2,456,0.1,494,0.1,691,0.2,773,0.2
58,"2","5","1","2","0","魚介類",5652,1.6,4896,1.5,6226,1.7,5428,1.4,6655,1.7
59,"2","6","1","2","1","生鮮魚介",3199,0.9,2654,0.8,3651,1.0,3131,0.8,3477,0.9
60,"2","6","1","2","2","塩干魚介",1001,0.3,881,0.3,1061,0.3,961,0.3,1246,0.3
61,"2","6","1","2","3","魚肉練製品",575,0.2,526,0.2,581,0.2,577,0.2,695,0.2
62,"2","6","1","2","4","他の魚介加工品",878,0.2,835,0.3,934,0.3,758,0.2,1237,0.3
63,"2","5","1","3","0","肉類",9447,2.6,6493,1.9,9214,2.5,10621,2.8,14513,3.6
64,"2","6","1","3","1","生鮮肉",7769,2.1,5289,1.6,7546,2.1,8762,2.3,12095,3.0
65,"2","6","1","3","2","加工肉",1678,0.5,1204,0.4,1668,0.5,1859,0.5,2418,0.6
66,"2","5","1","4","0","乳卵類",4958,1.4,3646,1.1,4957,1.4,5642,1.5,6281,1.6
67,"2","6","1","4","1","牛乳",1454,0.4,994,0.3,1428,0.4,1729,0.5,1913,0.5
68,"2","6","1","4","2","乳製品",2451,0.7,1847,0.6,2503,0.7,2777,0.7,2801,0.7
69,"2","6","1","4","3","卵",1053,0.3,805,0.2,1027,0.3,1136,0.3,1566,0.4
70,"2","5","1","5","0","野菜・海藻",9777,2.7,8095,2.4,10575,2.9,9881,2.6,11460,2.9
71,"2","6","1","5","1","生鮮野菜",6923,1.9,5691,1.7,7555,2.1,7019,1.9,7929,2.0
72,"2","6","1","5","2","乾物・海藻",687,0.2,508,0.2,755,0.2,689,0.2,962,0.2
73,"2","6","1","5","3","大豆加工品",1092,0.3,902,0.3,1163,0.3,1128,0.3,1273,0.3
74,"2","6","1","5","4","他の野菜・海藻加工品",1075,0.3,994,0.3,1102,0.3,1045,0.3,1297,0.3
75,"2","5","1","6","0","果物",3218,0.9,2887,0.9,3404,0.9,3270,0.9,3232,0.8
76,"2","6","1","6","1","生鮮果物",2841,0.8,2540,0.8,2987,0.8,2896,0.8,2902,0.7
77,"2","6","1","6","2","果物加工品",377,0.1,347,0.1,417,0.1,374,0.1,331,0.1
78,"2","5","1","7","0","油脂・調味料",4327,1.2,3638,1.1,4331,1.2,4509,1.2,5635,1.4
79,"2","6","1","7","1","油脂",441,0.1,316,0.1,460,0.1,469,0.1,641,0.2
80,"2","6","1","7","2","調味料",3886,1.1,3322,1.0,3870,1.1,4041,1.1,4994,1.2
81,"2","5","1","8","0","菓子類",8687,2.4,6637,2.0,8287,2.3,9811,2.6,11953,3.0
82,"2","5","1","9","0","調理食品",14700,4.0,13362,4.0,15059,4.1,14856,4.0,16611,4.1
83,"2","6","1","9","1","主食的調理食品",6548,1.8,6370,1.9,6652,1.8,6410,1.7,7109,1.8
84,"2","6","1","9","2","他の調理食品",8152,2.2,6992,2.1,8407,2.3,8446,2.3,9502,2.4
85,"2","5","1","10","0","飲料",6155,1.7,5882,1.8,6595,1.8,5794,1.5,6709,1.7
86,"2","6","1","10","1","茶類",1283,0.4,1380,0.4,1412,0.4,1083,0.3,1261,0.3
87,"2","6","1","10","2","コーヒー・ココア",1275,0.4,1361,0.4,1301,0.4,1190,0.3,1263,0.3
88,"2","6","1","10","3","他の飲料",3597,1.0,3141,0.9,3881,1.1,3521,0.9,4186,1.0
89,"2","5","1","11","0","酒類",4141,1.1,4501,1.3,4856,1.3,3359,0.9,3500,0.9
90,"2","5","1","12","0","外食",22289,6.1,22846,6.9,20791,5.7,23703,6.3,21281,5.3
91,"2","6","1","12","1","一般外食",21382,5.9,22840,6.8,20268,5.5,22316,6.0,17969,4.5
92,"2","6","1","12","2","学校給食",907,0.2,6,0.0,524,0.1,1387,0.4,3313,0.8
93,"2","4","2","0","0","住居",28035,7.7,37643,11.3,29387,8.0,21878,5.8,18714,4.7
94,"2","5","2","1","0","家賃地代",18127,5.0,28852,8.7,16790,4.6,12002,3.2,15349,3.8
95,"2","5","2","2","0","設備修繕・維持",9908,2.7,8791,2.6,12597,3.4,9875,2.6,3365,0.8
96,"2","6","2","2","1","設備材料",4642,1.3,2820,0.8,4848,1.3,6556,1.8,2305,0.6
97,"2","6","2","2","2","工事その他のサービス",5266,1.4,5971,1.8,7749,2.1,3320,0.9,1059,0.3
98,"2","4","3","0","0","光熱・水道",22587,6.2,19978,6.0,22714,6.2,23681,6.3,26024,6.5
99,"2","5","3","1","0","電気代",11124,3.1,10098,3.0,10986,3.0,11953,3.2,11728,2.9
100,"2","5","3","2","0","ガス代",6257,1.7,5746,1.7,6464,1.8,6294,1.7,7023,1.8
101,"2","5","3","3","0","他の光熱",172,0.0,281,0.1,165,0.0,70,0.0,205,0.1
102,"2","5","3","4","0","上下水道料",5035,1.4,3853,1.2,5099,1.4,5365,1.4,7067,1.8
103,"2","4","4","0","0","家具・家事用品",14323,3.9,15755,4.7,14785,4.0,13188,3.5,13570,3.4
104,"2","5","4","1","0","家庭用耐久財",5305,1.5,6179,1.9,5760,1.6,4651,1.2,4123,1.0
105,"2","6","4","1","1","家事用耐久財",2615,0.7,3391,1.0,2106,0.6,2574,0.7,2810,0.7
106,"2","6","4","1","2","冷暖房用器具",1783,0.5,2192,0.7,1984,0.5,1558,0.4,543,0.1
107,"2","6","4","1","3","一般家具",907,0.2,596,0.2,1670,0.5,519,0.1,771,0.2
108,"2","5","4","2","0","室内装備・装飾品",654,0.2,1084,0.3,767,0.2,344,0.1,300,0.1
109,"2","5","4","3","0","寝具類",1101,0.3,1935,0.6,699,0.2,847,0.2,1137,0.3
110,"2","5","4","4","0","家事雑貨",2826,0.8,2776,0.8,2661,0.7,2949,0.8,3208,0.8
111,"2","5","4","5","0","家事用消耗品",3755,1.0,3204,1.0,3929,1.1,3841,1.0,4358,1.1
112,"2","5","4","6","0","家事サービス",681,0.2,578,0.2,970,0.3,556,0.1,445,0.1
113,"2","4","5","0","0","被服及び履物",13281,3.7,11445,3.4,12581,3.4,15255,4.1,13861,3.5
114,"2","5","5","1","0","和服",47,0.0,45,0.0,24,0.0,87,0.0,-,-
115,"2","5","5","2","0","洋服",5794,1.6,4713,1.4,5317,1.5,6983,1.9,6167,1.5
116,"2","6","5","2","1","男子用洋服",2154,0.6,1995,0.6,2246,0.6,2349,0.6,1671,0.4
117,"2","6","5","2","2","婦人用洋服",2927,0.8,2681,0.8,2495,0.7,3367,0.9,3347,0.8
118,"2","6","5","2","3","子供用洋服",713,0.2,37,0.0,575,0.2,1267,0.3,1149,0.3
119,"2","5","5","3","0","シャツ・セーター類",2550,0.7,2464,0.7,2648,0.7,2548,0.7,2547,0.6
120,"2","6","5","3","1","男子用シャツ・セーター類",972,0.3,1036,0.3,878,0.2,1065,0.3,811,0.2
121,"2","6","5","3","2","婦人用シャツ・セーター類",1366,0.4,1426,0.4,1578,0.4,1140,0.3,1323,0.3
122,"2","6","5","3","3","子供用シャツ・セーター類",212,0.1,2,0.0,193,0.1,343,0.1,412,0.1
123,"2","5","5","4","0","下着類",1113,0.3,951,0.3,1053,0.3,1255,0.3,1229,0.3
124,"2","6","5","4","1","男子用下着類",285,0.1,300,0.1,273,0.1,291,0.1,215,0.1
125,"2","6","5","4","2","婦人用下着類",670,0.2,642,0.2,636,0.2,699,0.2,751,0.2
126,"2","6","5","4","3","子供用下着類",158,0.0,9,0.0,143,0.0,264,0.1,262,0.1
127,"2","5","5","5","0","生地・糸類",82,0.0,84,0.0,59,0.0,105,0.0,73,0.0
128,"2","5","5","6","0","他の被服",937,0.3,812,0.2,868,0.2,1062,0.3,1095,0.3
129,"2","5","5","7","0","履物類",1986,0.5,1471,0.4,1791,0.5,2488,0.7,2316,0.6
130,"2","5","5","8","0","被服関連サービス",772,0.2,906,0.3,821,0.2,728,0.2,434,0.1
131,"2","4","6","0","0","保健医療",15279,4.2,16103,4.8,16063,4.4,13459,3.6,16722,4.2
132,"2","5","6","1","0","医薬品",2406,0.7,2676,0.8,2773,0.8,1964,0.5,1845,0.5
133,"2","5","6","2","0","健康保持用摂取品",897,0.2,1063,0.3,1246,0.3,572,0.2,304,0.1
134,"2","5","6","3","0","保健医療用品・器具",3237,0.9,2293,0.7,3378,0.9,3594,1.0,4311,1.1
135,"2","5","6","4","0","保健医療サービス",8739,2.4,10071,3.0,8666,2.4,7330,2.0,10262,2.6
136,"2","4","7","0","0","交通・通信",40825,11.2,42943,12.9,41764,11.4,39261,10.5,35341,8.8
137,"2","5","7","1","0","交通",12062,3.3,12904,3.9,11990,3.3,12451,3.3,8471,2.1
138,"2","5","7","2","0","自動車等関係費",15741,4.3,17991,5.4,16897,4.6,13548,3.6,11447,2.9
139,"2","6","7","2","1","自動車等購入",3447,0.9,5969,1.8,3865,1.1,1728,0.5,-,-
140,"2","6","7","2","2","自転車購入",705,0.2,71,0.0,752,0.2,1008,0.3,1359,0.3
141,"2","6","7","2","3","自動車等維持",11588,3.2,11951,3.6,12280,3.4,10812,2.9,10088,2.5
142,"2","5","7","3","0","通信",13023,3.6,12049,3.6,12877,3.5,13262,3.5,15423,3.8
143,"2","4","8","0","0","教育",32066,8.8,1370,0.4,26416,7.2,51319,13.7,72976,18.2
144,"2","5","8","1","0","授業料等",24187,6.7,1215,0.4,20985,5.7,36495,9.7,59185,14.8
145,"2","5","8","2","0","教科書・学習参考教材",389,0.1,42,0.0,318,0.1,510,0.1,1089,0.3
146,"2","5","8","3","0","補習教育",7489,2.1,112,0.0,5114,1.4,14314,3.8,12702,3.2
147,"2","4","9","0","0","教養娯楽",43328,11.9,41221,12.4,44928,12.3,44253,11.8,40570,10.1
148,"2","5","9","1","0","教養娯楽用耐久財",4266,1.2,3771,1.1,5854,1.6,3442,0.9,3688,0.9
149,"2","5","9","2","0","教養娯楽用品",9536,2.6,9903,3.0,9265,2.5,9634,2.6,9127,2.3
150,"2","5","9","3","0","書籍・他の印刷物",3061,0.8,2902,0.9,3450,0.9,2857,0.8,2983,0.7
151,"2","5","9","4","0","教養娯楽サービス",26466,7.3,24645,7.4,26358,7.2,28320,7.6,24772,6.2
152,"2","6","9","4","1","宿泊料",4146,1.1,3155,0.9,4884,1.3,4575,1.2,2708,0.7
153,"2","6","9","4","2","パック旅行費",4064,1.1,6343,1.9,3927,1.1,3297,0.9,389,0.1
154,"2","6","9","4","3","月謝類",5339,1.5,1359,0.4,4665,1.3,7572,2.0,10973,2.7
155,"2","6","9","4","4","他の教養娯楽サービス",12917,3.6,13788,4.1,12883,3.5,12877,3.4,10703,2.7
156,"2","4","10","0","0","その他の消費支出",52872,14.6,58882,17.7,56207,15.3,46972,12.5,45176,11.3
157,"2","5","10","1","0","諸雑費",27699,7.6,28568,8.6,27928,7.6,27326,7.3,25860,6.5
158,"2","6","10","1","1","理美容サービス",4072,1.1,4439,1.3,4241,1.2,3959,1.1,2954,0.7
159,"2","6","10","1","2","理美容用品",5936,1.6,5660,1.7,5856,1.6,6046,1.6,6867,1.7
160,"2","6","10","1","3","身の回り用品",2676,0.7,3458,1.0,1940,0.5,2807,0.7,2651,0.7
161,"2","6","10","1","4","たばこ",1110,0.3,1276,0.4,1132,0.3,908,0.2,1202,0.3
162,"2","6","10","1","5","他の諸雑費",13905,3.8,13735,4.1,14759,4.0,13607,3.6,12186,3.0
163,"2","5","10","2","0","こづかい",6128,1.7,3795,1.1,6087,1.7,6763,1.8,10736,2.7
164,"2","5","10","3","0","交際費",15445,4.3,19986,6.0,17906,4.9,11663,3.1,7607,1.9
165,"2","6","10","3","0","食料",4158,1.1,6815,2.0,3612,1.0,2938,0.8,2853,0.7
166,"2","6","10","3","0","家具・家事用品",197,0.1,208,0.1,349,0.1,85,0.0,83,0.0
167,"2","6","10","3","0","被服及び履物",299,0.1,574,0.2,254,0.1,200,0.1,72,0.0
168,"2","6","10","3","0","教養娯楽",1167,0.3,1636,0.5,1075,0.3,1079,0.3,186,0.0
169,"2","6","10","3","0","他の物品サービス",369,0.1,639,0.2,296,0.1,270,0.1,170,0.0
170,"2","6","10","3","6","贈与金",4527,1.2,5662,1.7,5782,1.6,3070,0.8,2717,0.7
171,"2","6","10","3","7","他の交際費",4727,1.3,4452,1.3,6539,1.8,4021,1.1,1524,0.4
172,"2","5","10","4","0","仕送り金",3600,1.0,6534,2.0,4286,1.2,1219,0.3,973,0.2
173,"2","3","0","0","0","土地家屋購入",8865,-,23408,-,10398,-,-,-,-,-
174,"2","3","0","0","0","（再掲）教育関係費",35958,9.9,6045,1.8,28968,7.9,55004,14.7,80372,20.1
175,"2","3","0","0","0","（再掲）教養娯楽関係費",50572,13.9,50953,15.3,52346,14.3,51365,13.7,40522,10.1
176,"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",8128,2.2,12196,3.7,10068,2.7,4289,1.1,3690,0.9
177,"2","3","0","0","0","（再掲）経常消費支出",250229,68.9,240808,72.2,253483,69.2,248839,66.5,272496,68.0
178,"2","3","0","0","0","（再掲）情報通信関係費",16445,4.5,15102,4.5,16697,4.6,16308,4.4,19704,4.9
179,"2","3","0","0","0","（再掲）消費支出（除く住居等）　１）",323614,89.1,277674,83.3,322901,88.2,346539,92.6,378430,94.4
180,"2","2","0","0","0","その他の実支出",144431,-,127799,-,142182,-,159550,-,145927,-
181,"2","3","0","0","0","直接税",68266,-,58952,-,68783,-,74125,-,73021,-
182,"2","4","0","0","0","勤労所得税",32584,-,25742,-,31155,-,37814,-,39721,-
183,"2","4","0","0","0","個人住民税",27623,-,24910,-,30312,-,27741,-,25930,-
184,"2","4","0","0","0","他の税",8058,-,8301,-,7316,-,8570,-,7371,-
185,"2","3","0","0","0","社会保険料",75828,-,67685,-,73391,-,85361,-,72873,-
186,"2","4","0","0","0","公的年金保険料",44655,-,37894,-,43232,-,51650,-,43553,-
187,"2","4","0","0","0","健康保険料",24035,-,22984,-,22902,-,26299,-,22733,-
188,"2","4","0","0","0","介護保険料",4425,-,4401,-,4555,-,4382,-,4103,-
189,"2","4","0","0","0","他の社会保険料",2714,-,2406,-,2701,-,3029,-,2485,-
190,"2","3","0","0","0","その他",336,-,1162,-,8,-,64,-,33,-
191,"2","1","0","0","0","実支出以外の支払(繰越金を除く)",773375,-,676071,-,742851,-,856679,-,856537,-
192,"2","2","0","0","0","預貯金",560373,-,506137,-,540592,-,606328,-,616968,-
193,"2","2","0","0","0","保険料",26315,-,22524,-,27872,-,26839,-,26957,-
194,"2","3","0","0","0","個人・企業年金保険料",7797,-,4864,-,10592,-,7582,-,6502,-
195,"2","3","0","0","0","他の保険料",18518,-,17659,-,17280,-,19256,-,20455,-
196,"2","2","0","0","0","有価証券購入",5043,-,6310,-,2736,-,7241,-,1467,-
197,"2","2","0","0","0","土地家屋借金返済",53074,-,35879,-,50145,-,68423,-,56096,-
198,"2","2","0","0","0","他の借金返済",1964,-,1355,-,2587,-,2181,-,632,-
199,"2","2","0","0","0","クレジット購入借入金返済",125774,-,103043,-,118061,-,144633,-,154334,-
200,"2","2","0","0","0","実支出以外の支払のその他",832,-,824,-,859,-,1035,-,85,-
201,"2","1","0","0","0","繰越金",309712,-,283981,-,299233,-,377682,-,154700,-
202,"3","0","0","0","0","可処分所得",576153,-,503641,-,569645,-,629804,-,614936,-
203,"3","0","0","0","0","黒字",212930,-,170159,-,203425,-,255370,-,214102,-
204,"3","1","0","0","0","金融資産純増",197932,-,165654,-,195490,-,226826,-,184803,-
205,"3","3","0","0","0","貯蓄純増",193093,-,159344,-,192754,-,220179,-,183336,-
206,"3","4","0","0","0","預貯金純増",173710,-,150338,-,172846,-,195432,-,157620,-
207,"3","4","0","0","0","保険純増",19383,-,9006,-,19908,-,24747,-,25717,-
208,"3","3","0","0","0","有価証券純購入",4838,-,6310,-,2736,-,6647,-,1467,-
209,"3","1","0","0","0","土地家屋借金純減",53074,-,35879,-,50145,-,68423,-,56096,-
210,"3","1","0","0","0","他の借金純減",1667,-,1265,-,1825,-,2076,-,632,-
211,"3","1","0","0","0","クレジット購入借入金純減",-17367,-,-30509,-,-20021,-,-8672,-,2562,-
212,"3","1","0","0","0","土地家屋純増",8865,-,23408,-,10398,-,-,-,-,-
213,"3","1","0","0","0","その他の純増",308,-,238,-,267,-,563,-,-37,-
214,"3","1","0","0","0","繰越純増",-31548,-,-25776,-,-34680,-,-33846,-,-29954,-
