1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,
2,,,,,,,,,第２表　世帯主年齢階層別１世帯当たり１か月間の品目別生計支出　―　全　世　帯　―,,,,,,,,,,
3,,,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,
4,項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
54,2,7,1,2,1,190-194,194,ほたて貝,82,-17.2,7,114,43,51,43,63,66,128,104
55,2,7,1,2,1,190-194,193,他の貝,25,-39.0,-,-,-,15,39,41,25,32,34
56,2,6,1,2,2,0,0,塩干魚介,1164,13.9,562,613,1097,1032,1046,1020,1340,1382,1616
57,2,7,1,2,2,0,195,塩さけ,226,60.3,41,106,245,213,126,202,98,336,360
58,2,7,1,2,2,0,196,たらこ,204,38.8,158,66,98,207,204,105,319,241,308
59,2,7,1,2,2,0,197,しらす干し,152,-0.7,124,149,103,128,272,120,107,159,139
60,2,7,1,2,2,0,198,干しあじ,57,-24.0,8,-,48,53,38,57,62,76,103
61,2,7,1,2,2,0,202,他の塩干魚介,525,4.0,231,293,603,431,406,535,753,570,707
62,2,6,1,2,3,0,0,魚肉練製品,635,13.6,251,164,421,530,711,789,760,711,834
63,2,7,1,2,3,0,203,揚げかまぼこ,199,22.1,45,21,59,109,177,273,237,269,328
64,2,7,1,2,3,0,204,ちくわ,127,8.5,64,74,82,105,137,99,139,159,179
65,2,7,1,2,3,0,205,かまぼこ,204,10.9,92,56,191,220,266,274,274,177,201
66,2,7,1,2,3,0,209,他の魚肉練製品,104,9.5,50,12,89,96,131,142,111,106,126
67,2,6,1,2,4,0,0,他の魚介加工品,859,-6.9,358,636,733,830,817,757,933,1007,1201
68,2,7,1,2,4,0,210,かつお節・削り節,61,-31.5,16,35,34,93,59,51,18,81,91
69,2,7,1,2,4,0,213,魚介の漬物,236,-5.2,89,47,117,206,161,143,398,312,360
70,2,7,1,2,4,0,215,魚介のつくだ煮,44,-44.3,11,-,4,23,48,43,21,73,103
71,2,7,1,2,4,0,216,魚介の缶詰,246,7.4,161,155,287,286,301,343,208,214,199
72,2,7,1,2,4,0,217,他の魚介加工品のその他,273,-1.4,81,399,290,222,249,176,288,327,448
73,2,5,1,3,0,0,0,肉類,9003,17.4,7265,7568,9007,10557,12240,9082,10006,7714,7202
74,2,6,1,3,1,0,0,生鮮肉,7360,19.0,6210,6101,7388,8759,10237,7366,8220,6174,5730
75,2,7,1,3,1,0,220,牛肉,1795,21.5,1615,914,1351,1590,2476,1558,2154,1822,1805
76,2,7,1,3,1,0,221,豚肉,3290,17.8,2774,3216,3671,3932,4319,2981,3681,2789,2529
77,2,7,1,3,1,0,222,鶏肉,1700,20.4,1403,1523,1739,2560,2429,2042,1620,1226,1104
78,2,7,1,3,1,0,22X,合いびき肉,340,30.8,366,292,372,360,668,505,339,188,191
79,2,7,1,3,1,0,224,他の生鮮肉,236,-2.1,52,157,254,317,345,279,425,148,101
80,2,6,1,3,2,0,0,加工肉,1643,10.5,1056,1467,1619,1798,2003,1717,1786,1540,1472
81,2,7,1,3,2,0,225,ハム,404,6.3,105,276,288,444,444,337,514,449,463
82,2,7,1,3,2,0,226,ソーセージ,645,6.1,617,600,590,880,748,700,684,543,504
83,2,7,1,3,2,0,227,ベーコン,272,0.7,173,212,178,309,379,288,316,254,206
84,2,7,1,3,2,0,229,他の加工肉,321,40.2,160,379,564,165,432,392,271,293,299
85,2,5,1,4,0,0,0,乳卵類,4781,14.5,2850,5255,5415,5101,5004,4841,4897,4677,4553
86,2,6,1,4,1,0,230,牛乳,1382,9.1,587,1616,1827,1350,1141,1609,1232,1440,1525
87,2,6,1,4,2,0,0,乳製品,2294,8.7,1501,2621,2473,2488,2579,2176,2641,2138,1983
88,2,7,1,4,2,0,231,粉ミルク,59,-38.5,440,759,27,-,6,4,-,4,9
89,2,7,1,4,2,0,232,ヨーグルト,1267,9.9,495,953,1463,1180,1495,1197,1625,1246,1107
90,2,7,1,4,2,0,233,バター,136,22.5,101,79,119,139,147,132,154,143,130
91,2,7,1,4,2,0,234,チーズ,750,10.1,404,760,774,1094,833,785,756,662,645
92,2,7,1,4,2,0,235,他の乳製品,82,18.8,60,70,90,76,98,59,105,83,92
93,2,6,1,4,3,0,238,卵,1105,38.3,762,1017,1114,1263,1284,1056,1024,1099,1044
94,2,5,1,5,0,0,0,野菜・海藻,10519,5.6,5512,7381,8759,10285,11323,9863,11360,11687,12228
95,2,6,1,5,1,0,0,生鮮野菜,7408,4.3,3986,5547,6587,7155,7947,6794,8184,8119,8613
96,2,7,1,5,1,240-249,0,葉茎菜,2262,3.6,1220,1716,1970,2127,2677,2090,2668,2377,2555
97,2,7,1,5,1,240-249,240,キャベツ,322,0.0,226,211,329,338,354,255,349,343,393
98,2,7,1,5,1,240-249,241,ほうれんそう,198,5.9,84,184,145,189,226,145,207,232,275
99,2,7,1,5,1,240-249,242,はくさい,71,-5.3,64,48,50,64,124,45,75,72,68
100,2,7,1,5,1,240-249,243,ねぎ,273,3.0,117,199,185,245,385,365,290,264,254
101,2,7,1,5,1,240-249,244,レタス,281,6.4,144,199,229,288,325,277,390,275,280
102,2,7,1,5,1,240-249,247,ブロッコリー,242,15.2,144,269,215,271,259,194,236,259,276
103,2,7,1,5,1,240-249,245,もやし,90,-3.2,79,87,104,123,131,95,73,72,70
104,2,7,1,5,1,240-249,249,他の葉茎菜,786,2.3,363,518,713,610,873,713,1047,860,940
105,2,7,1,5,1,"250-259,25X",0,根菜,1982,-1.6,1135,1407,1736,2029,2100,1705,1987,2238,2363
106,2,7,1,5,1,"250-259,25X",250,さつまいも,90,-20.4,44,65,52,117,56,67,91,115,133
107,2,7,1,5,1,"250-259,25X",251,じゃがいも,317,-11.2,231,319,296,330,391,295,302,317,332
108,2,7,1,5,1,"250-259,25X",252,さといも,48,23.1,-,14,29,58,48,38,28,67,68
109,2,7,1,5,1,"250-259,25X",253,だいこん,149,2.8,92,99,171,132,151,104,152,174,184
110,2,7,1,5,1,"250-259,25X",254,にんじん,257,26.0,254,236,245,258,278,229,235,269,313
111,2,7,1,5,1,"250-259,25X",255,ごぼう,75,29.3,5,13,23,86,108,65,89,89,91
112,2,7,1,5,1,"250-259,25X",256,たまねぎ,421,-17.6,305,396,437,469,435,440,426,412,405
113,2,7,1,5,1,"250-259,25X",258,れんこん,74,111.4,29,42,45,101,119,86,50,71,84
114,2,7,1,5,1,"250-259,25X",25X,たけのこ,220,-8.7,63,19,161,174,158,142,237,323,374
115,2,7,1,5,1,"250-259,25X",259,他の根菜,331,6.4,112,202,278,303,357,238,378,400,380
116,2,7,1,5,1,"260-269,26B,26X",0,他の野菜,3164,9.0,1631,2425,2880,2999,3171,2999,3529,3503,3695
117,2,7,1,5,1,"260-269,26B,26X",260,さやまめ,218,-4.0,34,150,126,140,270,135,260,288,281
118,2,7,1,5,1,"260-269,26B,26X",261,かぼちゃ,125,-3.8,78,117,148,141,108,126,89,137,152
119,2,7,1,5,1,"260-269,26B,26X",262,きゅうり,343,4.6,149,233,329,304,379,301,341,396,460
120,2,7,1,5,1,"260-269,26B,26X",263,なす,209,8.9,143,94,120,160,213,232,257,241,258
121,2,7,1,5,1,"260-269,26B,26X",264,トマト,887,6.6,395,591,690,830,826,828,946,1061,1215
122,2,7,1,5,1,"260-269,26B,26X",265,ピーマン,282,10.6,175,180,240,237,347,297,342,290,278
123,2,7,1,5,1,"260-269,26B,26X",266,生しいたけ,153,4.8,57,109,70,133,124,188,175,188,195
124,2,7,1,5,1,"260-269,26B,26X",26B,しめじ,134,13.6,108,105,145,132,158,163,139,122,137
125,2,7,1,5,1,"260-269,26B,26X",26X,えのきたけ,93,34.8,68,63,110,103,188,79,85,72,80
126,2,7,1,5,1,"260-269,26B,26X",267,他のきのこ,233,15.9,139,240,173,233,271,363,229,211,204
127,2,7,1,5,1,"260-269,26B,26X",269,他の野菜のその他,487,20.2,285,543,728,586,287,287,667,497,433
128,2,6,1,5,2,0,0,乾物・海藻,719,9.8,396,444,535,863,742,539,664,849,867
129,2,7,1,5,2,0,273,豆類,15,-25.0,-,-,19,16,9,-,25,20,16
130,2,7,1,5,2,0,274,干ししいたけ,22,214.3,-,21,5,46,-,11,26,29,48
131,2,7,1,5,2,0,276,干しのり,213,6.0,190,143,190,336,298,118,220,194,182
132,2,7,1,5,2,0,277,わかめ,178,33.8,54,173,95,128,162,90,84,282,251
133,2,7,1,5,2,0,278,こんぶ,46,-6.1,-,25,11,49,50,57,54,54,45
134,2,7,1,5,2,0,279,他の乾物・海藻,246,0.0,152,83,214,287,223,263,255,271,325
135,2,6,1,5,3,0,0,大豆加工品,1167,2.1,676,841,942,1130,1325,1237,1193,1253,1242
136,2,7,1,5,3,0,280,豆腐,422,-4.5,224,255,353,401,478,395,516,452,415
137,2,7,1,5,3,0,281,油揚げ・がんもどき,284,15.0,161,90,164,241,320,362,276,328,296
138,2,7,1,5,3,0,282,納豆,392,5.7,288,479,373,438,423,389,316,401,468
139,2,7,1,5,3,0,289,他の大豆製品,69,-16.9,4,17,52,50,104,92,85,72,63
140,2,6,1,5,4,0,0,他の野菜・海藻加工品,1225,14.8,454,549,695,1136,1309,1293,1319,1467,1505
141,2,7,1,5,4,0,290,こんにゃく,147,24.6,37,48,84,177,219,158,164,147,172
142,2,7,1,5,4,0,291,梅干し,122,10.9,25,20,40,89,115,70,233,159,150
143,2,7,1,5,4,0,292,だいこん漬,88,-1.1,7,6,35,69,121,112,58,117,174
144,2,7,1,5,4,0,293,はくさい漬,45,2.3,13,-,55,21,26,29,69,63,59
145,2,7,1,5,4,0,294,他の野菜の漬物,470,19.6,272,214,237,379,489,551,489,565,529
146,2,7,1,5,4,0,295,こんぶつくだ煮,79,25.4,11,20,52,88,57,140,34,101,97
147,2,7,1,5,4,0,296,他の野菜・海藻のつくだ煮,33,-10.8,28,12,11,31,26,39,19,46,45
148,2,7,1,5,4,0,299,他の野菜・海藻加工品のその他,239,11.2,61,230,181,282,255,194,253,270,281
149,2,5,1,6,0,0,0,果物,3653,16.7,1557,3209,2640,2822,3375,3491,3853,4506,5530
150,2,6,1,6,1,0,0,生鮮果物,3201,14.1,1421,3072,2231,2469,2812,2850,3153,4095,5129
151,2,7,1,6,1,0,300,りんご,387,21.3,211,236,294,227,239,216,174,639,882
152,2,7,1,6,1,0,301,みかん,66,94.1,17,74,-,45,31,45,106,97,163
153,2,7,1,6,1,0,315,オレンジ,127,78.9,27,83,46,148,66,184,137,156,170
154,2,7,1,6,1,0,304,他の柑きつ類,412,-4.0,83,135,207,215,294,353,484,615,791
155,2,7,1,6,1,0,305,梨,-,-,-,-,-,-,-,-,-,-,-
156,2,7,1,6,1,0,306,ぶどう,101,2.0,67,223,81,179,154,114,18,81,120
157,2,7,1,6,1,0,307,柿,-,-,-,-,-,-,-,-,-,-,-
158,2,7,1,6,1,0,308,桃,-,-,-,-,-,-,-,-,-,-,-
159,2,7,1,6,1,0,309,すいか,29,-42.0,24,88,49,28,27,15,-,33,62
160,2,7,1,6,1,0,310,メロン,29,-3.3,22,41,-,51,29,22,50,26,35
161,2,7,1,6,1,0,311,いちご,808,9.6,404,976,521,634,664,682,969,989,1291
162,2,7,1,6,1,0,312,バナナ,485,5.9,382,511,346,315,498,423,434,601,622
163,2,7,1,6,1,0,316,キウイフルーツ,266,30.4,64,125,128,158,426,276,223,330,357
164,2,7,1,6,1,0,313,他の果物,489,31.1,119,582,559,469,384,519,558,526,636
165,2,6,1,6,2,0,319,果物加工品,452,39.5,136,138,409,353,563,641,700,411,401
166,2,5,1,7,0,0,0,油脂・調味料,4151,10.5,3331,4015,3746,4550,5046,3800,4765,3920,3790
167,2,6,1,7,1,0,0,油脂,454,-3.6,289,348,345,623,487,366,506,464,542
168,2,7,1,7,1,0,320,食用油,403,-5.6,251,324,295,569,437,334,435,408,495
169,2,7,1,7,1,0,321,マーガリン,51,15.9,38,24,50,54,50,32,70,56,47
170,2,6,1,7,2,0,0,調味料,3697,12.5,3042,3667,3401,3927,4559,3434,4260,3456,3248
171,2,7,1,7,2,0,322,食塩,31,-6.1,-,-,19,22,36,42,31,38,40
172,2,7,1,7,2,0,323,しょう油,115,-18.4,64,137,132,157,151,110,62,110,107
173,2,7,1,7,2,0,324,みそ,157,-14.2,151,183,126,219,161,210,99,145,183
174,2,7,1,7,2,0,325,砂糖,83,38.3,44,37,35,66,48,53,102,119,114
175,2,7,1,7,2,0,327,酢,52,0.0,18,3,18,46,73,31,132,48,51
176,2,7,1,7,2,0,328,ソース,73,7.4,42,81,73,91,90,57,69,73,102
177,2,7,1,7,2,0,329,ケチャップ,71,7.6,65,153,102,81,113,54,27,58,58
178,2,7,1,7,2,0,330,マヨネーズ・マヨネーズ風調味料,115,2.7,93,77,121,180,108,142,92,104,95
179,2,7,1,7,2,0,332,ドレッシング,226,11.3,117,328,172,231,292,276,320,182,209
180,2,7,1,7,2,0,331,ジャム,141,6.8,91,330,168,114,154,120,144,131,112
181,2,7,1,7,2,0,333,カレールウ,119,20.2,99,112,145,189,135,123,127,91,109
182,2,7,1,7,2,0,334,乾燥スープ,349,24.2,345,296,363,349,545,279,482,278,218
183,2,7,1,7,2,0,335,風味調味料,277,33.8,426,165,178,229,364,235,309,278,287
184,2,7,1,7,2,0,336,ふりかけ,133,6.4,134,129,133,170,150,153,92,124,107
185,2,7,1,7,2,0,33X,つゆ・たれ,351,9.3,255,334,301,346,508,339,358,333,289
186,2,7,1,7,2,0,339,他の調味料,1406,17.0,1099,1302,1314,1437,1630,1210,1815,1345,1167
187,2,5,1,8,0,0,0,菓子類,8867,14.4,7840,7941,9585,9532,10680,9806,10142,7635,7677
188,2,7,1,8,0,0,340,ようかん,66,20.0,22,-,14,17,25,5,27,143,112
189,2,7,1,8,0,0,341,まんじゅう,43,-28.3,10,7,35,6,14,32,55,71,104
190,2,7,1,8,0,0,342,他の和生菓子,914,10.5,503,445,515,406,772,901,971,1272,1399
191,2,7,1,8,0,0,343,カステラ,86,11.7,75,6,35,13,97,125,123,103,129
192,2,7,1,8,0,0,344,ケーキ,640,1.7,835,584,842,566,1136,992,471,401,383
193,2,7,1,8,0,0,347,ゼリー,193,18.4,260,288,173,191,235,164,115,195,175
194,2,7,1,8,0,0,348,プリン,186,45.3,90,128,200,165,240,290,245,148,132
195,2,7,1,8,0,0,345,他の洋生菓子,955,-6.3,677,766,995,1035,1280,896,1328,802,676
196,2,7,1,8,0,0,350,せんべい,701,20.7,269,452,755,577,519,869,1158,693,688
197,2,7,1,8,0,0,346,ビスケット,528,28.5,847,475,661,646,735,424,518,398,496
198,2,7,1,8,0,0,357,スナック菓子,521,12.0,452,782,745,1068,739,537,544,234,205
199,2,7,1,8,0,0,349,キャンデー,207,25.5,368,228,232,278,202,198,127,184,232
200,2,7,1,8,0,0,352,チョコレート,554,18.9,330,446,437,503,491,920,660,524,604
201,2,7,1,8,0,0,353,チョコレート菓子,200,0.0,267,456,331,321,224,334,192,64,48
202,2,7,1,8,0,0,356,アイスクリーム・シャーベット,981,25.6,847,1001,1359,1261,1561,1098,1206,579,617
203,2,7,1,8,0,0,359,他の菓子,2091,21.4,1989,1879,2255,2478,2412,2021,2404,1825,1677
204,2,5,1,9,0,0,0,調理食品,13545,8.5,10778,10116,13306,11709,16778,14770,17595,12444,11976
205,2,6,1,9,1,0,0,主食的調理食品,6295,16.6,6141,4086,5096,5883,8522,6859,8376,5519,5324
206,2,7,1,9,1,0,360,弁当,1971,13.3,2342,1093,1354,1824,2874,2292,2857,1577,1573
207,2,7,1,9,1,0,36A,すし(弁当),1184,7.2,666,473,687,671,1219,1136,1631,1455,1496
208,2,7,1,9,1,0,36B,おにぎり・その他,533,18.2,601,394,566,456,679,548,542,501,402
209,2,7,1,9,1,0,361,調理パン,841,34.8,653,397,713,915,1112,1292,1096,646,572
210,2,7,1,9,1,0,363,他の主食的調理食品,1766,19.1,1880,1730,1776,2018,2638,1591,2250,1340,1280
211,2,6,1,9,2,0,0,他の調理食品,7250,2.3,4636,6030,8210,5826,8256,7911,9218,6926,6652
212,2,7,1,9,2,0,364,うなぎのかば焼き,178,8.5,54,-,42,101,139,108,132,306,322
213,2,7,1,9,2,0,365,サラダ,622,-0.5,643,349,525,338,766,1092,915,492,330
214,2,7,1,9,2,0,366,コロッケ,192,4.3,153,152,140,169,193,169,253,208,250
215,2,7,1,9,2,0,367,カツレツ,231,35.1,72,97,93,238,360,150,393,234,285
216,2,7,1,9,2,0,368,天ぷら・フライ,1088,11.8,964,978,950,1259,1060,1099,1502,988,941
217,2,7,1,9,2,0,369,しゅうまい,128,-13.5,113,21,106,97,160,123,164,135,144
218,2,7,1,9,2,0,371,ぎょうざ,171,2.4,145,164,77,112,145,148,318,185,221
219,2,7,1,9,2,0,372,やきとり,301,25.4,312,106,122,184,572,350,303,294,229
220,2,7,1,9,2,0,373,ハンバーグ,130,3.2,174,115,125,129,195,141,94,115,98
221,2,7,1,9,2,0,370,冷凍調理食品,965,18.3,489,1282,1030,1047,1351,999,1143,794,665
222,2,7,1,9,2,0,375,そうざい材料セット,274,75.6,-,191,994,-,387,676,423,66,23
223,2,7,1,9,2,0,376,他の調理食品のその他,2970,-10.5,1518,2575,4007,2152,2928,2855,3579,3107,3146
224,2,5,1,10,0,0,0,飲料,5968,23.5,5498,5652,5422,6779,8117,7965,6341,4671,4214
225,2,6,1,10,1,0,0,茶類,1350,19.9,1130,1089,1059,1279,1979,1627,1719,1126,1083
226,2,7,1,10,1,0,380,緑茶,273,-6.2,107,-,102,122,127,236,390,422,497
227,2,7,1,10,1,0,381,紅茶,185,94.7,181,250,170,116,723,68,106,97,119
228,2,7,1,10,1,0,383,他の茶葉,121,36.0,25,126,113,78,172,289,103,91,75
229,2,7,1,10,1,0,38X,茶飲料,771,18.6,817,714,675,962,957,1034,1119,515,392
230,2,6,1,10,2,0,0,コーヒー・ココア,1233,16.8,809,1044,1222,1375,1366,1532,1548,1068,1041
231,2,7,1,10,2,0,382,コーヒー,788,8.4,152,662,632,671,896,990,1080,788,797
232,2,7,1,10,2,0,384,コーヒー飲料,417,35.0,631,330,540,676,452,523,445,251,218
233,2,7,1,10,2,0,386,ココア・ココア飲料,28,33.3,26,52,51,28,18,19,24,29,26
234,2,6,1,10,3,0,0,他の飲料,3384,27.6,3560,3519,3141,4125,4771,4807,3073,2477,2090
235,2,7,1,10,3,0,385,果実・野菜ジュース,658,22.3,756,948,689,764,1159,844,589,400,381
236,2,7,1,10,3,0,387,炭酸飲料,729,42.7,919,573,550,885,1161,868,835,517,293
237,2,7,1,10,3,0,388,乳酸菌飲料,513,39.8,240,574,365,753,720,718,442,412,443
238,2,7,1,10,3,0,38A,乳飲料,234,-5.3,249,429,381,439,188,340,163,129,74
239,2,7,1,10,3,0,38B,ミネラルウォーター,441,28.6,288,231,406,484,529,736,262,422,422
240,2,7,1,10,3,0,38Y,スポーツドリンク,69,-4.2,50,42,104,91,144,67,62,42,34
241,2,7,1,10,3,0,389,他の飲料のその他,739,28.5,1057,722,646,708,869,1234,721,555,443
242,2,5,1,11,0,0,0,酒類,4119,6.2,1442,3433,3966,2951,4950,4478,6132,4030,2864
243,2,7,1,11,0,0,3X1,清酒,336,-28.8,37,43,183,432,376,362,399,376,456
244,2,7,1,11,0,0,3X3,焼酎,458,-12.1,35,239,301,238,211,298,911,627,402
245,2,7,1,11,0,0,3X4,ビール,1180,39.6,279,1861,665,683,1808,2059,1773,896,1029
246,2,7,1,11,0,0,3X5,ウイスキー,365,79.8,153,-,879,263,75,85,345,523,66
247,2,7,1,11,0,0,3X9,ワイン,543,9.9,277,372,587,413,1148,233,862,444,390
248,2,7,1,11,0,0,3X7,発泡酒・ビール風アルコール飲料,698,5.9,177,547,720,584,706,955,807,711,346
249,2,7,1,11,0,0,3X8,チューハイ・カクテル,413,-20.4,470,337,485,312,479,439,703,319,115
250,2,7,1,11,0,0,3XX,他の酒,126,-23.6,14,34,145,25,147,48,331,134,61
251,2,5,1,12,0,0,0,外食,20101,40.9,29119,17676,24611,21401,22116,26981,25479,13814,10809
252,2,6,1,12,1,0,0,一般外食,19736,41.5,28587,15218,24227,20503,21701,26376,25479,13814,10809
253,2,7,1,12,1,"390-396,399,39A,39B",0,食事代,15857,35.0,24515,12507,19148,16368,18706,19786,22432,10419,9242
254,2,7,1,12,1,"390-396,399,39A,39B",390,日本そば・うどん,567,5.2,645,361,535,471,789,567,635,527,471
255,2,7,1,12,1,"390-396,399,39A,39B",391,中華そば,447,-14.2,956,750,658,495,520,500,725,175,88
256,2,7,1,12,1,"390-396,399,39A,39B",392,他の麺類外食,325,11.3,317,223,344,277,685,304,520,191,165
257,2,7,1,12,1,"390-396,399,39A,39B",393,すし(外食),1227,-1.2,1622,982,1914,1179,1207,1442,1475,946,670
258,2,7,1,12,1,"390-396,399,39A,39B",394,和食,1880,22.7,2495,1414,1403,1435,2429,2907,2644,1407,971
259,2,7,1,12,1,"390-396,399,39A,39B",39A,中華食,599,70.7,297,687,565,445,859,1889,414,303,253
260,2,7,1,12,1,"390-396,399,39A,39B",395,洋食,1316,40.9,1011,778,1249,1051,2626,1276,2963,674,640
261,2,7,1,12,1,"390-396,399,39A,39B",399,焼肉,753,119.5,1379,309,175,1081,1269,1601,1117,252,145
262,2,7,1,12,1,"390-396,399,39A,39B",39B,ハンバーガー,575,13.0,1046,1560,1350,863,624,592,516,167,76
263,2,7,1,12,1,"390-396,399,39A,39B",396,他の主食的外食,8169,49.0,14748,5443,10954,9071,7698,8707,11424,5778,5763
264,2,7,1,12,1,0,397,喫茶代,1122,40.8,1096,982,1948,1439,884,1234,1715,760,599
265,2,7,1,12,1,0,398,飲酒代,2756,95.5,2976,1729,3131,2696,2110,5357,1332,2634,968
266,2,6,1,12,2,0,39X,学校給食,365,14.4,532,2457,384,898,416,605,-,-,-
267,2,4,2,0,0,0,0,住居,24730,-24.7,71698,17369,16350,37991,19933,16737,28731,19316,9074
