1,"東京都生計分析調査　令和 5年12月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",23110,6.2,-4.1,1147,1.0,2836,1.5,15998,6.4,17966,5.7,22341,5.7,25513,5.2,75600,9.0
18,"3","選択的支出",1430,0.4,-63.5,-,-,-,-,720,0.3,1396,0.4,934,0.2,2862,0.6,4076,0.5
19,"1","光熱・水道",19332,5.2,-21.5,10601,9.1,18811,9.9,19165,7.7,18484,5.9,21169,5.4,20375,4.2,26675,3.2
20,"2","基礎的支出",19332,5.2,-21.5,10601,9.1,18811,9.9,19165,7.7,18484,5.9,21169,5.4,20375,4.2,26675,3.2
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",18064,4.9,-6.7,5112,4.4,7242,3.8,10195,4.1,14541,4.6,22646,5.8,19408,4.0,47068,5.6
23,"2","基礎的支出",10569,2.8,2.4,4534,3.9,6481,3.4,8135,3.3,10808,3.4,12625,3.2,12123,2.5,19198,2.3
24,"3","選択的支出",7495,2.0,-17.0,578,0.5,761,0.4,2060,0.8,3733,1.2,10021,2.6,7285,1.5,27870,3.3
25,"1","被服及び履物",14549,3.9,-2.2,2937,2.5,5527,2.9,8895,3.6,11122,3.5,15109,3.9,25594,5.2,32524,3.9
26,"2","基礎的支出",1006,0.3,8.4,247,0.2,365,0.2,798,0.3,713,0.2,924,0.2,1276,0.3,2706,0.3
27,"3","選択的支出",13543,3.7,-2.9,2690,2.3,5162,2.7,8097,3.3,10409,3.3,14185,3.6,24318,5.0,29818,3.5
28,"1","保健医療",19156,5.2,1.2,5283,4.5,11171,5.9,14390,5.8,15133,4.8,26230,6.7,25394,5.2,36367,4.3
29,"2","基礎的支出",15390,4.1,-8.6,4955,4.3,10542,5.6,12064,4.8,13225,4.2,18152,4.6,19855,4.1,28840,3.4
30,"3","選択的支出",3765,1.0,80.4,328,0.3,629,0.3,2326,0.9,1908,0.6,8078,2.1,5539,1.1,7528,0.9
31,"1","交通・通信",32894,8.9,-11.3,6075,5.2,13518,7.1,16725,6.7,30167,9.6,38084,9.7,51369,10.5,73943,8.8
32,"2","基礎的支出",8951,2.4,-13.1,1717,1.5,3377,1.8,4901,2.0,9468,3.0,8971,2.3,13979,2.9,20132,2.4
33,"3","選択的支出",23944,6.5,-10.6,4358,3.8,10141,5.4,11824,4.8,20699,6.6,29112,7.4,37390,7.7,53812,6.4
34,"1","教育",25009,6.7,23.6,977,0.8,2105,1.1,4317,1.7,7116,2.3,4435,1.1,18782,3.8,136532,16.2
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",25009,6.7,23.6,977,0.8,2105,1.1,4317,1.7,7116,2.3,4435,1.1,18782,3.8,136532,16.2
37,"1","教養娯楽",44765,12.1,10.0,8379,7.2,18792,9.9,25197,10.1,34043,10.8,47550,12.1,64082,13.1,114773,13.6
38,"2","基礎的支出",6912,1.9,-12.9,3247,2.8,5788,3.1,5406,2.2,7092,2.3,9060,2.3,8467,1.7,9297,1.1
39,"3","選択的支出",37853,10.2,15.6,5132,4.4,13004,6.9,19791,8.0,26951,8.6,38490,9.8,55615,11.4,105476,12.5
40,"1","その他の消費支出",50768,13.7,-11.6,10889,9.4,23006,12.2,33572,13.5,39657,12.6,54666,14.0,72289,14.8,120782,14.3
41,"2","基礎的支出",22204,6.0,-28.1,6363,5.5,11052,5.8,15373,6.2,16812,5.3,26519,6.8,35023,7.2,44130,5.2
42,"3","選択的支出",28565,7.7,7.7,4527,3.9,11954,6.3,18199,7.3,22844,7.3,28147,7.2,37267,7.6,76652,9.1
