1,"東京都生計分析調査　令和 5年 9月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",15878,5.1,-21.7,259,0.3,2199,1.4,9141,4.3,13591,5.1,20141,6.3,16154,4.0,49536,6.8
18,"3","選択的支出",786,0.3,-63.6,76,0.1,657,0.4,-,-,467,0.2,2013,0.6,408,0.1,1875,0.3
19,"1","光熱・水道",18766,6.0,-10.9,10370,10.2,15226,9.3,19032,9.0,19619,7.4,20235,6.3,24242,6.0,22555,3.1
20,"2","基礎的支出",18766,6.0,-10.9,10370,10.2,15226,9.3,19032,9.0,19619,7.4,20235,6.3,24242,6.0,22555,3.1
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",13943,4.4,0.8,3361,3.3,7001,4.3,6317,3.0,15963,6.0,12077,3.8,19000,4.7,33812,4.6
23,"2","基礎的支出",10216,3.3,22.2,3097,3.1,4052,2.5,5620,2.7,9794,3.7,7927,2.5,13189,3.3,27769,3.8
24,"3","選択的支出",3726,1.2,-31.9,264,0.3,2949,1.8,697,0.3,6169,2.3,4150,1.3,5811,1.4,6043,0.8
25,"1","被服及び履物",7665,2.4,-36.3,1378,1.4,4606,2.8,5733,2.7,5578,2.1,7422,2.3,9898,2.4,18955,2.6
26,"2","基礎的支出",579,0.2,-24.2,170,0.2,455,0.3,217,0.1,703,0.3,876,0.3,947,0.2,684,0.1
27,"3","選択的支出",7085,2.3,-37.1,1208,1.2,4151,2.5,5516,2.6,4875,1.8,6546,2.0,8952,2.2,18271,2.5
28,"1","保健医療",15497,4.9,-14.4,5254,5.2,7286,4.5,11877,5.6,17721,6.7,18263,5.7,17428,4.3,30608,4.2
29,"2","基礎的支出",13484,4.3,-11.6,4719,4.7,7202,4.4,10398,4.9,16370,6.2,15689,4.9,12765,3.2,27239,3.7
30,"3","選択的支出",2013,0.6,-29.6,534,0.5,84,0.1,1480,0.7,1351,0.5,2573,0.8,4663,1.2,3369,0.5
31,"1","交通・通信",34734,11.1,-5.9,8385,8.3,12992,8.0,19381,9.2,25248,9.5,34858,10.9,61599,15.2,80201,11.0
32,"2","基礎的支出",8009,2.5,-3.6,3565,3.5,3427,2.1,5430,2.6,7968,3.0,8737,2.7,14074,3.5,12789,1.7
33,"3","選択的支出",26726,8.5,-6.5,4820,4.8,9566,5.9,13951,6.6,17280,6.5,26121,8.1,47524,11.7,67412,9.2
34,"1","教育",24439,7.8,-10.9,210,0.2,2810,1.7,2987,1.4,4285,1.6,11965,3.7,13483,3.3,135015,18.5
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",24439,7.8,-10.9,210,0.2,2810,1.7,2987,1.4,4285,1.6,11965,3.7,13483,3.3,135015,18.5
37,"1","教養娯楽",37313,11.9,2.2,7727,7.6,15123,9.3,21599,10.2,25656,9.7,35897,11.2,56572,14.0,98152,13.4
38,"2","基礎的支出",5919,1.9,-10.5,2299,2.3,4120,2.5,5299,2.5,5944,2.2,6026,1.9,6560,1.6,11158,1.5
39,"3","選択的支出",31395,10.0,5.1,5428,5.4,11004,6.8,16300,7.7,19712,7.4,29871,9.3,50013,12.4,86994,11.9
40,"1","その他の消費支出",45024,14.3,7.2,8690,8.6,17569,10.8,28252,13.4,37093,14.0,45337,14.1,56139,13.9,121691,16.6
41,"2","基礎的支出",19519,6.2,7.7,4986,4.9,8586,5.3,12204,5.8,18356,6.9,18171,5.7,26327,6.5,47855,6.5
42,"3","選択的支出",25505,8.1,6.9,3704,3.7,8983,5.5,16048,7.6,18737,7.1,27167,8.5,29812,7.4,73836,10.1
