1,"東京都生計分析調査　令和 5年11月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",17759,5.6,-44.4,1034,1.0,4439,2.6,11162,5.0,19733,7.2,22297,6.7,14443,3.4,50749,7.3
18,"3","選択的支出",1801,0.6,-32.4,-,-,183,0.1,374,0.2,698,0.3,1777,0.5,3564,0.8,5981,0.9
19,"1","光熱・水道",19389,6.1,-9.4,10468,10.2,17198,10.2,19219,8.6,20228,7.4,22202,6.6,21897,5.1,24420,3.5
20,"2","基礎的支出",19389,6.1,-9.4,10468,10.2,17198,10.2,19219,8.6,20228,7.4,22202,6.6,21897,5.1,24420,3.5
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",15303,4.8,-0.7,4562,4.4,5607,3.3,8150,3.6,10039,3.7,12306,3.7,19902,4.7,46267,6.7
23,"2","基礎的支出",10237,3.2,4.9,3709,3.6,4776,2.8,5594,2.5,7733,2.8,9337,2.8,11783,2.8,28541,4.1
24,"3","選択的支出",5066,1.6,-10.4,853,0.8,831,0.5,2556,1.1,2306,0.8,2970,0.9,8119,1.9,17726,2.6
25,"1","被服及び履物",17345,5.4,21.7,3437,3.3,7152,4.3,8187,3.6,12908,4.7,13724,4.1,23089,5.4,52566,7.6
26,"2","基礎的支出",935,0.3,12.8,150,0.1,633,0.4,639,0.3,972,0.4,1016,0.3,1189,0.3,1931,0.3
27,"3","選択的支出",16410,5.2,22.3,3286,3.2,6519,3.9,7548,3.4,11936,4.4,12708,3.8,21900,5.1,50635,7.3
28,"1","保健医療",16319,5.1,-13.9,5510,5.4,8665,5.2,11136,5.0,13557,5.0,16462,4.9,20851,4.9,37833,5.4
29,"2","基礎的支出",13173,4.1,-17.7,4422,4.3,7431,4.4,9351,4.2,10984,4.0,10611,3.2,17205,4.0,32024,4.6
30,"3","選択的支出",3146,1.0,6.8,1088,1.1,1233,0.7,1785,0.8,2572,0.9,5851,1.7,3646,0.9,5809,0.8
31,"1","交通・通信",31591,9.9,-2.3,6014,5.8,12855,7.7,21337,9.5,27982,10.2,32105,9.6,43842,10.3,76528,11.0
32,"2","基礎的支出",7530,2.4,-6.0,1538,1.5,2654,1.6,4790,2.1,7223,2.6,8372,2.5,10552,2.5,17472,2.5
33,"3","選択的支出",24061,7.6,-1.0,4477,4.4,10201,6.1,16547,7.4,20759,7.6,23734,7.1,33290,7.8,59055,8.5
34,"1","教育",12615,4.0,-42.0,137,0.1,760,0.5,2420,1.1,2891,1.1,13629,4.1,15941,3.7,52163,7.5
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",12615,4.0,-42.0,137,0.1,760,0.5,2420,1.1,2891,1.1,13629,4.1,15941,3.7,52163,7.5
37,"1","教養娯楽",38807,12.2,2.6,6819,6.6,16083,9.6,23607,10.5,27777,10.2,43908,13.1,69302,16.2,83796,12.1
38,"2","基礎的支出",5942,1.9,-4.6,2830,2.8,4986,3.0,5902,2.6,5150,1.9,7032,2.1,8107,1.9,7570,1.1
39,"3","選択的支出",32865,10.3,4.0,3989,3.9,11096,6.6,17705,7.9,22627,8.3,36876,11.0,61194,14.3,76226,11.0
40,"1","その他の消費支出",45788,14.4,-13.0,8561,8.3,23862,14.2,26741,11.9,36224,13.3,46791,14.0,61675,14.4,115924,16.7
41,"2","基礎的支出",17977,5.6,-19.4,5114,5.0,13756,8.2,9667,4.3,17087,6.3,18142,5.4,22683,5.3,39115,5.6
42,"3","選択的支出",27812,8.7,-8.3,3447,3.4,10106,6.0,17074,7.6,19136,7.0,28649,8.6,38991,9.1,76809,11.1
