1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
23,2,基礎的支出,6052,2.0,-7.7,2289,2.2,4079,2.5,4889,2.4,6274,2.5,5703,1.9,6675,1.8,12404,1.9
24,3,選択的支出,2255,0.8,0.0,533,0.5,1476,0.9,519,0.3,2805,1.1,2358,0.8,5502,1.5,2555,0.4
25,1,被服及び履物,8281,2.8,7.7,2324,2.2,3370,2.1,4506,2.2,5509,2.2,9444,3.1,15072,4.0,17649,2.7
26,2,基礎的支出,676,0.2,-2.5,246,0.2,226,0.1,283,0.1,501,0.2,1265,0.4,1255,0.3,943,0.1
27,3,選択的支出,7605,2.6,8.7,2079,2.0,3143,1.9,4223,2.0,5008,2.0,8180,2.7,13817,3.7,16706,2.5
28,1,保健医療,16525,5.6,28.8,5655,5.5,7427,4.6,9236,4.5,13763,5.4,18994,6.2,22443,5.9,37989,5.7
29,2,基礎的支出,13232,4.5,20.4,5580,5.4,6109,3.8,8448,4.1,12306,4.8,14694,4.8,18072,4.8,27305,4.1
30,3,選択的支出,3293,1.1,78.8,75,0.1,1318,0.8,789,0.4,1457,0.6,4300,1.4,4371,1.2,10684,1.6
31,1,交通・通信,26158,8.8,-12.7,6802,6.6,11388,7.1,17454,8.5,22002,8.6,29574,9.7,41751,11.1,53864,8.1
32,2,基礎的支出,6538,2.2,-19.7,1691,1.6,2754,1.7,6211,3.0,4981,1.9,7711,2.5,10784,2.9,11579,1.7
33,3,選択的支出,19620,6.6,-10.1,5111,4.9,8634,5.4,11243,5.4,17021,6.7,21863,7.2,30967,8.2,42285,6.4
34,1,教育,16280,5.5,22.9,139,0.1,1526,0.9,4069,2.0,3785,1.5,2818,0.9,15579,4.1,85940,13.0
35,2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,3,選択的支出,16280,5.5,22.9,139,0.1,1526,0.9,4069,2.0,3785,1.5,2818,0.9,15579,4.1,85940,13.0
37,1,教養娯楽,32910,11.1,14.8,6835,6.6,13654,8.5,20093,9.7,25490,10.0,31923,10.4,42370,11.2,89672,13.5
38,2,基礎的支出,6185,2.1,2.5,2578,2.5,4862,3.0,6725,3.3,5641,2.2,6717,2.2,7882,2.1,8847,1.3
39,3,選択的支出,26725,9.0,18.2,4257,4.1,8792,5.4,13368,6.5,19849,7.8,25206,8.2,34488,9.1,80825,12.2
40,1,その他の消費支出,43579,14.7,-3.4,7234,7.0,14765,9.2,23511,11.4,32223,12.6,41317,13.5,57151,15.1,128393,19.3
41,2,基礎的支出,22234,7.5,-5.7,3553,3.4,6109,3.8,10196,4.9,15063,5.9,17059,5.6,24754,6.6,78703,11.9
42,3,選択的支出,21345,7.2,-0.9,3680,3.5,8656,5.4,13316,6.5,17160,6.7,24259,7.9,32398,8.6,49690,7.5
