39,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 4年10月",-,-,-,-,-2.3,-2.8,8.6,127.2,-27.8,-13.6,-3.3,-4.0,42.3,-3.8,9.7,10.0,-50.4,16.5,52.7,41.4,38.4,67.0,141.2,0.6,-1.3
40,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 4年11月",-,-,-,-,121.4,45.8,26.3,261.0,-49.3,-9.2,169.6,12.5,...,222.1,8.0,2.4,94.4,15.9,43.0,-10.4,-12.8,13.0,-97.1,-6.4,-16.5
41,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 4年12月",-,-,-,-,8.9,7.4,9.7,320.6,-52.7,30.9,6.6,1.1,124.5,9.7,-3.5,-4.2,-10.2,20.1,-39.5,-22.0,50.9,1.1,-61.8,-18.3,-1.7
42,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 1月",-,-,-,-,30.7,20.3,28.0,165.3,-26.6,-20.3,34.0,72.5,162.7,66.2,1.1,2.8,75.3,27.9,-6.2,34.7,-6.7,-8.6,...,-3.1,-24.9
43,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 2月",-,-,-,-,-2.5,-1.9,53.3,101.7,24.8,66.8,-6.4,-6.9,-32.3,-2.4,-9.6,3.3,-6.8,19.9,-11.2,14.1,8.6,-39.6,...,51.6,-50.9
44,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 3月",-,-,-,-,24.8,61.3,124.6,258.0,47.8,-19.9,42.2,65.2,-31.4,34.6,-1.9,2.3,-38.3,14.1,-26.9,-7.1,-10.0,-4.0,-88.2,14.6,-0.6
45,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 4月",-,-,-,-,-7.7,-8.7,9.9,59.1,-24.8,-40.2,-9.2,-8.5,37.9,-7.4,-5.4,7.3,47.2,-6.8,-6.3,11.5,14.1,-42.4,-34.4,-0.8,-19.9
46,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 5月",-,-,-,-,32.7,46.0,70.2,61.7,76.6,33.2,18.3,5.9,-33.8,101.1,-20.8,4.7,-65.4,-1.0,-8.1,-8.8,-31.7,-45.4,-95.1,-15.6,-11.1
47,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 6月",-,-,-,-,-14.3,2.1,15.9,-14.2,40.5,-28.9,1.8,-1.3,-90.3,-20.6,9.4,3.9,10.0,-7.7,-21.4,11.0,21.4,32.1,-74.0,16.4,18.1
48,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 7月",-,-,-,-,24.2,20.8,35.2,27.5,40.5,-12.9,0.5,-48.1,75.3,-2.5,6.6,9.5,-10.1,3.6,14.0,40.7,-13.0,20.1,...,-29.2,33.8
49,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 8月",-,-,-,-,2.8,1.7,72.6,39.5,101.6,-26.2,-2.1,-2.6,87.5,5.6,14.7,9.9,111.6,-12.9,46.2,3.4,-37.7,22.9,248.3,36.7,8.8
50,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年 9月",-,-,-,-,26.9,19.3,46.5,16.9,74.6,-22.5,-11.6,-28.0,204.8,28.3,3.0,8.6,-74.5,-2.9,-14.4,-20.1,-14.2,38.4,-29.0,16.1,26.5
51,"meimoku","tuki","対前年（同期・同月）名目増加率_令和 5年10月",-,-,-,-,3.1,2.6,26.7,27.7,25.8,-2.4,0.7,1.7,36.7,1.6,2.6,6.7,62.9,-0.9,-30.4,0.4,7.3,-32.6,213.5,7.6,7.8
52,"jissitu","nen","対前年（同期・同月）実質増加率_平成31年・令和元年平均",-,-,-,-,8.4,9.3,29.4,13.0,38.2,21.8,6.6,7.5,-16.2,8.3,-0.4,-1.6,-10.7,-8.3,6.7,18.9,3.6,-3.4,71.6,5.4,-
53,"jissitu","nen","対前年（同期・同月）実質増加率_令和 2年平均",-,-,-,-,16.8,7.7,2.4,-11.4,8.4,112.5,5.1,5.0,353.9,19.0,-2.0,3.6,20.0,11.5,0.3,-32.1,14.3,1.1,-14.9,-21.1,-
54,"jissitu","nen","対前年（同期・同月）実質増加率_令和 3年平均",-,-,-,-,-9.5,-2.0,24.2,33.9,20.8,-46.4,-2.6,-2.8,-75.8,-12.2,-3.7,-3.5,-0.5,-8.0,-3.6,6.9,-7.9,-15.5,38.8,-2.9,-
55,"jissitu","nen","対前年（同期・同月）実質増加率_令和 4年平均",-,-,-,-,2.4,-2.2,-17.3,41.0,-40.1,19.3,-0.5,-2.1,170.3,6.4,1.8,-4.1,-1.6,-5.8,-8.3,-11.0,1.2,40.7,-73.0,9.9,-
56,"jissitu","sihan","対前年（同期・同月）実質増加率_令和 4年 7～ 9月",-,-,-,-,-7.3,-5.5,-10.0,63.2,-34.2,77.6,-7.5,-8.5,-50.0,-5.6,1.5,-2.3,-13.6,-0.2,-8.9,-6.1,33.8,4.9,-59.1,24.0,-
57,"jissitu","sihan","対前年（同期・同月）実質増加率_令和 4年10～12月",-,-,-,-,4.4,-0.3,9.0,222.4,-47.1,-3.4,-1.4,-5.8,322.3,5.4,-0.4,-4.4,8.9,-3.2,3.2,-2.7,19.4,23.5,-51.9,-8.4,-
58,"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年 1～ 3月",-,-,-,-,-0.5,0.6,51.6,153.0,1.3,-1.6,-7.7,-7.9,-14.5,1.4,-7.7,-4.3,-0.7,10.1,-21.1,6.0,-4.8,-20.5,260.9,15.7,-
59,"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年 4～ 6月",-,-,-,-,-13.1,-4.9,22.1,18.5,24.8,-22.2,-6.9,-8.4,-77.2,-16.5,-10.1,-2.6,-22.6,-0.1,-20.2,0.1,-3.7,-31.0,-55.8,-4.1,-
60,"jissitu","sihan","対前年（同期・同月）実質増加率_令和 5年 7～ 9月",-,-,-,-,3.7,1.6,44.2,22.6,61.8,-23.8,-5.9,-7.4,99.8,3.0,4.3,0.8,1.4,11.7,7.3,0.5,-25.3,23.6,681.6,-3.7,-
61,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 4年10月",-,-,-,-,-6.3,-6.8,4.1,117.8,-30.8,-17.2,-7.3,-8.0,36.4,-7.8,5.2,3.7,-51.1,-3.6,44.3,38.1,38.3,64.2,141.0,-0.2,-
62,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 4年11月",-,-,-,-,111.7,39.4,20.7,245.1,-51.5,-13.2,157.7,7.6,-,207.9,3.3,-4.2,91.5,-4.5,33.0,-12.7,-12.9,11.0,-97.1,-6.1,-
63,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 4年12月",-,-,-,-,3.9,2.5,4.7,301.3,-54.9,24.9,1.7,-3.5,114.2,4.7,-7.9,-10.5,-11.5,-2.0,-43.5,-24.6,50.7,-1.4,-61.8,-18.0,-
64,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 1月",-,-,-,-,24.0,14.1,21.4,151.7,-30.4,-24.4,27.1,63.7,149.2,57.7,-4.1,-4.3,72.7,4.2,-12.5,28.2,-7.1,-10.9,-,-4.6,-
65,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 2月",-,-,-,-,-6.4,-5.9,47.1,93.6,19.8,60.1,-10.2,-10.7,-35.0,-6.3,-13.2,-3.8,-8.4,14.3,-18.5,9.4,7.7,-41.1,-,49.7,-
66,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 3月",-,-,-,-,19.9,54.9,115.8,243.9,42.0,-23.1,36.6,58.7,-34.1,29.3,-5.8,-4.9,-39.5,13.4,-33.0,-10.9,-11.2,-6.5,-88.3,12.0,-
67,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 4月",-,-,-,-,-11.5,-12.5,5.4,52.5,-27.9,-42.7,-12.9,-12.3,32.2,-11.2,-9.3,-0.9,44.6,-4.9,-14.9,6.7,12.1,-44.3,-35.3,-3.8,-
68,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 5月",-,-,-,-,27.6,40.4,63.7,55.5,69.8,28.1,13.8,1.8,-36.3,93.4,-23.8,-3.1,-65.9,6.8,-15.7,-13.1,-33.2,-47.3,-95.2,-18.7,-
69,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 6月",-,-,-,-,-17.5,-1.7,11.5,-17.4,35.2,-31.6,-2.0,-5.0,-90.7,-23.6,5.3,-3.8,8.6,-1.7,-26.6,5.5,18.4,27.8,-74.5,12.5,-
70,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 7月",-,-,-,-,19.5,16.3,30.1,22.7,35.2,-16.2,-3.3,-50.0,68.7,-6.2,2.6,0.8,-11.4,16.1,5.8,33.9,-15.0,16.5,-,-32.6,-
71,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 8月",-,-,-,-,-0.8,-1.8,66.6,34.7,94.6,-28.8,-5.5,-6.0,81.0,1.9,10.7,1.6,108.5,2.5,37.1,-2.2,-39.4,18.6,241.5,29.2,-
72,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年 9月",-,-,-,-,22.6,15.3,41.5,12.9,68.7,-25.1,-14.6,-30.4,194.5,24.0,-0.5,-0.2,-74.9,17.8,-19.0,-23.8,-16.4,33.5,-30.4,10.2,-
73,"jissitu","tuki","対前年（同期・同月）実質増加率_令和 5年10月",-,-,-,-,-0.9,-1.3,21.8,22.8,21.0,-6.2,-3.2,-2.2,31.4,-2.3,-1.3,-1.8,61.0,14.3,-34.7,-3.8,5.0,-35.2,207.4,0.3,-
.1,14.3,�ｑwの店舗兼事務所ビルが建ち並ぶ商業地域,都道,南西,40,,,,ガス,水道,下水道,溜池山王,近接,0 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,36 ,港区,西新橋１丁目１０４番６外,西新橋１－１６－５,"6,250,000 ","5,660,000 ",10.4 ,338 ,,1,1.5,店舗兼事務所,ＳＲＣ,10F,,中高層の店舗、事務所ビルが建ち並ぶ商業地域,都道,南東,33,,背面道,,ガス,水道,下水道,内幸町,,110 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,37 ,港区,新橋６丁目１７番３,新橋６－３－５,"2,120,000 ","1,980,000 ",7.1 ,85 ,,1,2,店舗、事務所兼住宅,ＳＲＣ,8F,1B,中小規模の店舗兼事務所ビルが建ち並ぶ商業地域,区道,南東,16.8,,,,ガス,水道,下水道,御成門,,290 ,商業,防火,80 ,600 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,38 ,港区,新橋３丁目１２番２,新橋３－１８－３,"1,370,000 ","1,290,000 ",6.2 ,78 ,,1,1,店舗兼事務所,ＲＣ,4F,1B,小規模の店舗兼事務所ビルが密集する商業地域,区道,南東,5,,,,ガス,水道,下水道,新橋,,120 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,39 ,港区,虎ノ門１丁目３５番,虎ノ門１－１５－１６,"6,790,000 ","5,800,000 ",17.1 ,"1,224 ",,1,1,事務所兼駐車場,Ｓ,12F,1B,中高層店舗兼事務所ビルが建ち並ぶ商業地域,国道,北西,27,,四方路,,ガス,水道,下水道,虎ノ門,,80 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,40 ,港区,西新橋１丁目８番２,,"5,360,000 ","4,740,000 ",13.1 ,"1,109 ",,1.2,1,空地,,,,大規模中高層事務所ビルが多い中心的商業地域,区道,北東,12,,背面道,,ガス,水道,下水道,内幸町,,240 ,商業,防火,80 ,800 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,41 ,港区,西新橋１丁目１５番１,西新橋１－１０－８,"2,250,000 ","2,140,000 ",5.1 ,148 ,,1,1,事務所兼駐車場,ＲＣ,6F,,中層の店舗兼事務所ビル等が建ち並ぶ商業地域,区道,南西,8,,側道,北西,ガス,水道,下水道,内幸町,,260 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,42 ,港区,南青山２丁目７７番１外,南青山２－１－１,"10,000,000 ","9,000,000 ",11.1 ,"4,480 ",,1,1.5,事務所兼駐車場,ＳＲＣ,19F,3B,中高層の事務所ビル、店舗等が建ち並ぶ商業地域,国道,北西,40,,四方路,,ガス,水道,下水道,青山一丁目,近接,0 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,43 ,港区,南青山７丁目２１４番外,南青山７－１０－３,"2,020,000 ","1,910,000 ",5.8 ,441 ,不整形,1,1.5,事務所、店舗兼住宅,ＳＲＣ,9F,,中高層の事務所ビルが建ち並ぶ商業地域,都道,北,40,,背面道,,ガス,水道,下水道,表参道,,"1,100 ",商業,防火,80 ,600 ,,,,,,,,,,
〇,13103 ,28 ,港,5 ,44 ,港区,麻布台３丁目５番９外,麻布台３－４－１０,"2,440,000 ","2,300,000 ",6.1 ,
