1,"東京都生計分析調査　令和 5年 8月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",36741,10.5,90.4,1607,1.5,3423,2.0,17090,7.7,15828,5.8,19958,5.8,30026,6.7,167947,19.3
18,"3","選択的支出",842,0.2,-53.8,-,-,471,0.3,1344,0.6,935,0.3,198,0.1,2347,0.5,592,0.1
19,"1","光熱・水道",17684,5.1,-17.1,9599,8.8,18129,10.5,16651,7.5,18759,6.9,19924,5.8,20150,4.5,20511,2.4
20,"2","基礎的支出",17684,5.1,-17.1,9599,8.8,18129,10.5,16651,7.5,18759,6.9,19924,5.8,20150,4.5,20511,2.4
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",16497,4.7,18.1,3704,3.4,5534,3.2,8504,3.8,7666,2.8,13360,3.9,16581,3.7,59707,6.9
23,"2","基礎的支出",11029,3.2,11.9,3395,3.1,4873,2.8,6629,3.0,6013,2.2,7903,2.3,11367,2.5,36770,4.2
24,"3","選択的支出",5468,1.6,32.8,308,0.3,662,0.4,1875,0.8,1653,0.6,5457,1.6,5214,1.2,22936,2.6
25,"1","被服及び履物",8939,2.6,0.3,1875,1.7,4192,2.4,5206,2.4,6628,2.4,9513,2.8,13130,2.9,21882,2.5
26,"2","基礎的支出",498,0.1,-28.2,217,0.2,362,0.2,369,0.2,689,0.3,782,0.2,389,0.1,675,0.1
27,"3","選択的支出",8442,2.4,2.7,1658,1.5,3830,2.2,4837,2.2,5939,2.2,8732,2.5,12742,2.9,21207,2.4
28,"1","保健医療",17120,4.9,-24.2,4231,3.9,10431,6.0,10485,4.7,13348,4.9,22648,6.6,24330,5.5,34152,3.9
29,"2","基礎的支出",13892,4.0,-31.5,4091,3.7,9722,5.6,9369,4.2,11664,4.3,18319,5.3,18682,4.2,25246,2.9
30,"3","選択的支出",3228,0.9,39.2,140,0.1,709,0.4,1116,0.5,1684,0.6,4329,1.3,5648,1.3,8905,1.0
31,"1","交通・通信",39126,11.2,12.0,7752,7.1,17777,10.3,23701,10.7,28514,10.5,40360,11.7,61384,13.8,93740,10.8
32,"2","基礎的支出",9778,2.8,8.2,2896,2.7,3659,2.1,7845,3.5,7724,2.8,9498,2.8,12096,2.7,24544,2.8
33,"3","選択的支出",29347,8.4,13.3,4856,4.5,14118,8.2,15856,7.2,20790,7.7,30862,9.0,49288,11.0,69196,8.0
34,"1","教育",7695,2.2,-45.0,867,0.8,587,0.3,792,0.4,4856,1.8,7946,2.3,13424,3.0,25217,2.9
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",7695,2.2,-45.0,867,0.8,587,0.3,792,0.4,4856,1.8,7946,2.3,13424,3.0,25217,2.9
37,"1","教養娯楽",47943,13.7,12.5,7847,7.2,15822,9.1,18586,8.4,30613,11.3,45208,13.1,66725,14.9,149769,17.2
38,"2","基礎的支出",6847,2.0,-0.3,2671,2.4,5248,3.0,5378,2.4,7939,2.9,6734,2.0,10190,2.3,9720,1.1
39,"3","選択的支出",41096,11.8,15.0,5176,4.7,10575,6.1,13208,6.0,22675,8.4,38473,11.2,56535,12.7,140050,16.1
40,"1","その他の消費支出",50811,14.6,-4.6,10906,10.0,22843,13.2,29482,13.3,38850,14.3,46469,13.5,60312,13.5,145794,16.8
41,"2","基礎的支出",25871,7.4,20.3,6413,5.9,11832,6.8,16108,7.3,17822,6.6,22736,6.6,24907,5.6,80706,9.3
42,"3","選択的支出",24940,7.2,-21.5,4492,4.1,11011,6.4,13374,6.0,21027,7.8,23733,6.9,35405,7.9,65089,7.5
