1,"東京都生計分析調査　令和 5年 7月","","","","","","","","","","","","","","","","","",""
17,"2","基礎的支出",20634,6.5,-2.6,933,0.9,6218,3.6,11238,5.2,14099,5.3,19619,6.1,33951,8.2,57957,7.9
18,"3","選択的支出",766,0.2,-72.3,46,0.0,187,0.1,1551,0.7,626,0.2,1429,0.4,1234,0.3,303,0.0
19,"1","光熱・水道",16511,5.2,-9.6,9634,9.0,13790,8.0,15102,6.9,17465,6.6,19855,6.1,18659,4.5,20988,2.9
20,"2","基礎的支出",16511,5.2,-9.6,9634,9.0,13790,8.0,15102,6.9,17465,6.6,19855,6.1,18659,4.5,20988,2.9
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",13188,4.1,5.3,3748,3.5,5876,3.4,8959,4.1,12666,4.8,12697,3.9,15202,3.7,32924,4.5
23,"2","基礎的支出",9105,2.9,-5.4,3243,3.0,4845,2.8,7342,3.4,8411,3.2,9148,2.8,10361,2.5,20250,2.8
24,"3","選択的支出",4083,1.3,40.9,505,0.5,1030,0.6,1617,0.7,4255,1.6,3548,1.1,4841,1.2,12674,1.7
25,"1","被服及び履物",12684,4.0,8.6,3449,3.2,5885,3.4,8225,3.8,9546,3.6,14018,4.3,20395,4.9,27116,3.7
26,"2","基礎的支出",1012,0.3,30.7,660,0.6,724,0.4,703,0.3,740,0.3,819,0.3,1948,0.5,1490,0.2
27,"3","選択的支出",11671,3.7,7.0,2789,2.6,5161,3.0,7522,3.5,8806,3.3,13199,4.1,18448,4.5,25625,3.5
28,"1","保健医療",18473,5.8,4.0,4805,4.5,8900,5.2,10705,4.9,18693,7.0,17379,5.4,23593,5.7,44892,6.1
29,"2","基礎的支出",15746,4.9,0.7,4489,4.2,8613,5.0,8493,3.9,15642,5.9,15104,4.7,20192,4.9,37396,5.1
30,"3","選択的支出",2727,0.9,28.6,316,0.3,286,0.2,2212,1.0,3051,1.1,2275,0.7,3401,0.8,7495,1.0
31,"1","交通・通信",35964,11.3,11.3,7520,7.0,14356,8.4,21603,9.9,25067,9.4,36830,11.4,47704,11.5,97955,13.4
32,"2","基礎的支出",7654,2.4,5.1,2114,2.0,3129,1.8,6174,2.8,4981,1.9,8010,2.5,9385,2.3,19655,2.7
33,"3","選択的支出",28310,8.9,13.1,5406,5.0,11227,6.5,15429,7.1,20086,7.6,28820,8.9,38318,9.2,78299,10.7
34,"1","教育",15502,4.9,-9.3,604,0.6,1490,0.9,2258,1.0,5348,2.0,6928,2.1,12811,3.1,78321,10.7
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",15502,4.9,-9.3,604,0.6,1490,0.9,2258,1.0,5348,2.0,6928,2.1,12811,3.1,78321,10.7
37,"1","教養娯楽",38709,12.1,-9.8,8713,8.1,15433,9.0,17762,8.1,28244,10.6,38651,12.0,50484,12.2,110821,15.2
38,"2","基礎的支出",6525,2.0,14.5,2761,2.6,4946,2.9,5044,2.3,6739,2.5,5661,1.8,6590,1.6,13819,1.9
39,"3","選択的支出",32184,10.1,-13.6,5952,5.5,10487,6.1,12717,5.8,21505,8.1,32990,10.2,43895,10.6,97002,13.3
40,"1","その他の消費支出",43324,13.6,-3.4,8574,8.0,22572,13.2,33148,15.2,36935,13.9,49994,15.5,52841,12.7,98501,13.5
41,"2","基礎的支出",19048,6.0,-16.8,5165,4.8,10538,6.1,18260,8.4,17308,6.5,23278,7.2,22757,5.5,35825,4.9
42,"3","選択的支出",24276,7.6,10.7,3409,3.2,12035,7.0,14888,6.8,19627,7.4,26716,8.3,30084,7.3,62676,8.6
