1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","",""
33,"3","選択的支出",26955,8.0,-0.2,5100,4.8,10195,5.9,14998,6.8,19806,7.2,26040,7.8,39016,9.1,73865,9.2
34,"1","教育",21286,6.4,8.9,584,0.5,1214,0.7,2132,1.0,4687,1.7,7362,2.2,15004,3.5,117916,14.6
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",21286,6.4,8.9,584,0.5,1214,0.7,2132,1.0,4687,1.7,7362,2.2,15004,3.5,117916,14.6
37,"1","教養娯楽",40294,12.0,12.2,7637,7.1,15595,9.1,21828,9.8,28744,10.5,39711,11.8,58680,13.6,109819,13.6
38,"2","基礎的支出",6608,2.0,3.9,2710,2.5,4920,2.9,5643,2.5,6247,2.3,7414,2.2,7926,1.8,11410,1.4
39,"3","選択的支出",33685,10.1,13.9,4927,4.6,10676,6.2,16185,7.3,22497,8.2,32296,9.6,50754,11.8,98409,12.2
40,"1","その他の消費支出",46153,13.8,-4.9,9304,8.7,19498,11.4,28165,12.7,38660,14.1,48696,14.5,59834,13.9,118597,14.7
41,"2","基礎的支出",20610,6.1,-8.7,4781,4.5,9766,5.7,13195,5.9,17315,6.3,22737,6.8,26105,6.1,50054,6.2
42,"3","選択的支出",25544,7.6,-1.7,4523,4.2,9732,5.7,14970,6.7,21345,7.8,25959,7.7,33728,7.8,68543,8.5
