1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
47,2,1,理髪料,375,0.1,-1.1,292,0.1,142,0.1,451,0.1,212,0.1,199,0.1,674,0.1,652,0.1
48,2,1,パーマネント代,216,0.1,-28.5,333,0.1,140,0.1,-,-,615,0.2,77,0.0,361,0.1,-,-
49,2,1,洗濯代,839,0.2,67.5,683,0.3,159,0.1,689,0.2,463,0.1,1296,0.3,1950,0.4,626,0.1
50,2,1,新聞,1356,0.4,3.0,1684,0.7,893,0.3,1809,0.5,708,0.2,951,0.2,1596,0.3,1848,0.3
51,2,1,私立小学校,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,2,1,私立中学校,53,0.0,...,62,0.0,-,-,-,-,312,0.1,-,-,-,-,-,-
53,2,1,私立高校,65,0.0,-98.0,-,-,-,-,131,0.0,-,-,-,-,-,-,323,0.1
54,2,1,私立大学,16445,4.3,187.7,11138,4.4,-,-,-,-,778,0.2,2772,0.7,50789,10.2,49493,8.8
55,2,1,幼児教育費用,1301,0.3,-14.1,32,0.0,2218,0.8,2081,0.6,1107,0.3,1606,0.4,1265,0.3,753,0.1
56,2,1,民営家賃,15102,4.0,-6.6,10065,3.9,14552,5.4,15878,4.6,15332,4.5,17949,4.7,17540,3.5,14248,2.5
57,2,1,地代,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
