1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","",""
17,"1","5","0","0","0","定期収入",445111,61.8,666432,71.3,584951,60.9,463751,62.4,450011,60.6,297831,60.0
18,"1","5","0","0","0","臨時収入",4251,0.6,7357,0.8,5582,0.6,4059,0.5,4452,0.6,3237,0.7
19,"1","5","0","0","0","賞与",91473,12.7,127039,13.6,114833,11.9,102868,13.8,94187,12.7,37700,7.6
20,"1","4","0","0","0","世帯主の配偶者の収入",106199,14.7,106133,11.4,145213,15.1,107038,14.4,133047,17.9,57725,11.6
21,"1","6","0","0","0","うち女",100166,13.9,106133,11.4,132470,13.8,102183,13.7,122847,16.5,54654,11.0
22,"1","4","0","0","0","他の世帯員収入",13796,1.9,3761,0.4,20641,2.1,10534,1.4,10320,1.4,24330,4.9
23,"1","3","0","0","0","事業・内職収入",11030,1.5,-,-,23685,2.5,9028,1.2,12752,1.7,10009,2.0
24,"1","4","0","0","0","家賃収入",3878,0.5,-,-,8703,0.9,2871,0.4,2893,0.4,6642,1.3
25,"1","4","0","0","0","他の事業収入",5430,0.8,-,-,13903,1.4,4146,0.6,7761,1.0,2171,0.4
26,"1","4","0","0","0","内職収入",1723,0.2,-,-,1079,0.1,2011,0.3,2098,0.3,1196,0.2
27,"1","3","0","0","0","他の経常収入",32939,4.6,17693,1.9,45867,4.8,27586,3.7,20109,2.7,57072,11.5
28,"1","4","0","0","0","財産収入",2081,0.3,0,0.0,4176,0.4,2418,0.3,1424,0.2,701,0.1
29,"1","4","0","0","0","社会保障給付",30576,4.2,17612,1.9,41691,4.3,24742,3.3,18589,2.5,56150,11.3
30,"1","5","0","0","0","公的年金給付",21290,3.0,4764,0.5,31400,3.3,15734,2.1,9358,1.3,46477,9.4
31,"1","5","0","0","0","他の社会保障給付",9285,1.3,12848,1.4,10292,1.1,9008,1.2,9232,1.2,9674,1.9
32,"1","4","0","0","0","仕送り金",282,0.0,81,0.0,-,-,427,0.1,95,0.0,221,0.0
33,"1","2","0","0","0","特別収入",15785,2.2,6650,0.7,20174,2.1,18753,2.5,17646,2.4,8472,1.7
34,"1","3","0","0","0","受贈金",3192,0.4,919,0.1,2314,0.2,3467,0.5,4683,0.6,2417,0.5
35,"1","3","0","0","0","他の特別収入",12593,1.7,5732,0.6,17861,1.9,15286,2.1,12962,1.7,6055,1.2
36,"1","1","0","0","0","実収入以外の受取(繰入金を除く)",537761,-,605102,-,774059,-,530549,-,568044,-,409490,-
37,"1","2","0","0","0","預貯金引出",386663,-,430882,-,551437,-,376524,-,407908,-,314814,-
38,"1","2","0","0","0","保険金",6932,-,-,-,9761,-,8334,-,2809,-,6795,-
39,"1","3","0","0","0","個人・企業年金保険金",4919,-,-,-,7287,-,5409,-,1647,-,6077,-
40,"1","3","0","0","0","他の保険金",2013,-,-,-,2474,-,2925,-,1162,-,718,-
41,"1","2","0","0","0","有価証券売却",205,-,-,-,2372,-,-,-,-,-,-,-
42,"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-,-,-
43,"1","2","0","0","0","他の借入金",297,-,442,-,-,-,-,-,1292,-,117,-
44,"1","2","0","0","0","クレジット購入借入金",143141,-,173746,-,207469,-,145231,-,155857,-,87631,-
45,"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-,-,-
46,"1","2","0","0","0","実収入以外の受取のその他",525,-,32,-,3020,-,459,-,180,-,133,-
47,"1","1","0","0","0","繰入金",341260,-,445029,-,459707,-,329046,-,410347,-,176527,-
48,"2","0","0","0","0","支払",1599605,-,1985195,-,2194713,-,1603212,-,1720915,-,1082393,-
49,"2","1","0","0","0","実支出",516519,-,658628,-,700549,-,527727,-,527675,-,363451,-
50,"2","2","0","0","0","生計支出",372088,-,435614,-,480729,-,375768,-,381684,-,287739,-
51,"2","3","0","0","0","消費支出",363224,100.0,435614,100.0,480729,100.0,365225,100.0,366093,100.0,287739,100.0
52,"2","4","1","0","0","食料",100628,27.7,116053,26.6,124097,25.8,101690,27.8,98073,26.8,86365,30.0
53,"2","5","1","1","0","穀類",7277,2.0,8153,1.9,8428,1.8,6986,1.9,7319,2.0,7399,2.6
54,"2","6","1","1","1","米類",1612,0.4,2337,0.5,1668,0.3,1513,0.4,1571,0.4,1755,0.6
55,"2","6","1","1","2","パン",3307,0.9,3551,0.8,3959,0.8,3133,0.9,3399,0.9,3384,1.2
56,"2","6","1","1","3","麺類",1783,0.5,1541,0.4,2048,0.4,1780,0.5,1777,0.5,1738,0.6
57,"2","6","1","1","4","他の穀類",575,0.2,724,0.2,753,0.2,560,0.2,572,0.2,522,0.2
58,"2","5","1","2","0","魚介類",5652,1.6,7113,1.6,7364,1.5,5686,1.6,4786,1.3,5276,1.8
59,"2","6","1","2","1","生鮮魚介",3199,0.9,4073,0.9,4270,0.9,3269,0.9,2590,0.7,2902,1.0
60,"2","6","1","2","2","塩干魚介",1001,0.3,1296,0.3,1218,0.3,992,0.3,892,0.2,956,0.3
61,"2","6","1","2","3","魚肉練製品",575,0.2,807,0.2,626,0.1,563,0.2,512,0.1,609,0.2
62,"2","6","1","2","4","他の魚介加工品",878,0.2,937,0.2,1250,0.3,861,0.2,791,0.2,810,0.3
63,"2","5","1","3","0","肉類",9447,2.6,11453,2.6,12484,2.6,9221,2.5,8839,2.4,8888,3.1
64,"2","6","1","3","1","生鮮肉",7769,2.1,9701,2.2,10345,2.2,7576,2.1,7191,2.0,7311,2.5
65,"2","6","1","3","2","加工肉",1678,0.5,1753,0.4,2139,0.4,1645,0.5,1648,0.5,1578,0.5
66,"2","5","1","4","0","乳卵類",4958,1.4,6138,1.4,6004,1.2,4898,1.3,5010,1.4,4360,1.5
67,"2","6","1","4","1","牛乳",1454,0.4,1342,0.3,1930,0.4,1372,0.4,1451,0.4,1456,0.5
68,"2","6","1","4","2","乳製品",2451,0.7,3674,0.8,2843,0.6,2463,0.7,2553,0.7,1918,0.7
69,"2","6","1","4","3","卵",1053,0.3,1122,0.3,1231,0.3,1063,0.3,1007,0.3,986,0.3
70,"2","5","1","5","0","野菜・海藻",9777,2.7,13365,3.1,12249,2.5,9615,2.6,9330,2.5,8895,3.1
71,"2","6","1","5","1","生鮮野菜",6923,1.9,9599,2.2,8821,1.8,6804,1.9,6658,1.8,6162,2.1
72,"2","6","1","5","2","乾物・海藻",687,0.2,901,0.2,918,0.2,665,0.2,686,0.2,603,0.2
73,"2","6","1","5","3","大豆加工品",1092,0.3,1598,0.4,1330,0.3,1091,0.3,1029,0.3,970,0.3
74,"2","6","1","5","4","他の野菜・海藻加工品",1075,0.3,1268,0.3,1180,0.2,1054,0.3,958,0.3,1160,0.4
75,"2","5","1","6","0","果物",3218,0.9,5139,1.2,3758,0.8,3195,0.9,2951,0.8,3048,1.1
76,"2","6","1","6","1","生鮮果物",2841,0.8,4447,1.0,3321,0.7,2827,0.8,2555,0.7,2737,1.0
77,"2","6","1","6","2","果物加工品",377,0.1,693,0.2,437,0.1,367,0.1,396,0.1,311,0.1
78,"2","5","1","7","0","油脂・調味料",4327,1.2,5796,1.3,5254,1.1,4257,1.2,4165,1.1,4026,1.4
79,"2","6","1","7","1","油脂",441,0.1,664,0.2,622,0.1,425,0.1,396,0.1,421,0.1
80,"2","6","1","7","2","調味料",3886,1.1,5132,1.2,4632,1.0,3832,1.0,3769,1.0,3605,1.3
81,"2","5","1","8","0","菓子類",8687,2.4,9693,2.2,10408,2.2,8321,2.3,9395,2.6,8124,2.8
82,"2","5","1","9","0","調理食品",14700,4.0,13521,3.1,18450,3.8,14589,4.0,15098,4.1,12997,4.5
83,"2","6","1","9","1","主食的調理食品",6548,1.8,5641,1.3,7974,1.7,6476,1.8,6963,1.9,5860,2.0
84,"2","6","1","9","2","他の調理食品",8152,2.2,7881,1.8,10476,2.2,8113,2.2,8135,2.2,7137,2.5
85,"2","5","1","10","0","飲料",6155,1.7,8167,1.9,7489,1.6,5963,1.6,6386,1.7,5458,1.9
86,"2","6","1","10","1","茶類",1283,0.4,1494,0.3,1113,0.2,1232,0.3,1437,0.4,1293,0.4
87,"2","6","1","10","2","コーヒー・ココア",1275,0.4,1518,0.3,1712,0.4,1253,0.3,1261,0.3,1123,0.4
88,"2","6","1","10","3","他の飲料",3597,1.0,5155,1.2,4665,1.0,3477,1.0,3687,1.0,3043,1.1
89,"2","5","1","11","0","酒類",4141,1.1,3439,0.8,3367,0.7,4518,1.2,3703,1.0,3671,1.3
90,"2","5","1","12","0","外食",22289,6.1,24076,5.5,28843,6.0,24442,6.7,21092,5.8,14223,4.9
91,"2","6","1","12","1","一般外食",21382,5.9,23882,5.5,27680,5.8,23425,6.4,20005,5.5,13734,4.8
92,"2","6","1","12","2","学校給食",907,0.2,194,0.0,1163,0.2,1016,0.3,1087,0.3,490,0.2
93,"2","4","2","0","0","住居",28035,7.7,25373,5.8,28640,6.0,25207,6.9,34387,9.4,27551,9.6
94,"2","5","2","1","0","家賃地代",18127,5.0,8473,1.9,13137,2.7,18515,5.1,19684,5.4,19174,6.7
95,"2","5","2","2","0","設備修繕・維持",9908,2.7,16900,3.9,15502,3.2,6692,1.8,14702,4.0,8378,2.9
96,"2","6","2","2","1","設備材料",4642,1.3,13092,3.0,12974,2.7,1880,0.5,10080,2.8,650,0.2
97,"2","6","2","2","2","工事その他のサービス",5266,1.4,3808,0.9,2529,0.5,4812,1.3,4622,1.3,7727,2.7
98,"2","4","3","0","0","光熱・水道",22587,6.2,22144,5.1,25265,5.3,22748,6.2,21482,5.9,21934,7.6
99,"2","5","3","1","0","電気代",11124,3.1,11050,2.5,12522,2.6,11159,3.1,10815,3.0,10638,3.7
100,"2","5","3","2","0","ガス代",6257,1.7,6000,1.4,6513,1.4,6340,1.7,6069,1.7,6075,2.1
101,"2","5","3","3","0","他の光熱",172,0.0,113,0.0,176,0.0,146,0.0,207,0.1,199,0.1
102,"2","5","3","4","0","上下水道料",5035,1.4,4980,1.1,6054,1.3,5102,1.4,4391,1.2,5023,1.7
103,"2","4","4","0","0","家具・家事用品",14323,3.9,12963,3.0,13559,2.8,14974,4.1,15411,4.2,11790,4.1
104,"2","5","4","1","0","家庭用耐久財",5305,1.5,3176,0.7,3455,0.7,6022,1.6,5191,1.4,4321,1.5
105,"2","6","4","1","1","家事用耐久財",2615,0.7,1884,0.4,1706,0.4,2476,0.7,2950,0.8,3019,1.0
106,"2","6","4","1","2","冷暖房用器具",1783,0.5,236,0.1,1162,0.2,2442,0.7,1199,0.3,1010,0.4
107,"2","6","4","1","3","一般家具",907,0.2,1057,0.2,587,0.1,1104,0.3,1042,0.3,292,0.1
108,"2","5","4","2","0","室内装備・装飾品",654,0.2,767,0.2,452,0.1,563,0.2,932,0.3,667,0.2
109,"2","5","4","3","0","寝具類",1101,0.3,704,0.2,1133,0.2,1095,0.3,1713,0.5,502,0.2
110,"2","5","4","4","0","家事雑貨",2826,0.8,2400,0.6,3334,0.7,2882,0.8,3139,0.9,2363,0.8
111,"2","5","4","5","0","家事用消耗品",3755,1.0,4318,1.0,4172,0.9,3731,1.0,3868,1.1,3448,1.2
112,"2","5","4","6","0","家事サービス",681,0.2,1597,0.4,1014,0.2,682,0.2,568,0.2,488,0.2
113,"2","4","5","0","0","被服及び履物",13281,3.7,19846,4.6,17417,3.6,14167,3.9,12787,3.5,8711,3.0
114,"2","5","5","1","0","和服",47,0.0,-,-,331,0.1,21,0.0,62,0.0,5,0.0
115,"2","5","5","2","0","洋服",5794,1.6,10318,2.4,6430,1.3,6378,1.7,5410,1.5,3602,1.3
116,"2","6","5","2","1","男子用洋服",2154,0.6,5463,1.3,2001,0.4,2546,0.7,1495,0.4,1276,0.4
117,"2","6","5","2","2","婦人用洋服",2927,0.8,4004,0.9,3477,0.7,3085,0.8,3033,0.8,1942,0.7
118,"2","6","5","2","3","子供用洋服",713,0.2,852,0.2,951,0.2,748,0.2,882,0.2,384,0.1
119,"2","5","5","3","0","シャツ・セーター類",2550,0.7,3998,0.9,3597,0.7,2540,0.7,2706,0.7,1752,0.6
120,"2","6","5","3","1","男子用シャツ・セーター類",972,0.3,1663,0.4,1136,0.2,1102,0.3,794,0.2,603,0.2
121,"2","6","5","3","2","婦人用シャツ・セーター類",1366,0.4,2287,0.5,2235,0.5,1248,0.3,1625,0.4,900,0.3
122,"2","6","5","3","3","子供用シャツ・セーター類",212,0.1,48,0.0,226,0.0,190,0.1,288,0.1,250,0.1
123,"2","5","5","4","0","下着類",1113,0.3,1608,0.4,1491,0.3,1095,0.3,1124,0.3,891,0.3
124,"2","6","5","4","1","男子用下着類",285,0.1,689,0.2,275,0.1,280,0.1,266,0.1,253,0.1
125,"2","6","5","4","2","婦人用下着類",670,0.2,815,0.2,951,0.2,664,0.2,656,0.2,531,0.2
126,"2","6","5","4","3","子供用下着類",158,0.0,104,0.0,265,0.1,151,0.0,202,0.1,108,0.0
127,"2","5","5","5","0","生地・糸類",82,0.0,53,0.0,167,0.0,84,0.0,64,0.0,72,0.0
128,"2","5","5","6","0","他の被服",937,0.3,1016,0.2,1131,0.2,966,0.3,989,0.3,727,0.3
129,"2","5","5","7","0","履物類",1986,0.5,1785,0.4,2691,0.6,2181,0.6,1876,0.5,1381,0.5
130,"2","5","5","8","0","被服関連サービス",772,0.2,1068,0.2,1579,0.3,902,0.2,556,0.2,279,0.1
131,"2","4","6","0","0","保健医療",15279,4.2,22837,5.2,20101,4.2,15100,4.1,16808,4.6,10072,3.5
132,"2","5","6","1","0","医薬品",2406,0.7,3821,0.9,2444,0.5,2424,0.7,2500,0.7,2032,0.7
133,"2","5","6","2","0","健康保持用摂取品",897,0.2,3575,0.8,635,0.1,831,0.2,829,0.2,747,0.3
134,"2","5","6","3","0","保健医療用品・器具",3237,0.9,4599,1.1,3917,0.8,3160,0.9,3932,1.1,2262,0.8
135,"2","5","6","4","0","保健医療サービス",8739,2.4,10842,2.5,13104,2.7,8686,2.4,9548,2.6,5031,1.7
136,"2","4","7","0","0","交通・通信",40825,11.2,46377,10.6,43083,9.0,40371,11.1,44728,12.2,36171,12.6
137,"2","5","7","1","0","交通",12062,3.3,11804,2.7,14142,2.9,13910,3.8,11751,3.2,6390,2.2
138,"2","5","7","2","0","自動車等関係費",15741,4.3,15879,3.6,12976,2.7,13835,3.8,20920,5.7,16755,5.8
139,"2","6","7","2","1","自動車等購入",3447,0.9,-,-,-,-,1781,0.5,8097,2.2,6080,2.1
140,"2","6","7","2","2","自転車購入",705,0.2,370,0.1,733,0.2,759,0.2,858,0.2,451,0.2
141,"2","6","7","2","3","自動車等維持",11588,3.2,15509,3.6,12243,2.5,11294,3.1,11965,3.3,10223,3.6
142,"2","5","7","3","0","通信",13023,3.6,18695,4.3,15966,3.3,12626,3.5,12058,3.3,13026,4.5
143,"2","4","8","0","0","教育",32066,8.8,45972,10.6,79721,16.6,32375,8.9,22181,6.1,17877,6.2
144,"2","5","8","1","0","授業料等",24187,6.7,38887,8.9,56967,11.9,25457,7.0,15226,4.2,14341,5.0
145,"2","5","8","2","0","教科書・学習参考教材",389,0.1,1448,0.3,447,0.1,369,0.1,421,0.1,173,0.1
146,"2","5","8","3","0","補習教育",7489,2.1,5638,1.3,22307,4.6,6549,1.8,6535,1.8,3363,1.2
147,"2","4","9","0","0","教養娯楽",43328,11.9,60872,14.0,53297,11.1,45327,12.4,47659,13.0,26686,9.3
148,"2","5","9","1","0","教養娯楽用耐久財",4266,1.2,1826,0.4,6221,1.3,3999,1.1,6992,1.9,1535,0.5
149,"2","5","9","2","0","教養娯楽用品",9536,2.6,12805,2.9,11209,2.3,8960,2.5,12095,3.3,7419,2.6
150,"2","5","9","3","0","書籍・他の印刷物",3061,0.8,4261,1.0,4593,1.0,3068,0.8,2899,0.8,2306,0.8
151,"2","5","9","4","0","教養娯楽サービス",26466,7.3,41980,9.6,31275,6.5,29300,8.0,25673,7.0,15425,5.4
152,"2","6","9","4","1","宿泊料",4146,1.1,3306,0.8,6826,1.4,4317,1.2,3667,1.0,2593,0.9
153,"2","6","9","4","2","パック旅行費",4064,1.1,13274,3.0,1438,0.3,5265,1.4,3446,0.9,1662,0.6
154,"2","6","9","4","3","月謝類",5339,1.5,4564,1.0,7963,1.7,6185,1.7,5561,1.5,2054,0.7
155,"2","6","9","4","4","他の教養娯楽サービス",12917,3.6,20835,4.8,15049,3.1,13533,3.7,13000,3.6,9117,3.2
156,"2","4","10","0","0","その他の消費支出",52872,14.6,63178,14.5,75549,15.7,53267,14.6,52577,14.4,40583,14.1
157,"2","5","10","1","0","諸雑費",27699,7.6,30984,7.1,35477,7.4,28327,7.8,28031,7.7,21475,7.5
158,"2","6","10","1","1","理美容サービス",4072,1.1,3794,0.9,4465,0.9,4660,1.3,3607,1.0,2809,1.0
159,"2","6","10","1","2","理美容用品",5936,1.6,8953,2.1,8574,1.8,5962,1.6,6236,1.7,3779,1.3
160,"2","6","10","1","3","身の回り用品",2676,0.7,2168,0.5,3756,0.8,3043,0.8,2779,0.8,1371,0.5
161,"2","6","10","1","4","たばこ",1110,0.3,793,0.2,320,0.1,898,0.2,893,0.2,2340,0.8
162,"2","6","10","1","5","他の諸雑費",13905,3.8,15275,3.5,18363,3.8,13764,3.8,14517,4.0,11176,3.9
163,"2","5","10","2","0","こづかい",6128,1.7,14163,3.3,7573,1.6,5387,1.5,7475,2.0,5263,1.8
164,"2","5","10","3","0","交際費",15445,4.3,17856,4.1,28775,6.0,14536,4.0,13320,3.6,13791,4.8
165,"2","6","10","3","0","食料",4158,1.1,6896,1.6,7760,1.6,3610,1.0,3479,1.0,4296,1.5
166,"2","6","10","3","0","家具・家事用品",197,0.1,160,0.0,285,0.1,231,0.1,203,0.1,64,0.0
167,"2","6","10","3","0","被服及び履物",299,0.1,1323,0.3,489,0.1,214,0.1,393,0.1,176,0.1
168,"2","6","10","3","0","教養娯楽",1167,0.3,1926,0.4,2647,0.6,885,0.2,1701,0.5,572,0.2
169,"2","6","10","3","0","他の物品サービス",369,0.1,558,0.1,1006,0.2,301,0.1,380,0.1,235,0.1
170,"2","6","10","3","6","贈与金",4527,1.2,4055,0.9,9738,2.0,4639,1.3,2917,0.8,3847,1.3
171,"2","6","10","3","7","他の交際費",4727,1.3,2939,0.7,6849,1.4,4658,1.3,4246,1.2,4604,1.6
172,"2","5","10","4","0","仕送り金",3600,1.0,175,0.0,3724,0.8,5017,1.4,3751,1.0,54,0.0
173,"2","3","0","0","0","土地家屋購入",8865,-,-,-,-,-,10543,-,15591,-,-,-
174,"2","3","0","0","0","（再掲）教育関係費",35958,9.9,48820,11.2,85130,17.7,36846,10.1,26331,7.2,19413,6.7
175,"2","3","0","0","0","（再掲）教養娯楽関係費",50572,13.9,68945,15.8,61267,12.7,53695,14.7,54887,15.0,30329,10.5
176,"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",8128,2.2,4230,1.0,13462,2.8,9655,2.6,6669,1.8,3901,1.4
177,"2","3","0","0","0","（再掲）経常消費支出",250229,68.9,290231,66.6,304807,63.4,250504,68.6,248943,68.0,218730,76.0
178,"2","3","0","0","0","（再掲）情報通信関係費",16445,4.5,22858,5.2,18931,3.9,15977,4.4,15446,4.2,16702,5.8
179,"2","3","0","0","0","（再掲）消費支出（除く住居等）　１）",323614,89.1,406010,93.2,438627,91.2,328582,90.0,316942,86.6,250207,87.0
180,"2","2","0","0","0","その他の実支出",144431,-,223015,-,219820,-,151959,-,145991,-,75712,-
181,"2","3","0","0","0","直接税",68266,-,129563,-,117345,-,73126,-,65046,-,26559,-
182,"2","4","0","0","0","勤労所得税",32584,-,71140,-,61166,-,35690,-,29236,-,8898,-
183,"2","4","0","0","0","個人住民税",27623,-,51112,-,42906,-,30339,-,25788,-,11777,-
184,"2","4","0","0","0","他の税",8058,-,7311,-,13273,-,7097,-,10021,-,5884,-
185,"2","3","0","0","0","社会保険料",75828,-,93393,-,102476,-,78178,-,80877,-,49117,-
186,"2","4","0","0","0","公的年金保険料",44655,-,52806,-,59795,-,46729,-,47992,-,27735,-
187,"2","4","0","0","0","健康保険料",24035,-,30132,-,33199,-,24128,-,25727,-,16555,-
188,"2","4","0","0","0","介護保険料",4425,-,6717,-,6599,-,4411,-,4178,-,3189,-
189,"2","4","0","0","0","他の社会保険料",2714,-,3738,-,2882,-,2910,-,2980,-,1639,-
190,"2","3","0","0","0","その他",336,-,59,-,-,-,656,-,69,-,35,-
191,"2","1","0","0","0","実支出以外の支払(繰越金を除く)",773375,-,957385,-,1067373,-,770663,-,825091,-,569039,-
192,"2","2","0","0","0","預貯金",560373,-,654738,-,753454,-,571841,-,571427,-,420835,-
193,"2","2","0","0","0","保険料",26315,-,72251,-,22717,-,22679,-,34362,-,18954,-
194,"2","3","0","0","0","個人・企業年金保険料",7797,-,43614,-,7932,-,6332,-,9398,-,2336,-
195,"2","3","0","0","0","他の保険料",18518,-,28637,-,14785,-,16347,-,24964,-,16618,-
196,"2","2","0","0","0","有価証券購入",5043,-,4643,-,4961,-,4723,-,6625,-,4861,-
197,"2","2","0","0","0","土地家屋借金返済",53074,-,60028,-,65454,-,49313,-,72220,-,36804,-
198,"2","2","0","0","0","他の借金返済",1964,-,9821,-,4103,-,1423,-,885,-,2063,-
199,"2","2","0","0","0","クレジット購入借入金返済",125774,-,155757,-,213481,-,119731,-,139230,-,85284,-
200,"2","2","0","0","0","実支出以外の支払のその他",832,-,147,-,3202,-,951,-,342,-,238,-
201,"2","1","0","0","0","繰越金",309712,-,369182,-,426791,-,304822,-,368149,-,149903,-
202,"3","0","0","0","0","可処分所得",576153,-,712050,-,741126,-,591658,-,596532,-,420664,-
203,"3","0","0","0","0","黒字",212930,-,276436,-,260397,-,226433,-,230439,-,132925,-
204,"3","1","0","0","0","金融資産純増",197932,-,300750,-,217563,-,214385,-,201698,-,123041,-
205,"3","3","0","0","0","貯蓄純増",193093,-,296108,-,214973,-,209661,-,195073,-,118180,-
206,"3","4","0","0","0","預貯金純増",173710,-,223857,-,202018,-,195317,-,163520,-,106021,-
207,"3","4","0","0","0","保険純増",19383,-,72251,-,12956,-,14345,-,31554,-,12158,-
208,"3","3","0","0","0","有価証券純購入",4838,-,4643,-,2589,-,4723,-,6625,-,4861,-
209,"3","1","0","0","0","土地家屋借金純減",53074,-,60028,-,65454,-,49313,-,72220,-,36804,-
210,"3","1","0","0","0","他の借金純減",1667,-,9379,-,4103,-,1423,-,-407,-,1946,-
211,"3","1","0","0","0","クレジット購入借入金純減",-17367,-,-17990,-,6012,-,-25500,-,-16626,-,-2347,-
212,"3","1","0","0","0","土地家屋純増",8865,-,-,-,-,-,10543,-,15591,-,-,-
213,"3","1","0","0","0","その他の純増",308,-,115,-,182,-,492,-,162,-,105,-
214,"3","1","0","0","0","繰越純増",-31548,-,-75847,-,-32916,-,-24224,-,-42199,-,-26624,-
