1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
15,1,1,学校給食,919,0.3,-50.2,1024,0.5,609,0.2,1369,0.5,811,0.2,371,0.1,1241,0.3,991,0.2
16,1,1,公営家賃,1074,0.3,-63.7,922,0.4,1710,0.6,2124,0.7,2146,0.7,603,0.1,-,-,-,-
17,1,1,電気代,8576,2.5,2.5,7729,3.7,8394,3.1,9317,3.1,7247,2.2,9672,2.4,8393,2.2,9291,2.0
18,1,1,都市ガス,5411,1.6,2.4,4645,2.2,5669,2.1,5804,2.0,5121,1.6,5196,1.3,5936,1.6,5484,1.2
19,1,1,上下水道料,5070,1.5,-9.8,6030,2.9,6000,2.2,4223,1.4,4628,1.4,3993,1.0,5182,1.4,5456,1.1
20,1,1,医科診療代,3411,1.0,-5.9,1949,0.9,2794,1.0,3749,1.3,2090,0.6,3559,0.9,1979,0.5,7760,1.6
21,1,1,歯科診療代,1734,0.5,-47.0,1347,0.6,1757,0.6,1700,0.6,1315,0.4,1064,0.3,801,0.2,4159,0.9
22,1,1,出産入院料,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,3111,0.9,322.1,-,-,2686,1.0,624,0.2,7846,2.4,-,-,4742,1.3,5731,1.2
24,1,1,鉄道運賃,3945,1.2,48.3,1505,0.7,519,0.2,2861,1.0,5030,1.5,5322,1.3,7805,2.1,4457,0.9
25,1,1,鉄道通学定期代,16,0.0,-95.2,-,-,-,-,-,-,-,-,-,-,-,-,113,0.0
26,1,1,鉄道通勤定期代,1428,0.4,-39.9,612,0.3,4835,1.8,1343,0.5,1428,0.4,958,0.2,444,0.1,426,0.1
27,1,1,バス代,416,0.1,128.6,166,0.1,5,0.0,221,0.1,643,0.2,838,0.2,280,0.1,754,0.2
28,1,1,バス通学定期代,25,0.0,-60.3,-,-,175,0.1,-,-,-,-,-,-,-,-,-,-
29,1,1,バス通勤定期代,25,0.0,-39.0,-,-,-,-,-,-,-,-,-,-,86,0.0,87,0.0
30,1,1,タクシー代,606,0.2,82.5,158,0.1,178,0.1,-,-,631,0.2,512,0.1,1303,0.3,1440,0.3
31,1,1,航空運賃,968,0.3,-74.8,2108,1.0,-,-,2037,0.7,46,0.0,1567,0.4,-,-,1044,0.2
32,1,1,郵便料,62,0.0,-56.3,67,0.0,21,0.0,42,0.0,66,0.0,44,0.0,75,0.0,121,0.0
33,1,1,固定電話通信料,838,0.2,-10.1,596,0.3,780,0.3,1178,0.4,596,0.2,1048,0.3,597,0.2,1073,0.2
34,1,1,携帯電話通信料,10050,3.0,11.2,6950,3.3,16105,5.9,10032,3.4,7021,2.1,9863,2.4,7574,2.0,12921,2.7
35,1,1,ＮＨＫ放送受信料,1150,0.3,-8.0,709,0.3,1542,0.6,1614,0.5,1229,0.4,653,0.2,1524,0.4,759,0.2
36,1,1,ケーブルテレビ放送受信料,1097,0.3,15.5,388,0.2,1594,0.6,924,0.3,1065,0.3,1419,0.3,1014,0.3,1278,0.3
37,1,1,他の放送受信料,59,0.0,-70.5,93,0.0,72,0.0,31,0.0,4,0.0,99,0.0,49,0.0,66,0.0
38,1,1,国公立小学校,677,0.2,-36.0,477,0.2,542,0.2,917,0.3,599,0.2,1047,0.3,958,0.3,193,0.0
39,1,1,国公立中学校,1443,0.4,110.3,651,0.3,-,-,803,0.3,286,0.1,377,0.1,1695,0.5,6258,1.3
40,1,1,国公立高校,876,0.3,-7.1,1489,0.7,172,0.1,1553,0.5,-,-,345,0.1,558,0.1,2012,0.4
41,1,1,国公立大学,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,1,たばこ,1356,0.4,21.8,1133,0.5,669,0.2,2443,0.8,659,0.2,1448,0.4,1644,0.4,1473,0.3
43,2,0,準公共料金等,36383,10.7,32.7,9548,4.6,22285,8.1,22338,7.5,33527,10.2,52848,12.9,53378,14.2,60405,12.7
44,2,1,牛乳,1370,0.4,7.1,1380,0.7,1268,0.5,2026,0.7,1322,0.4,1123,0.3,1179,0.3,1284,0.3
45,2,1,灯油,23,0.0,228.6,-,-,-,-,114,0.0,-,-,-,-,-,-,42,0.0
46,2,1,プロパンガス,266,0.1,-51.9,154,0.1,268,0.1,328,0.1,620,0.2,73,0.0,124,0.0,290,0.1
47,2,1,理髪料,413,0.1,-0.5,575,0.3,254,0.1,321,0.1,245,0.1,301,0.1,171,0.0,1031,0.2
48,2,1,パーマネント代,286,0.1,134.4,321,0.2,-,-,366,0.1,275,0.1,-,-,-,-,1034,0.2
49,2,1,洗濯代,684,0.2,-3.4,524,0.3,362,0.1,537,0.2,555,0.2,425,0.1,677,0.2,1699,0.4
50,2,1,新聞,1541,0.5,13.7,1026,0.5,1063,0.4,1653,0.6,1328,0.4,1727,0.4,1988,0.5,1984,0.4
51,2,1,私立小学校,924,0.3,546.2,-,-,-,-,-,-,-,-,-,-,613,0.2,5842,1.2
52,2,1,私立中学校,1042,0.3,41.0,-,-,-,-,-,-,5648,1.7,-,-,346,0.1,1215,0.3
53,2,1,私立高校,4571,1.3,41.6,-,-,3044,1.1,-,-,-,-,28809,7.0,-,-,607,0.1
54,2,1,私立大学,7990,2.4,91.7,-,-,-,-,-,-,-,-,-,-,16359,4.4,39311,8.3
55,2,1,幼児教育費用,1769,0.5,61.3,-,-,4017,1.5,3516,1.2,2489,0.8,1758,0.4,598,0.2,-,-
56,2,1,民営家賃,15481,4.6,16.1,5568,2.7,11841,4.3,13478,4.5,21046,6.4,18634,4.5,31323,8.4,6065,1.3
57,2,1,地代,24,0.0,-91.2,-,-,167,0.1,-,-,-,-,-,-,-,-,-,-
