1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","","",""
18,"1","1","都市ガス",5946,1.8,-0.5,3247,3.0,4947,2.9,5720,2.6,6538,2.4,6687,2.0,7084,1.6,7059,0.9
19,"1","1","上下水道料",5034,1.5,-0.7,2496,2.3,4403,2.6,4811,2.2,5496,2.0,5650,1.7,5699,1.3,6655,0.8
20,"1","1","医科診療代",4149,1.2,-1.2,1370,1.3,2397,1.4,3110,1.4,4279,1.6,4430,1.3,5465,1.3,7981,1.0
21,"1","1","歯科診療代",2184,0.7,-16.1,484,0.5,690,0.4,1275,0.6,1615,0.6,1855,0.6,2416,0.6,7101,0.9
22,"1","1","出産入院料",78,0.0,-11.4,-,-,-,-,-,-,-,-,11,0.0,160,0.0,395,0.0
23,"1","1","他の入院料",1767,0.5,34.3,85,0.1,558,0.3,367,0.2,661,0.2,891,0.3,3125,0.7,6680,0.8
24,"1","1","鉄道運賃",3758,1.1,28.0,441,0.4,1375,0.8,2040,0.9,3152,1.2,4101,1.2,6707,1.6,8493,1.1
25,"1","1","鉄道通学定期代",426,0.1,-7.0,57,0.1,82,0.0,120,0.1,230,0.1,355,0.1,458,0.1,1695,0.2
26,"1","1","鉄道通勤定期代",1727,0.5,8.7,53,0.0,361,0.2,534,0.2,1032,0.4,2313,0.7,2950,0.7,4882,0.6
27,"1","1","バス代",383,0.1,46.2,66,0.1,115,0.1,237,0.1,327,0.1,484,0.1,628,0.1,826,0.1
28,"1","1","バス通学定期代",76,0.0,43.4,-,-,23,0.0,8,0.0,108,0.0,6,0.0,293,0.1,94,0.0
29,"1","1","バス通勤定期代",127,0.0,19.8,11,0.0,44,0.0,52,0.0,86,0.0,45,0.0,69,0.0,580,0.1
30,"1","1","タクシー代",750,0.2,11.6,317,0.3,328,0.2,535,0.2,610,0.2,742,0.2,1049,0.2,1672,0.2
31,"1","1","航空運賃",1407,0.4,45.1,37,0.0,7,0.0,195,0.1,333,0.1,817,0.2,1447,0.3,7092,0.9
32,"1","1","郵便料",321,0.1,-9.8,95,0.1,165,0.1,230,0.1,306,0.1,353,0.1,427,0.1,672,0.1
33,"1","1","固定電話通信料",1215,0.4,-8.6,721,0.7,1124,0.7,1290,0.6,1388,0.5,1266,0.4,1413,0.3,1296,0.2
34,"1","1","携帯電話通信料",8814,2.6,-2.6,3147,2.9,6013,3.5,8092,3.6,9523,3.5,10570,3.1,12007,2.8,12350,1.5
35,"1","1","ＮＨＫ放送受信料",1179,0.4,-1.6,454,0.4,1090,0.6,1112,0.5,1138,0.4,1447,0.4,1267,0.3,1741,0.2
36,"1","1","ケーブルテレビ放送受信料",1192,0.4,4.5,538,0.5,958,0.6,1193,0.5,1137,0.4,1381,0.4,1529,0.4,1607,0.2
37,"1","1","他の放送受信料",196,0.1,23.3,86,0.1,199,0.1,111,0.1,156,0.1,193,0.1,234,0.1,393,0.0
38,"1","1","国公立小学校",288,0.1,7.5,49,0.0,166,0.1,151,0.1,201,0.1,368,0.1,598,0.1,492,0.1
39,"1","1","国公立中学校",314,0.1,11.0,3,0.0,53,0.0,163,0.1,237,0.1,305,0.1,478,0.1,962,0.1
40,"1","1","国公立高校",369,0.1,38.2,-,-,60,0.0,67,0.0,368,0.1,219,0.1,1053,0.2,842,0.1
41,"1","1","国公立大学",667,0.2,-3.5,-,-,-,-,-,-,19,0.0,25,0.0,464,0.1,4181,0.5
42,"1","1","たばこ",1069,0.3,9.6,529,0.5,718,0.4,997,0.4,1468,0.5,1602,0.5,1148,0.3,1033,0.1
43,"2","0","準公共料金等",31515,9.4,10.0,3689,3.4,9038,5.3,14937,6.7,21023,7.7,23414,7.0,28917,6.7,119396,14.8
44,"2","1","牛乳",1473,0.4,8.1,913,0.9,1333,0.8,1339,0.6,1406,0.5,1620,0.5,1822,0.4,1890,0.2
45,"2","1","灯油",251,0.1,-27.5,181,0.2,216,0.1,279,0.1,288,0.1,309,0.1,256,0.1,197,0.0
46,"2","1","プロパンガス",377,0.1,-16.8,248,0.2,382,0.2,356,0.2,487,0.2,521,0.2,337,0.1,291,0.0
47,"2","1","理髪料",455,0.1,10.4,134,0.1,265,0.2,395,0.2,370,0.1,669,0.2,663,0.2,687,0.1
48,"2","1","パーマネント代",206,0.1,-4.2,95,0.1,187,0.1,181,0.1,271,0.1,225,0.1,234,0.1,251,0.0
49,"2","1","洗濯代",628,0.2,19.2,170,0.2,275,0.2,387,0.2,557,0.2,605,0.2,865,0.2,1538,0.2
50,"2","1","新聞",2131,0.6,-1.1,1194,1.1,1862,1.1,2237,1.0,2205,0.8,2303,0.7,2531,0.6,2584,0.3
51,"2","1","私立小学校",910,0.3,148.6,-,-,-,-,34,0.0,65,0.0,267,0.1,163,0.0,5878,0.7
52,"2","1","私立中学校",1417,0.4,12.1,-,-,-,-,35,0.0,56,0.0,231,0.1,1478,0.3,8057,1.0
53,"2","1","私立高校",2514,0.8,-3.8,-,-,17,0.0,180,0.1,487,0.2,961,0.3,2538,0.6,13277,1.6
54,"2","1","私立大学",8857,2.6,27.9,-,-,-,-,83,0.0,77,0.0,127,0.0,282,0.1,61434,7.6
55,"2","1","幼児教育費用",802,0.2,-9.4,360,0.3,630,0.4,416,0.2,1126,0.4,1132,0.3,665,0.2,1276,0.2
56,"2","1","民営家賃",11031,3.3,3.8,285,0.3,3586,2.1,8742,3.9,13256,4.8,13946,4.2,16030,3.7,21363,2.7
57,"2","1","地代",466,0.1,-7.4,109,0.1,284,0.2,272,0.1,374,0.1,500,0.1,1052,0.2,674,0.1
