1,"東京都生計分析調査　令和 5年 7月","","","","","","","","","","","","","","","","","",""
2,"","","","","","","","","第２表　世帯主年齢階層別１世帯当たり１か月間の品目別生計支出　―　全　世　帯　―","","","","","","","","","",""
3,"","","","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","",""
4,"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年同月増加率（％）","35歳未満（円）","35～39歳（円）","40～44歳（円）","45～49歳（円）","50～54歳（円）","55～59歳（円）","60～64歳（円）","65歳以上（円）","（再掲）75歳以上（円）"
65,"2","7","1","2","3","0","205","かまぼこ",214,-8.5,123,129,136,136,135,230,404,256,261
66,"2","7","1","2","3","0","209","他の魚肉練製品",88,14.3,60,46,38,113,73,82,81,108,71
67,"2","6","1","2","4","0","0","他の魚介加工品",938,-19.3,579,543,521,998,796,800,1008,1181,1019
68,"2","7","1","2","4","0","210","かつお節・削り節",64,0.0,24,51,29,80,43,96,53,73,69
69,"2","7","1","2","4","0","213","魚介の漬物",253,-18.9,28,100,61,116,160,120,246,460,364
70,"2","7","1","2","4","0","215","魚介のつくだ煮",61,-36.5,46,-,15,18,9,16,94,116,115
71,"2","7","1","2","4","0","216","魚介の缶詰",263,-1.9,343,275,113,443,257,325,192,219,220
72,"2","7","1","2","4","0","217","他の魚介加工品のその他",296,-30.4,139,118,303,342,326,243,423,313,251
73,"2","5","1","3","0","0","0","肉類",8701,6.0,5782,9758,9017,10564,9571,9333,10305,7502,6698
74,"2","6","1","3","1","0","0","生鮮肉",6967,8.3,4758,7106,7448,8636,7688,7847,8339,5879,5284
75,"2","7","1","3","1","0","220","牛肉",1747,-0.6,614,1051,1691,1938,2080,1820,2565,1688,1820
76,"2","7","1","3","1","0","221","豚肉",3204,14.8,2219,3762,3366,3817,3246,3619,3438,2843,2394
77,"2","7","1","3","1","0","222","鶏肉",1625,14.1,1503,2055,1996,2286,1796,2068,1898,1047,798
78,"2","7","1","3","1","0","22X","合いびき肉",249,-5.7,284,190,308,387,349,237,251,174,134
79,"2","7","1","3","1","0","224","他の生鮮肉",142,-28.6,137,48,88,209,217,103,188,126,138
80,"2","6","1","3","2","0","0","加工肉",1734,-2.2,1024,2652,1569,1927,1883,1486,1966,1623,1414
81,"2","7","1","3","2","0","225","ハム",541,0.0,242,1205,324,522,398,434,610,568,440
82,"2","7","1","3","2","0","226","ソーセージ",648,-4.1,476,1018,632,820,822,590,684,515,485
83,"2","7","1","3","2","0","227","ベーコン",229,-8.0,134,199,327,222,304,213,210,222,252
84,"2","7","1","3","2","0","229","他の加工肉",316,2.9,171,229,286,363,359,249,461,317,237
85,"2","5","1","4","0","0","0","乳卵類",5019,11.1,2904,5397,5387,4846,5183,5170,5230,5126,4954
86,"2","6","1","4","1","0","230","牛乳",1556,8.9,631,1796,1970,1388,1407,1509,1816,1628,1638
87,"2","6","1","4","2","0","0","乳製品",2359,5.2,1630,2565,2531,2275,2554,2547,2219,2355,2212
88,"2","7","1","4","2","0","231","粉ミルク",116,81.3,311,637,409,173,-,7,-,13,-
89,"2","7","1","4","2","0","232","ヨーグルト",1301,7.7,770,1052,1195,948,1399,1468,1355,1471,1370
90,"2","7","1","4","2","0","233","バター",120,-11.8,50,93,81,104,196,80,84,148,118
91,"2","7","1","4","2","0","234","チーズ",783,2.2,448,700,828,997,926,942,741,696,699
92,"2","7","1","4","2","0","235","他の乳製品",39,-42.6,51,84,19,53,34,51,39,27,25
93,"2","6","1","4","3","0","238","卵",1104,30.5,642,1036,887,1183,1222,1114,1195,1143,1104
94,"2","5","1","5","0","0","0","野菜・海藻",11033,5.9,5281,8235,7734,9742,10986,10632,12481,13208,13005
95,"2","6","1","5","1","0","0","生鮮野菜",7723,3.5,3960,5730,5778,6948,7711,7618,9206,8938,8969
96,"2","7","1","5","1","240-249","0","葉茎菜",2016,1.3,1131,1634,1595,1850,2219,2119,2071,2249,2270
97,"2","7","1","5","1","240-249","240","キャベツ",266,20.4,152,186,192,291,322,336,298,259,273
98,"2","7","1","5","1","240-249","241","ほうれんそう",122,-6.9,86,179,33,118,98,99,95,155,186
99,"2","7","1","5","1","240-249","242","はくさい",38,2.7,22,39,36,30,52,33,33,42,43
100,"2","7","1","5","1","240-249","243","ねぎ",316,1.0,189,282,186,318,366,347,263,354,302
101,"2","7","1","5","1","240-249","244","レタス",268,5.5,177,168,235,253,320,292,263,291,292
102,"2","7","1","5","1","240-249","247","ブロッコリー",237,9.2,138,218,159,268,245,235,215,264,260
103,"2","7","1","5","1","240-249","245","もやし",87,-1.1,65,73,84,91,98,82,101,86,80
104,"2","7","1","5","1","240-249","249","他の葉茎菜",681,-6.7,301,488,670,481,718,693,803,798,836
105,"2","7","1","5","1","250-259,25X","0","根菜",1336,-7.0,760,1074,1143,1171,1361,1339,1486,1516,1481
106,"2","7","1","5","1","250-259,25X","250","さつまいも",66,-5.7,30,25,69,58,80,35,36,93,99
107,"2","7","1","5","1","250-259,25X","251","じゃがいも",174,10.8,160,196,83,182,174,174,214,177,183
108,"2","7","1","5","1","250-259,25X","252","さといも",21,5.0,-,-,20,4,2,11,25,41,59
109,"2","7","1","5","1","250-259,25X","253","だいこん",113,-8.9,42,81,113,89,114,115,107,139,144
110,"2","7","1","5","1","250-259,25X","254","にんじん",205,6.2,141,277,169,183,222,194,230,208,214
111,"2","7","1","5","1","250-259,25X","255","ごぼう",54,12.5,15,13,33,45,45,72,68,67,71
112,"2","7","1","5","1","250-259,25X","256","たまねぎ",282,-29.0,197,299,261,266,340,275,323,276,274
113,"2","7","1","5","1","250-259,25X","258","れんこん",42,27.3,19,16,22,29,36,57,58,52,45
114,"2","7","1","5","1","250-259,25X","25X","たけのこ",49,28.9,10,53,29,51,53,59,46,55,45
115,"2","7","1","5","1","250-259,25X","259","他の根菜",330,-7.6,146,114,344,263,293,348,380,408,347
116,"2","7","1","5","1","260-269,26B,26X","0","他の野菜",4371,8.4,2070,3022,3039,3927,4131,4160,5648,5173,5218
117,"2","7","1","5","1","260-269,26B,26X","260","さやまめ",492,7.0,94,198,186,348,493,425,658,687,597
118,"2","7","1","5","1","260-269,26B,26X","261","かぼちゃ",217,2.8,120,141,155,191,221,182,280,259,303
119,"2","7","1","5","1","260-269,26B,26X","262","きゅうり",439,8.9,176,280,308,408,348,386,460,577,610
120,"2","7","1","5","1","260-269,26B,26X","263","なす",365,12.0,191,268,205,229,299,324,464,489,467
121,"2","7","1","5","1","260-269,26B,26X","264","トマト",1091,6.6,597,676,857,904,861,1061,1300,1367,1529
122,"2","7","1","5","1","260-269,26B,26X","265","ピーマン",300,9.5,181,240,217,269,309,297,385,333,323
123,"2","7","1","5","1","260-269,26B,26X","266","生しいたけ",100,-9.1,51,117,30,86,109,91,190,102,106
124,"2","7","1","5","1","260-269,26B,26X","26B","しめじ",103,12.0,84,131,59,70,107,132,121,106,115
125,"2","7","1","5","1","260-269,26B,26X","26X","えのきたけ",65,16.1,64,61,63,49,113,77,118,43,48
126,"2","7","1","5","1","260-269,26B,26X","267","他のきのこ",199,3.1,108,225,122,113,199,243,275,218,227
127,"2","7","1","5","1","260-269,26B,26X","269","他の野菜のその他",998,12.8,405,685,838,1260,1072,943,1397,991,891
128,"2","6","1","5","2","0","0","乾物・海藻",780,14.0,291,666,442,780,597,685,879,991,846
129,"2","7","1","5","2","0","273","豆類",8,-20.0,-,-,-,-,10,2,-,17,5
130,"2","7","1","5","2","0","274","干ししいたけ",29,141.7,-,-,-,17,-,10,39,60,70
131,"2","7","1","5","2","0","276","干しのり",265,-3.6,131,327,173,298,213,232,281,299,213
132,"2","7","1","5","2","0","277","わかめ",160,25.0,40,91,91,167,80,123,191,227,174
133,"2","7","1","5","2","0","278","こんぶ",56,60.0,7,4,27,30,18,74,3,104,115
134,"2","7","1","5","2","0","279","他の乾物・海藻",262,17.5,113,244,150,268,275,244,365,284,270
135,"2","6","1","5","3","0","0","大豆加工品",1238,13.7,610,948,895,1117,1379,1161,1288,1457,1348
136,"2","7","1","5","3","0","280","豆腐",546,14.0,221,341,377,513,523,516,589,679,638
137,"2","7","1","5","3","0","281","油揚げ・がんもどき",222,18.7,67,88,144,177,278,297,180,272,238
138,"2","7","1","5","3","0","282","納豆",404,10.7,290,446,357,383,513,281,456,422,391
139,"2","7","1","5","3","0","289","他の大豆製品",65,10.2,32,73,17,44,65,68,62,85,81
140,"2","6","1","5","4","0","0","他の野菜・海藻加工品",1292,8.6,420,890,619,898,1299,1167,1109,1822,1842
141,"2","7","1","5","4","0","290","こんにゃく",100,-2.9,13,22,66,102,89,139,136,115,92
142,"2","7","1","5","4","0","291","梅干し",197,17.3,32,142,115,121,208,184,122,290,405
143,"2","7","1","5","4","0","292","だいこん漬",77,5.5,48,11,21,32,100,59,104,110,119
144,"2","7","1","5","4","0","293","はくさい漬",42,-2.3,19,17,7,22,35,58,48,59,77
145,"2","7","1","5","4","0","294","他の野菜の漬物",472,-7.1,190,366,252,383,559,422,441,601,521
146,"2","7","1","5","4","0","295","こんぶつくだ煮",93,57.6,5,30,23,36,25,66,66,181,287
147,"2","7","1","5","4","0","296","他の野菜・海藻のつくだ煮",25,-26.5,-,17,3,11,8,23,21,46,70
148,"2","7","1","5","4","0","299","他の野菜・海藻加工品のその他",286,42.3,113,286,131,191,274,216,171,421,271
149,"2","5","1","6","0","0","0","果物",4429,12.9,2414,3626,3198,2785,3641,3687,5312,5856,5638
150,"2","6","1","6","1","0","0","生鮮果物",4092,14.3,2251,3487,3048,2567,3305,3256,4631,5492,5417
151,"2","7","1","6","1","0","300","りんご",200,-1.0,47,68,123,59,63,50,59,422,473
152,"2","7","1","6","1","0","301","みかん",109,36.3,-,23,50,24,41,54,117,212,169
153,"2","7","1","6","1","0","315","オレンジ",82,32.3,40,53,79,25,42,85,90,122,132
154,"2","7","1","6","1","0","304","他の柑きつ類",76,-36.1,2,37,47,58,109,78,73,97,103
155,"2","7","1","6","1","0","305","梨",110,139.1,-,23,208,46,55,84,19,191,242
156,"2","7","1","6","1","0","306","ぶどう",318,40.1,185,715,135,150,239,187,511,369,269
157,"2","7","1","6","1","0","307","柿",-,-100.0,-,-,-,-,-,-,-,-,-
158,"2","7","1","6","1","0","308","桃",574,19.1,159,212,272,603,591,537,1089,631,554
159,"2","7","1","6","1","0","309","すいか",696,14.1,257,175,242,365,300,578,538,1226,982
160,"2","7","1","6","1","0","310","メロン",180,-15.9,29,121,170,90,142,118,170,275,272
161,"2","7","1","6","1","0","311","いちご",8,60.0,-,-,10,8,8,27,7,5,10
162,"2","7","1","6","1","0","312","バナナ",484,6.6,240,432,278,379,438,427,460,636,706
163,"2","7","1","6","1","0","316","キウイフルーツ",339,12.3,326,417,487,238,339,251,428,337,354
164,"2","7","1","6","1","0","313","他の果物",915,18.1,967,1211,948,521,939,780,1071,969,1152
165,"2","6","1","6","2","0","319","果物加工品",337,-1.7,163,139,150,218,336,431,681,364,221
166,"2","5","1","7","0","0","0","油脂・調味料",4225,4.2,2920,4380,3364,4968,4935,4247,4161,4123,3919
167,"2","6","1","7","1","0","0","油脂",519,-1.7,256,353,269,557,767,566,532,535,457
168,"2","7","1","7","1","0","320","食用油",469,-2.1,240,317,245,533,712,528,439,474,412
169,"2","7","1","7","1","0","321","マーガリン",49,0.0,16,36,24,24,54,38,93,61,46
170,"2","6","1","7","2","0","0","調味料",3706,5.1,2664,4027,3095,4411,4168,3681,3629,3588,3462
171,"2","7","1","7","2","0","322","食塩",38,-9.5,9,22,27,30,44,35,30,50,46
172,"2","7","1","7","2","0","323","しょう油",132,-2.9,58,145,93,156,105,91,114,164,173
173,"2","7","1","7","2","0","324","みそ",153,-3.2,120,147,128,155,187,188,111,153,180
174,"2","7","1","7","2","0","325","砂糖",76,0.0,9,75,26,66,83,68,48,106,76
175,"2","7","1","7","2","0","327","酢",105,50.0,170,21,21,38,109,45,117,161,158
176,"2","7","1","7","2","0","328","ソース",60,9.1,31,74,58,102,54,55,56,52,26
177,"2","7","1","7","2","0","329","ケチャップ",55,-23.6,41,57,60,59,69,83,33,48,37
178,"2","7","1","7","2","0","330","マヨネーズ・マヨネーズ風調味料",133,3.9,78,152,98,159,134,132,151,132,148
179,"2","7","1","7","2","0","332","ドレッシング",249,17.5,84,220,155,290,337,259,198,268,329
180,"2","7","1","7","2","0","331","ジャム",124,-7.5,72,195,106,119,104,96,200,120,188
181,"2","7","1","7","2","0","333","カレールウ",126,26.0,213,187,99,176,180,131,89,83,67
182,"2","7","1","7","2","0","334","乾燥スープ",312,19.5,298,278,248,312,433,268,209,335,264
183,"2","7","1","7","2","0","335","風味調味料",224,12.0,99,328,152,250,201,253,353,196,202
184,"2","7","1","7","2","0","336","ふりかけ",153,29.7,238,286,107,290,147,157,128,86,90
185,"2","7","1","7","2","0","33X","つゆ・たれ",430,0.9,263,376,335,416,538,458,411,454,435
186,"2","7","1","7","2","0","339","他の調味料",1337,-0.1,880,1464,1382,1794,1442,1361,1380,1183,1041
187,"2","5","1","8","0","0","0","菓子類",9441,12.4,8642,10577,10045,9971,10811,9956,10074,8403,7607
188,"2","7","1","8","0","0","340","ようかん",124,-37.7,18,3,121,42,114,72,42,225,323
189,"2","7","1","8","0","0","341","まんじゅう",45,12.5,-,-,3,30,14,92,55,65,68
190,"2","7","1","8","0","0","342","他の和生菓子",744,14.6,508,574,527,542,828,810,822,853,823
191,"2","7","1","8","0","0","343","カステラ",119,105.2,117,54,96,74,69,52,31,204,184
192,"2","7","1","8","0","0","344","ケーキ",654,5.3,1024,840,753,667,1203,597,1048,314,151
193,"2","7","1","8","0","0","347","ゼリー",461,31.0,371,415,354,308,478,405,343,590,570
194,"2","7","1","8","0","0","348","プリン",181,15.3,77,520,109,254,177,191,167,127,150
195,"2","7","1","8","0","0","345","他の洋生菓子",805,-5.0,567,1155,639,1196,817,679,1016,665,576
196,"2","7","1","8","0","0","350","せんべい",601,29.2,480,519,331,454,703,801,675,626,485
197,"2","7","1","8","0","0","346","ビスケット",400,-12.9,318,688,428,553,385,527,453,263,280
198,"2","7","1","8","0","0","357","スナック菓子",555,29.7,582,914,967,768,882,613,517,245,202
199,"2","7","1","8","0","0","349","キャンデー",202,9.8,95,366,206,234,330,142,149,173,189
200,"2","7","1","8","0","0","352","チョコレート",307,-7.5,185,360,308,432,316,465,501,182,160
201,"2","7","1","8","0","0","353","チョコレート菓子",150,2.7,207,248,248,192,188,166,79,95,77
202,"2","7","1","8","0","0","356","アイスクリーム・シャーベット",1787,7.2,1828,1785,2190,1995,1869,1627,1904,1639,1388
203,"2","7","1","8","0","0","359","他の菓子",2306,28.3,2266,2135,2767,2230,2439,2716,2271,2137,1981
204,"2","5","1","9","0","0","0","調理食品",14882,7.2,9459,12609,17125,13979,16635,14587,16211,15292,15531
205,"2","6","1","9","1","0","0","主食的調理食品",6284,6.9,4454,5700,4847,6884,8027,6266,7515,5964,6297
206,"2","7","1","9","1","0","360","弁当",1974,2.9,1577,2318,1485,2316,2335,2182,2513,1663,2071
207,"2","7","1","9","1","0","36A","すし(弁当)",1173,4.0,367,642,612,1166,1023,979,1484,1519,1748
208,"2","7","1","9","1","0","36B","おにぎり・その他",525,3.8,505,554,503,474,877,651,422,432,424
209,"2","7","1","9","1","0","361","調理パン",739,12.7,569,379,375,817,996,655,1287,692,525
210,"2","7","1","9","1","0","363","他の主食的調理食品",1874,12.3,1437,1807,1872,2111,2796,1798,1807,1657,1528
211,"2","6","1","9","2","0","0","他の調理食品",8597,7.4,5005,6910,12278,7095,8608,8321,8697,9327,9234
212,"2","7","1","9","2","0","364","うなぎのかば焼き",873,-0.3,142,299,542,478,648,613,1193,1336,1033
213,"2","7","1","9","2","0","365","サラダ",612,4.6,408,409,562,600,824,780,444,625,609
214,"2","7","1","9","2","0","366","コロッケ",158,-9.2,54,103,132,165,168,177,106,189,211
215,"2","7","1","9","2","0","367","カツレツ",213,-11.3,79,182,185,236,167,153,130,286,297
216,"2","7","1","9","2","0","368","天ぷら・フライ",1198,16.4,602,1459,973,1360,1336,1143,1159,1216,1279
217,"2","7","1","9","2","0","369","しゅうまい",131,2.3,119,165,46,81,110,118,115,171,177
218,"2","7","1","9","2","0","371","ぎょうざ",212,24.7,81,231,153,210,163,177,332,235,284
219,"2","7","1","9","2","0","372","やきとり",291,-5.5,203,161,469,288,256,265,182,339,327
220,"2","7","1","9","2","0","373","ハンバーグ",164,30.2,73,131,96,191,140,231,141,180,217
221,"2","7","1","9","2","0","370","冷凍調理食品",1067,46.0,465,1051,905,1012,1298,1279,1204,1052,1168
222,"2","7","1","9","2","0","375","そうざい材料セット",211,-47.5,35,17,1375,10,56,251,602,69,39
223,"2","7","1","9","2","0","376","他の調理食品のその他",3468,7.1,2745,2700,6840,2463,3442,3133,3089,3629,3594
224,"2","5","1","10","0","0","0","飲料",6940,12.0,5817,6664,6783,7128,7257,8466,7260,6523,5624
225,"2","6","1","10","1","0","0","茶類",1421,8.1,963,1220,1215,1297,1823,1858,1215,1414,1387
226,"2","7","1","10","1","0","380","緑茶",241,-6.9,44,34,78,118,150,198,125,441,481
227,"2","7","1","10","1","0","381","紅茶",64,-4.5,30,106,48,51,79,88,60,59,60
228,"2","7","1","10","1","0","383","他の茶葉",207,48.9,119,103,233,205,278,293,147,204,121
229,"2","7","1","10","1","0","38X","茶飲料",909,7.1,770,977,857,923,1316,1279,883,710,726
230,"2","6","1","10","2","0","0","コーヒー・ココア",1120,1.3,833,825,1224,1318,1011,1631,1315,972,725
231,"2","7","1","10","2","0","382","コーヒー",497,-11.6,127,219,505,561,443,584,708,522,424
232,"2","7","1","10","2","0","384","コーヒー飲料",606,15.0,684,581,694,721,547,1038,599,440,296
233,"2","7","1","10","2","0","386","ココア・ココア飲料",17,6.3,22,25,25,36,21,9,8,9,4
234,"2","6","1","10","3","0","0","他の飲料",4399,16.4,4021,4618,4345,4514,4423,4977,4730,4137,3512
235,"2","7","1","10","3","0","385","果実・野菜ジュース",882,25.3,608,906,844,856,711,987,1328,848,877
236,"2","7","1","10","3","0","387","炭酸飲料",858,17.2,1113,861,515,910,1064,1001,763,787,529
237,"2","7","1","10","3","0","388","乳酸菌飲料",522,22.0,137,519,483,292,503,446,761,633,662
238,"2","7","1","10","3","0","38A","乳飲料",260,40.5,285,292,432,387,344,316,188,156,149
239,"2","7","1","10","3","0","38B","ミネラルウォーター",469,-3.5,854,470,294,449,293,1014,409,354,171
240,"2","7","1","10","3","0","38Y","スポーツドリンク",326,25.4,175,489,479,477,290,226,325,283,81
241,"2","7","1","10","3","0","389","他の飲料のその他",1081,10.1,849,1081,1297,1144,1217,986,956,1077,1044
242,"2","5","1","11","0","0","0","酒類",4509,12.2,1700,4041,2722,4352,3307,7212,5628,4680,3101
243,"2","7","1","11","0","0","3X1","清酒",419,28.5,257,13,53,738,282,558,232,521,442
244,"2","7","1","11","0","0","3X3","焼酎",451,-10.2,129,120,-,646,128,551,848,544,442
245,"2","7","1","11","0","0","3X4","ビール",1466,20.9,312,1026,774,1055,1283,2767,1280,1695,892
246,"2","7","1","11","0","0","3X5","ウイスキー",299,32.9,169,149,421,144,282,210,284,408,73
247,"2","7","1","11","0","0","3X9","ワイン",531,40.8,88,751,143,691,243,1164,1140,331,251
248,"2","7","1","11","0","0","3X7","発泡酒・ビール風アルコール飲料",701,-12.3,288,770,675,504,477,1235,458,784,741
249,"2","7","1","11","0","0","3X8","チューハイ・カクテル",466,0.6,359,1100,369,474,448,657,457,335,153
250,"2","7","1","11","0","0","3XX","他の酒",176,54.4,99,112,287,98,165,70,927,62,106
251,"2","5","1","12","0","0","0","外食",21531,22.9,19449,22789,29290,27532,26115,28550,30413,12909,8693
252,"2","6","1","12","1","0","0","一般外食",21007,25.0,19269,21087,28081,26110,24959,28356,30413,12909,8693
253,"2","7","1","12","1","390-396,399,39A,39B","0","食事代",16978,16.6,16428,17593,23967,21949,20366,19866,23384,10817,7663
254,"2","7","1","12","1","390-396,399,39A,39B","390","日本そば・うどん",515,-1.0,875,448,688,383,322,401,700,525,241
255,"2","7","1","12","1","390-396,399,39A,39B","391","中華そば",564,-13.0,891,755,634,745,797,657,677,290,221
256,"2","7","1","12","1","390-396,399,39A,39B","392","他の麺類外食",312,30.0,167,245,847,370,502,258,595,129,4
257,"2","7","1","12","1","390-396,399,39A,39B","393","すし(外食)",1378,11.9,1242,870,2033,1631,1485,1195,1797,1215,1019
258,"2","7","1","12","1","390-396,399,39A,39B","394","和食",2563,18.6,1818,2304,2333,3812,2595,2452,5343,1731,1199
259,"2","7","1","12","1","390-396,399,39A,39B","39A","中華食",471,-1.9,249,292,249,857,419,734,512,382,238
260,"2","7","1","12","1","390-396,399,39A,39B","395","洋食",1532,53.4,1533,2464,821,1561,2463,1522,4905,432,231
261,"2","7","1","12","1","390-396,399,39A,39B","399","焼肉",519,4.0,2046,855,275,728,411,149,1119,196,168
262,"2","7","1","12","1","390-396,399,39A,39B","39B","ハンバーガー",665,10.6,1026,1760,844,1419,704,763,538,130,128
263,"2","7","1","12","1","390-396,399,39A,39B","396","他の主食的外食",8460,17.8,6581,7600,15241,10443,10666,11734,7198,5787,4214
