1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
33,3,選択的支出,26123,8.3,-6.4,6331,5.8,7997,4.7,18062,8.3,20395,7.8,24745,7.7,49882,12.1,55252,7.9
34,1,教育,18983,6.0,-19.9,1228,1.1,1307,0.8,1070,0.5,2254,0.9,6922,2.1,11604,2.8,107604,15.4
35,2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,3,選択的支出,18983,6.0,-19.9,1228,1.1,1307,0.8,1070,0.5,2254,0.9,6922,2.1,11604,2.8,107604,15.4
37,1,教養娯楽,39029,12.4,13.4,6928,6.4,15903,9.3,20083,9.3,26206,10.0,43739,13.5,56098,13.6,103622,14.8
38,2,基礎的支出,6055,1.9,-0.2,2688,2.5,3929,2.3,6093,2.8,5323,2.0,7975,2.5,7537,1.8,8805,1.3
39,3,選択的支出,32974,10.5,16.3,4240,3.9,11974,7.0,13990,6.4,20883,7.9,35764,11.1,48561,11.7,94817,13.6
40,1,その他の消費支出,36585,11.6,-5.4,8631,8.0,17525,10.2,25179,11.6,35029,13.3,42810,13.3,52801,12.8,73737,10.5
41,2,基礎的支出,15596,5.0,-6.2,3024,2.8,8526,5.0,9678,4.5,19321,7.3,19033,5.9,22185,5.4,27267,3.9
42,3,選択的支出,20989,6.7,-4.9,5607,5.2,8999,5.2,15501,7.1,15708,6.0,23776,7.4,30616,7.4,46471,6.6
