区分１,区分２,(n),適切な候補者の不在(％),後継者の教育・成長(％),業績不振(％),借入金の返済(％),個人保証の問題(％),後継者への自社株式の集中(％),事業承継の社内体制が未整備(％),相続税・贈与税の問題(％),相談相手の不在(％),業界の将来性への不安(％),事業の引継先（M ＆A ）が見つからない(％),その他(％),特になし(％),無回答(％)
創業時期別,2011年以降,277,21.3,18.1,4.7,6.9,2.9,0,8.3,0.4,3.2,11.2,1.4,1.1,31.8,21.7
創業時期別,無回答,94,17,16,9.6,7.4,5.3,1.1,7.4,1.1,2.1,21.3,1.1,2.1,26.6,19.1
事業承継意向別,事業継続,1885,25.1,23.4,8.3,7.7,3.7,1.1,9.1,2.5,2,16.3,1.5,2.2,21.4,19.5
事業承継意向別,廃業の予定,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
事業承継意向別,わからない・まだ決めていない,188,28.7,11.2,30.9,12.8,3.7,0,11.2,1.1,3.7,27.1,4.3,1.1,18.1,5.9
代表者の年齢別,40歳未満,55,14.5,12.7,5.5,5.5,5.5,0,9.1,1.8,7.3,12.7,1.8,1.8,40,27.3
代表者の年齢別,40歳代,299,19.1,18.7,8.7,5,3,1,9,3,2.3,19.1,1.7,2,31.4,19.1
代表者の年齢別,50歳代,566,29.5,24.6,9.7,8.7,4.1,1.6,10.6,2.3,2.7,18.9,0.9,1.9,18.7,17.3
代表者の年齢別,60～64歳,337,29.4,23.4,10.1,12.8,5,1.5,12.2,2.7,0.6,19,1.2,1.2,19.6,14.8
代表者の年齢別,65～69歳,301,26.6,20.6,11.6,8.3,3,1,9,3,1.7,16.6,2.3,3.3,17.3,16.3
代表者の年齢別,70歳以上,478,23.4,23.8,12.8,6.7,2.7,0.2,6.3,1.9,2.1,14.9,2.9,2.3,17.4,20.7
