区分１,区分２,(n),人脈・ネットワーク力の向上（％）,Web 等、広告宣伝の充実（％）,顧客ニーズの把握（％）,企画提案力・情報提供力の向上（％）,新規顧客の開拓（％）,新たな市場の開拓（％）,積極的な顧客とのコミュニケーション（％）,顧客ｻﾎﾟｰﾄ や附随的ｻｰﾋﾞｽ （ｱﾌﾀｰｹｱ等）の充実（％）,自社ブランドの構築・確立（％）,提供時間・処理時間・納期の短縮（％）,サービス・製品の質の向上（％）,独自サービス・製品の提供（％）,難注文への対応（％）,専門性の向上（％）,研究開発の強化（％）,他企業等との連携（％）,業務の効率化・合理化（％）,その他（％）,特になし（％）,無回答（％）
従業者規模別,３～５人,560,33.2,11.8,31.4,13.8,23.4,9.8,27.7,13.9,7.1,10.7,28.4,10.7,15.9,35.4,2.5,6.6,17.5,0.5,15.4,1.8
従業者規模別,６～９人,308,37,17.5,38,17.2,37,12.7,35.7,17.2,12.7,14,36.7,11.7,16.2,38.3,2.3,9.7,21.8,0.6,8.4,2.3
従業者規模別,10～29人,341,37.2,19.1,40.2,23.8,34.9,19.1,39.3,15.2,13.8,10.9,37.2,15.2,17.3,37.2,4.7,10,26.4,0.6,6.5,1.2
従業者規模別,30人以上,251,43,18.3,46.2,28.7,46.6,24.3,38.2,20.3,17.9,10.8,48.6,16.7,13.5,34.3,6.8,10.8,31.5,0.8,5.2,0.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,48.6,21.7,47.2,28.6,44.5,21,42.8,18.3,19.3,14.5,45.2,17.9,17.9,45.5,4.8,13.8,32.8,0.7,4.5,0.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,42.2,16.7,41.9,23.6,30,15.6,35.8,19.2,12.8,11.7,35.6,14.4,17.2,37.2,4.7,10,20.8,0.8,6.1,3.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,32.2,10.4,29.5,15.6,20.9,9,25.9,12.1,7.8,9.4,26.8,10.4,13.1,37.1,3.4,6.7,15.6,0.3,18.3,2.4
年間売上高増減別（３年前）,やや（10％未満）減少,374,27,9.6,25.7,13.1,23.5,10.7,23.8,11.2,7.8,10.4,27,8.6,13.1,31.8,1.9,6.4,13.4,0.8,17.6,2.1
年間売上高増減別（３年前）,大幅（10％以上）減少,398,26.1,12.3,27.6,15.3,26.9,12.1,24.9,12.1,8,11.1,28.4,11.3,15.6,33.7,4.8,6.8,12.1,1,21.9,3
売上高経常利益率別,黒字,1602,35.9,12.9,36,19,28,12,31.1,15,10.4,11.2,33.1,12.2,14.7,39,4.1,8.9,20,0.7,12.5,2.1
売上高経常利益率別,赤字,557,29.3,13.8,24.1,15.4,25.5,14.4,23.5,9.7,9.5,10.4,26,11.8,15.3,30.2,3.8,6.5,11.5,0.4,21.4,3.2
経常損益の変化別（３年前）,増益,518,42.5,15.8,40.7,24.9,33,18.3,37.1,18.7,16.2,14.1,41.9,16,17.8,41.3,5,11.8,26.6,1.4,9.1,1
経常損益の変化別（３年前）,横ばい,987,32.3,11.6,28.8,15.3,21.3,8.6,25.3,12.5,7.6,8.2,25.8,10.8,13.8,36.1,4,5.8,13.7,0.4,16.9,3.1
経常損益の変化別（３年前）,減益,697,30.3,13.2,32.3,16.8,30.8,13.8,29.3,12.5,9.3,12.3,30.8,10.6,14.2,34.3,2.9,8.9,17.1,0.6,16.1,2.2
代表者の年齢別,40歳未満,57,43.9,22.8,29.8,21.1,54.4,14,35.1,15.8,26.3,5.3,36.8,22.8,8.8,35.1,8.8,12.3,21.1,3.5,8.8,1.8
代表者の年齢別,40歳代,306,39.2,23.2,42.2,21.6,34,16.7,37.3,19.3,15,17,42.8,17,22.9,39.5,3.6,10.5,24.5,0.3,5.9,1
代表者の年齢別,50歳代,585,39.8,15.7,39,21.4,31.5,14.9,34.5,17.1,13,12.3,39.1,15,17.1,39.5,5.1,10.3,22.7,0.9,9.4,1
代表者の年齢別,60～64歳,358,35.2,12.8,29.3,17.3,22.3,14,29.9,11.2,10.1,9.5,27.9,11.7,14.2,37.2,2.8,8.4,15.4,0.3,14.2,3.4
代表者の年齢別,65～69歳,342,32.2,9.1,31.3,18.4,21.6,9.6,27.2,14,7.3,8.5,27.5,9.1,13.2,38.9,4.7,5.8,16.4,0.6,18.1,1.5
代表者の年齢別,70歳以上,572,24.3,7.3,24.7,12.1,21.9,8.2,19.8,10,4.5,8.7,20.5,6.5,10.7,31.6,3.1,4.9,11.4,0.7,24.1,4.5
事業承継意向別,事業継続,1885,36.7,15,35.2,19.6,29.7,13.7,31.7,15.3,11.1,10.9,33.4,12.6,15.8,38.5,4.3,8.9,19.6,0.6,11.4,1.8
事業承継意向別,廃業の予定,151,14.6,2.6,14.6,7.3,6,3.3,10.6,5.3,3.3,7.9,15.9,4,7.3,29.1,0.7,4,7.3,1.3,43.7,6.6
事業承継意向別,わからない・まだ決めていない,188,25,4.8,25,12.2,16.5,7.4,20.7,9.6,3.7,12.8,21.8,11.2,12.8,28.2,3.7,3.2,10.1,0.5,26.1,4.3
