区分１,区分２,(n),外国語に対応できない(％),国際業務に関する知見がない(％),国際業務に対応できる人材が確保できない(％),海外関連取引に向けた業務・サービスの開発ができない(％),海外関連取引のニーズの把握ができない(％),現地パートナーが確保できない(％),国家間の法律や規制の違い(％),商習慣の違い(％),現地の政情に不安がある(％),費用の負担が重い(％),代金回収のリスク(％),為替のリスク(％),投資効果がわからない(％),業務・サービスが真似される(％),知的財産流出のリスク(％),その他(％),特になし(％),無回答(％)
従業者規模別,30人以上,251,25.9,23.9,24.7,14.7,13.9,6.8,17.9,10,4,8.4,8.8,5.2,8,0.4,2.4,5.2,18.3,6.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,33.8,24.1,26.2,10,9.3,8.3,17.9,11.4,2.1,6.9,11,4.5,4.8,0.7,1.7,2.8,19.7,6.2
年間売上高増減別（３年前）,やや（10％未満）増加,360,31.4,24.2,23.1,10.6,10.6,8.9,15.3,11.9,2.5,5.3,7.8,4.2,4.4,1.1,3.1,2.8,16.9,13.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,30.9,23.4,18.6,7.8,8.4,5.9,13.1,10.1,1.8,5.9,8.3,3.1,3.1,0.6,1.6,3.8,24.9,11.1
年間売上高増減別（３年前）,やや（10％未満）減少,374,32.4,24.3,16.3,9.6,5.3,4.5,14.7,8.6,2.1,6.1,10.7,2.4,4,0.5,1.1,4.3,20.3,14.2
年間売上高増減別（３年前）,大幅（10％以上）減少,398,28.9,21.4,15.1,8.3,7.3,7.5,12.1,9.5,1,7.3,9.8,3.5,3.3,1.3,2.8,5.5,18.6,16.8
売上高経常利益率別,黒字,1602,32.7,24.4,21.3,9.5,8.5,6.9,15.8,10.2,1.9,5.9,8.9,3.5,3.9,0.8,2,3.6,20.4,11.2
売上高経常利益率別,赤字,557,26.9,21.4,14.2,7.7,7.5,7,10.6,10.8,2,7.7,10.4,3.8,3.2,0.9,2,4.3,22.3,14.2
経常損益の変化別（３年前）,増益,518,31.5,24.3,21,9.8,9.7,7.3,14.7,10.6,1.9,6.9,11.2,4.1,4.2,0.8,2.3,3.1,20.8,10.6
経常損益の変化別（３年前）,横ばい,987,31,22.4,18.9,7.5,8.4,6.9,13.9,9.2,2,4.7,7.4,3,2.9,0.8,1.9,4.2,23.1,11.8
経常損益の変化別（３年前）,減益,697,31.6,24.7,19.1,10.8,6.6,6.5,14.8,11.3,1.7,8.2,10.3,3.6,4.4,0.9,2,3.9,18.4,13.3
