年,月,サービス業             ,企業関連サービス          ,個人関連サービス          ,経緯
2012,10,▲ 28,▲ 23,▲ 39,
2012,11,▲ 29,▲ 24,▲ 41,
2012,12,▲ 21,▲ 12,▲ 39,
2013,1,▲ 29,▲ 23,▲ 42,
2013,2,▲ 25,▲ 20,▲ 35,
2013,3,▲ 17,▲ 14,▲ 23,
2013,4,▲ 21,▲ 13,▲ 39,
2013,5,▲ 22,▲ 20,▲ 29,
2013,6,▲ 25,▲ 21,▲ 36,
2013,7,▲ 23,▲ 15,▲ 41,
2013,8,▲ 23,▲ 17,▲ 36,
2013,9,▲ 23,▲ 17,▲ 37,
2013,10,▲ 25,▲ 16,▲ 48,増税決定
2013,11,▲ 19,▲ 12,▲ 36,
2013,12,▲ 14,▲ 7,▲ 28,
2014,1,▲ 15,▲ 11,▲ 24,
2014,2,▲ 23,▲ 18,▲ 35,
2014,3,▲ 14,▲ 9,▲ 26,
2014,4,▲ 24,▲ 18,▲ 39,消費税(5%→8%)
2014,5,▲ 20,▲ 15,▲ 30,
2014,6,▲ 23,▲ 15,▲ 41,
2014,7,▲ 22,▲ 22,▲ 24,
2014,8,▲ 29,▲ 23,▲ 44,
2014,9,▲ 20,▲ 14,▲ 34,
2014,10,▲ 20,▲ 11,▲ 39,
2014,11,▲ 26,▲ 21,▲ 36,
2014,12,▲ 27,▲ 24,▲ 33,
2015,1,▲ 25,▲ 22,▲ 30,
2015,2,▲ 22,▲ 17,▲ 34,
2015,3,▲ 24,▲ 22,▲ 29,
2015,4,▲ 19,▲ 16,▲ 27,
2015,5,▲ 19,▲ 18,▲ 23,
2015,6,▲ 16,▲ 13,▲ 21,
2015,7,▲ 19,▲ 15,▲ 26,
2015,8,▲ 23,▲ 17,▲ 35,
2015,9,▲ 25,▲ 23,▲ 29,
2015,10,▲ 18,▲ 17,▲ 20,
2015,11,▲ 22,▲ 16,▲ 35,
2015,12,▲ 22,▲ 18,▲ 34,
2016,1,▲ 23,▲ 18,▲ 32,
2016,2,▲ 26,▲ 21,▲ 37,
2016,3,▲ 30,▲ 24,▲ 43,
2016,4,▲ 18,▲ 12,▲ 30,
2016,5,▲ 25,▲ 21,▲ 36,
2016,6,▲ 21,▲ 17,▲ 31,
2016,7,▲ 22,▲ 16,▲ 34,
2016,8,▲ 22,▲ 16,▲ 34,
2016,9,▲ 23,▲ 20,▲ 32,
2016,10,▲ 27,▲ 21,▲ 40,
2016,11,▲ 24,▲ 18,▲ 39,
2016,12,▲ 21,▲ 14,▲ 35,
2017,1,▲ 25,▲ 19,▲ 38,
2017,2,▲ 22,▲ 14,▲ 38,
2017,3,▲ 22,▲ 17,▲ 33,
2017,4,▲ 17,▲ 11,▲ 29,
2017,5,▲ 18,▲ 11,▲ 32,
2017,6,▲ 15,▲ 10,▲ 25,
2017,7,▲ 17,▲ 13,▲ 26,
2017,8,▲ 16,▲ 12,▲ 27,
2017,9,▲ 12,▲ 9,▲ 20,
2017,10,▲ 19,▲ 13,▲ 31,
2017,11,▲ 11,▲ 6,▲ 21,
2017,12,▲ 15,▲ 14,▲ 18,
2018,1,▲ 18,▲ 8,▲ 36,
2018,2,▲ 16,▲ 9,▲ 29,
2018,3,▲ 16,▲ 9,▲ 33,
2018,4,▲ 12,▲ 8,▲ 20,
2018,5,▲ 9,0,▲ 29,
2018,6,▲ 16,▲ 10,▲ 26,
2018,7,▲ 18,▲ 9,▲ 38,
2018,8,▲ 14,▲ 8,▲ 25,
2018,9,▲ 17,▲ 10,▲ 34,
2018,10,▲ 12,▲ 9,▲ 19,
2018,11,▲ 16,▲ 9,▲ 31,
2018,12,▲ 17,▲ 10,▲ 33,
2019,1,▲ 25,▲ 15,▲ 47,
2019,2,▲ 19,▲ 11,▲ 37,
2019,3,▲ 23,▲ 17,▲ 37,
2019,4,▲ 17,▲ 10,▲ 33,
2019,5,▲ 15,▲ 8,▲ 28,
2019,6,▲ 17,▲ 13,▲ 28,
2019,7,▲ 20,▲ 14,▲ 33,
2019,8,▲ 14,▲ 8,▲ 27,
2019,9,▲ 12,▲ 6,▲ 24,
2019,10,▲ 23,▲ 17,▲ 39,消費税率（8→10％）
2019,11,▲ 25,▲ 20,▲ 37,
2019,12,▲ 23,▲ 18,▲ 37,
