単独・本所・支所の別階層,単独・本所・支所の別コード,単独・本所・支所の別,産業分類階層,大分類,中分類,産業分類名,従業者規模階層,従業者規模コード,従業者規模,民営事業所／総数／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／個人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／総数／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／総数／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／合同会社／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／外国の会社／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社以外の法人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人でない団体／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,8,出向・派遣従業者のみ,4,-,3,1,-,-,-,-,-,-,-,-,-,-,4,-,3,1,-,-,-,4,-,3,1,-,-,-,4,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,0,0,総数,486,462,20,2,1,1,-,-,-,-,-,-,-,-,485,461,20,2,1,1,-,453,433,17,2,1,-,-,452,432,17,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,32,28,3,-,-,1,-,1,1,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,1,1～4人,223,216,7,-,-,-,-,-,-,-,-,-,-,-,222,215,7,-,-,-,-,206,199,7,-,-,-,-,205,198,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,16,16,-,-,-,-,-,1,1,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,2,5～9人,152,147,5,-,-,-,-,-,-,-,-,-,-,-,152,147,5,-,-,-,-,145,141,4,-,-,-,-,145,141,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,1,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,3,10～29人,88,81,5,1,-,1,-,-,-,-,-,-,-,-,88,81,5,1,-,1,-,81,77,3,1,-,-,-,81,77,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,4,2,-,-,1,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,4,30～49人,10,10,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,8,8,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,5,50～99人,7,6,-,-,1,-,-,-,-,-,-,-,-,-,7,6,-,-,1,-,-,7,6,-,-,1,-,-,7,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,6,100～299人,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,1,A,00,農業，林業,1,8,出向・派遣従業者のみ,4,-,3,1,-,-,-,-,-,-,-,-,-,-,4,-,3,1,-,-,-,4,-,3,1,-,-,-,4,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,0,0,総数,448,426,18,2,1,1,-,-,-,-,-,-,-,-,447,425,18,2,1,1,-,427,409,15,2,1,-,-,426,408,15,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,20,16,3,-,-,1,-,1,1,-,-,-,-,-
0,0,総数,2,A,01,農業,1,1,1～4人,208,202,6,-,-,-,-,-,-,-,-,-,-,-,207,201,6,-,-,-,-,198,192,6,-,-,-,-,197,191,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,9,9,-,-,-,-,-,1,1,-,-,-,-,-
0,0,総数,2,A,01,農業,1,2,5～9人,135,130,5,-,-,-,-,-,-,-,-,-,-,-,135,130,5,-,-,-,-,130,126,4,-,-,-,-,130,126,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,1,3,10～29人,83,77,4,1,-,1,-,-,-,-,-,-,-,-,83,77,4,1,-,1,-,78,75,2,1,-,-,-,78,75,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,2,-,-,1,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,1,4,30～49人,9,9,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,8,8,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,1,5,50～99人,7,6,-,-,1,-,-,-,-,-,-,-,-,-,7,6,-,-,1,-,-,7,6,-,-,1,-,-,7,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,1,6,100～299人,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,01,農業,1,8,出向・派遣従業者のみ,4,-,3,1,-,-,-,-,-,-,-,-,-,-,4,-,3,1,-,-,-,4,-,3,1,-,-,-,4,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,02,林業,0,0,総数,38,36,2,-,-,-,-,-,-,-,-,-,-,-,38,36,2,-,-,-,-,26,24,2,-,-,-,-,26,24,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,02,林業,1,1,1～4人,15,14,1,-,-,-,-,-,-,-,-,-,-,-,15,14,1,-,-,-,-,8,7,1,-,-,-,-,8,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,02,林業,1,2,5～9人,17,17,-,-,-,-,-,-,-,-,-,-,-,-,17,17,-,-,-,-,-,15,15,-,-,-,-,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,02,林業,1,3,10～29人,5,4,1,-,-,-,-,-,-,-,-,-,-,-,5,4,1,-,-,-,-,3,2,1,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,2,A,02,林業,1,4,30～49人,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
