産業分類階層,大分類,中分類,小分類,分類名,区部／経営組織／国・地方公共団体／事業所数（事業所）,区部／経営組織／国・地方公共団体／従業者数（人）,千代田区／経営組織／国・地方公共団体／事業所数（事業所）,千代田区／経営組織／国・地方公共団体／従業者数（人）,中央区／経営組織／国・地方公共団体／事業所数（事業所）,中央区／経営組織／国・地方公共団体／従業者数（人）,港区／経営組織／国・地方公共団体／事業所数（事業所）,港区／経営組織／国・地方公共団体／従業者数（人）,新宿区／経営組織／国・地方公共団体／事業所数（事業所）,新宿区／経営組織／国・地方公共団体／従業者数（人）,文京区／経営組織／国・地方公共団体／事業所数（事業所）,文京区／経営組織／国・地方公共団体／従業者数（人）,台東区／経営組織／国・地方公共団体／事業所数（事業所）,台東区／経営組織／国・地方公共団体／従業者数（人）,墨田区／経営組織／国・地方公共団体／事業所数（事業所）,墨田区／経営組織／国・地方公共団体／従業者数（人）,江東区／経営組織／国・地方公共団体／事業所数（事業所）,江東区／経営組織／国・地方公共団体／従業者数（人）,品川区／経営組織／国・地方公共団体／事業所数（事業所）,品川区／経営組織／国・地方公共団体／従業者数（人）,目黒区／経営組織／国・地方公共団体／事業所数（事業所）,目黒区／経営組織／国・地方公共団体／従業者数（人）,大田区／経営組織／国・地方公共団体／事業所数（事業所）,大田区／経営組織／国・地方公共団体／従業者数（人）,世田谷区／経営組織／国・地方公共団体／事業所数（事業所）,世田谷区／経営組織／国・地方公共団体／従業者数（人）,渋谷区／経営組織／国・地方公共団体／事業所数（事業所）,渋谷区／経営組織／国・地方公共団体／従業者数（人）,中野区／経営組織／国・地方公共団体／事業所数（事業所）,中野区／経営組織／国・地方公共団体／従業者数（人）,杉並区／経営組織／国・地方公共団体／事業所数（事業所）,杉並区／経営組織／国・地方公共団体／従業者数（人）,豊島区／経営組織／国・地方公共団体／事業所数（事業所）,豊島区／経営組織／国・地方公共団体／従業者数（人）,北区／経営組織／国・地方公共団体／事業所数（事業所）,北区／経営組織／国・地方公共団体／従業者数（人）,荒川区／経営組織／国・地方公共団体／事業所数（事業所）,荒川区／経営組織／国・地方公共団体／従業者数（人）,板橋区／経営組織／国・地方公共団体／事業所数（事業所）,板橋区／経営組織／国・地方公共団体／従業者数（人）,練馬区／経営組織／国・地方公共団体／事業所数（事業所）,練馬区／経営組織／国・地方公共団体／従業者数（人）,足立区／経営組織／国・地方公共団体／事業所数（事業所）,足立区／経営組織／国・地方公共団体／従業者数（人）,葛飾区／経営組織／国・地方公共団体／事業所数（事業所）,葛飾区／経営組織／国・地方公共団体／従業者数（人）,江戸川区／経営組織／国・地方公共団体／事業所数（事業所）,江戸川区／経営組織／国・地方公共団体／従業者数（人）,境界未定地域／経営組織／国・地方公共団体／事業所数（事業所）,境界未定地域／経営組織／国・地方公共団体／従業者数（人）,市部／経営組織／国・地方公共団体／事業所数（事業所）,市部／経営組織／国・地方公共団体／従業者数（人）,八王子市／経営組織／国・地方公共団体／事業所数（事業所）,八王子市／経営組織／国・地方公共団体／従業者数（人）,立川市／経営組織／国・地方公共団体／事業所数（事業所）,立川市／経営組織／国・地方公共団体／従業者数（人）,武蔵野市／経営組織／国・地方公共団体／事業所数（事業所）,武蔵野市／経営組織／国・地方公共団体／従業者数（人）,三鷹市／経営組織／国・地方公共団体／事業所数（事業所）,三鷹市／経営組織／国・地方公共団体／従業者数（人）,青梅市／経営組織／国・地方公共団体／事業所数（事業所）,青梅市／経営組織／国・地方公共団体／従業者数（人）,府中市／経営組織／国・地方公共団体／事業所数（事業所）,府中市／経営組織／国・地方公共団体／従業者数（人）,昭島市／経営組織／国・地方公共団体／事業所数（事業所）,昭島市／経営組織／国・地方公共団体／従業者数（人）,調布市／経営組織／国・地方公共団体／事業所数（事業所）,調布市／経営組織／国・地方公共団体／従業者数（人）,町田市／経営組織／国・地方公共団体／事業所数（事業所）,町田市／経営組織／国・地方公共団体／従業者数（人）,小金井市／経営組織／国・地方公共団体／事業所数（事業所）,小金井市／経営組織／国・地方公共団体／従業者数（人）,小平市／経営組織／国・地方公共団体／事業所数（事業所）,小平市／経営組織／国・地方公共団体／従業者数（人）,日野市／経営組織／国・地方公共団体／事業所数（事業所）,日野市／経営組織／国・地方公共団体／従業者数（人）,東村山市／経営組織／国・地方公共団体／事業所数（事業所）,東村山市／経営組織／国・地方公共団体／従業者数（人）,国分寺市／経営組織／国・地方公共団体／事業所数（事業所）,国分寺市／経営組織／国・地方公共団体／従業者数（人）,国立市／経営組織／国・地方公共団体／事業所数（事業所）,国立市／経営組織／国・地方公共団体／従業者数（人）,福生市／経営組織／国・地方公共団体／事業所数（事業所）,福生市／経営組織／国・地方公共団体／従業者数（人）,狛江市／経営組織／国・地方公共団体／事業所数（事業所）,狛江市／経営組織／国・地方公共団体／従業者数（人）,東大和市／経営組織／国・地方公共団体／事業所数（事業所）,東大和市／経営組織／国・地方公共団体／従業者数（人）,清瀬市／経営組織／国・地方公共団体／事業所数（事業所）,清瀬市／経営組織／国・地方公共団体／従業者数（人）,東久留米市／経営組織／国・地方公共団体／事業所数（事業所）,東久留米市／経営組織／国・地方公共団体／従業者数（人）,武蔵村山市／経営組織／国・地方公共団体／事業所数（事業所）,武蔵村山市／経営組織／国・地方公共団体／従業者数（人）,多摩市／経営組織／国・地方公共団体／事業所数（事業所）,多摩市／経営組織／国・地方公共団体／従業者数（人）,稲城市／経営組織／国・地方公共団体／事業所数（事業所）,稲城市／経営組織／国・地方公共団体／従業者数（人）,羽村市／経営組織／国・地方公共団体／事業所数（事業所）,羽村市／経営組織／国・地方公共団体／従業者数（人）,あきる野市／経営組織／国・地方公共団体／事業所数（事業所）,あきる野市／経営組織／国・地方公共団体／従業者数（人）,西東京市／経営組織／国・地方公共団体／事業所数（事業所）,西東京市／経営組織／国・地方公共団体／従業者数（人）,町村部／経営組織／国・地方公共団体／事業所数（事業所）,町村部／経営組織／国・地方公共団体／従業者数（人）,西多摩郡／経営組織／国・地方公共団体／事業所数（事業所）,西多摩郡／経営組織／国・地方公共団体／従業者数（人）,瑞穂町／経営組織／国・地方公共団体／事業所数（事業所）,瑞穂町／経営組織／国・地方公共団体／従業者数（人）,日の出町／経営組織／国・地方公共団体／事業所数（事業所）,日の出町／経営組織／国・地方公共団体／従業者数（人）,檜原村／経営組織／国・地方公共団体／事業所数（事業所）,檜原村／経営組織／国・地方公共団体／従業者数（人）,奥多摩町／経営組織／国・地方公共団体／事業所数（事業所）,奥多摩町／経営組織／国・地方公共団体／従業者数（人）,島部／経営組織／国・地方公共団体／事業所数（事業所）,島部／経営組織／国・地方公共団体／従業者数（人）,大島支庁／経営組織／国・地方公共団体／事業所数（事業所）,大島支庁／経営組織／国・地方公共団体／従業者数（人）,大島町／経営組織／国・地方公共団体／事業所数（事業所）,大島町／経営組織／国・地方公共団体／従業者数（人）,利島村／経営組織／国・地方公共団体／事業所数（事業所）,利島村／経営組織／国・地方公共団体／従業者数（人）,新島村／経営組織／国・地方公共団体／事業所数（事業所）,新島村／経営組織／国・地方公共団体／従業者数（人）,神津島村／経営組織／国・地方公共団体／事業所数（事業所）,神津島村／経営組織／国・地方公共団体／従業者数（人）,三宅支庁／経営組織／国・地方公共団体／事業所数（事業所）,三宅支庁／経営組織／国・地方公共団体／従業者数（人）,三宅村／経営組織／国・地方公共団体／事業所数（事業所）,三宅村／経営組織／国・地方公共団体／従業者数（人）,御蔵島村／経営組織／国・地方公共団体／事業所数（事業所）,御蔵島村／経営組織／国・地方公共団体／従業者数（人）,八丈支庁／経営組織／国・地方公共団体／事業所数（事業所）,八丈支庁／経営組織／国・地方公共団体／従業者数（人）,八丈町／経営組織／国・地方公共団体／事業所数（事業所）,八丈町／経営組織／国・地方公共団体／従業者数（人）,青ヶ島村／経営組織／国・地方公共団体／事業所数（事業所）,青ヶ島村／経営組織／国・地方公共団体／従業者数（人）,小笠原支庁／経営組織／国・地方公共団体／事業所数（事業所）,小笠原支庁／経営組織／国・地方公共団体／従業者数（人）,小笠原村／経営組織／国・地方公共団体／事業所数（事業所）,小笠原村／経営組織／国・地方公共団体／従業者数（人）
3,E,23,230,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,231,非鉄金属第１次製錬・精製業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,233,非鉄金属・同合金圧延業（抽伸，押出しを含む）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,234,電線・ケーブル製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,235,非鉄金属素形材製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,239,その他の非鉄金属製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,24,000,金属製品製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,240,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,241,ブリキ缶・その他のめっき板等製品製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,242,洋食器・刃物・手道具・金物類製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,243,暖房・調理等装置，配管工事用附属品製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,244,建設用・建築用金属製品製造業（製缶板金業を含む）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,245,金属素形材製品製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,246,金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,247,金属線製品製造業（ねじ類を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,249,その他の金属製品製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,25,000,はん用機械器具製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,250,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,251,ボイラ・原動機製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,252,ポンプ・圧縮機器製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,253,一般産業用機械・装置製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,259,その他のはん用機械・同部分品製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,26,000,生産用機械器具製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,260,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,261,農業用機械製造業（農業用器具を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,262,建設機械・鉱山機械製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,263,繊維機械製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,264,生活関連産業用機械製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,265,基礎素材産業用機械製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
