産業分類階層,大分類,中分類,小分類,分類名,総数／総数／企業等数（企業等）,総数／総数／事業所数（事業所）,総数／総数／企業従業者数（人）,総数／単一事業所企業／企業等数（企業等）,総数／単一事業所企業／事業所数（事業所）,総数／単一事業所企業／企業従業者数（人）,総数／複数事業所企業／企業等数（企業等）,総数／複数事業所企業／事業所数（事業所）,総数／複数事業所企業／企業従業者数（人）,個人経営／総数／企業等数（企業等）,個人経営／総数／事業所数（事業所）,個人経営／総数／企業従業者数（人）,個人経営／単一事業所企業／企業等数（企業等）,個人経営／単一事業所企業／事業所数（事業所）,個人経営／単一事業所企業／企業従業者数（人）,個人経営／複数事業所企業／企業等数（企業等）,個人経営／複数事業所企業／事業所数（事業所）,個人経営／複数事業所企業／企業従業者数（人）,会社企業／総数／企業等数（企業等）,会社企業／総数／事業所数（事業所）,会社企業／総数／企業従業者数（人）,会社企業／単一事業所企業／企業等数（企業等）,会社企業／単一事業所企業／事業所数（事業所）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業等数（企業等）,会社企業／複数事業所企業／事業所数（事業所）,会社企業／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／300万円未満／総数／企業等数（企業等）,会社企業／資本金階級／300万円未満／総数／事業所数（事業所）,会社企業／資本金階級／300万円未満／総数／企業従業者数（人）,会社企業／資本金階級／300万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／300万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／300万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／300万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／総数／企業等数（企業等）,会社企業／資本金階級／300万～500万円未満／総数／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／総数／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／300万～500万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／300万～500万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／総数／企業等数（企業等）,会社企業／資本金階級／500万～1000万円未満／総数／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／総数／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／500万～1000万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／500万～1000万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／総数／企業等数（企業等）,会社企業／資本金階級／1000万～3000万円未満／総数／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／1000万～3000万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／1000万～3000万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／総数／企業等数（企業等）,会社企業／資本金階級／3000万～5000万円未満／総数／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／3000万～5000万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／3000万～5000万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／総数／企業等数（企業等）,会社企業／資本金階級／5000万～1億円未満／総数／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／総数／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／5000万～1億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／5000万～1億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／総数／企業等数（企業等）,会社企業／資本金階級／1億～3億円未満／総数／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／総数／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／1億～3億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／1億～3億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／総数／企業等数（企業等）,会社企業／資本金階級／3億～10億円未満／総数／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／総数／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／3億～10億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／3億～10億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／総数／企業等数（企業等）,会社企業／資本金階級／10億～50億円未満／総数／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／総数／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／10億～50億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／10億～50億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／50億円以上／総数／企業等数（企業等）,会社企業／資本金階級／50億円以上／総数／事業所数（事業所）,会社企業／資本金階級／50億円以上／総数／企業従業者数（人）,会社企業／資本金階級／50億円以上／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／50億円以上／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／50億円以上／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／50億円以上／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／50億円以上／複数事業所企業／企業従業者数（人）,会社以外の法人／総数／企業等数（企業等）,会社以外の法人／総数／事業所数（事業所）,会社以外の法人／総数／企業従業者数（人）,会社以外の法人／単一事業所企業／企業等数（企業等）,会社以外の法人／単一事業所企業／事業所数（事業所）,会社以外の法人／単一事業所企業／企業従業者数（人）,会社以外の法人／複数事業所企業／企業等数（企業等）,会社以外の法人／複数事業所企業／事業所数（事業所）,会社以外の法人／複数事業所企業／企業従業者数（人）
3,E,24,242,洋食器・刃物・手道具・金物類製造業,669,870,8830,567,567,2579,102,303,6251,186,186,341,186,186,341,-,-,-,483,684,8489,381,381,2238,102,303,6251,10,11,37,9,9,25,1,2,12,170,176,623,163,163,570,7,13,53,65,71,358,60,60,315,5,11,43,187,257,2446,131,131,1126,56,126,1320,14,28,523,4,4,72,10,24,451,8,23,524,2,2,99,6,21,425,5,20,339,-,-,-,5,20,339,7,61,2902,-,-,-,7,61,2902,-,-,-,-,-,-,-,-,-,1,17,642,-,-,-,1,17,642,-,-,-,-,-,-,-,-,-
3,E,24,243,暖房・調理等装置，配管工事用附属品製造業,176,485,6211,126,126,697,50,359,5514,25,25,47,25,25,47,-,-,-,151,460,6164,101,101,650,50,359,5514,3,3,6,3,3,6,-,-,-,46,51,231,41,41,189,5,10,42,14,14,79,14,14,79,-,-,-,55,77,945,38,38,304,17,39,641,6,14,173,1,1,17,5,13,156,11,55,747,1,1,13,10,54,734,5,43,614,1,1,33,4,42,581,6,187,2933,-,-,-,6,187,2933,1,10,396,-,-,-,1,10,396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,244,建設用・建築用金属製品製造業（製缶板金業を含む）,1638,3734,62242,1353,1353,6144,285,2381,56098,370,371,778,369,369,770,1,2,8,1268,3363,61464,984,984,5374,284,2379,56090,22,23,99,21,21,95,1,2,4,490,527,2241,455,455,1714,35,72,527,130,143,712,117,117,542,13,26,170,454,584,5203,339,339,2576,115,245,2627,47,94,1487,19,19,237,28,75,1250,38,142,2918,9,9,102,29,133,2816,19,245,4989,3,3,35,16,242,4954,6,410,4596,-,-,-,6,410,4596,9,232,4549,-,-,-,9,232,4549,8,890,34261,-,-,-,8,890,34261,-,-,-,-,-,-,-,-,-
3,E,24,245,金属素形材製品製造業,979,1133,11899,872,872,4272,107,261,7627,302,304,608,300,300,592,2,4,16,677,829,11291,572,572,3680,105,257,7611,14,14,47,13,13,45,1,1,2,273,287,1180,257,257,1007,16,30,173,85,92,426,78,78,340,7,14,86,245,297,3412,198,198,1919,47,99,1493,17,35,836,6,6,155,11,29,681,14,32,694,5,5,122,9,27,572,6,18,551,2,2,35,4,16,516,1,2,26,-,-,-,1,2,26,1,4,626,-,-,-,1,4,626,3,23,3275,-,-,-,3,23,3275,-,-,-,-,-,-,-,-,-
3,E,24,246,金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）,1143,1391,14272,1012,1012,6253,131,379,8019,288,289,596,287,287,592,1,2,4,855,1102,13676,725,725,5661,130,377,8015,21,21,98,21,21,98,-,-,-,356,371,1717,342,342,1462,14,29,255,101,110,641,91,91,552,10,19,89,297,376,5281,235,235,2877,62,141,2404,31,55,1046,15,15,374,16,40,672,17,46,1128,4,4,85,13,42,1043,5,21,1031,1,1,111,4,20,920,6,61,1633,-,-,-,6,61,1633,1,1,72,1,1,72,-,-,-,1,17,943,-,-,-,1,17,943,-,-,-,-,-,-,-,-,-
3,E,24,247,金属線製品製造業（ねじ類を除く）,116,177,1308,98,98,425,18,79,883,34,34,61,34,34,61,-,-,-,82,143,1247,64,64,364,18,79,883,-,-,-,-,-,-,-,-,-,21,22,82,20,20,74,1,2,8,8,9,46,7,7,23,1,2,23,40,48,330,32,32,217,8,16,113,7,11,124,5,5,50,2,6,74,1,3,75,-,-,-,1,3,75,4,48,572,-,-,-,4,48,572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,506,634,5276,443,443,1980,63,191,3296,140,140,251,140,140,251,-,-,-,366,494,5025,303,303,1729,63,191,3296,11,11,44,11,11,44,-,-,-,149,155,644,143,143,584,6,12,60,40,47,225,35,35,184,5,12,41,122,150,1206,98,98,748,24,52,458,17,31,491,7,7,145,10,24,346,14,62,1032,2,2,10,12,60,1022,2,9,454,-,-,-,2,9,454,3,19,838,-,-,-,3,19,838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,249,その他の金属製品製造業,605,783,9291,510,510,2338,95,273,6953,166,166,307,165,165,306,1,1,1,439,617,8984,345,345,2032,94,272,6952,7,8,148,6,6,29,1,2,119,173,182,729,161,161,568,12,21,161,41,43,199,38,38,187,3,5,12,163,218,2061,124,124,988,39,94,1073,15,31,607,6,6,113,9,25,494,15,42,1360,3,3,106,12,39,1254,6,25,691,-,-,-,6,25,691,1,13,437,-,-,-,1,13,437,1,8,396,-,-,-,1,8,396,1,17,1393,-,-,-,1,17,1393,-,-,-,-,-,-,-,-,-
2,E,25,000,はん用機械器具製造業,1644,3205,85460,1270,1270,9517,374,1935,75943,328,330,634,326,326,626,2,4,8,1315,2874,84817,943,943,8882,372,1931,75935,33,35,208,31,31,76,2,4,132,397,419,1611,374,374,1358,23,45,253,113,129,608,99,99,422,14,30,186,518,717,7225,374,374,3000,144,343,4225,75,155,3420,31,31,639,44,124,2781,70,209,5034,11,11,204,59,198,4830,31,224,4297,5,5,153,26,219,4144,17,227,6553,-,-,-,17,227,6553,8,172,5734,-,-,-,8,172,5734,12,517,49358,1,1,2986,11,516,46372,1,1,9,1,1,9,-,-,-
3,E,25,251,ボイラ・原動機製造業,32,92,1801,24,24,160,8,68,1641,1,1,1,1,1,1,-,-,-,31,91,1800,23,23,159,8,68,1641,1,1,5,1,1,5,-,-,-,4,4,27,4,4,27,-,-,-,4,7,88,2,2,11,2,5,77,14,20,380,11,11,68,3,9,312,2,2,28,2,2,28,-,-,-,1,1,15,1,1,15,-,-,-,1,1,2,1,1,2,-,-,-,1,48,446,-,-,-,1,48,446,1,4,804,-,-,-,1,4,804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,252,ポンプ・圧縮機器製造業,279,685,25882,201,201,1297,78,484,24585,43,43,95,43,43,95,-,-,-,236,642,25787,158,158,1202,78,484,24585,4,4,6,4,4,6,-,-,-,54,57,204,51,51,191,3,6,13,17,17,64,17,17,64,-,-,-,96,138,1387,71,71,601,25,67,786,24,54,1221,9,9,312,15,45,909,16,52,1352,1,1,6,15,51,1346,5,19,436,1,1,5,4,18,431,7,93,3084,-,-,-,7,93,3084,1,2,47,-,-,-,1,2,47,3,189,17731,-,-,-,3,189,17731,-,-,-,-,-,-,-,-,-
3,E,25,253,一般産業用機械・装置製造業,490,1139,39009,345,345,5184,145,794,33825,58,59,117,57,57,111,1,2,6,431,1079,38883,287,287,5064,144,792,33819,5,6,12,4,4,9,1,2,3,109,118,510,100,100,427,9,18,83,38,40,211,33,33,158,5,7,53,190,271,2987,129,129,1154,61,142,1833,29,60,1053,12,12,161,17,48,892,23,81,1895,3,3,155,20,78,1740,13,118,2377,1,1,6,12,117,2371,4,34,1609,-,-,-,4,34,1609,3,84,2749,-,-,-,3,84,2749,6,249,25345,1,1,2986,5,248,22359,1,1,9,1,1,9,-,-,-
3,E,25,259,その他のはん用機械・同部分品製造業,843,1289,18768,700,700,2876,143,589,15892,226,227,421,225,225,419,1,2,2,617,1062,18347,475,475,2457,142,587,15890,23,24,185,22,22,56,1,2,129,230,240,870,219,219,713,11,21,157,54,65,245,47,47,189,7,18,56,218,288,2471,163,163,1177,55,125,1294,20,39,1118,8,8,138,12,31,980,30,75,1772,6,6,28,24,69,1744,12,86,1482,2,2,140,10,84,1342,5,52,1414,-,-,-,5,52,1414,3,82,2134,-,-,-,3,82,2134,3,79,6282,-,-,-,3,79,6282,-,-,-,-,-,-,-,-,-
2,E,26,000,生産用機械器具製造業,3497,5250,95321,2833,2833,15299,664,2417,80022,620,627,1284,613,613,1256,7,14,28,2877,4623,94037,2220,2220,14043,657,2403,79994,40,40,150,40,40,150,-,-,-,961,1005,3691,910,910,3211,51,95,480,322,350,1610,293,293,1241,29,57,369,1095,1440,14308,825,825,6980,270,615,7328,152,315,5302,67,67,1198,85,248,4104,120,329,7288,38,38,795,82,291,6493,42,187,6338,7,7,172,35,180,6166,24,180,5955,3,3,181,21,177,5774,25,271,9335,-,-,-,25,271,9335,21,388,38719,-,-,-,21,388,38719,-,-,-,-,-,-,-,-,-
3,E,26,261,農業用機械製造業（農業用器具を除く）,24,89,2486,16,16,107,8,73,2379,4,5,12,3,3,8,1,2,4,20,84,2474,13,13,99,7,71,2375,1,1,11,1,1,11,-,-,-,3,3,5,3,3,5,-,-,-,3,3,12,3,3,12,-,-,-,6,9,95,4,4,36,2,5,59,2,3,65,1,1,33,1,2,32,1,9,177,-,-,-,1,9,177,-,-,-,-,-,-,-,-,-,1,20,277,-,-,-,1,20,277,1,28,560,-,-,-,1,28,560,1,7,1270,-,-,-,1,7,1270,-,-,-,-,-,-,-,-,-
3,E,26,262,建設機械・鉱山機械製造業,149,399,26532,92,92,706,57,307,25826,14,14,38,14,14,38,-,-,-,135,385,26494,78,78,668,57,307,25826,3,3,14,3,3,14,-,-,-,26,28,101,24,24,89,2,4,12,10,11,51,9,9,38,1,2,13,57,86,1079,35,35,346,22,51,733,5,18,307,1,1,40,4,17,267,13,64,1327,3,3,134,10,61,1193,3,17,296,-,-,-,3,17,296,2,19,667,-,-,-,2,19,667,5,73,1964,-,-,-,5,73,1964,6,58,20495,-,-,-,6,58,20495,-,-,-,-,-,-,-,-,-
3,E,26,263,繊維機械製造業,38,56,1498,29,29,105,9,27,1393,8,8,17,8,8,17,-,-,-,30,48,1481,21,21,88,9,27,1393,-,-,-,-,-,-,-,-,-,15,15,43,15,15,43,-,-,-,-,-,-,-,-,-,-,-,-,8,12,161,3,3,15,5,9,146,-,-,-,-,-,-,-,-,-,2,2,29,2,2,29,-,-,-,-,-,-,-,-,-,-,-,-,1,11,390,-,-,-,1,11,390,-,-,-,-,-,-,-,-,-,1,3,845,-,-,-,1,3,845,-,-,-,-,-,-,-,-,-
3,E,26,264,生活関連産業用機械製造業,451,675,9317,354,354,2260,97,321,7057,55,56,127,54,54,125,1,2,2,396,619,9190,300,300,2135,96,319,7055,8,8,22,8,8,22,-,-,-,112,115,438,106,106,398,6,9,40,39,43,171,35,35,136,4,8,35,166,214,2174,128,128,1096,38,86,1078,33,79,1648,12,12,288,21,67,1360,15,39,946,3,3,44,12,36,902,3,18,403,-,-,-,3,18,403,6,58,1510,1,1,138,5,57,1372,2,6,266,-,-,-,2,6,266,3,29,1583,-,-,-,3,29,1583,-,-,-,-,-,-,-,-,-
3,E,26,265,基礎素材産業用機械製造業,324,635,12364,207,207,1264,117,428,11100,24,24,41,24,24,41,-,-,-,300,611,12323,183,183,1223,117,428,11100,3,3,7,3,3,7,-,-,-,49,54,210,45,45,188,4,9,22,13,14,144,12,12,54,1,2,90,147,207,1622,99,99,710,48,108,912,31,63,902,10,10,92,21,53,810,24,54,1178,9,9,141,15,45,1037,11,32,691,2,2,21,9,30,670,1,2,26,-,-,-,1,2,26,7,33,1499,-,-,-,7,33,1499,3,128,5489,-,-,-,3,128,5489,-,-,-,-,-,-,-,-,-
3,E,26,266,金属加工機械製造業,1015,1491,18331,846,846,4011,169,645,14320,232,235,425,229,229,415,3,6,10,783,1256,17906,617,617,3596,166,639,14310,5,5,18,5,5,18,-,-,-,307,322,1162,290,290,961,17,32,201,95,104,443,86,86,386,9,18,57,279,378,3981,206,206,1810,73,172,2171,30,63,932,11,11,131,19,52,801,27,75,1727,7,7,170,20,68,1557,10,28,978,2,2,62,8,26,916,3,12,320,1,1,35,2,11,285,7,123,4481,-,-,-,7,123,4481,3,120,3627,-,-,-,3,120,3627,-,-,-,-,-,-,-,-,-
3,E,26,267,半導体・フラットパネルディスプレイ製造装置製造業,285,451,11682,225,225,1695,60,226,9987,31,31,68,31,31,68,-,-,-,254,420,11614,194,194,1627,60,226,9987,5,5,24,5,5,24,-,-,-,65,69,307,61,61,269,4,8,38,31,33,154,29,29,127,2,4,27,90,117,1406,74,74,703,16,43,703,20,33,557,13,13,257,7,20,300,15,37,755,6,6,157,9,31,598,6,32,1090,2,2,47,4,30,1043,6,28,1206,1,1,8,5,27,1198,3,8,565,-,-,-,3,8,565,4,43,5410,-,-,-,4,43,5410,-,-,-,-,-,-,-,-,-
3,E,26,269,その他の生産用機械・同部分品製造業,1211,1454,13111,1064,1064,5151,147,390,7960,252,254,556,250,250,544,2,4,12,959,1200,12555,814,814,4607,145,386,7948,15,15,54,15,15,54,-,-,-,384,399,1425,366,366,1258,18,33,167,131,142,635,119,119,488,12,23,147,342,417,3790,276,276,2264,66,141,1526,31,56,891,19,19,357,12,37,534,23,49,1149,8,8,120,15,41,1029,9,60,2880,1,1,42,8,59,2838,4,30,1559,-,-,-,4,30,1559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,27,000,業務用機械器具製造業,1916,3844,136297,1448,1448,11253,468,2396,125044,291,292,650,290,290,639,1,2,11,1624,3551,135629,1157,1157,10596,467,2394,125033,40,42,190,37,37,140,3,5,50,422,446,2031,399,399,1766,23,47,265,124,134,745,113,113,621,11,21,124,670,923,10738,493,493,5031,177,430,5707,86,241,4231,47,47,1005,39,194,3226,122,557,18158,32,32,760,90,525,17398,45,249,7502,7,7,296,38,242,7206,34,183,5554,4,4,183,30,179,5371,19,234,9978,3,3,53,16,231,9925,17,457,74853,1,1,683,16,456,74170,1,1,18,1,1,18,-,-,-
3,E,27,271,事務用機械器具製造業,104,331,57671,68,68,1161,36,263,56510,8,8,18,8,8,18,-,-,-,96,323,57653,60,60,1143,36,263,56510,2,3,6,1,1,1,1,2,5,22,24,104,20,20,81,2,4,23,9,11,70,7,7,43,2,4,27,35,45,978,27,27,681,8,18,297,6,10,303,2,2,87,4,8,216,6,13,309,1,1,27,5,12,282,3,5,293,2,2,223,1,3,70,2,7,256,-,-,-,2,7,256,2,22,412,-,-,-,2,22,412,5,159,54026,-,-,-,5,159,54026,-,-,-,-,-,-,-,-,-
3,E,27,272,サービス用・娯楽用機械器具製造業,182,478,13003,122,122,1033,60,356,11970,12,12,36,12,12,36,-,-,-,170,466,12967,110,110,997,60,356,11970,5,5,29,4,4,24,1,1,5,32,34,143,30,30,128,2,4,15,12,12,88,12,12,88,-,-,-,73,96,1600,51,51,584,22,45,1016,7,7,155,5,5,114,2,2,41,8,42,1886,2,2,24,6,40,1862,6,52,496,1,1,4,5,51,492,8,39,1005,-,-,-,8,39,1005,4,6,271,2,2,25,2,4,246,5,155,6993,-,-,-,5,155,6993,-,-,-,-,-,-,-,-,-
3,E,27,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,770,1213,20514,610,610,4723,160,603,15791,101,101,223,101,101,223,-,-,-,669,1112,20291,509,509,4500,160,603,15791,10,10,41,10,10,41,-,-,-,154,162,565,147,147,518,7,15,47,52,55,285,49,49,252,3,6,33,308,387,3285,245,245,1929,63,142,1356,47,85,1726,29,29,588,18,56,1138,54,188,5137,17,17,281,37,171,4856,15,63,2687,2,2,56,13,61,2631,11,61,1467,3,3,103,8,58,1364,6,67,2218,1,1,28,5,66,2190,2,19,2600,1,1,683,1,18,1917,-,-,-,-,-,-,-,-,-
3,E,27,274,医療用機械器具・医療用品製造業,574,1390,34697,436,436,3052,138,954,31645,109,110,239,108,108,228,1,2,11,464,1279,34440,327,327,2806,137,952,31634,17,18,97,16,16,57,1,2,40,153,158,859,148,148,806,5,10,53,30,32,187,28,28,170,2,4,17,163,265,3230,109,109,1310,54,156,1920,15,113,1460,7,7,94,8,106,1366,38,270,9606,9,9,338,29,261,9268,17,114,3359,2,2,13,15,112,3346,7,56,2097,-,-,-,7,56,2097,5,130,6239,-,-,-,5,130,6239,4,102,7190,-,-,-,4,102,7190,1,1,18,1,1,18,-,-,-
3,E,27,275,光学機械器具・レンズ製造業,283,427,9905,210,210,1241,73,217,8664,61,61,134,61,61,134,-,-,-,222,366,9771,149,149,1107,73,217,8664,6,6,17,6,6,17,-,-,-,60,67,356,53,53,229,7,14,127,21,24,115,17,17,68,4,7,47,91,130,1645,61,61,527,30,69,1118,11,26,587,4,4,122,7,22,465,15,43,1181,2,2,51,13,41,1130,4,15,667,-,-,-,4,15,667,6,20,729,1,1,80,5,19,649,1,6,374,-,-,-,1,6,374,1,22,4044,-,-,-,1,22,4044,-,-,-,-,-,-,-,-,-
3,E,27,276,武器製造業,3,5,507,2,2,43,1,3,464,-,-,-,-,-,-,-,-,-,3,5,507,2,2,43,1,3,464,-,-,-,-,-,-,-,-,-,1,1,4,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,39,1,1,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,464,-,-,-,1,3,464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,28,000,電子部品・デバイス・電子回路製造業,1143,1984,132868,833,833,7601,310,1151,125267,116,119,299,114,114,285,2,5,14,1026,1863,132553,719,719,7316,307,1144,125237,13,18,304,9,9,41,4,9,263,239,250,1105,228,228,1000,11,22,105,84,86,443,80,80,419,4,6,24,410,544,7074,308,308,3241,102,236,3833,77,135,4354,40,40,661,37,95,3693,57,122,4163,23,23,683,34,99,3480,37,107,3897,15,15,645,22,92,3252,18,98,8388,4,4,133,14,94,8255,22,120,12038,4,4,475,18,116,11563,32,313,89419,-,-,-,32,313,89419,1,2,16,-,-,-,1,2,16
3,E,28,281,電子デバイス製造業,103,300,68424,54,54,631,49,246,67793,7,7,17,7,7,17,-,-,-,95,291,68391,47,47,614,48,244,67777,1,2,14,-,-,-,1,2,14,18,19,63,17,17,59,1,2,4,4,4,21,3,3,15,1,1,6,26,39,776,16,16,222,10,23,554,7,10,500,4,4,42,3,6,458,9,27,509,1,1,2,8,26,507,5,6,145,3,3,109,2,3,36,2,32,4390,1,1,37,1,31,4353,5,22,3360,1,1,127,4,21,3233,12,119,58180,-,-,-,12,119,58180,1,2,16,-,-,-,1,2,16
3,E,28,282,電子部品製造業,276,482,26716,188,188,1563,88,294,25153,32,34,73,31,31,69,1,3,4,244,448,26643,157,157,1494,87,291,25149,6,6,27,6,6,27,-,-,-,57,59,300,55,55,275,2,4,25,17,19,132,15,15,116,2,4,16,102,152,1880,62,62,726,40,90,1154,26,43,1114,13,13,166,13,30,948,8,17,893,4,4,158,4,13,735,7,16,631,2,2,26,5,14,605,1,3,227,-,-,-,1,3,227,4,20,1172,-,-,-,4,20,1172,10,99,20041,-,-,-,10,99,20041,-,-,-,-,-,-,-,-,-
3,E,28,283,記録メディア製造業,14,20,1157,11,11,84,3,9,1073,2,2,5,2,2,5,-,-,-,12,18,1152,9,9,79,3,9,1073,-,-,-,-,-,-,-,-,-,1,1,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,5,5,29,5,5,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,81,1,1,13,1,2,68,-,-,-,-,-,-,-,-,-,2,5,410,1,1,34,1,4,376,1,3,629,-,-,-,1,3,629,-,-,-,-,-,-,-,-,-
3,E,28,284,電子回路製造業,265,442,17642,200,200,2579,65,242,15063,16,16,60,16,16,60,-,-,-,249,426,17582,184,184,2519,65,242,15063,4,6,137,2,2,9,2,4,128,55,58,243,52,52,217,3,6,26,18,18,84,18,18,84,-,-,-,108,140,2339,91,91,1108,17,49,1231,17,33,1349,9,9,186,8,24,1163,14,35,1260,5,5,211,9,30,1049,11,23,1526,4,4,388,7,19,1138,5,28,2424,-,-,-,5,28,2424,4,15,1912,2,2,314,2,13,1598,5,55,6217,-,-,-,5,55,6217,-,-,-,-,-,-,-,-,-
