"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"女／40～50未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／50～60未満","1","1.1","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","1","8.3","0","0"
"女／60～70未満","1","1.1","0","0","1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／70～80未満","3","3.3","0","0","1","50","1","4","0","0","0","0","1","5","0","0","0","0","0","0","1","33.3"
"女／80～90未満","10","10.9","1","25","0","0","3","12","0","0","2","7.7","4","20","2","11.8","1","20","2","16.7","1","33.3"
"女／90～100未満","5","5.4","1","25","0","0","1","4","1","6.7","2","7.7","0","0","2","11.8","0","0","0","0","0","0"
"女／100～110未満","8","8.7","0","0","0","0","2","8","2","13.3","3","11.5","1","5","3","17.6","0","0","1","8.3","0","0"
"女／110～120未満","10","10.9","1","25","0","0","3","12","2","13.3","2","7.7","2","10","1","5.9","0","0","2","16.7","0","0"
"女／120～130未満","15","16.3","0","0","0","0","3","12","3","20","5","19.2","4","20","3","17.6","2","40","2","16.7","0","0"
"女／130～140未満","11","12","1","25","0","0","4","16","1","6.7","4","15.4","1","5","4","23.5","0","0","1","8.3","0","0"
"女／140～150未満","7","7.6","0","0","0","0","1","4","1","6.7","4","15.4","1","5","0","0","1","20","0","0","0","0"
"女／150～160未満","7","7.6","0","0","0","0","3","12","1","6.7","1","3.8","2","10","1","5.9","0","0","2","16.7","0","0"
"女／160～170未満","6","6.5","0","0","0","0","2","8","2","13.3","2","7.7","0","0","1","5.9","0","0","0","0","0","0"
"女／170～180未満","4","4.3","0","0","0","0","2","8","2","13.3","0","0","0","0","0","0","0","0","0","0","0","0"
"女／180～190未満","3","3.3","0","0","0","0","0","0","0","0","0","0","3","15","0","0","1","20","1","8.3","1","33.3"
"女／190～200未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／200～210未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／210～220未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／220～230未満","1","1.1","0","0","0","0","0","0","0","0","1","3.8","0","0","0","0","0","0","0","0","0","0"
"女／230～240未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／240mg/dl以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／平均値mg/dl","125.8","","106.5","","67.5","","128.2","","134.3","","129.3","","121.5","","119.1","","131.4","","119.5","","113",""
"女／標準偏差","32","","23.5","","10.6","","29.9","","26.6","","30","","37.9","","22.8","","37.2","","35.3","","60.7",""
