"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"11","中延3～6、東中延2、西中延3、旗の台3・4・5(6～12、21～28)","中延在宅介護支援センター","ﾅｶﾉﾌﾞｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-3787-2167","03-3787-2236","142-0053","品川区中延6-8-8","35.601826","139.711487","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"12","上大崎、東五反田","上大崎在宅介護支援センター","ｶﾐｵｵｻｷｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-3473-1831","03-3473-1554","141-0021","品川区上大崎3-1-1","35.632851","139.716843","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"13","北品川、東品川1・2・5","台場在宅介護支援センター","ﾀﾞｲﾊﾞｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5479-8593","03-5479-8294","140-0001","品川区北品川3-11-16","35.616436","139.739273","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"14","西大井","西大井在宅介護支援センター","ﾆｼｵｵｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5743-6120","03-5743-6121","140-0015","品川区西大井2-4-4","35.599796","139.722351","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"15","南大井","南大井在宅介護支援センター","ﾐﾅﾐｵｵｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5753-3902","03-5767-0627","140-0013","品川区南大井4-19-3","35.593044","139.734695","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"16","二葉1～3、豊町2～5","杜松在宅介護支援センター","ﾄｼｮｳｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5750-7707","03-5750-7709","142-0042","品川区豊町4-24-15","35.605835","139.722733","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"17","東大井、勝島","南大井第二在宅介護支援センター","ﾐﾅﾐｵｵｲﾀﾞｲﾆｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5495-7083","03-5495-7085","140-0011","品川区東大井4-9-1","35.605358","139.740372","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"18","戸越6、豊町6、二葉4","大原在宅介護支援センター","ｵｵﾊﾗｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5749-2531","03-5749-2533","142-0042","品川区豊町6-25-13","35.603725","139.713684","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"19","東品川3(10～32)・4、南品川3・5(10～16)","東品川第二在宅介護支援センター","ﾋｶﾞｼｼﾅｶﾞﾜﾀﾞｲﾆｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5783-2656","03-5783-2658","140-0002","品川区東品川3-27-25オフィスイン品川3階","35.611816","139.746674","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"20","大井2・3・5・7","大井第二在宅介護支援センター","ｵｵｲﾀﾞｲﾆｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5743-2943","03-5743-2942","140-0014","品川区大井3-15-7","35.602428","139.729401","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"21","西五反田","西五反田在宅介護支援センター","ﾆｼｺﾞﾀﾝﾀﾞｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5740-6115","03-5740-6091","141-0031","品川区西五反田3-6-6","35.627678","139.717850","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"22","小山台、小山1～3","小山台在宅介護支援センター","ｺﾔﾏﾀﾞｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5794-8511","03-5794-8512","142-0061","品川区小山台1-4-1（りんし２１区民集会所３階）","35.624367","139.704758","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"23","区内全域","品川区消費者センター","ｼﾅｶﾞﾜｸｼｮｳﾋｼｬｾﾝﾀｰ","03-5718-7182","03-5718-7183","140-0014","品川区大井1-14-1大井1丁目共同ビル4階","35.607559","139.731613","JGD2011","平日9時～16時／第四火曜日16時～19時／土曜日(不定期で休みあり）12時30分～16時","","","","","〇","","〇"
