"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"28","いけぶくろ茜の里","社会福祉法人フロンティア","豊島区","03-5960-5231","","http://www.frontier-sw.or.jp/","akanenosato@frontier-sw.or.jp","公園清掃","清掃","","690m2/回","当日/年間契約","4.66円/m2","自力での納品可","","有","",""
"29","いけぶくろ茜の里","社会福祉法人フロンティア","豊島区","03-5960-5231","","http://www.frontier-sw.or.jp/","akanenosato@frontier-sw.or.jp","公園除草","清掃","","138m2/回","当日/年間契約","64.43円/m2","自力での納品可","","有","",""
"30","ル・ピュル","特定非営利活動法人ネットワーク豊友","豊島区","03-6905-8005","梁","","nwh-lepur@tiara.ocn.ne.jp","野外清掃","清掃","50m2","300m2","1年間","10円／m2","自力での納品可","無","有","有","商店街の清掃作業をしております。単価・納期についてはご相談ください。"
"31","来夢","社会福祉法人あゆみ","北区","03-3598-9100","","https://aym.or.jp/","raimu266@aym.or.jp","公園清掃","清掃","","","4日～","応相談","自力での納品可","無","有","無","定期的な清掃から一回のみの草むしりまで行います。"
"32","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","建物巡回清掃","清掃","1","4","1","6000","自力での納品可","無","有","有","マンション、アパート、法人管理建物の定海清掃および退居後のハウスクリーニングを行っています。"
"33","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","屋外清掃（駐車場等）、洗車","清掃","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","マンションの共有スペースの日常清掃、駐車場等の清掃、除草の実績があります"
"34","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","公園清掃","清掃","350m2","2500m2","1年間","400/m2","自力での納品可","無","有","無","ブロワー・草刈り機有り"
"35","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","清掃","清掃","50m2","150m2","要相談","要見積もり","自力での納品可","無","無","有","エアコン清掃、レンジフードの清掃、草むしり、レストランの厨房の清掃など、どんな清掃も行います。"
"36","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","公園清掃","清掃","","週３回","１年間","１００万","","","有","","利用者の方と一緒に週３回練馬区内にある公園を清掃しております。"
"37","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","施設内清掃","清掃","500m2","2000m2","一年間","東京都最低賃金","自力での納品可","有","有","有","日常清掃、フロア、トイレ等"
"38","保木間作業所","特定非営利活動法人みなづき会","足立区","03-3860-9513","北浦","","hms-9513@image.ocn.ne.jo","アパートの定期清掃・点検","清掃","1日2～3件程度","1日5件程度","応相談","応相談","","","","有","複数の利用者による視点で、様々な箇所に注意を払い作業を行っています。"
"39","保木間作業所","特定非営利活動法人みなづき会","足立区","03-3860-9513","北浦","","hms-9513@image.ocn.ne.jo","除草","清掃","応相談","応相談","応相談","応相談","","有","","","施設利用者や職員の方の目にどう映るか、を意識しながら仕上げています。"
"40","保木間作業所","特定非営利活動法人みなづき会","足立区","03-3860-9513","北浦","","hms-9513@image.ocn.ne.jo","除草・剪定","清掃","応相談","応相談","応相談","300円/1m2","","","","有","営業開始時間前に迅速かつ丁寧に行っています。"
"41","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","飲食店","清掃","75m2","145m2","半日","300円／m2","自力での納品可","無","無","有","店舗周りの清掃を行っています。"
"42","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","共同住宅","清掃","１棟","８棟","1日","3000円／棟","自力での納品可","無","無","有","共有部分の清掃を行っています。"
"43","あさひ","株式会社ビジネスパートナーズ","葛飾区","03-3826-6075","","https//www.asahi-bp.co.jp/","asahi@dynam.co.jp","オフィスビル清掃","清掃","１フロアー","１フロアー","１日","10000～30000円","自力での納品可","無","無","有","1フロアー掃除機掛けと男女トイレを清掃"
"44","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","施設清掃","清掃","50m2","500m2","１年間","４０円/m2","自力での納品可","無","有","有","感染症対策に特化した清掃システムで障害者施設や高齢者施設等の清掃を行います。施設を利用されている方々に配慮して作業を進めています。"
"45","奥戸福祉館","社会福祉法人原町成年寮","葛飾区","03-5670-8111","丸山","http://www.haramachiseinenryo.com/","okudo8111@msn.com","施設清掃","清掃","","","応相談","応相談","","無","無","有","利用者と職員のユニットで高齢者施設の清掃を行っています。施設全体の清掃を行っている為、各スポットのみでもお受けできるノウハウがあります。"
"46","水元そよかぜ園","社会福祉法人手をつなぐ福祉会","葛飾区","03-3607-5656","","http://tefuku.or.jp/","soyokaze@tefuku-mizumoto.jp","公園清掃","清掃","8.815m2","1年間","3.68円／m2","発注元による回収希望","","","","","官公庁"
"47","東京ソテリアエンプロイメント","特定非営利活動法人東京ソテリア","江戸川区","03-5879-4970","宮澤明音","http://soteria.jp/","benri@soteria.jp","清掃","清掃","単発","1年間","1週間～1カ月","2000円/時間","自力での納品可","無","有","有","スポーツ施設の清掃や居宅清掃、福祉施設やアパート共有部分の清掃など屋内外の清掃および管理を行っています。ごみ屋敷の清掃も対応します。"
"48","東京ソテリアエンプロイメント","特定非営利活動法人東京ソテリア","江戸川区","03-5879-4970","宮澤明音","http://soteria.jp/","benri@soteria.jp","引越し手伝い","清掃","単発","週2回","1週間～1カ月","2000円/時間","自力での納品可","無","無","有","引越しのお手伝いをいたします。重い物を下に降ろすだけ、などの部分的な利用も可能です。"
"49","いちょう工房ぎんなんの家","社会福祉法人八王子いちょうの会","八王子市","042-651-5717","梅澤恵子","http://www.ichounokai.or.jp/","ginnannoie@tbu.t-com.ne.jp","公園掃除","清掃","944m2","2225m2","1年","","自力での納品可","無","有","無","八王子市陵北児童遊園八王子市川原宿東児童遊園のごみ拾い、砂場の掘り起こし等を行っています。"
"50","ココテラス","一般社団法人メンタルさぽーと協会","八王子市","042-683-3435","尾崎","https://mensapo.or.jp/employment-support/","k.ozaki@mensapo.or.jp","清掃","清掃","２人","５人","","契約による","自力での納品可","無","無","有","特別養護老人ホーム廊下清掃オフィス床、トイレ、シンク、階段など"
"51","デイサービスTRY","社会福祉法人もくば会","八王子市","042-634-9067","佐竹","https://mokubakai.or.jp/","try@mokubakai.or.jp","施設清掃","清掃","100m2","300m2","1年間","作業時間等による","自力での納品可","無","無","有","車両送迎により、近隣のグループホーム入所施設に出向き、清掃作業を行います。片道30以内の施設に限ります。"
"52","希望の里","社会福祉法人武蔵野会","八王子市","042-654-7311","中神","http://kibounosato.sakura.ne.jp","kibou@river.ocn.ne.jp","墓地清掃代行","清掃","応相談","応相談","応相談","1カ所3000円～","自力での納品可","無","無","有",""
"53","第三高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-628-0569","中根","https://www.supporttakao.or.jp/","dai3takao@yahoo.co.jp","公園清掃","清掃","","1公園","12回","8400円","","","","",""
"54","八王子障害者総合支援センターとことこ","社会福祉法人もくば会","八王子市","042-668-8848","佐藤","","tokotoko@lime.ocn.ne.jp","労役・業務委託作業","清掃","￥5000/1回","_","12ヵ月・月締め","年契約・作業規模による","自力での納品可","","","有","他施設の建物内・公園・駐車場清掃等の実績。受注費用はすべて（時給設定し）工賃支給の原資になる"
"55","いちょう工房そら","社会福祉法人八王子いちょうの会","八王子市","042-627-0079","大村","","ityou4sora@kna.biglobe.ne.jp","公園清掃","清掃","１か所","２か所","１日","60~70/m2","発注元による回収希望","無","無","有",""
"56","ひのき工房","社会福祉法人蕗の会","八王子市","042-667-2158","依田","https://www.hinokikobo.com/","hinoki2158@yahoo.co.jp","霊園清掃","清掃","40","58","1園","1年間","自力での納品可","無","無","有",""
"57","ひのき工房","社会福祉法人蕗の会","八王子市","042-667-2158","依田","https://www.hinokikobo.com/","hinoki2158@yahoo.co.jp","お片付け事業","清掃","40","58","応相談","１日","自力での納品可","無","無","有",""
"58","lykkeアカデミー","一般社団法人lykke","八王子市","042-649-8260","丸山","https://www.lykke-hachioji.com","info@lykke.or.jp","施設内清掃","清掃","50m2","300m2","1年間","未定","自力での納品可","無","無","無","実績がないため依頼主様と相談の上決定したい"
"59","立川市社会福祉協議会就労支援事業所","社会福祉法人立川市社会福祉協議会","立川市","042-536-0549","比留間","http://www.tachikawa-shakyo.jp/","sakae-work@tachikawa-shakyo.jp","屋外清掃・花壇管理","清掃","","週１回","１年間","未定","発注元による回収希望","","有","","公園や駅前の清掃、講演の花壇清掃と花の管理を行っています。"
"60","Hachisu","株式会社Hachisu","立川市","042-507-4470","田口","http://hachisu.1205.co.jp","hachisu.1205@gmail.com","自動車洗車","清掃","1台","3台","1日","2000～/台","自力での納品可","無","無","有","手洗いで洗車を行っている為1週間前にご予約をお願いしております。お急ぎの方はご相談ください。"
"61","三鷹ひまわり第一共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-76-0388","関","http://m-himawari.net/","m-hmwr1@m-himawari.net","屋外清掃（公園、市有地）","清掃","70m2","1000m2","1年","5円/m2～","自力での納品可","無","有","無","草刈り機、剪定鋏、根切りなどの道具を使用し丁寧かつ正確な作業を行います。近隣の方等に配慮して作業を進めています。"
"62","いいあさファーム","社会福祉法人年輪","青梅市","0428-85-8676","","http://www.nenrin-sw.org/","iiasafarm@nenrin-sw.org","畑手入れ","清掃","6名","2名","","3000円/回","自力での納品可","無","無","無",""
"63","いいあさファーム","社会福祉法人年輪","青梅市","0428-85-8676","","http://www.nenrin-sw.org/","iiasafarm@nenrin-sw.org","公園清掃","清掃","6名","2名","","3000円/回","自力での納品可","無","有","無","地域自治会より委託"
"64","いいあさファーム","社会福祉法人年輪","青梅市","0428-85-8676","","http://www.nenrin-sw.org/","iiasafarm@nenrin-sw.org","草取り","清掃","6名","2名","","3000円/回","自力での納品可","無","無","有","近隣農家より"
"65","たましろの郷","社会福祉法人東京聴覚障害者福祉事業協会","青梅市","0428-20-0722","山口","https://www.tamasiro.net/access/","tamasiro@bg.wakwak.com","施設清掃屋外清掃(公園等)","清掃","","内容に応じて","1年","10円/m2～","自力での納品可","有","有","有","通常・定期・特別清掃(ワックス掛けなど)"
"66","あんだんて","特定非営利活動法人このもかのも","昭島市","042-519-2816","石川","http://www17.plala.or.jp/konomokanomo/index.html","","施設清掃","清掃","50m2","100m2","1年間","35円／m2","自力での納品可","無","無","有","ポリッシャーによる洗浄、及びワックスには対応していません。安全・丁寧に日常清掃を行います。"
"67","あんだんて","特定非営利活動法人このもかのも","昭島市","042-519-2816","石川","http://www17.plala.or.jp/konomokanomo/index.html","","屋外清掃・除草","清掃","10m2","100m2","1年間","35円／m2","自力での納品可","無","無","有","アパート共用部や駐車場の清掃・除草を行います。"
"68","ぷーやんあしながくらぶ2号館","特定非営利活動法人ぷーやんあしなが福祉会","昭島市","042-545-6640","加藤治男","","pooyan2gou1@gmail.com","清掃作業","清掃","1人/日","7人/日","1日","時890円/人","自力での納品可","無","無","有","主にグループホームや公共施設の清掃活動に取り組んでいる"
"69","ゆいのもりつつじが丘","社会福祉法人ゆいのもり福祉協会","昭島市","042-545-5451","","http://www.yuinomori.or.jp","yuisya@tbr.t-com.ne.jp","清掃","清掃","","","100日","","","無","有","有","ビル清掃、ワックス清掃、駐車場清掃、除草"
"70","ゆいのもり田中町","社会福祉法人ゆいのもり福祉協会","昭島市","042-542-6776","田中","http://yuinomori.or.jp/","the_3rd_minnano_harmony@yahoo.co.jp","除草作業・公園清掃","清掃","150m2","1800m2","１週間","120円/m2","自力での納品可","無","有","有","現場の状況に応じて価格や方法等は応相談です。昭島市と隣接する地域であれば可能です。"
"71","旭出調布福祉作業所","大泉旭出学園","調布市","042-485-5885","松田","http://www.chofufs.jp/","info@chofufs.jp","屋内外の清掃","清掃","応相談","応相談","応相談","応相談","発注元による回収希望","無","有","無",""
"72","富士清掃サービス","社会福祉法人富士福祉会","町田市","042-792-0757","熊谷","https://fujifukushikai.or.jp/","seisou-s@fujifukushikai.or.jp","清掃","清掃","要相談","要相談","","作業内容によりお見積りいたします。","","無","有","有","施設の日常清掃、床のワックスがけ、草刈りなどができます。ご依頼いただいた際は、作業内容の詳細を伺いお見積りいたします。"
"73","小金井聖ヨハネワ－クセンタ－","社会福祉法人聖ヨハネ会","小金井市","042-315-2238","渡部","http://www.seiyohanekai.or.jp/","work_koganei@seiyohanekai.or.jp","公園清掃","清掃","","週2回まで月8回まで","","4.2円/m2","","無","有","有","公園清掃、公園トイレ清掃も対応しております。"
"74","木馬の会（ライブワークス）","特定非営利活動法人木馬の会","小金井市","042-316-5438","","http://npo-mokuba.org/","otoiawase@npo-mokuba.org","公園清掃","清掃","50m2","800m2","1回/月","5円/10m2","自力での納品可","","有","","小金井市より受託、砂場のない公園で落ち葉や異物（タバコや動物のフン等）に気を配り清掃しています。清掃前後に写真を撮り報告しています。"
"75","バウム","社会福祉法人未来","小平市","042-313-2798","大野","http://mirai.no.coocan.jp","baum.mirai@nifty.com","清掃","清掃","","","年間","未定","","無","有","有","屋外清掃（公園・駐車場等）、屋内清掃（ビル・マンション・アパート等）、除草"
"76","小平第二みどり作業所","社会福祉法人未来","小平市","042-313-4461","本橋","http://mirai.no.coocan.jp/","dai2midori-verde@nifty.com","公園清掃","清掃","50m2","3000m2","1年間","1013円/ｈ","","無","有","有","芝刈機やブロワ―などの機械を使用して園内の美化に努めています。"
"77","小平第二みどり作業所","社会福祉法人未来","小平市","042-313-4461","本橋","http://mirai.no.coocan.jp/","dai2midori-verde@nifty.com","施設清掃","清掃","50m2","3000m2","1年間","1013円/ｈ","","無","無","有","フロア、トイレ、階段、駐車場等の清掃対応可能です。"
"78","みどりの森","社会福祉法人山場都会","東村山市","042-395-3210","田中英史","","midorinomori@wing.ocn.ne.jp","公園清掃","清掃","50m2","6000m2","半日","７５００円／回","自力での納品可","有","有","有","公園以外のトイレ（マンション等）施設清掃もお受けします。"
"79","オハナ農園","認定特定非営利活動法人Ohana","国分寺市","042-207-7687","白瀬美弘","http://www.npo-ohanaa.com","npoohana@jcom.home.ne.jp","清掃受注","清掃","1か所","5か所","1週間","１m2１００円","自力での納品可","無","有","有","マンションの植栽管理及び除草"
"80","さつき共同作業所","社会福祉法人はらからの家福祉会","国分寺市","042-326-3775","","http://harakaranoie.com","harakara.satsuki@gmail.com","公園、駐車場清掃","清掃","応相談","応相談","応相談","応相談","","無","有","有","落ち葉掃き、雑草抜きを丁寧に行っております。"
"81","希望園","社会福祉法人けやきの杜","国分寺市","042-321-2200","","https://www.keyakinomori.or.jp/","nozomienjimu@keyakinomori.or.jp","清掃","清掃","","","1年間","","","無","有","有","掃き掃除、モップ掛け、トイレ清掃など基本的な清掃を行います。"
"82","就労支援事業所メイ","特定非営利活動法人ＮＰＯ狛江さつき会","狛江市","03-3480-8187","?橋","http://www.satsukikai.org","may@satsukikai.org","施設清掃","清掃","60m2","","１年間","７００円/時","自力での納品可","無","有","有","施設の清掃、トイレ清掃を中心に行っています。"
"83","清瀬どんぐりの家","社会福祉法人椎の木会","清瀬市","042-493-0210","木村","http://www.donguri-k.com","workshop-donguri@pure.ocn.ne.jp","屋内清掃","清掃","","4階建","","13000円/月","自力での納品可","無","無","有","アパート、マンションの屋内外の清掃を致します。(清瀬、東久留米市内)"
"84","第二どんぐりの家","社会福祉法人椎の木会","東久留米市","042-479-1251","","","daini-donguri@coda.ocn.ne.jp","屋外簡易清掃","清掃","","","相談","","","","","有","駐車場、広場、空き地の空缶・ペットボトル・ゴミ等の収集作業"
"85","えのき園","ＮＰＯ法人えのき","武蔵村山市","042-565-6062","小尾","http://enoki-group.or.jp/","enoki-info@enoki-group.or.jp","屋外清掃（公園・駐車場等)","清掃","100m2","500m2","即日～1か月程度","2000円～10000円／100m2","自力での納品可","無","有","無","官公庁より委託を受けて、公園の清掃管理、公道の除草作業を行っています。"
"86","えのき園","ＮＰＯ法人えのき","武蔵村山市","042-565-6062","小尾","http://enoki-group.or.jp/","enoki-info@enoki-group.or.jp","屋外清掃（公園・駐車場等)","清掃","100m2","500m2","即日～1か月程度","2000円～10000円／100m2","自力での納品可","無","有","無","官公庁より委託を受けて、公園の清掃管理、公道の除草作業を行っています。"
"87","若人塾","ＮＰＯ法人わこうど","多摩市","042-376-8432","桶田","http://www2.odn.ne.jp/wakoudo/","wakon@hkg.odn.ne.jp","屋外清掃","清掃","応相談","応相談","","1013円×人数×時間応相談","自力での納品可","","","","お問い合わせ下さい。"
"88","さくらの園","社会福祉法人さくらの園","西東京市","042-468-5665","江口","http://www.sakura-no-sono.org/","t2sakura@estate.ocn.ne.jp","清掃","清掃","","","要相談","最低賃金に準じる","自力での納品可","無","有","有","○公共施設内外、公園の清掃○除草○落ち葉掃き○自転車整理"
"89","サンワーク田無","特定非営利活動法人燦燦会","西東京市","042-452-7401","小野","http://sun-work.org/","sun-work@r6.dion.ne.jp","公園清掃","清掃","","","","990円/時間","","無","有","有",""
"90","瑞穂町福祉作業所","社会福祉法人あかつきコロニー","瑞穂町","042-557-1621","大滝","http://www.akatuki.or.jp/","m-otaki@akatuki.or.jp","公園除草(手作業)落葉清掃作業","清掃","50m2","4500m2","1年間","180円/m2","自力での納品可","無","有","無","手作業で安全に事故対策をして除草・落葉集積を実施します。残材処理込み"
"91","瑞穂町福祉作業所","社会福祉法人あかつきコロニー","瑞穂町","042-557-1621","大滝","http://www.akatuki.or.jp/","m-otaki@akatuki.or.jp","公園除草(草刈機)落葉清掃作業","清掃","50m2","4500m2","1年間","85円/m2","自力での納品可","無","有","無","草刈機を使用し安全対策(飛散ネット)を施し作業を実施します。残材処理込み"
