"No","性別","年齢","保育士資格の取得方法","問20　希望する研修の主な意見（記入者計572人）"
"12","女性","30～34歳","専門（専修）学校の保育士養成課程","特別な支援を必要とする子、またはその可能性が考えられる子に対しての接し方、それについてどう保護者や家庭と向き合っていくべきか、具体的な例を挙げての研修内容があればよいなと思います。また施設管理がしっかりと出来るよう、1～4のような研修は、全員（働いている人）が受ける必要があると思います。"
"13","女性","30～34歳","専門（専修）学校の保育士養成課程","虐待や子育てに悩む保護者への対応の仕方を企画してほしいです。特に一時保育施設や子育て支援施設を利用する保護者は私達が思っているよりも大きな悩みを抱えているように感じています。そのような気持ちを感じとれる保育士が必要と思いますので、研修をしていただきたいです。"
"14","女性","30～34歳","専門（専修）学校の保育士養成課程","毎年、同じような研修が多いので、資格がとれる研修を希望する。例、各保育園1～2人、3ケ月～半年で、衛生管理の資格がとれるとか。など保育者のスキルアップにつながったり、身についたりするような研修を企画して欲しいです。又、保護者との関わりなど。"
"15","女性","30～34歳","短期大学の保育士養成課程","食に関しては、アレルギー対応や摂食指導についてくわしく学びたいと思います。保育実技では、保育の現場から5年もはなれているので、手遊びなどをとくに学びたい。"
"16","女性","30～34歳","短期大学の保育士養成課程","過去のトラブル←（事故、保護者対応、子どもへの関わりなど幅広く）を事例に講議ではなくロールプレイ形式による対応、対策の仕方  研修では子連れ可（保育有）で参加しやすく"
"17","女性","30～34歳","短期大学の保育士養成課程","ブランクがある為、現在の子どもにあった保育内容や保育に関する新しい指針等があるのか否か分からない。自分の子どもが他園に入園不可な場合、出勤先の入園を可能にしてほしい。"
"18","女性","30～34歳","通信教育等で学んだ後、保育士試験","保育指針改定前にやめてしまったので改定後どうかわったのかを知るきかいがあれば復帰への不安が減ると思う。"
"19","女性","35～39歳","専門（専修）学校の保育士養成課程","最近の子どもの環境では一見して分かりにくい発達障害が増えています。（例アスペルガーなど）そのような子どもの発達心理や接し方など専門的に習得できる機会があればと思います。"
"20","女性","35～39歳","短期大学の保育士養成課程","同じ区内の発達センターや小学校との連携をスムーズに取れる様な研修会。（例えば、就学前までに何を望んでいるのか?又、センターに通っている子に対する適切な対応の仕方は何か?）"
"21","女性","35～39歳","短期大学の保育士養成課程","離職して何年も経過しているので、最新の保育士スキルを勉強し直したい。養護施設等でも働きたいので、発達心理学や特別な支援を必要とする子供への接し方の勉強したい。"
"22","女性","35～39歳","短期大学の保育士養成課程","パソコン操作（日誌記入、おたより作成位のスキルが身につけられるもの）。最近の保護者は要求やクレームが多いとのことなのでそれに対するノウハウ。"
"23","女性","35～39歳","通信教育等で学んだ後、保育士試験","子育てに悩む母親が地域には沢山いると思います。そういった方々の支援を保育士が相談を受けつつアドバイスできる様に、発達心理を含めたスキル（もしくは資格的なもの）が研修を通して学びたいです。"
"24","女性","40～44歳","専門（専修）学校の保育士養成課程","新しい遊びを知る機会がほしい。（現代の子供が興味を持つものに敏感になる為）クラス運営を円滑にする為のスキル。"
"25","女性","40～44歳","専門（専修）学校の保育士養成課程","現在の保育園の様子（子ども、保護者の姿、保育の内容）など保育の情報提供、そこをふまえて、どういう保育士が求められているか話をききたい。"
"26","女性","40～44歳","短期大学の保育士養成課程","事例研修（安全、管理、保育実技）。様々な園と交流を持つ事で必要な情報収集が出来る場があると良いと思います。"
"27","女性","40～44歳","短期大学の保育士養成課程","保育園のみでなく学校内の低学年等への支援員としてお手伝いするようになって新めて発達心理学等が大切と思いましたので丸をつけさせて頂きます。スキルアップサポーター等"
"28","女性","40～44歳","短期大学の保育士養成課程","私の世代は、パソコンでお便りを作成していないので、保育計画etc書類、データ管理ができるよう、パソコンの修得を一番に考える。"
"29","女性","45～49歳","専門（専修）学校の保育士養成課程","現在、地域の子育て支援、（ファミリーサポーターの研修をうけ、9月からスタート）に、少しずつかかわってまいります。我が子の成長と共に保育所復帰を考えているので、そのために必要な研修を（ブランクがあるので）。"
"30","女性","45～49歳","短期大学の保育士養成課程","軽度な発達障害（多動など）のある子に対しての接し方。保育中に考えられる事故等に対しての救命救急のやり方。"
"31","女性","45～49歳","短期大学の保育士養成課程","最近、発達障害のお子様が増えてきておりますので、ケースに応じた接し方や保護者の方の対応の仕方他、具体的な実例を元に研修したいです。"
"32","女性","45～49歳","通信教育等で学んだ後、保育士試験","保育士さん達がアイディアを持ち寄る。イベント用の発表（交流）の場や、保護者対策、要支援児対策を話し合いや、レクチャーを受けて意見、アイディア交換できる場など。更に、工作や実技実習を安価で、近場で受けられる機会を作って欲しいです。"
"33","女性","50～54歳","専門（専修）学校の保育士養成課程","長いブランクがあって復職した方のお話しをうかがいたいです。復職前の準備や復職後大変だと思う事、ブランクの前後で保育現場の変化等、実際の体験を通してのお話しから今の現場に求められている事等知りたいと思います。"
"34","女性","50～54歳","専門（専修）学校の保育士養成課程","書類の記入例、日誌、日案、週案、月案等、発育にあった指導の案や、すぐにつかえる手遊びやゲーム遊びが知りたい。"
"35","女性","50～54歳","短期大学の保育士養成課程","退職を考えた理由の1つに書類の書き方、玩具（手作り、自費制作）へのゆき詰まりを感じました。26年のブランクで保育園の方針を理解したつもりでの保育は苦しいばかりでしたので、書類の書き方を特に研修させて頂けると助けになります。"
"36","女性","55～59歳","短期大学の保育士養成課程","パソコン操作～カリキュラムつくりが必要なら、表つくりや、書き方指導や意思統一などを各園でそろえて教えて欲しいし、公立なら都で決めて欲しい"
