"名称","相談・申請の内容","受付時間","所管課・係","電話番号（直通）"
"台帳記載事項証明書の発行","建築基準法に基づく台帳の記載事項証明書の発行","9時00分～12時00分／13時00分～17時00分","建築指導第二課／事務係","042-464-2154"
"台帳記載事項証明書の発行","建築基準法に基づく台帳の記載事項証明書の発行","9時00分～12時00分／13時00分～17時00分","建築指導第三課／事務係","0428-23-3423"
"違反建築物の取締相談","建築基準法に違反又は違反していると思われる工事中の建築物の調査依頼及び相談","9時00分～12時00分／13時00分～17時00分","建築指導第一課／監察係","042-548-2045"
"違反建築物の取締相談","建築基準法に違反又は違反していると思われる工事中の建築物の調査依頼及び相談","9時00分～12時00分／13時00分～17時00分","建築指導第二課／監察係","042-464-0007、0008"
"違反建築物の取締相談","建築基準法に違反又は違反していると思われる工事中の建築物の調査依頼及び相談","9時00分～12時00分／13時00分～17時00分","建築指導第三課／監察担当","0428-23-3289"
"建築紛争の調整事務","中高層建築物の建築に係る紛争の予防・調整・相談","9時00分～12時00分／13時00分～17時00分","建築指導第一課／日影規制・紛争調整担当","042-548-2056"
"建築紛争の調整事務","中高層建築物の建築に係る紛争の予防・調整・相談","9時00分～12時00分／13時00分～17時00分","建築指導第二課／日影規制・紛争調整担当","042-464-1015"
"建築紛争の調整事務","中高層建築物の建築に係る紛争の予防・調整・相談","9時00分～12時00分／13時00分～17時00分","建築指導第三課／日影規制・紛争調整担当","0428-23-3423"
"長期優良住宅の認定に係る申請","長期優良住宅の普及の促進に関する法律に基づく長期優良住宅建築等計画の認定に係る申請の受付","9時00分～12時00分／13時00分～17時00分","建築指導第一課／長期優良住宅担当","042-548-2042"
"長期優良住宅の認定に係る申請","長期優良住宅の普及の促進に関する法律に基づく長期優良住宅建築等計画の認定に係る申請の受付","9時00分～12時00分／13時00分～17時00分","建築指導第二課／長期優良住宅担当","042-464-0009"
"長期優良住宅の認定に係る申請","長期優良住宅の普及の促進に関する法律に基づく長期優良住宅建築等計画の認定に係る申請の受付","9時00分～12時00分／13時00分～17時00分","建築指導第三課／長期優良住宅担当","0428-23-3735"
