施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
足立区こども支援センターげんき,121-0816,足立区梅島３-２８-８,139.79234,35.77589,JGD2011,03-3852-3535
葛飾区子ども総合センター,125-0062,葛飾区青戸４-１５-１４　健康プラザかつしか２階,139.85063,35.75141,JGD2011,03-3602-1386（虐待通報相談専用）03-3602-1389
江戸川区子ども家庭部相談課,132-0021,江戸川区中央３-４-１８,139.8714,35.71037,JGD2011,03-5678-1810
八王子市子ども家庭支援センター（クリエイト）,192-0082,八王子市東町５-６　クリエイトホール地下１階,139.3398,35.65856,JGD2011,042-656-8225
立川市子ども家庭支援センター,190-0022,立川市錦町３-２-２６,139.41933,35.69389,JGD2011,042-528-6871（虐待通告専用）042-528-4338
武蔵野市子ども家庭支援センター,180-8777,武蔵野市緑町２-２-２８　武蔵野市役所３階,139.56586,35.71776,JGD2011,042-260-1850（相談専用電話）0422-55-9002（相談専用ﾌﾘｰﾀﾞｲﾔﾙ）0120-839-002(通話料無料)
三鷹市子ども家庭支援センターりぼん,181-8505,三鷹市下連雀９-１１-７　三鷹市教育センター２階,139.55949,35.6842,JGD2011,0422-40-5925
青梅市子ども家庭支援センター,198-8701,青梅市東青梅１-１１-１　青梅市役所３階,139.27527,35.78809,JGD2011,0428-24-2126
府中市子ども家庭支援センター,183-0023,府中市宮町１-５０　くるる３階,139.48073,35.67156,JGD2011,042-354-8701
昭島市子ども家庭支援センター,196-0015,昭島市つつじが丘３-３-１５　アキシマエンシス校舎棟１階,139.36919,35.71172,JGD2011,042-543-9046（子ども専用ダイヤル）0120-678-044
調布市子ども家庭支援センターすこやか,182-0022,調布市国領町３-１-３８　ココスクエア２階,139.55869,35.64957,JGD2011,042-481-7731（虐待防止ホットライン）0120-087-358
町田市子ども家庭支援センター,194-8520,町田市森野２-２-２２　町田市役所２階,139.4389,35.54658,JGD2011,042-724-4419（子ども専用相談ダイヤル）0120-552-164
小金井市子ども家庭支援センター,184-0015,小金井市貫井北町５-１８-１８　保健センター１階,139.49036,35.70167,JGD2011,042-321-3146
小平市子ども家庭支援センター,187-0031,小平市小川東町４-２-１　小平元気村おがわ東２階,139.47476,35.74061,JGD2011,042-348-2102（虐待相談ほっとライン）042-347-3192
日野市子ども家庭支援センター,191-0031,日野市高幡１００９-４　京王アンフィール高幡３階,139.41443,35.66095,JGD2011,042-599-6670（児童虐待専用）042-599-5454
東村山市子ども家庭支援センター,189-8501,東村山市本町１-２-３　いきいきプラザ３階,139.46841,35.75449,JGD2011,042-393-5111（相談専用）042-390-2271
国分寺市子ども家庭支援センター,185-0034,国分寺市光町３-１３-２０,139.44296,35.708,JGD2011,042-572-8138（子ども専用相談）0800-800-9033（フリーダイヤル）042-572-3725（有料）
国立市子ども家庭支援センター,186-0003,国立市富士見台３-２１-１,139.43515,35.68588,JGD2011,042-573-0965
福生市子ども家庭支援センター,197-0005,福生市北田園２-５-７　子ども応援館１階,139.32309,35.73429,JGD2011,042-539-2555
狛江市子ども家庭支援センター,201-0013,狛江市元和泉１-１１-１１　ひだまりセンター１階,139.57588,35.63123,JGD2011,03-5438-6605（相談専用）03-5438-6606
東大和市子ども家庭支援センター,207-0021,東大和市立野１-１６-１,139.42163,35.74454,JGD2011,042-565-3651
清瀬市子ども家庭支援センター,204-0012,清瀬市中清戸３-２３５-５　清瀬市児童センター内,139.53165,35.77712,JGD2011,042-495-7701
東久留米市子ども家庭支援センター,203-0033,東久留米市滝山４-３-１４　わくわく健康プラザ南棟２階,139.50406,35.74133,JGD2011,042-471-0910
武蔵村山市子ども家庭支援センター,208-0011,武蔵村山市学園４-５-１　武蔵村山市民総合センター内,139.40326,35.74613,JGD2011,042-590-1152
多摩市子ども家庭支援センター,206-0031,多摩市豊ヶ丘１-２１-３,139.42989,35.62764,JGD2011,042-355-3777
稲城市子ども家庭支援センター,206-0802,稲城市東長沼２１１５-２　３階（本郷分室）,139.50426,35.63477,JGD2011,042-378-6366
羽村市子ども家庭支援センター,205-8601,羽村市緑ケ丘５-２-１　羽村市役所２階,139.31093,35.76751,JGD2011,042-578-2882
あきる野市子ども家庭支援センター,197-0804,あきる野市秋川１-８　あきる野ルピア２階,139.28703,35.72998,JGD2011,042-550-3313
西東京市子ども家庭支援センター,202-0005,西東京市住吉町６-１５-６　住吉会館１階,139.55216,35.74402,JGD2011,042-439-0081
瑞穂町子ども家庭支援センター,190-1211,瑞穂町石畑１９７２,139.35938,35.77695,JGD2011,042-568-0051
日の出町子ども家庭支援センター,190-0192,日の出町大字平井２７８０　日の出町役場１階子育て支援福祉課内,139.25661,35.74244,JGD2011,042-597-6177
檜原村子ども家庭支援センター,190-0211,檜原村２７１７番地　檜原村やすらぎの里ふれあい館内,139.16281,35.72683,JGD2011,042-598-3122
奥多摩町子ども家庭支援センター,198-0105,奥多摩町小丹波１０８番地,139.1485,35.81846,JGD2011,0428-85-1788
大島町子ども家庭支援センター,100-0104,大島町元町字丸塚548番１,139.37244,34.76086,JGD2011,04992-2-2398
新島村子ども家庭支援センター,100-0402,新島村本村３-１２-８　さわやか健康センター内,139.25946,34.37287,JGD2011,04992-5-1856
神津島村子ども家庭支援センター,100-0601,神津島村９０２　はまゆう保育園内,139.13522,34.20589,JGD2011,04992-8-1180
三宅村子ども家庭支援センター,100-1212,三宅村阿古４９７　三宅村役場内,139.47989,34.07613,JGD2011,04994-5-0982
御蔵島村子ども家庭支援センター,100-1301,御蔵島村字入かねが沢　御蔵島村役場内,139.5959,33.89729,JGD2011,04994-8-2121
八丈町子ども家庭支援センター,100-1498,八丈町大賀郷２５５１番地２　八丈町役場内,139.78926,33.11339,JGD2011,04996-2-4300
小笠原村子ども家庭支援センター,100-2101,小笠原村父島字西町　小笠原村役場内,142.20961,27.07124,JGD2011,04998-2-3939
