"","腹囲","リスク保有数／総数／％","リスク保有数／総数／(人数)","リスク保有数／0／％","リスク保有数／0／(人数)","リスク保有数／1／％","リスク保有数／1／(人数)","リスク保有数／2／％","リスク保有数／2／(人数)","リスク保有数／3／％","リスク保有数／3／(人数)"
"男性／30～39歳","85cm未満","100.00","1","100.00","1","0.00","0","0.00","0","0.00","0"
"男性／30～39歳","85cm以上","","0","","0","","0","","0","","0"
"男性／40～49歳","85cm未満","100.00","1","0.00","0","100.00","1","0.00","0","0.00","0"
"男性／40～49歳","85cm以上","100.00","7","28.60","2","57.10","4","14.30","1","0.00","0"
"男性／50～59歳","85cm未満","100.00","4","25.00","1","50.00","2","25.00","1","0.00","0"
"男性／50～59歳","85cm以上","100.00","4","25.00","1","25.00","1","25.00","1","25.00","1"
"男性／60～69歳","85cm未満","100.00","6","16.70","1","66.70","4","16.70","1","0.00","0"
"男性／60～69歳","85cm以上","100.00","11","18.20","2","54.50","6","18.20","2","9.10","1"
"男性／70歳以上","85cm未満","100.00","13","7.70","1","76.90","10","15.40","2","0.00","0"
"男性／70歳以上","85cm以上","100.00","13","7.70","1","15.40","2","53.80","7","23.10","3"
"男性／(再掲)40～74歳","85cm未満","100.00","18","16.70","3","61.10","11","22.20","4","0.00","0"
"男性／(再掲)40～74歳","85cm以上","100.00","29","17.20","5","37.90","11","31.00","9","13.80","4"
"男性／(再掲)65～74歳","85cm未満","100.00","12","16.70","2","58.30","7","25.00","3","0.00","0"
"男性／(再掲)65～74歳","85cm以上","100.00","14","7.10","1","21.40","3","50.00","7","21.40","3"
"男性／(再掲)75歳以上","85cm未満","100.00","6","0.00","0","100.00","6","0.00","0","0.00","0"
"男性／(再掲)75歳以上","85cm以上","100.00","6","16.70","1","33.30","2","33.30","2","16.70","1"
"女性／総数","90cm未満","100.00","75","44.00","33","42.70","32","12.00","9","1.30","1"
"女性／総数","90cm以上","100.00","16","25.00","4","37.50","6","12.50","2","25.00","4"
"女性／20～29歳","90cm未満","100.00","4","100.00","4","0.00","0","0.00","0","0.00","0"
"女性／20～29歳","90cm以上","","0","","0","","0","","0","","0"
"女性／30～39歳","90cm未満","100.00","2","100.00","2","0.00","0","0.00","0","0.00","0"
"女性／30～39歳","90cm以上","","0","","0","","0","","0","","0"
"女性／40～49歳","90cm未満","100.00","21","66.70","14","33.30","7","0.00","0","0.00","0"
"女性／40～49歳","90cm以上","","4","","2","","1","","1","","0"
"女性／50～59歳","90cm未満","100.00","12","41.70","5","41.70","5","16.70","2","0.00","0"
"女性／50～59歳","90cm以上","","3","","1","","2","","0","","0"
"女性／60～69歳","90cm未満","100.00","22","27.30","6","45.50","10","22.70","5","4.50","1"
"女性／60～69歳","90cm以上","100.00","3","33.30","1","66.70","2","0.00","0","0.00","0"
"女性／70歳以上","90cm未満","100.00","14","14.30","2","71.40","10","14.30","2","0.00","0"
"女性／70歳以上","90cm以上","100.00","6","0.00","0","16.70","1","16.70","1","66.70","4"
"女性／(再掲)40～74歳","90cm未満","100.00","59","42.40","25","42.40","25","13.60","8","1.70","1"
"女性／(再掲)40～74歳","90cm以上","100.00","11","36.40","4","45.50","5","18.20","2","0.00","0"
"女性／(再掲)65～74歳","90cm未満","100.00","19","26.30","5","52.60","10","15.80","3","5.30","1"
"女性／(再掲)65～74歳","90cm以上","100.00","3","0.00","0","66.70","2","33.30","1","0.00","0"
"女性／(再掲)75歳以上","90cm未満","100.00","10","20.00","2","70.00","7","10.00","1","0.00","0"
"女性／(再掲)75歳以上","90cm以上","100.00","5","0.00","0","20.00","1","0.00","0","80.00","4"
