"","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／合計","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／主食","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／主菜","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／副菜","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／無回答","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／合計","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日2回以上","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日1回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週4～6回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週2～3回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回未満","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／全く利用しない","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／無回答","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／合計","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日2回以上","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日1回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週4～6回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週2～3回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回未満","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／全く利用しない","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／無回答"
"40～49歳(人)","22","3","3","18","0","29","0","1","4","5","9","9","1","0","29","0","0","4","7","4","11","3","0"
"40～49歳(%)","100","13.6","13.6","81.8","0","100","0","3.4","13.8","17.2","31","31","3.4","0","100","0","0","13.8","24.1","13.8","37.9","10.3","0"
"50～59歳(人)","22","6","8","15","0","34","0","6","6","9","3","6","4","0","34","1","2","1","6","4","9","11","0"
"50～59歳(%)","100","27.3","36.4","68.2","0","100","0","17.6","17.6","26.5","8.8","17.6","11.8","0","100","2.9","5.9","2.9","17.6","11.8","26.5","32.4","0"
"60～69歳(人)","19","5","5","10","1","36","0","0","6","5","5","12","7","1","36","0","2","3","7","4","10","10","0"
"60～69歳(%)","100","26.3","26.3","52.6","5.3","100","0","0","16.7","13.9","13.9","33.3","19.4","2.8","100","0","5.6","8.3","19.4","11.1","27.8","27.8","0"
"70歳～(人)","16","5","2","9","0","50","0","0","1","10","7","18","14","0","50","0","2","3","6","7","18","13","1"
"70歳～(%)","100","31.3","12.5","56.3","0","100","0","0","2","20","14","36","28","0","100","0","4","6","12","14","36","26","2"
"女性総数(人)","98","23","20","65","1","218","2","6","7","24","47","97","34","1","218","4","2","11","49","43","78","31","0"
"女性総数(%)","100","23.5","20.4","66.3","1","100","0.9","2.8","3.2","11","21.6","44.5","15.6","0.5","100","1.8","0.9","5","22.5","19.7","35.8","14.2","0"
"20～29歳(人)","11","2","0","9","0","19","1","0","2","2","4","8","1","1","19","0","1","2","4","3","9","0","0"
"20～29歳(%)","100","18.2","0","81.8","0","100","5.3","0","10.5","10.5","21.1","42.1","5.3","5.3","100","0","5.3","10.5","21.1","15.8","47.4","0","0"
"30～39歳(人)","8","3","1","5","0","14","0","1","1","0","4","7","1","0","14","1","0","1","3","3","5","1","0"
"30～39歳(%)","100","37.5","12.5","62.5","0","100","0","7.1","7.1","0","28.6","50","7.1","0","100","7.1","0","7.1","21.4","21.4","35.7","7.1","0"
"40～49歳(人)","26","5","7","19","0","48","0","2","1","9","17","19","0","0","48","1","0","0","12","13","20","2","0"
"40～49歳(%)","100","19.2","26.9","73.1","0","100","0","4.2","2.1","18.8","35.4","39.6","0","0","100","2.1","0","0","25","27.1","41.7","4.2","0"
"50～59歳(人)","15","2","8","10","0","33","0","1","1","6","5","17","3","0","33","1","0","2","6","9","10","5","0"
"50～59歳(%)","100","13.3","53.3","66.7","0","100","0","3","3","18.2","15.2","51.5","9.1","0","100","3","0","6.1","18.2","27.3","30.3","15.2","0"
"60～69歳(人)","22","7","3","12","0","49","0","1","1","5","10","24","8","0","49","0","0","4","10","9","19","7","0"
"60～69歳(%)","100","31.8","13.6","54.5","0","100","0","2","2","10.2","20.4","49","16.3","0","100","0","0","8.2","20.4","18.4","38.8","14.3","0"
"70歳～(人)","16","4","1","10","1","55","1","1","1","2","7","22","21","0","55","1","1","2","14","6","15","16","0"
"70歳～(%)","100","25","6.3","62.5","6.3","100","1.8","1.8","1.8","3.6","12.7","40","38.2","0","100","1.8","1.8","3.6","25.5","10.9","27.3","29.1","0"
