"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"11","宮坂、桜丘、経堂","経堂あんしんすこやかセンター","ｷｮｳﾄﾞｳｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5451-5580","03-5451-5582","156-0051","世田谷区宮坂1-44-29 経堂出張所内","35.650696","139.641464","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"12","下馬、野沢","下馬あんしんすこやかセンター","ｼﾓｳﾏｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3422-7218","03-3414-5225","154-0002","世田谷区下馬4-13-4 下馬複合施設内","35.635872","139.679031","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"13","上馬、駒沢1・2","上馬あんしんすこやかセンター","ｶﾐｳﾏｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5430-8059","03-5430-8085","154-0011","世田谷区上馬4-10-17 上馬複合施設内","35.635181","139.662338","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"14","代田1～3、梅丘、豪徳寺","梅丘あんしんすこやかセンター","ｳﾒｶﾞｵｶｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5426-1957","03-5426-1959","154-0022","世田谷区梅丘1-61-16 梅丘複合施設内","35.653362","139.652527","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"15","代沢、池尻4(33～39番)","代沢あんしんすこやかセンター","ﾀﾞｲｻﾞﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5432-0533","03-5433-9684","155-0032","世田谷区代沢5-1-15 代沢まちづくりセンター内","35.655144","139.668045","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"16","代田4～6、羽根木、大原","新代田あんしんすこやかセンター","ｼﾝﾀﾞｲﾀｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5355-3402","03-3323-3523","156-0042","世田谷区羽根木1-6-14 新代田まちづくりセンター内","35.664528","139.660507","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"17","北沢","北沢あんしんすこやかセンター","ｷﾀｻﾞﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5478-9101","03-5478-8072","155-0031","世田谷区北沢2-8-18 北沢タウンホール内","35.662132","139.669952","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"18","松原","松原あんしんすこやかセンター","ﾏﾂﾊﾞﾗｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3323-2511","03-5300-0212","156-0043","世田谷区松原2-28-21","35.667332","139.649429","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"19","赤堤、桜上水","松沢あんしんすこやかセンター","ﾏﾂｻﾞﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3325-2352","03-5300-0031","156-0044","世田谷区赤堤5-31-5 松沢まちづくりセンター内","35.665291","139.638184","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"20","東玉川、奥沢1～3","奥沢あんしんすこやかセンター","ｵｸｻﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-6421-9131","03-6421-9137","158-0083","世田谷区奥沢3-15-7 奥沢まちづくりセンター内","35.600853","139.672836","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"21","玉川田園調布、奥沢4～8","九品仏あんしんすこやかセンター","ｸﾎﾝﾌﾞﾂｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3722-4973","03-3722-7883","158-0085","世田谷区玉川田園調布2-16-12","35.602970","139.665329","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"22","玉堤、等々力、尾山台","等々力あんしんすこやかセンター","ﾄﾄﾞﾛｷｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3705-6528","03-3703-5221","158-0082","世田谷区等々力2-28-5 玉川総合支所等々力庁舎内","35.607723","139.649063","JGD2011","平日・土曜日8時30分～17時","改装工事にともない現在仮庁舎（平成32年5月以降新庁舎へ移転予定）","〇","","","","〇",""
"23","上野毛、野毛、中町","上野毛あんしんすこやかセンター","ｶﾐﾉｹﾞｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3703-8956","03-3703-5222","158-0091","世田谷区中町2-33-11 上野毛まちづくりセンター内","35.611538","139.640869","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"24","上用賀、用賀、玉川台","用賀あんしんすこやかセンター","ﾖｳｶﾞｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3708-4457","03-3700-6511","158-0097","世田谷区用賀2-29-22 用賀複合施設  2階","35.625725","139.636810","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"25","玉川、瀬田","二子玉川あんしんすこやかセンター","ﾌﾀｺﾀﾏｶﾞﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5797-5516","03-3700-0677","158-0094","世田谷区玉川4-4-5 二子玉川複合施設2階","35.642708","139.653412","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"26","駒沢3～5、駒沢公園、新町、桜新町、深沢","深沢あんしんすこやかセンター","ﾌｶｻﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5779-6670","03-3418-5271","158-0012","世田谷区駒沢4-33-1 深沢まちづくりセンター内","35.627930","139.652435","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"27","祖師谷、千歳台1・2","祖師谷あんしんすこやかセンター","ｿｼｶﾞﾔｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3789-4589","03-3789-4591","157-0072","世田谷区祖師谷4-1-23 祖師谷まちづくりセンター内","35.646976","139.608444","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"28","成城","成城あんしんすこやかセンター","ｾｲｼﾞｮｳｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3483-8600","03-3483-8731","157-0066","世田谷区成城6-2-1 砧総合支所  3階","35.641003","139.601028","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"29","船橋、千歳台3～6","船橋あんしんすこやかセンター","ﾌﾅﾊﾞｼｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3482-3276","03-5490-3288","156-0055","世田谷区船橋4-3-2 船橋まちづくりセンター内","35.655163","139.622742","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"30","喜多見、宇奈根、鎌田","喜多見あんしんすこやかセンター","ｷﾀﾐｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3415-2313","03-3415-2314","157-0067","世田谷区喜多見5-11-10 喜多見複合施設内","35.628948","139.601120","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"31","岡本、大蔵、砧、砧公園","砧あんしんすこやかセンター","ｷﾇﾀｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3416-3217","03-3416-3250","157-0073","世田谷区砧5-8-18 砧まちづくりセンター内","35.637917","139.610001","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"32","上北沢、八幡山","上北沢あんしんすこやかセンター","ｶﾐｷﾀｻﾞﾜｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3306-1511","03-3329-1005","156-0057","世田谷区上北沢4-32-9 上北沢まちづくりセンター内","35.670025","139.617813","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"33","上祖師谷、粕谷","上祖師谷あんしんすこやかセンター","ｶﾐｿｼｶﾞﾔｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5315-5577","03-3305-6333","157-0065","世田谷区上祖師谷2-7-6 上祖師谷まちづくりセンター内","35.657101","139.599564","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"34","給田、南烏山、北烏山","烏山あんしんすこやかセンター","ｶﾗｽﾔﾏｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-3307-1198","03-3300-6885","157-0062","世田谷区南烏山6-2-19 烏山区民センター 2階","35.668720","139.600876","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"35","区内全域","高齢者安心コール","ｺｳﾚｲｼｬｱﾝｼﾝｺｰﾙ","03-5432-1010","","","","","","","24時間365日対応","1電話相談サービス／2電話訪問による見守りサービス／3ボランティアによる訪問援助サービス","","","","〇","〇","〇"
"36","区内全域","世田谷区消費生活センター","ｾﾀｶﾟﾔｸｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","高齢者（65歳以上）専用／03-5486-6501","03-3411-6845","154-0004","世田谷区太子堂2-16-7 三軒茶屋分庁舎3階","35.644386","139.670822","JGD2011","〔月～金曜日〕9時～16時30分／〔土曜日〕9時～15時30分","土曜日は電話相談のみ※","","","","〇","","〇"
"37","区内全域","世田谷区消費生活センター","ｾﾀｶﾟﾔｸｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","相談専用／03-3410-6522","03-3411-6845","154-0004","世田谷区太子堂2-16-7 三軒茶屋分庁舎3階","35.644386","139.670822","JGD2011","〔月～金曜日〕9時～16時30分／〔土曜日〕9時～15時30分","土曜日は電話相談のみ※","","","","〇","","〇"
