"支出月","科目","支出目的","支出額(円)","支出相手先"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5010","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-1092","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-41962","目黒区"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-16","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-1755","有限会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-67907","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-13566","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-79","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-462","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-349","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-240","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-384","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5087","社会福祉法人１法人"
"H24.9","賃金","福祉・介護人材の処遇改善事業","420000","個人計３名"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-249","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-8033","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5138","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-14018","有限会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-1795","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-10538","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-12359","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-810","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-12712","有限会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-545","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-736","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5162","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-19264","有限会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-553","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-64842","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-8545","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5602","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-79209","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-9858","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-95","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-3432","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-7589","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-37292","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-47","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-36825","有限会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-4012","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-22963","社会福祉法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-4083","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-4178","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","746724","国保連"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-3582","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-43938","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-9718","株式会社１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-2620","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-9883","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-697","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-570","特定非営利活動法人１法人"
"H24.9","負担金補助及交付金","福祉・介護人材の処遇改善事業","-4486","特定非営利活動法人１法人"
"","","合計","613979322",""
