"","問18 かんで食べるときの状態について､あてはまる番号を１つ選んで○印をつけて下さい。／合計","問18 かんで食べるときの状態について､あてはまる番号を１つ選んで○印をつけて下さい。／何でもかんで食べることができる","問18 かんで食べるときの状態について､あてはまる番号を１つ選んで○印をつけて下さい。／一部かめない食べ物がある","問18 かんで食べるときの状態について､あてはまる番号を１つ選んで○印をつけて下さい。／かめない食べ物が多い","問18 かんで食べるときの状態について､あてはまる番号を１つ選んで○印をつけて下さい。／かんで食べることはできない","問18 かんで食べるときの状態について､あてはまる番号を１つ選んで○印をつけて下さい。／無回答","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ア ゆっくりよくかんで食事をする／合計","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ア ゆっくりよくかんで食事をする／1","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ア ゆっくりよくかんで食事をする／2","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ア ゆっくりよくかんで食事をする／無回答","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／イ 半年前に比べて固いものが食べにくくなった／合計","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／イ 半年前に比べて固いものが食べにくくなった／1","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／イ 半年前に比べて固いものが食べにくくなった／2","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／イ 半年前に比べて固いものが食べにくくなった／無回答","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ウ お茶や汁物等でむせることがある／合計","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ウ お茶や汁物等でむせることがある／1","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ウ お茶や汁物等でむせることがある／2","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／ウ お茶や汁物等でむせることがある／無回答","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／エ 口の渇きが気になる／合計","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／エ 口の渇きが気になる／1","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／エ 口の渇きが気になる／2","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／エ 口の渇きが気になる／無回答","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／オ 左右両方の奥歯でしっかりかみしめられる／合計","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／オ 左右両方の奥歯でしっかりかみしめられる／1","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／オ 左右両方の奥歯でしっかりかみしめられる／2","問19 あなたの食べ方や食事中の様子についておたずねします｡次のアからオの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 はい 2 いいえ)／オ 左右両方の奥歯でしっかりかみしめられる／無回答"
"60～69歳(%)","100.00","75.00","16.70","5.60","0.00","2.80","100.00","47.20","52.80","0.00","100.00","25.00","75.00","0.00","100.00","25.00","75.00","0.00","100.00","27.80","72.20","0.00","100.00","52.80","47.20","0.00"
"70歳～(人)","50","32","18","0","0","0","50","35","15","0","50","13","37","0","50","12","38","0","50","14","36","0","50","32","18","0"
"70歳～(%)","100.00","64.00","36.00","0.00","0.00","0.00","100.00","70.00","30.00","0.00","100.00","26.00","74.00","0.00","100.00","24.00","76.00","0.00","100.00","28.00","72.00","0.00","100.00","64.00","36.00","0.00"
"女性総数(人)","218","170","41","6","1","0","218","138","79","1","218","37","180","1","218","44","173","1","218","45","172","1","218","151","67","0"
"女性総数(%)","100.00","78.00","18.80","2.80","0.50","0.00","100.00","63.30","36.20","0.50","100.00","17.00","82.60","0.50","100.00","20.20","79.40","0.50","100.00","20.60","78.90","0.50","100.00","69.30","30.70","0.00"
"20～29歳(人)","19","19","0","0","0","0","19","15","3","1","19","0","18","1","19","1","17","1","19","3","15","1","19","16","3","0"
"20～29歳(%)","100","100","0","0","0","0","100","78.9","15.8","5.3","100","0","94.7","5.3","100","5.3","89.5","5.3","100","15.8","78.9","5.3","100","84.2","15.8","0"
"30～39歳(人)","14","14","0","0","0","0","14","8","6","0","14","0","14","0","14","1","13","0","14","4","10","0","14","11","3","0"
"30～39歳(%)","100","100","0","0","0","0","100","57.1","42.9","0","100","0","100","0","100","7.1","92.9","0","100","28.6","71.4","0","100","78.6","21.4","0"
"40～49歳(人)","48","47","1","0","0","0","48","30","18","0","48","2","46","0","48","5","43","0","48","11","37","0","48","37","11","0"
"40～49歳(%)","100","97.9","2.1","0","0","0","100","62.5","37.5","0","100","4.2","95.8","0","100","10.4","89.6","0","100","22.9","77.1","0","100","77.1","22.9","0"
"50～59歳(人)","33","30","3","0","0","0","33","18","15","0","33","1","32","0","33","8","25","0","33","4","29","0","33","27","6","0"
"50～59歳(%)","100","90.9","9.1","0","0","0","100","54.5","45.5","0","100","3","97","0","100","24.2","75.8","0","100","12.1","87.9","0","100","81.8","18.2","0"
"60～69歳(人)","49","34","14","1","0","0","49","27","22","0","49","14","35","0","49","11","38","0","49","10","39","0","49","25","24","0"
"60～69歳(%)","100","69.4","28.6","2","0","0","100","55.1","44.9","0","100","28.6","71.4","0","100","22.4","77.6","0","100","20.4","79.6","0","100","51","49","0"
"70歳～(人)","55","26","23","5","1","0","55","40","15","0","55","20","35","0","55","18","37","0","55","13","42","0","55","35","20","0"
"70歳～(%)","100","47.3","41.8","9.1","1.8","0","100","72.7","27.3","0","100","36.4","63.6","0","100","32.7","67.3","0","100","23.6","76.4","0","100","63.6","36.4","0"
