"","","","","緯度","経度","座標系",""
"28","青梅市","青梅市障害者就労支援センター","〒198-0042青梅市東青梅1-2-5東青梅センタービル３階","35.789589","139.277374","JGD2011","0428-25-8510"
"29","府中市","府中市立心身障害者福祉センター地域生活・就労支援事業み～な","〒183-0026府中市南町5-38","35.655491","139.467178","JGD2011","042-360-1312"
"30","昭島市","昭島市障害者就労支援センタークジラ","〒196-0003昭島市松原町3-6-7アートヒルズ105","35.717369","139.346909","JGD2011","042-569-6433"
"31","調布市","調布市障害者地域生活・就労支援センターちょうふだぞう","〒182-0022調布市国領町3-19-1","35.649574","139.558685","JGD2011","042-487-4552"
"31","調布市","調布市こころの健康支援センター就労支援室ライズ","〒182-0024調布市布田5-46-1","35.645611","139.541687","JGD2011","042-426-9161"
"32","町田市","町田市障がい者就労・生活支援センター「りんく」","〒194-0013町田市原町田4-24-6せりがや会館１階","35.544724","139.453049","JGD2011","042-728-3161"
"32","町田市","町田市障がい者就労・生活支援センター「レッツ」","〒194-0013町田市原町田4-24-6せりがや会館１階","35.544724","139.453049","JGD2011","042-728-3162"
"33","小金井市","小金井市障害者就労支援センターエンジョイワーク・こころ","〒184-0013小金井市前原町3-41-15","35.698830","139.504944","JGD2011","042-387-9866"
"34","小平市","小平市障害者就労・生活支援センターほっと","〒187-0001小平市大沼町2-1-3","35.738625","139.492249","JGD2011","042-316-9078"
"35","日野市","日野市障害者生活・就労支援センターくらしごと","〒191-0062日野市多摩平2-5-1クレヴィア豊田多摩平の森サウスレジデンス1階","35.399364","139.586700","JGD2011","042-843-1806"
"36","東村山市","東村山市障害者就労支援室","〒189-0014東村山市本町1-1-1","35.755348","139.467880","JGD2011","042-313-3794"
"37","国分寺市","国分寺市障害者就労支援センター","〒185-0024国分寺市泉町2-3-8国分寺市障害者センター1階","35.696209","139.468216","JGD2011","042-300-1500"
"38","国立市","国立市役所健康福祉部しょうがいしゃ支援課相談係就労支援担当","〒186-0003国立市富士見台2-47-1","35.684376","139.441513","JGD2011","042-576-2111/内148"
"39","福生市","福生市障害者自立生活支援センター「すてっぷ」","〒197-0004福生市南田園2-13-1福祉センター内","35.727993","139.332336","JGD2011","042-539-3217"
"40","狛江市","狛江市障がい者就労支援センター「サポート」","〒201-0013狛江市元和泉2-35-1あいとぴあセンター内","35.633400","139.567413","JGD2011","03-5438-3533"
"41","東大和市","東大和市総合支援センターは～とふる障害者就労生活支援センター","〒207-0022東大和市桜が丘2-53-6","35.735859","139.418152","JGD2011","042-516-3983"
"42","清瀬市","清瀬市障害者就労支援センターワークル・きよせ","〒204-0021清瀬市元町1-9-14","35.773327","139.518555","JGD2011","042-495-0010"
"43","東久留米市","東久留米市障害者就労支援室「さいわい」","〒203-0052東久留米市幸町3-9-28","35.758923","139.519913","JGD2011","042-477-3100"
"43","東久留米市","東久留米市障害者就労支援室「あおぞら」","〒203-0052東久留米市幸町3-7-7ロワ・ヴェール６号館101号室","35.756001","139.518539","JGD2011","042-476-2625"
"44","武蔵村山市","武蔵村山市障害者就労支援センターとらい","〒208-0023武蔵村山市伊奈平1-64-1","35.745438","139.377853","JGD2011","042-560-7839"
"45","多摩市","マルシュたま多摩市障がい者就労支援センターなちゅーる","〒206-0011多摩市関戸4-19-5市立健康センター４階","35.648975","139.449585","JGD2011","042-311-2324"
"46","稲城市","稲城市障害者総合相談センターマルシェいなぎ","〒206-0802稲城市東長沼2107-3ヒルテラス稲城103","35.638512","139.504990","JGD2011","042-379-9234"
"47","羽村市","羽村市障害者就労支援センターエール","〒205-0023羽村市神明台1-27-4","35.754841","139.321259","JGD2011","042-570-1233"
"48","あきる野市","あきる野市障がい者就労・生活支援センターあすく","〒197-0804あきる野市秋川1-7-6リヴェール麗2階","35.729244","139.287079","JGD2011","042-532-1793"
"49","西東京市","西東京市障害者就労支援センター一歩","〒188-0011西東京市田無町4-17-14西東京市障害者総合支援センターフレンドリー内","35.729485","139.535355","JGD2011","042-452-0095"
"50","瑞穂町","瑞穂町障害者就労支援センター","〒190-1211西多摩郡瑞穂町大字石畑2008ふれあいセンター１階","35.776951","139.359375","JGD2011","042-568-0139"
"51","日の出町","日の出町障害者就労・生活支援センターあるって","〒190-0182西多摩郡日の出町平井3261-2","35.741829","139.259583","JGD2011","042-519-9761"
