"年・死因別","検案総数(件)","解剖数(件)","総数／男(件)","総数／女(件)","0～4／男(件)","0～4／女(件)","5～9／男(件)","5～9／女(件)","10～14／男(件)","10～14／女(件)","15～19／男(件)","15～19／女(件)","20～24／男(件)","20～24／女(件)","25～29／男(件)","25～29／女(件)","30～34／男(件)","30～34／女(件)","35～39／男(件)","35～39／女(件)","40～44／男(件)","40～44／女(件)","45～49／男(件)","45～49／女(件)","50～54／男(件)","50～54／女(件)","55～59／男(件)","55～59／女(件)","60～64／男(件)","60～64／女(件)","65以上／男(件)","65以上／女(件)","65～69／男(件)","65～69／女(件)","70～74／男(件)","70～74／女(件)","75～79／男(件)","75～79／女(件)","80～84／男(件)","80～84／女(件)","85以上／男(件)","85以上／女(件)","年齢・性別不詳"
"肺性心疾患及び肺循環の疾患","38","23","23","15","","","","","","","","","","","","","2","","","","1","1","1","4","3","1","2","","3","3","11","6","1","1","","1","4","1","4","","2","3",""
"脳血管疾患","783","186","445","338","","","","","","","1","","","1","1","6","3","","9","2","21","4","36","15","28","8","42","13","49","21","253","270","67","33","55","33","46","54","45","62","40","88",""
"動脈・細動脈及び毛細血管の疾患","522","92","315","207","","","","","","","","","","","","","1","","1","","5","","13","5","22","2","18","1","19","7","236","192","44","19","43","21","43","40","49","37","57","75",""
"その他","32","24","18","14","","","","","","","","","","","","","1","","1","","1","1","2","1","4","","3","","3","3","3","9","1","1","","1","","2","1","2","1","3",""
"呼吸器系の疾患","592","152","406","186","6","2","1","","","","1","","","","1","","5","2","2","1","4","1","5","4","6","6","20","4","21","7","334","159","44","13","79","24","60","31","71","40","80","51",""
"肺炎","321","95","196","125","3","1","1","","","","","","","","1","","2","2","1","1","1","","1","3","1","4","11","3","11","4","163","107","23","7","34","13","24","21","32","26","50","40",""
"その他","271","57","210","61","3","1","","","","","1","","","","","","3","","1","","3","1","4","1","5","2","9","1","10","3","171","52","21","6","45","11","36","10","39","14","30","11",""
"消化器系の疾患","771","222","628","143","1","","","","","","","","","","1","","4","1","8","4","23","4","32","2","67","11","69","11","103","7","320","103","99","8","97","17","66","16","31","34","27","28",""
"アルコール性肝疾患","385","75","358","27","","","","","","","","","","","1","","3","1","6","3","19","4","24","1","46","6","44","2","72","4","143","6","64","1","51","4","21","1","6","","1","",""
"非アルコール性肝疾患","83","31","56","27","","","","","","","","","","","","","","","","1","","","2","","6","2","8","3","10","2","30","19","12","1","9","5","4","3","3","10","2","",""
"その他","303","116","214","89","1","","","","","","","","","","","","1","","2","","4","","6","1","15","3","17","6","21","1","147","78","23","6","37","8","41","12","22","24","24","28",""
"尿路性器系の疾患","68","27","46","22","","","","","","","","","","","","","","","1","1","","","1","1","3","1","1","2","3","1","37","16","11","","7","2","7","2","5","5","7","7",""
"先天奇形・変形及び染色体異常","15","5","6","9","1","1","","1","","","1","","","","1","","","","1","1","1","","","1","","","1","","","","","5","","2","","","","1","","1","","1",""
"原因不明の突然死","10","10","4","6","2","2","","","","","","","","","1","1","","","","","1","1","","","","","","1","","","","1","","","","1","","","","","","",""
"乳児突然死症候群","4","4","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"急性心機能不全","6","6","2","4","","","","","","","","","","","1","1","","","","","1","1","","","","","","1","","","","1","","","","1","","","","","","",""
"その他・不詳","395","44","160","235","2","","","","","","","1","","1","","","1","","1","","","1","2","1","4","2","3","5","8","3","139","221","3","2","13","5","9","14","31","31","83","169",""
"不慮の外因死（２～８）","1079","331","673","406","5","3","4","","2","","5","","9","2","12","1","10","8","17","1","16","7","23","12","21","17","52","17","57","22","440","316","68","34","78","37","113","57","74","73","107","115",""
"2交通事故","163","9","114","49","1","","3","","1","","5","","4","","6","1","6","4","6","","6","1","9","4","6","2","13","5","7","2","41","30","6","5","8","6","15","10","6","7","6","2",""
"3転倒･転落","292","66","197","95","","2","","","","","","","3","1","3","","","","3","","3","","7","3","5","4","15","","13","4","145","81","16","6","26","6","39","10","27","17","37","42",""
"4溺死","100","77","59","41","","","","","","","","","1","","1","","","","1","","","","2","1","","1","5","","6","1","43","38","12","5","9","12","10","9","6","7","6","5",""
"5煙・火災及び火炎による障害","42","22","24","18","","","","","","","","","","1","","","","","","","","","1","","1","","","1","3","","19","16","3","4","3","","7","3","1","5","5","4",""
"6窒息","263","44","141","122","3","1","1","","1","","","","","","","","2","","3","","3","2","1","1","4","8","3","6","9","9","111","95","7","8","15","9","25","12","22","21","42","45",""
"","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"7中毒","50","46","28","22","","","","","","","","","1","","2","","1","3","4","1","3","4","1","2","","2","6","3","1","2","9","5","4","2","1","","3","1","1","1","","1",""
"催眠剤・向精神薬等","18","16","10","8","","","","","","","","","","","1","","","1","2","1","2","3","","","","2","2","1","","","3","","2","","","","1","","","","","",""
"麻薬・精神変容薬［幻覚発現薬］","2","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","","","","","","","",""
"アルコール","26","24","17","9","","","","","","","","","1","","1","","1","1","2","","1","1","1","2","","","3","2","1","1","6","2","2","1","1","","2","","1","","","1",""
"一酸化炭素等のガス・蒸気","1","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他","3","3","1","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","1","","1","","",""
"8その他","169","67","110","59","1","","","","","","","","","","","","1","1","","","1","","2","1","5","","10","2","18","4","72","51","20","4","16","4","14","12","11","15","11","16",""
"凍死","34","24","20","14","","","","","","","","","","","","","","","","","","","","1","1","","2","2","3","2","14","9","4","","3","","2","3","4","3","1","3",""
"鈍器・鈍体","3","1","3","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","1","","","","","","","",""
"圧死","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"機械","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"熱傷","4","2","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","1","","","1","","","2","",""
"爆発","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"感電","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他","127","40","83","44","1","","","","","","","","","","","","1","1","","","1","","2","","3","","7","","14","2","54","41","16","4","11","4","12","8","7","12","8","13",""
"その他及び不詳の外因死（９～１１）","1744","121","1191","553","","","","","5","1","24","11","67","37","82","44","86","40","90","30","90","55","133","52","120","49","83","43","88","23","323","168","104","43","97","35","50","38","40","20","32","32",""
"9自殺","1638","36","1125","513","","","","","5","1","24","11","64","36","81","41","82","37","89","29","83","53","122","49","112","48","79","39","84","20","300","149","98","40","91","33","44","32","37","17","30","27",""
"催眠剤・向精神薬等","41","15","21","20","","","","","","","","","2","3","2","3","5","3","","3","3","2","4","2","4","3","1","","","","","1","","1","","","","","","","","",""
"麻薬・精神変容薬［幻覚発現薬］","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他の薬物・薬剤・製剤","7","4","3","4","","","","","","","","","1","","","1","","","","1","","","1","","","","1","","","","","2","","1","","","","","","1","","",""
"農薬","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","1","","","",""
"その他の化学物質・有害物質による中毒","95","4","66","29","","","","","","","1","2","4","3","13","3","11","3","7","2","5","4","9","4","8","1","3","3","3","2","2","2","1","","","1","1","","","","","1",""
"縊死","968","1","712","256","","","","","2","1","10","6","27","16","51","25","46","18","57","12","58","22","76","21","74","18","52","22","53","10","206","85","65","21","59","19","33","15","23","13","26","17",""
"溺死","59","6","30","29","","","","","","","","","","","","1","2","","","2","1","2","1","2","1","1","4","1","2","2","19","18","6","5","9","2","1","5","2","2","1","4",""
"銃器","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"焼身・熱傷","7","1","4","3","","","","","","","1","","","","","","","","","1","","","","","","1","","","1","","2","1","2","","","","","1","","","","",""
"鋭器","46","2","35","11","","","","","","","","","1","1","2","","1","","","","1","3","4","","3","2","4","2","5","","14","3","3","","5","1","2","2","4","","","",""
"飛降","324","1","187","137","","","","","2","","9","2","21","10","6","7","10","10","22","8","13","18","19","16","18","20","10","9","14","5","43","32","17","9","13","9","5","9","5","1","3","4",""
"交通機関","81","","58","23","","","","","1","","3","1","7","3","7","1","6","3","3","","2","2","7","4","4","2","3","2","5","1","10","4","3","3","4","1","1","","2","","","",""
"その他（感電を含む）","8","1","7","1","","","","","","","","","1","","","","1","","","","","","1","","","","1","","1","","2","1","","","1","","1","","","","","1",""
"10他殺","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11その他及び不詳の外因","106","85","66","40","","","","","","","","","3","1","1","3","4","3","1","1","7","2","11","3","8","1","4","4","4","3","23","19","6","3","6","2","6","6","3","3","2","5",""
"中毒","41","40","22","19","","","","","","","","","2","1","","3","1","2","","1","5","1","5","1","4","1","1","2","1","2","3","5","1","","2","1","","3","","1","","",""
"溺死","16","14","6","10","","","","","","","","","","","","","","","","","","1","1","2","","","1","1","","","4","6","","2","1","1","1","1","2","2","","",""
"交通機関","8","","7","1","","","","","","","","","1","","1","","2","","","","","","1","","","","","","","1","2","","","","","","2","","","","","",""
"その他","41","31","31","10","","","","","","","","","","","","","1","1","1","","2","","4","","4","","2","1","3","","14","8","5","1","3","","3","2","1","","2","5",""
"12不詳の死","1025","145","816","209","5","2","","","","","","","3","","3","2","4","3","11","1","29","4","24","11","59","16","73","13","101","10","504","147","162","26","159","28","99","31","66","30","18","32",""
"人骨・人体部分","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"不詳","1025","145","816","209","5","2","","","","","","","3","","3","2","4","3","11","1","29","4","24","11","59","16","73","13","101","10","504","147","162","26","159","28","99","31","66","30","18","32",""
"その他","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13当院以外の司法解剖","404","","240","163","8","15","","","1","","1","2","9","5","5","11","12","3","17","6","19","9","20","3","12","4","23","5","23","5","90","95","21","8","26","16","18","23","13","16","12","32","1"
