"","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／合計","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／いつもしている","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／時々している","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／あまりしない","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／いつもしない","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／無回答","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／合計","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／エネルギー(熱量)","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／たんぱく質","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／脂質","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／炭水化物","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／ナトリウム(食塩相当量)","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／飽和脂肪酸","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／コレステロール","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／糖類","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／食物繊維","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／ビタミン･ミネラル類","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／その他","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／特にない","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／無回答","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／合計","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／ほとんど毎日","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／週に4～5日","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／週に2～3日","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／ほとんどない","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／無回答"
"女性総数(%)","100","11","45.9","29.4","13.8","0","100","51.4","29.4","36.7","16.5","30.7","8.3","29.8","27.5","36.2","34.4","4.6","20.6","0","100","55","19.3","19.3","6.4","0"
"20～29歳(人)","19","4","9","2","4","0","19","14","9","9","5","5","0","5","6","7","9","1","1","0","19","8","6","3","2","0"
"20～29歳(%)","100","21.1","47.4","10.5","21.1","0","100","73.7","47.4","47.4","26.3","26.3","0","26.3","31.6","36.8","47.4","5.3","5.3","0","100","42.1","31.6","15.8","10.5","0"
"30～39歳(人)","14","1","7","5","1","0","14","12","3","6","6","6","0","5","7","6","6","1","0","0","14","6","2","2","4","0"
"30～39歳(%)","100","7.1","50","35.7","7.1","0","100","85.7","21.4","42.9","42.9","42.9","0","35.7","50","42.9","42.9","7.1","0","0","100","42.9","14.3","14.3","28.6","0"
"40～49歳(人)","48","6","28","10","4","0","48","31","16","15","11","16","8","12","12","17","17","3","5","0","48","22","13","9","4","0"
"40～49歳(%)","100","12.5","58.3","20.8","8.3","0","100","64.6","33.3","31.3","22.9","33.3","16.7","25","25","35.4","35.4","6.3","10.4","0","100","45.8","27.1","18.8","8.3","0"
"50～59歳(人)","33","4","14","11","4","0","33","21","11","12","2","11","3","11","9","15","14","2","5","0","33","18","6","8","1","0"
"50～59歳(%)","100","12.1","42.4","33.3","12.1","0","100","63.6","33.3","36.4","6.1","33.3","9.1","33.3","27.3","45.5","42.4","6.1","15.2","0","100","54.5","18.2","24.2","3","0"
"60～69歳(人)","49","5","23","19","2","0","49","20","12","23","6","14","4","21","16","16","14","1","13","0","49","27","11","9","2","0"
"60～69歳(%)","100","10.2","46.9","38.8","4.1","0","100","40.8","24.5","46.9","12.2","28.6","8.2","42.9","32.7","32.7","28.6","2","26.5","0","100","55.1","22.4","18.4","4.1","0"
"70歳～(人)","55","4","19","17","15","0","55","14","13","15","6","15","3","11","10","18","15","2","21","0","55","39","4","11","1","0"
"70歳～(%)","100","7.3","34.5","30.9","27.3","0","100","25.5","23.6","27.3","10.9","27.3","5.5","20","18.2","32.7","27.3","3.6","38.2","0","100","70.9","7.3","20","1.8","0"
