種別,施設名称,施設の目的及び対象者,担当部課名,連絡先
障害者支援施設等,重度身体障害者グループホーム,身体上の障害のために家庭において日常生活を営むのに支障のある重度身体障害者に対し、低額な料金で日常生活に適する居室、その他の設備を提供するとともに、日常生活に必要な利便を提供し、障害者の地域生活を支援する。,福祉保健局／障害者施策推進部／地域生活支援課,５３２０－４１５１（直通）／３３－２６２（内線）
保護施設,救護施設,身体上又は精神上著しい障害があるために日常生活を営むことが困難な要保護者を入所させて、生活扶助を行う。,福祉保健局　生活福祉部　保護課,５３２０－４０８６（直通）／３２－４３６（内線）
保護施設,更生施設,身体上又は精神上の理由により、養護及び生活指導を必要とする要保護者を入所させて、生活扶助を行う。,福祉保健局　生活福祉部　保護課,５３２０－４０８６（直通）／３２－４３６（内線）
保護施設,医療保護施設,医療を必要とする要保護者に対して、医療の給付を行う。,福祉保健局　生活福祉部　保護課,５３２０－４０６５（直通）／３２－４４４（内線）
保護施設,宿所提供施設,住居のない要保護者の世帯に対して、住宅扶助を行う。,福祉保健局　生活福祉部　保護課,５３２０－４０８６（直通）／３２－４３６（内線）
その他の社会福祉施設等,授産施設（授産場）,高齢又はその他の事情により一般就労の困難な人を対象にその人に適した技術を指導するとともに、設備と仕事を提供する。,福祉保健局／高齢社会対策部／在宅支援課,５３２０－４２７５（直通）／３３－５８３（内線）
その他の社会福祉施設等,無料低額宿泊所,生計困難者のために、無料又は低額な料金で宿泊させる。,福祉保健局／生活福祉部／保護課,５３２０－４０８６（直通）／３２－４３４（内線）
その他の社会福祉施設等,日常生活支援住居施設,単独での居住が困難な状態にある被保護者に対して日常生活上の支援を行う。,福祉保健局／生活福祉部／保護課,５３２０－４０６３（直通）／３２－４３４（内線）
その他の社会福祉施設等,城北労働・福祉センター,山谷地域の日雇労働者に対する職業紹介、労働相談、医療相談、宿泊・給食・物品・交通費等の応急援護相談等を行う。,福祉保健局／生活福祉部／保護課,５３２０－４１０６（直通）／３２－５９１（内線）
その他の社会福祉事業,社会福祉協議会,東京都社会福祉協議会：都内の区市町村社会福祉協議会、社会福祉関係施設・団体、民生・児童委員、ボランティア団体などにより構成され、地域福祉の総合的な推進を図るために活動している民間団体,福祉保健局　総務部　企画政策課,５３２０－４２０２（直通）／３２－０４９（内線）
その他の社会福祉事業,社会福祉協議会,区市町村社会福祉協議会：住民が主体となって地域における福祉の問題を解決し、その改善向上を図るため、公私関係者の協力を得て地域福祉を推進することを目的とする民間団体,福祉保健局　生活福祉部　地域福祉課,５３２０－４０４５（直通）／３２－５６２（内線）
相談窓口,福祉事務所,社会福祉法に基づき、都道府県・市町村・特別区に設けられる社会福祉行政の現業機関。福祉六法に定める援護や育成又は更生の措置のほか、広く社会福祉全般に関する事務を行う。,福祉保健局／生活福祉部／保護課,５３２０－４０５２（直通）／３２－４５１（内線）
相談窓口,保健所・保健センター,保健所は、地域保健法に基づき、都、特別区、中核市、保健所政令市がそれぞれ設置する行政機関であり、地域保健に関する企画、調整、指導及びこれらに必要な事業を行う。市町村保健センターは、地域保健法に基づき、特別区及び市町村が設置する施設であり、健康相談、保健指導及び健康診査その他地域保健に関し必要な事業を行う。,福祉保健局／保健政策部／保健政策課（都が設置する多摩・島しょ地域の保健所）／（特別区・八王子市・町田市が設置する保健所、区市町村が設置する保健センターについては、各区市町村へお問い合わせください。）,５３２０－４３３４（直通）／３２－８４１（内線）
相談窓口,児童相談所,児童福祉法に基づき、児童の福祉に関する事項について、相談、調査、判定、指導、一時保護などの業務を行う行政の機関,福祉保健局／少子社会対策部／家庭支援課,５３２０－４１２７（直通）／３２－７６２（内線）
相談窓口,子供家庭支援センター,子ども自身や子育て家庭からのあらゆる相談に応じる総合相談窓口,福祉保健局／少子社会対策部／家庭支援課,５３２０－４３７１（直通）／３２－６６１（内線）
相談窓口,女性相談センター,緊急の保護や自立のための援助が必要な女性の相談に応じ、助言・指導や援護を行う。,東京都女性相談センター,５２６１－３９１１（直通）
相談窓口,心身障害者福祉センター,身体障害者更生相談所及び知的障害者更生相談所として、補装具の判定、愛の手帳の判定（18歳以上）、援護の実施者である区市町村への専門的支援等を行っている。また、高次脳機能障害のある方への相談・支援等を実施している。これらに加えて、身体障害者手帳及び愛の手帳の発行等の業務も行っている。,東京都心身障害者福祉センター／調整課,３２３５－２９４６（代表）
相談窓口,障害者福祉会館,障害者やその家族などへの集会室等の利用公開、ピアカウンセリング、日常生活情報の点訳等サービスなどを行っている。,東京都障害者福祉会館,３４５５－６３２１（代表）
相談窓口,生活支援ハウス,老人デイサービスセンター等に併設又は隣接し、必要に応じ住居の提供、各種相談・助言等を行う。,福祉保健局／高齢社会対策部／在宅支援課,５３２０－４２７３（直通）／３３－５５５（内線）
相談窓口,東京都福祉人材センター（東京しごとセンター内）,福祉の仕事に就くことを希望する方に対して、職業安定法に基づく無料職業紹介事業（福祉の仕事の紹介・あっ旋）、就労を支援するための各種セミナーや面接会等を行う。また、社会福祉事業従事者に対する研修や相談窓口の設置等も行っている。 ,福祉保健局／生活福祉部／地域福祉課,５３２０－４０４９（直通）／３２－５４１（内線）
相談窓口,精神保健福祉センター,精神保健福祉に関する種々の相談に応じている。,東京都立精神保健福祉センター／相談担当,３８４４－２２１２
相談窓口,精神保健福祉センター,精神保健福祉に関する種々の相談に応じている。,東京都立中部総合精神保健福祉センター／広報援助課,３３０２－７７１１
相談窓口,精神保健福祉センター,精神保健福祉に関する種々の相談に応じている。,東京都立多摩総合精神保健福祉センター／広報援助課,０４２－３７１－５５６０
相談窓口,発達障害者支援センター,自閉症など特有な発達障害を有する障害児（者）とその家族に対する支援を総合的に行っている。,東京都発達障害者支援センター,３４２６－２３１８
