"年・死因別","総数／総数(件)","総数／男(件)","総数／女(件)","総数／不詳(件)","1病気／総数(件)","1病気／男(件)","1病気／女(件)","2交通事故／総数(件)","2交通事故／男(件)","2交通事故／女(件)","3転倒・転落／総数(件)","3転倒・転落／男(件)","3転倒・転落／女(件)","4溺死／総数(件)","4溺死／男(件)","4溺死／女(件)","5煙・火災・火炎による傷害／総数(件)","5煙・火災・火炎による傷害／男(件)","5煙・火災・火炎による傷害／女(件)","6窒息／総数(件)","6窒息／男(件)","6窒息／女(件)","7中毒／総数(件)","7中毒／男(件)","7中毒／女(件)","8その他／総数(件)","8その他／男(件)","8その他／女(件)","9自殺／総数(件)","9自殺／男(件)","9自殺／女(件)","10他殺／総数(件)","10他殺／男(件)","10他殺／女(件)","11その他及び不詳の外因／総数(件)","11その他及び不詳の外因／男(件)","11その他及び不詳の外因／女(件)","12不詳の死／総数(件)","12不詳の死／男(件)","12不詳の死／女(件)","13当院以外の司法解剖等／総数(件)","13当院以外の司法解剖等／男(件)","13当院以外の司法解剖等／女(件)","",""
"墨田区","385","244","141","","265","165","100","8","7","1","2","","2","9","3","6","2","1","1","5","2","3","","","","6","5","1","48","33","15","","","","3","2","1","27","19","8","","10","7","3",""
"江東区","727","480","247","","517","329","188","7","5","2","15","10","5","4","3","1","1","","1","14","8","6","5","3","2","2","2","","79","51","28","","","","5","3","2","60","52","8","","18","14","4",""
"品川区","488","307","181","","351","218","133","8","4","4","7","4","3","8","3","5","5","2","3","9","5","4","1","1","","9","5","4","38","29","9","","","","5","4","1","36","27","9","","11","5","6",""
"目黒区","346","214","132","","238","135","103","3","3","","9","7","2","1","1","","1","1","","10","5","5","1","1","","6","2","4","43","32","11","","","","3","3","","27","20","7","","4","4","",""
"大田区","973","635","338","","692","440","252","8","7","1","19","14","5","8","4","4","1","1","","18","8","10","3","1","2","12","7","5","91","61","30","","","","10","8","2","85","68","17","","26","16","10",""
"世田谷区","940","553","387","","665","384","281","10","5","5","26","15","11","8","4","4","1","","1","13","7","6","4","2","2","15","7","8","113","71","42","","","","3","","3","64","51","13","","18","7","11",""
"渋谷区","256","151","105","","176","96","80","2","2","","7","2","5","2","","2","1","1","","3","2","1","","","","4","3","1","28","23","5","","","","2","2","","26","18","8","","5","2","3",""
"中野区","486","306","180","","327","194","133","7","6","1","14","10","4","3","2","1","2","1","1","5","3","2","4","1","3","7","5","2","59","44","15","","","","3","","3","44","36","8","","11","4","7",""
"杉並区","749","465","284","","529","323","206","6","2","4","12","11","1","6","5","1","1","","1","15","9","6","3","1","2","9","7","2","81","54","27","","","","2","2","","62","39","23","","23","12","11",""
"豊島区","444","275","169","","300","171","129","2","2","","9","5","4","2","2","","2","1","1","7","3","4","3","3","","5","3","2","51","34","17","","","","3","3","","50","40","10","","10","8","2",""
"北区","611","401","210","","429","271","158","9","7","2","16","12","4","3","2","1","1","","1","9","3","6","2","2","","10","7","3","58","41","17","","","","4","1","3","55","47","8","","15","8","7",""
"荒川区","338","233","105","","254","172","82","2","2","","6","6","","","","","1","","1","8","7","1","","","","2","2","","38","26","12","","","","2","1","1","16","13","3","","9","4","5",""
"板橋区","788","508","280","","532","330","202","10","6","4","11","8","3","5","3","2","5","4","1","23","13","10","2","1","1","14","9","5","89","60","29","","","","6","3","3","67","56","11","","24","15","9",""
"練馬区","823","526","297","","562","354","208","11","9","2","21","13","8","6","3","3","5","3","2","26","14","12","2","","2","10","5","5","92","62","30","","","","10","5","5","56","45","11","","22","13","9",""
"足立区","1161","741","420","","831","519","312","10","6","4","31","17","14","6","3","3","4","3","1","27","16","11","2","","2","7","6","1","132","89","43","","","","10","4","6","70","59","11","","31","19","12",""
"葛飾区","746","460","286","","529","316","213","6","5","1","17","11","6","3","2","1","","","","16","7","9","3","1","2","8","5","3","89","59","30","","","","5","4","1","45","38","7","","25","12","13",""
"江戸川区","974","646","328","","669","432","237","13","11","2","15","11","4","6","2","4","3","","3","18","10","8","5","5","","7","3","4","119","83","36","","","","11","8","3","79","65","14","","29","16","13",""
"都下市町村","92","73","19","","36","30","6","5","4","1","6","5","1","","","","","","","2","2","","1","1","","5","3","2","30","21","9","","","","1","1","","2","2","","","4","4","",""
"他県","406","338","68","","184","164","20","22","14","8","14","14","","7","6","1","2","2","","8","6","2","3","1","2","2","2","","116","92","24","","","","4","3","1","7","6","1","","37","28","9",""
"外国","11","8","3","","9","7","2","","","","1","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","",""
"不定・不詳","177","153","23","1","61","55","6","","","","2","2","","1","1","","","","","","","","","","","11","10","1","40","37","3","","","","1","","1","24","22","2","","37","26","10","1"
