"施策の体系","重点的取組","数値目標","計画番号","事業名","所管局","平成17年度実績","平成18年度実績","平成19年度実績","平成20年度実績","平成21年度実績","重点戦略通し番号"
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(3)福祉・保健・医療の一体的な支援の推進","","●","12","要支援家庭の早期発見に向けた取組","福祉保健局","○母子保健従事者向け「要支援家庭の把握と支援のための母子保健事業のガイドライン」／医療機関・従事者向け「医療機関のための子育て支援ハンドブック」（平成18年3月）／○区市町村関係機関を対象としたシンポジウムの実施「地域における要支援家庭への対応と関係機関への連携」（平成 18年3月10日）／○都保健所における二次保健医療圏医療機関子育て支援推進会議の実施（5保健所）","○母子保健従事者向け「要支援家庭の把握と支援のための母子保健事業のガイドライン」／医療機関・従事者向け「医療機関のための子育て支援ハンドブック」（平成18年3月作成）の活用と普及啓発／・母子保健研修の実施（4回）／・助産師の地域コーディネート力強化事業（助産師研修）への活用（5回）","○母子保健従事者向け「要支援家庭の把握と支援のための母子保健事業のガイドライン」／医療機関・従事者向け「医療機関のための子育て支援ハンドブック」（平成18年3月作成）の活用と普及啓発／・母子保健研修の実施（4回）","○母子保健従事者向け「要支援家庭の把握と支援のための母子保健事業のガイドライン」／医療機関・従事者向け「医療機関のための子育て支援ハンドブック」（平成18年3月作成）の活用と普及啓発／・母子保健研修の実施（4回）／○医療保健政策区市町村補助事業（包括補助）　19箇所／○「母子保健事業における要支援家庭の早期発見・支援のポイント」の作成と配布","○各冊子の活用と普及啓発／・母子保健研修の実施　4回／○医療保健政策区市町村補助事業（包括補助）　22箇所",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（2）地域における子育て支援サービスの充実／(1)子育て支援サービスの整備促進","","●","再掲","子育てひろば事業","福祉保健局","No.4参照","No.4参照","No.4参照","No.4参照","No.4参照",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（2）地域における子育て支援サービスの充実／(1)子育て支援サービスの整備促進","","●","13","子ども家庭在宅サービス","福祉保健局","ショートステイ　29区市／一時保育・特定保育　46区市町／トワイライトステイ等　13区市／訪問型一時保育　3区","ショートステイ　35区市／一時保育・特定保育　47区市町／トワイライトステイ等　13区市／訪問型一時保育　4区","ショートステイ　40区市町／一時保育・特定保育　48区市町／トワイライトステイ等　15区市／訪問型一時保育　4区","ショートステイ　40区市町／一時預かり・特定保育　51区市町／トワイライトステイ等　15区市／訪問型一時預かり　3区","ショートステイ　43区市町／一時預かり・特定保育　52区市町／トワイライトステイ等　15区市","21"
"目標１地域で安心して子育てができる新たな仕組みづくり／（2）地域における子育て支援サービスの充実／(1)子育て支援サービスの整備促進","","●","14","育児支援ヘルパー事業","福祉保健局","17区市","39区市町","４５区市町（２３区２１市１町）","47区市町（23区23市1町）","49区市町（23区25市1町）",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（2）地域における子育て支援サービスの充実／(1)子育て支援サービスの整備促進","","●","15","ファミリー・サポート・センター事業","福祉保健局","45か所（設立区市町村数）","47か所（設立区市町村数）","４７か所（設立区市町村数）","47か所（設立区市町村数）","47か所（設立区市町村数）",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（2）地域における子育て支援サービスの充実／(1)子育て支援サービスの整備促進","★","","16","東京都子育て支援基盤整備包括補助事業","福祉保健局","実施区市町　51区市町／予算執行率　61.5%／（予算額：2000000千円、決算額1231735千円）","実施区市町村　54区市町村／予算執行率　90.7％（予算額3000000千円、決算額2721405千円）","実施区市町村　55区市町村／予算執行率　99.1％（予算額3000000千円、決算額2972206千円）","実施区市町村　50区市町村／予算執行率　99.4％（予算額3000000千円、決算額2981650千円）","21年度より子供家庭支援包括補助事業（他事業を含めて再構築）／（参考：58区市町村（4117587千円））",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（2）地域における子育て支援サービスの充実／(1)子育て支援サービスの整備促進","","","17","心の東京塾","青少年・治安対策本部","開催回数：145回／受講者：2445人","開催回数：111回／受講者　：1544人","開催回数：107回／受講者　：1607人","開催回数：84回／受講者　：1439人","開催回数：115回／受講者　 ：2012人",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(1)子どもの病気などに関する知識の情報提供","","","再掲","電話相談「母と子の健康相談室」（小児救急相談）","福祉保健局","No.6参照","No.6参照","No.6参照","No.6参照","No.6参照",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(1)子どもの病気などに関する知識の情報提供","","","18","ＴＯＫＹＯ子育て情報サービス","福祉保健局","音声：16557件／ファクシミリ：8204件","音声：15664件／ファクシミリ：6292件","音声：14836件／ファクシミリ：5032件","音声：14886件／ファクシミリ：4536件","音声：12173件／ファクシミリ：2870件",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(1)子どもの病気などに関する知識の情報提供","","","19","東京都こども医療ガイド","福祉保健局","ホームページアクセス件数　122981件","ホームページアクセス件数　137040件","ホームページアクセス件数　109067件","ホームページアクセス数　86305件","ホームページアクセス数　73464件",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(1)子どもの病気などに関する知識の情報提供","","","20","東京都医療機関案内サービス「ひまわり」","福祉保健局","案内件数　1338536件／（携帯サイト：524681件）／（ホームページ：781408件）／（音声自動音声応答サービス：32447件）","案内件数　1304631件／（携帯サイト：398852件）／（ホームページ：880821件）／（音声自動音声応答サービス：24958件）","案内件数　1451899件／（携帯サイト：314668件）／（ホームページ：1113552件）／（音声自動音声応答サービス：23679件）","案内件数　1294841件／（携帯サイト：236061件）／（ホームページ：1036371件）／（音声自動音声応答サービス：22409件）","案内件数　1360568件／（携帯サイ ト：222747件）／（ホームページ：1112020件）／（音声自動音声応答サービス：25801件）",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","★","●","21","小児救急医療体制の充実","福祉保健局","＜初期救急＞12区12市／＜二次救急＞79床（52施設）","＜初期救急＞16区13市／＜二次救急＞72床（47施設）","＜初期救急＞18区13市／＜二次救急＞72床（47施設）","＜初期救急＞18区13市／＜二次救急＞70床（46施設）","＜初期救急＞18区13市／＜二次救急＞69床（46施設）",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","","","22","小児三次救急医療ネットワークの構築","福祉保健局","小児三次救急医療ネットワーク運営協議会　３回／小児三次救急医療ネットワーク運営連絡会　３回","小児三次救急医療ネットワーク運営協議会　1回／小児三次救急医療ネットワーク運営連絡会　1回","小児三次救急医療ネットワーク運営協議会　1回／小児三次救急医療ネットワーク運営連絡会　1回／小児三次救急医療ネットワーク地域ブロック会議　各１回（３／４ブロックで開催）","開催実績なし","開催実績なし",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","","●","23","周産期医療体制の整備","福祉保健局","NICU（新生児集中治療室）病床数　189床","NICU（新生児集中治療室）病床数　195床","NICU（新生児集中治療室）病床数　195床","NICU（新生児集中治療室）病床数　207床","NICU（新生児集中治療室）病床数　222床","47"
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","","●","24","小児総合医療センター（仮称）の整備","病院経営本部","平成18年1月　落札者の決定／2月　基本協定書締結","平成18年　8月　PFI事業契約締結","平成19年　7月　病院本体建設工事着工","・病院本体建設工事（平成19年7月～）／・宿舎棟建設工事着工（平成20年7月～）／・病院本体、宿舎棟とも／躯体工事完了、内装工事中","平成22年3月　小児総合医療センター　開設",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","","","25","医師等確保対策の推進","福祉保健局","開業医小児医療研修　30名／離職小児科医師再就職支援研修　2名","開業医小児医療研修　34名／登録した離職小児科医師に対する求人情報提供を実施","開業医小児医療研修　45名","地域小児医療研修（臨床研修）　１３名","地域小児医療研修（臨床研修）　１９名","45"
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","","","26","不妊治療費助成事業","福祉保健局","助成件数　2502件（1年度当たり10万円を限度）","助成件数　2707件（1年度当たり10万円を限度）","助成件数　5588件（1年度あたり治療1回につき上限10万円、年2回まで）","助成件数　6901件（治療1回につき上限10万円、１年度当たり2回を限度に、通算5年度まで）","助成件数　8351件（治療1回につき上限15万円、１年度当たり2回を限度に、通算5年度まで）",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（3）安心できる小児・母子医療体制の整備／(2)小児・母子医療体制の整備","","","27","各種医療費助成制度","福祉保健局","妊娠高血圧症候群等医療費助成／（金額）4101千円／（実人員）29人／未熟児養育医療／（金額）214092千円／（実人員）988人／小児慢性疾患医療費助成／（金額）1645267千円／（実人員）9127人／乳幼児医療費助成／（金額）9716649千円／（対象者数）461419人／（助成件数）9249673件","妊娠高血圧症候群等医療費助成／（金額）　3593千円／（実人員）　27人／未熟児養育医療／（金額）　192883千円／（実人員）　893人／小児慢性疾患医療費助成／（金額）1600274千円／（実人員）　8375人／乳幼児医療費助成／（金額）　10228769千円／（対象者数）　474307人／（助成件数）　9619697件","妊娠高血圧症候群等医療費助成／（金額）　4890千円／（実人員）　28人／未熟児養育医療／（金額）　187733千円／（実人員）　749人／小児慢性疾患医療費助成／（金額）　1819706千円／（実人員）　8289人／乳幼児医療費助成【市町村部のみ】／（金額）　3877786千円／（対象者数）　192065人（都全体　501869人）／（助成件数）　360649件／義務教育就学児医療費助成【市町村部のみ】／（金額）　382094千円／（対象者数）　170303人／（助成件数）　552353件","妊娠高血圧症候群等医療費助成／（金額）　2605千円／（実人員）　13人／未熟児養育医療／（金額）　196001千円／（実人員）　805人／小児慢性疾患医療費助成／（金額）　1717656千円／（実人員） 7994／人乳幼児医療費助成【市町村部のみ】／（金額）　 3500103千円／（対象者数）　191520人（都全体　500846人）／（助成件数）　3710122件／義務教育就学児医療費助成【市町村部のみ】／（金額）　691277千円／（対象者数）　182568人（都全体　547079人）／（助成件数）　1665494件","妊娠高血圧症候群等医療費助成／（金額）　1993千円／（実人員）　14人／未熟児養育医療／（金額）　182092千円／（実人員）　776人／小児慢性疾患医療費助成／（金額）　1783276千円／（実人員） 7942人／乳幼児医療費助成【市町村部のみ】／（金額）　3255530千円／（対象者数）　190406人（東京都全体：500367人）／（助成件数）　3694235件／義務教育就学児医療費助成【市町村部のみ】／（金額）　1402268千円／（対象者数）　195070人（東京都全体：564420人）／（助成件数）　2028642件／",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(1)地域の居場所づくりと豊かな遊びへの支援","★","","再掲","東京都子育て支援基盤整備包括補助事業","福祉保健局","No.16参照","No.16参照","No.16参照","No.16参照","No.16参照",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(1)地域の居場所づくりと豊かな遊びへの支援","","","28","児童館等整備費補助","福祉保健局","児童館／（創設）3施設／（改築）1施設／（大規模修繕）2施設／学童クラブ／（創設）7施設","児童館／（創設）3施設／（改築）1施設／（大規模修繕）2施設／学童クラブ／（創設）8施設","児童館／（創設）2施設／（改築）1施設／（大規模修繕）13施設／学童クラブ（創設）21施設","児童館／（創設）3施設／（改築）2施設／（大規模修繕）7施設／学童クラブ（創設）25施設","児童館／（創設）4施設／（改築）4施設／（大規模修繕）8施設／学童クラブ（創設）25施設",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(2)いじめ、不登校への対応の強化","","","29","スクールカウンセラーの配置","教育庁","都内公立中学校全校（643校）、都立高等学校50校にスクールカウンセラーを配置し、教育活動の改善等に大きな役割を果たした。","都内公立中学校全校（641校）、都立高等学校60校にスクールカウンセラーを配置し、教育活動の改善等に大きな役割を果たした。","都内公立中学校全校（639校）、都立高等学校60校にスクールカウンセラーを配置し、教育活動の改善等に大きな役割を果たした。","都内公立小学校92校、中学校全校（635校）、都立高等学校60校にスクールカウンセラーを配置し、教育活動の改善等に役割を果たしていく。","都立公立小学校132校、中学校全校(631校）、都立高校60校にスクールカウンセラーを配置し、教育活動の改善等に役割を果たした。",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(2)いじめ、不登校への対応の強化","","","30","アドバイザリースタッフ派遣事業","教育庁","○専門家スタッフ／派遣件数　132件／派遣回数　317回／○学生スタッフ／派遣件数　56件／派遣回数　961回／○緊急支援※　17件","○専門家スタッフ　派遣件数　78件／派遣回数　243回（緊急支援として、派遣件数3件、派遣回数10回を含む）／○学生スタッフ　派遣件数　59件／派遣回数　732回","○専門家スタッフ　派遣件数　88件　派遣回数　314回（緊急支援として　派遣件数　9件、派遣回数　41回を含む）／○学生スタッフ　派遣件数　41件　派遣回数　603回","○専門家スタッフ　派遣件数　 68件　派遣回数　242回（緊急支援として　派遣件数　 7件、派遣回数　24回を含む）／○学生スタッフ　　 派遣件数　 32件　派遣回数　487回","○専門家スタッフ　派遣件数　 74件　派遣回数　　　 312回（緊急支援として　派遣件数　 3件　派遣回数　　　　56回を含む）／○学生スタッフ　　 派遣件数　 13件　派遣回数　　　207 回",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(2)いじめ、不登校への対応の強化","","","31","トライ＆チャレンジふれあい月間の実施","教育庁","都内公立幼稚園、小・中学校及び盲・ろう・養護学校（幼稚部・小学部・中学部）全校が実施","都内公立幼稚園、小・中学校及び盲・ろう・養護学校（幼稚部・小学部・中学部）全校が実施。","都内公立幼稚園、小・中学校及び都立特別支援学校全校が実施","都内公立幼稚園、小・中学校及び都立特別支援学校全校が実施","都内公立幼稚園、小・中学校及び都立特別支援学校全校が実施",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(2)いじめ、不登校への対応の強化","","","32","東京都教育相談センターのいじめ相談","教育庁","電話相談　573回／来所相談　15件","○いじめ・体罰等及びセクシャルハラスメント相談実績／電話相談　1215件／来所相談　13件／○いじめ相談ホットラインの開設／平成19年2月1日から24時間体制でいじめ相談を実施。／2月、3月の夜間帯（午後9時から翌朝午前9時まで）の電話相談　269件","○いじめ相談数／電話相談　1996回／来所相談　16件／○いじめ相談ホットライン　24時間体制でいじめ相談を実施。／夜間帯（午後9時から翌朝午前9時まで）のいじめ電話相談数　569回","・24時間受付のいじめ相談ホットラインの継続実施／・相談水準の維持・向上のための研修の実施／○いじめ相談数／電話相談　1250回　来所相談　11件／○夜間帯（午後9時から翌朝午前9時まで）のいじめ電話相談数　480回","○２４時間受付のいじめ相談ホットラインの継続実施／○相談水準の維持・向上のための研修の実施／・いじめ相談数／電話相談　1２２６回　来所相談　６件／・夜間帯（午後９時から翌朝午前９時まで）のいじめ電話相談数　４２５回",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(2)いじめ、不登校への対応の強化","","","33","生活指導担当指導主事連絡会","教育庁","年間計画に基づき、年間５回開催（4・6・9・11・2月）","年間計画に基づき、年間５回開催。（4･6･9･11･2月）／問題行動への対応と関係機関等と連携した健全育成推進上の内容も協議した。","年間計画に基づき、年間５回開催。（4･6･9･11･2月）／いじめ問題の解決に向けた取組をはじめ、喫緊の課題への対応を中心に連絡・協議した。","〇年間計画に基づき、年間５回開催　（5･6･9･11･2月）／〇平成20年度は、いじめ問題をはじめ、喫緊の問題行動等の対応力についての情報交換、協議を実施した。／〇参加者の自己評価（5点法）／苦情対応力　3.18／緊急対応力　2.70／不登校対応力　2.82／いじめ・暴力行為対応力　2.72","○年５回実施（第1回4月27日、第2回6月26日、第3回9月11日、第4回11月20日、第5回2月　１6日）／内容／(1)東京都の健全育成の状況／(2)警視庁からの情報提供／(3)先進的な健全育成の報告／(4)緊急対応力の研修・協議／(5)スクールパートナー事業等の事業説明／(6)いじめ防止対策の取組報告／(7)教育相談センターからの情報提供／(8)青少年治安対策部からの情報提供",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(3)関係機関の連携による非行からの立ち直り支援","","","34","東京都児童自立サポート事業","福祉保健局","32ケースを支援","23ケースを支援","23ケースを支援","１　児童入所中の支援／支援チームは施設を訪問し、児童との面接を実施する。併せて家庭訪問を行い、児童や保護者と自立に関する相談を進め信頼関係の構築を図る。／２　児童退所後の支援／支援チームは、児童及び保護者に対して家庭訪問、通所指導等を実施し、生活の安定、児童の学業や仕事の継続等支援する。／３　30ケースを支援／平成20年10月～平成21年9月","１　児童入所中の支援／支援チームは施設を訪問し、児童との面接を実施する。併せて家庭訪問を行い、児童や保護者と自立に関する相談を進め信頼関係の構築を図る。２　児童退所後の支援／支援チームは、児童及び保護者に対して家庭訪問、通所指導等を実施し、生活の安定、児童の学業や仕事の継続等支援する。３　26ケースを支援",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(3)関係機関の連携による非行からの立ち直り支援","","","35","スクールサポーター制度","警視庁","○学校訪問／（公立）24305回／（私立）　2883回／○各種非行防止活動　 24432回／○児童生徒の安全確保対策　30720回／○非行防止教室等の実施　3876回／○環境浄化活動　4298回／○相談警戒等その他活動　6881回","○学校訪問　（公立）29154回／（私立）3973回／○各種非行防止活動　32057回／○児童生徒の安全確保対策　38739回／○非行防止教室等の実施　4885回／○環境浄化活動　6034回／○相談警戒等その他活動　10218回","○学校訪問（公立）34222回／（私立）3960回／○各種非行防止活動　38517回／○児童生徒の安全確保対策　49664回／○非行防止教室等の実施　4579回／○環境浄化活動　8188回／○相談警戒等その他活動　11090回","スクールサポーター活動状況／○学校訪問　42313回（内、公立学校38267回）／○各種非行防止・立ち直り支援活動　40688回／○児童生徒の安全確保対策　 53945回／○非行防止教室等の実施　5201回／○環境浄化活動　 8739回／○その他活動　12773回／","スクールサポーター活動状況／○学校訪問　 44350回（内、公立学校39583回）／○各種非行防止活動　 31974回／○児童生徒の安全確保対策　42569回／○非行防止教室等の実施　4042回／○環境浄化活動　6462回／○相談警戒等その他活動　12345回",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(4)思春期保健対策の充実","","","36","「性教育の手引」の活用","教育庁","学校における、全体年間計画及び年間指導計画等の作成","学校における、全体計画及び年間指導計画等の作成","学校における、全体計画及び年間指導計画等の作成","現在は、事業として実施していない。","現在は、事業として実施していない。",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(4)思春期保健対策の充実","","","37","「学校における性教育の指導リーフレット（教員研修用）」の活用","教育庁","学校における適切な性教育の実施を目的とした研修及び各学校における性教育に関する指導計画の作成","学校における適切な性教育の実施を目的とした研修及び各学校における性教育に関する指導計画の作成","学校における適切な性教育の実施を目的とした研修会及び各学校における性教育に関する指導計画の作成","現在は、事業として実施していない。","現在は、事業として実施していない。",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（4）健やかな子どもの育成／(4)思春期保健対策の充実","","","38","エイズ理解・予防に関する児童・生徒用パンフレットの作成・配布","教育庁","エイズ理解・予防に関する児童・生徒用パンフレットの活用","エイズ理解・予防に関する児童・生徒用パンフレットの活用","エイズ理解・予防に関する児童・生徒用パンフレットの活用","エイズ理解・予防に関する児童・生徒用パンフレットの活用","エイズ理解・予防に関する児童・生徒用パンフレットの活用",""
