"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"18","喜楽里すみだ工房","社会福祉法人墨田さんさん会","墨田区","03-6661-8561","礒井","https://33kai.com/","kirari@33kai.com","箸袋入れ","箱・袋詰め","5000","20000","2週間","0.25円/1本","発注元による回収希望","無","無","有","ホテルや飲食店用なので検品を重視した作業を行っています。"
"19","喜楽里すみだ工房","社会福祉法人墨田さんさん会","墨田区","03-6661-8561","礒井","https://33kai.com/","kirari@33kai.com","消しゴムホルダー差し","箱・袋詰め","12000","40000","3週間","0.6円/1個","発注元による回収希望","無","無","有","消しゴムの欠けやホルダー不良等を確認し丁寧な作業に取り組んでいます。"
"20","喜楽里すみだ工房","社会福祉法人墨田さんさん会","墨田区","03-6661-8561","礒井","https://33kai.com/","kirari@33kai.com","ガチャガチャインカップ","箱・袋詰め","3000","6000","1週間","0.1円/1個","発注元による回収希望","無","無","有","１袋の数量を確認し正確に袋入れを行っています。"
"21","のびのび共同作業所大河","のびのび福祉会","江東区","03-5634-8558","笹山","","taiga@saturn.dti.ne.jp","受遺中作業","箱・袋詰め","100","10000","５日","一工程一円","発注元による回収希望","無","無","有",""
"22","のびのび作業所フーズ","のびのび福祉会","江東区","03-6807-0900","佐藤","http://www.nobihuku.or.jp/","nobinobi.foods@mx5.alpha-web.ne.jp","箸・ペン袋入れ・部品組み立て","箱・袋詰め","100","10000","要相談","要相談","自力での納品可","無","無","有","作業内容・本数によって納期を調整"
"23","若竹作業所","社会福祉法人江東楓の会","江東区","03-3648-1053","輿水","http://www.kaede.or.jp/","wakatakedondon@kaede.or.jp","橋の封入・袋詰め","箱・袋詰め","1000","2000","１週間","１工程１円を基本に相談","発注元による回収希望","","","",""
"24","品川区立西大井福祉園","社会福祉法人福栄会","品川区","03-3777-0294","福島","","nisiooi@fukueikai.or.jp","箸の袋入れ","箱・袋詰め","１本","４０００本","１日間","１本１円","発注元による回収希望","無","無","有","作業内容により納期がかわります。ご相談ください。"
"25","かもめ第三工房","社会福祉法人福栄会","品川区","03-5435-1808","勝亦","http://www.fukueikai.or.jp","kamome3@fukueikai.or.jp","軽作業","箱・袋詰め","100~","５００程度","約７日～     土・日・祝含まず","５円～","発注元による回収希望","無","無","有","作業内容によっては短納期も可能です。作業単価、納品方法についてもご相談に応じます。"
"26","下目黒福祉工房","目黒区社会福祉事業団","目黒区","03-3793-2590","齋藤","","shimomeguro@clock.ocn.ne.jp","受注作業","箱・袋詰め","","","内容により応相談","内容により応相談","自力での納品可","無","無","有",""
"27","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","箱等組み立て、部品梱包","箱・袋詰め","","要相談","要相談","１工程/１円","自力での納品可","無","無","有","納期については、相談可。"
"28","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","ケーキ用箱組み立て、電子部品袋詰め","箱・袋詰め","2000箱","4000箱","2か月","8円/箱6円/袋","発注元による回収希望","無","無","有","ケーキ用箱の組み立て、電子部品の計量・袋詰めで実績あり"
"29","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","箱折り","箱・袋詰め","1","1000","1～3日","8円～","発注元による回収希望","無","無","有",""
"30","世田谷区立下馬福祉工房","社会福祉法人せたがや樫の木会","世田谷区","03-5712-5103","長見","https://www.kashinokikai.net/","shimouma-f.k@vesta.ocn.ne.jp","箱組み立て","箱・袋詰め","100","1000","30日","","発注元による回収希望","無","無","無",""
"31","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","箱の組み立て","箱・袋詰め","100個","1000個","14日間","5円～/個","発注元による回収希望","無","無","有","大形結束機を所有しておりますので、結束・梱包作業も承ります。"
"32","コロニーもみじやま支援センター","社会福祉法人東京コロニー","中野区","03-5318-9952","","http://colony.gr.jp/momijiyama/","asou@tocolo.or.jp","箱組立作業","箱・袋詰め","50","1000","5営業日","一工程あたり￥1","自力での納品可","無","無","有","紙什器・パッケージなどの組立"
"33","Ivy","（社福）豊芯会","豊島区","03-3915-9002","武岡","http://www.housinkai.or.jp","jobtr@housinkai.or.jp","箱・袋詰め","箱・袋詰め","100","1000","5日","別途相談","自力での納品可","無","無","有","一般的な軽作業関係"
"34","ル・ピュル","特定非営利活動法人ネットワーク豊友","豊島区","03-6905-8005","梁","","nwh-lepur@tiara.ocn.ne.jp","箱の組み立て","箱・袋詰め","1００箱","３０００箱","5日","未定","自力での納品可","無","無","有","単価・納期についてはご相談ください。"
"35","ワークハウスペガサス","社会福祉法人さざんかの会","北区","03-3903-3942","杉本","http://sazanka.info/","pegasus@hattatsu.or.jp","手芸用品・文房具等のセット組（検品、計数、各シール貼り、封入。封緘含む）","箱・袋詰め","100件/日","500件/日","1週間～","1工程1円～","発注元による回収希望","無","無","有","北区内の作業所ネットワークによる共同受注の実績あり。作業内容や納期、多い件数など先以外の条件でもご相談ください。"
"36","来夢","社会福祉法人あゆみ","北区","03-3598-9100","","https://aym.or.jp/","raimu266@aym.or.jp","箱の組み立て","箱・袋詰め","","6000","7日～","応相談","自力での納品可","無","無","有","さまざまな形の箱組みに対応します。"
"37","北区立たばた福祉作業所","東京都手をつなぐ育成会","北区","03-5907-5215","","http://www.ikuseikai-tky.or.jp/~iku-tabata/","tabata@ikuseikai-tky.or.jp","菓子箱等の箱折","箱・袋詰め","100","500","１０日間","作業内容による","発注元による回収希望","無","無","有","・随時回収が可能であれば、５００以上の受注が可能です。"
"38","王子福祉作業所","（社福）北区社会福祉事業団","北区","03-3919-9575","","http://kitajigyo.com/handicapped/oji.html","oji-fuku-sa@jcom.zaq.ne.jp","セット詰め（袋詰・箱詰）","箱・袋詰め","","10000/月","","5円～","発注元による回収希望","無","無","有",""
"39","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","鉛筆入れ","箱・袋詰め","500","10000","作業日数1日以降","5円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"40","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","ネット販売梱包","箱・袋詰め","100","10000","5","10","自力での納品可","無","有","有","ECの梱包に豊富な経験があります。また、発送業務もご対応できます。"
"41","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","マグネット製品部品組み立て","箱・袋詰め","100個","15000個","5日間","相談","発注元による回収希望","無","無","有","各種部品組み立て"
"42","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","紙袋制作・箱類組み立て","箱・袋詰め","100枚","5000枚","5日間","相談","発注元による回収希望","無","無","有","ショッピングバック制作（穴あけ機あり）菓子箱等"
"43","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","採尿セット","箱・袋詰め","2000","20000","10日間","1.1円～1.6円（応相談）","自力での納品可","無","無","有","分納可であれば万単位での受注可。"
"44","練馬区立かたくり福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-5387-4610","上野","https://www.neri-shakyo.com/","","箱組み立て、菓子の袋詰め、箸の袋入れ等","箱・袋詰め","300","3000","１週間","１工程１円～","自力での納品可","無","無","有","数量・金額・短納期等については、ご相談ください。"
"45","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","紙器組み立て","箱・袋詰め","1","10000","5日間","2.5円/個","発注元による回収希望","無","無","無",""
"46","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","箱折り","箱・袋詰め","","3000／週","１週間","８円／箱","発注元による回収希望","","","有","普段、食品の箱を折っている事もあり、箱に髪の毛が混入しない様に帽子を被ったり、手袋の着用と衛生面への配慮はしっかり行って作業を行っております。"
"47","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","組付け作業等軽作業","箱・袋詰め","要相談","要相談","要相談","要相談","発注元による回収希望","無","無","有",""
"48","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","箱組立","箱・袋詰め","","400箱","1日","10円～/箱","発注元による回収希望","無","無","有",""
"49","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","貝の根付け製造","箱・袋詰め","","3000セット","即日","100円","自力での納品可","無","無","有","イベント・キャンペーン等の記念品など"
"50","ベルの会共同作業所","NPO法人ベルの会共同作業所","足立区","03-3956-9420","市川真吾","http://www.bell-nishiarai.net","bell.nishiarai@forest.ocn.ne.jp","箸の袋入れ","箱・袋詰め","1膳","100000膳","1ヶ月","０．３５～/1膳","発注元による回収希望","無","無","無","1４年毎日箸を入れております。納期、単価共にご相談ください。"
"51","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","受注作業","箱・袋詰め","","10000","２日～３日","応相談","自力での納品可","有","","有","お茶・お菓子等の箱詰め・化粧箱の箱折り・箱詰め・１～２日の短い納期の仕事も出来ます"
"52","江北ひまわり園","あだちの里","足立区","03-5809-5815","加藤","http://www.a-sato.jp","k.himawari@a-sato.jp","受注作業","箱・袋詰め","100","500","随時","その都度","自力での納品可","無","無","有","各社からの受注もおまちしております。"
"53","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","組立、バラシ作業","箱・袋詰め","1000個","10000個","一週間","未定","発注元による回収希望","無","無","有",""
"54","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","食品容器","箱・袋詰め","20個","500個","2日","0.45～5円／個","発注元による回収希望","無","無","有","ピクニック用品の容器を商品化しています。"
"55","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","割り箸","箱・袋詰め","20000膳","25000膳","１週間","0.2円／膳","発注元による回収希望","無","無","有","飲食店等の割り箸を商品化しています。"
"56","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","物流加工","箱・袋詰め","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有","化粧品等のｱｯｾﾝﾌﾞﾘ作業やｼｭﾘﾝｸによる結束作業、梱包・発送作業及びﾊﾞｰｺｰﾄﾞﾗﾍﾞﾙ・送付票の発行と貼付作業をしています。"
"57","水元そよかぜ園","社会福祉法人手をつなぐ福祉会","葛飾区","03-3607-5656","","http://tefuku.or.jp/","soyokaze@tefuku-mizumoto.jp","鉛筆のダースセット","箱・袋詰め","9000","１０日間","４８円／グロス","発注元による回収希望","","","","","民間"
"58","エルムワークメイト","楡の木会","江戸川区","03-6458-9511","菅原","","nirenoki@mbe.nifty.com","受注業務","箱・袋詰め","10","1500","５日","要相談","発注元による回収希望","無","無","有","ケーキ箱、菓子箱、弁当箱、おもちゃ箱等広範囲で対応可能です。梱包、箱詰め等対応可能です。"
"59","小岩作業所","NPO法人ワークあけぼの会","江戸川区","03-3671-8828","亀田","https://work-akebonokai-koiwasagyoujyo.com/","koiwa1sa@yahoo.co.jp","内職、箱入れ・袋詰め","箱・袋詰め","5000","10000","5日間","2円","自力での納品可","無","無","有","当法人は約40年に渡り、内職作業全般を受託しています。地域の取引先企業からの信頼と実績があります。"
"60","小岩作業所","NPO法人ワークあけぼの会","江戸川区","03-3671-8828","亀田","https://work-akebonokai-koiwasagyoujyo.com/","koiwa1sa@yahoo.co.jp","内職、シール貼り","箱・袋詰め","5000","10000","5日間","2円","自力での納品可","無","無","有","当法人は約40年に渡り、内職作業全般を受託しています。地域の取引先企業からの信頼と実績があります。"
"61","アース","株式会社ピーライフ","八王子市","042-683-1206","青木","https://www.peaceful-life.jp/","info@peaceful-life.jp","計量・袋詰め・シール貼り","箱・袋詰め","","","応相談","工程数による","発注元による回収希望","無","無","有","これまでにペットフードの計量・袋詰め、文具の袋詰め、シール貼り等、各種作業の受注実績あり。自力での納品も可能。"
"62","アポイント","株式会社ハートエース","八王子市","042-649-5012","","http://www.takenet.or.jp/~ace/appoint/","heartace.appoint@gmail.com","袋詰め・箱詰め等","箱・袋詰め","1個","500個","5日","発注元の条件による","自力での納品可","無","無","有","納期、数量は調整可能です。"
"63","リーフ","株式会社ピーライフ","八王子市","042-629-9602","原","https://www.peaceful-life.jp/","info@peaceful-life.jp","計量・袋詰め・シール貼り","箱・袋詰め","","","応相談","工程数による","発注元による回収希望","無","無","有","これまでにペットフードの計量・袋詰め、文具の袋詰め、シール貼り等、各種作業の受注実績あり。自力での納品も可能。"
"64","希望の里","社会福祉法人武蔵野会","八王子市","042-654-7311","中神","http://kibounosato.sakura.ne.jp","kibou@river.ocn.ne.jp","お菓子の包装紙巻","箱・袋詰め","応相談","応相談","応相談","8円/個","発注元による回収希望","無","無","有",""
"65","高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-662-7441","岡本","https://www.supporttakao.or.jp/","takao.1988.4.11@ae.wakwak.com","食品以外の箱・袋詰め","箱・袋詰め","100","1000","5日間","応相談","自力での納品可","無","無","有",""
"66","第三高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-628-0569","中根","https://www.supporttakao.or.jp/","dai3takao@yahoo.co.jp","紅茶パック梱包","箱・袋詰め","","2000~3000","2日間","1、2円/個","自力での納品可","","","",""
"67","第三高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-628-0569","中根","https://www.supporttakao.or.jp/","dai3takao@yahoo.co.jp","スポイト袋入れ","箱・袋詰め","","1200","2週間","4円/個","自力での納品可","","","",""
"68","八王子障害者総合支援センターとことこ","社会福祉法人もくば会","八王子市","042-668-8848","佐藤","","tokotoko@lime.ocn.ne.jp","業務委託作業・内職","箱・袋詰め","200","2000","1ッか月","随時契約・作業内容別に単価設定","自力での納品可","","","有","厨房業務・清掃業務に就けずにいる利用者様の作業として、創作活動をしながら取り組んでいます。"
"69","オープンスペース本郷町","社会福祉法人マインドはちおうじ","八王子市","042-625-7317","","http://mindhachioji.org/offices/#hongou","hon-mind_c.a241o@kch.biglobe.ne.jp","お菓子の箱おり、箱詰め、袋詰め","箱・袋詰め","100","5000（袋詰めの場合）","営業日７日","4円～15円（応相談）","自力での納品可","","","有","例）お菓子数種の箱詰め、のし紙貼付け：２００箱/日（約３０円/１箱）、かりんとう袋詰め・帯かけ：約1000袋/日（１５円/１袋）など"
"70","ピアわかくさ","社会福祉法人マインドはちおうじ","八王子市","042-631-9404","","http://mindhachioji.org/","lei03416@nifty.ne.jp","施設外作業（外部の事業所での作業など）","箱・袋詰め","1000","2000","応相談","４００円～/1名1時間","自力での納品可","無","無","有","外部の事業所に行き、職員と利用者数名で軽作業（組立て、袋詰め、値札付け、仕分けなど）、清掃作業。人数・単価などは相談に応じます。"
"71","ビーイングスペース萌","社会福祉法人マインドはちおうじ","八王子市","042-668-7226","","http://mindhachioji.org/","bcb04233@nifty.com","軽作業","箱・袋詰め","2000","5000","7日","0.5~1.0","自力での納品可","無","無","有","・PC部品組立の下請け作業・資材保管場所が小スペースで済むものを受注"
"72","ビーイングスペース萌","社会福祉法人マインドはちおうじ","八王子市","042-668-7226","","http://mindhachioji.org/","bcb04233@nifty.com","軽作業","箱・袋詰め","1000","2000","3日","2","自力での納品可","無","無","有","・梱包資材のシール貼り・資材保管場所が小スペースで済むものを受注"
"73","ビーイングスペース萌","社会福祉法人マインドはちおうじ","八王子市","042-668-7226","","http://mindhachioji.org/","bcb04233@nifty.com","軽作業","箱・袋詰め","","1000","2日","1.5~4","自力での納品可","無","無","有","・食玩等の組立や封入作業・資材保管場所が小スペースで済むものを受注"
"74","lykkeアカデミー","一般社団法人lykke","八王子市","042-649-8260","丸山","https://www.lykke-hachioji.com","info@lykke.or.jp","菓子・製品の袋詰め","箱・袋詰め","50袋","500袋","3日間","未定","自力での納品可","無","無","有","キーホルダー等の袋詰め部材によって異なるが6～8円程度"
"75","lykkeアカデミー","一般社団法人lykke","八王子市","042-649-8260","丸山","https://www.lykke-hachioji.com","info@lykke.or.jp","箱折り","箱・袋詰め","100個","300個","1週間","8円","自力での納品可","無","無","有",""
"76","立川市社会福祉協議会就労支援事業所","社会福祉法人立川市社会福祉協議会","立川市","042-536-0549","比留間","http://www.tachikawa-shakyo.jp/","sakae-work@tachikawa-shakyo.jp","箱組立","箱・袋詰め","","2000枚","5日","7円/1枚","発注元による回収希望","","","有","お菓子等の箱の組み立て作業。数と納期は相談できます。"
"77","チャレンジャー","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-30-3010","新堂薫","http://www.musashino-senkawa.com/","kaoru@polka.plala.or.jp","梱包包装作業","箱・袋詰め","","","","","自力での納品可","","","",""
"78","三鷹ひまわり第一共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-76-0388","関","http://m-himawari.net/","m-hmwr1@m-himawari.net","箱詰め","箱・袋詰め","1個","10000個","30日間","16/個","発注元による回収希望","無","無","有","様々な箱を組み立て、タオル折りやお菓子などの製品を箱に詰めて商品に仕上げています。熨斗を付ける作業も行っています。短期納期にも対応可能です。"
"79","三鷹ひまわり第二共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-48-5240","","http://m-himawari.net","m-hmwr2@m-himawari.net","箱折・袋詰め","箱・袋詰め","500個","1000個","7日間","3円/個","発注元による回収希望","無","無","有","納期や単価については、作業内容によりますのでご相談下さい。"
"80","あきしま福祉作業所","社会福祉法人昭島市社会福祉協議会","昭島市","042-541-0742","上之園あゆみ","http://www.acsw.jp/","fuku-syocyou@acsw.or.jp","菓子箱等の組立て","箱・袋詰め","100","3000","5日","3.5～20円/枚","発注元による回収希望","無","無","有","菓子箱の組立て"
"81","障害者就労プラザあいあい","社会福祉法人あすはの会","昭島市","042-546-6009","","","s-puraza-aiai@asuha.or.jp","袋・箱折り","箱・袋詰め","100個","10000個","1日間～15日間","5円／1個","自力での納品可","無","無","有","箱組み立ての難易度によって納期に変更あります。"
"82","旭出調布福祉作業所","大泉旭出学園","調布市","042-485-5885","松田","http://www.chofufs.jp/","info@chofufs.jp","菓子の袋詰め・箱詰め箱折","箱・袋詰め","応相談","応相談","応相談","応相談","発注元による回収希望","無","有","有",""
"83","かがやき","社会福祉法人まちだ育成会","町田市","042-794-4888","","http://machida-ikuseikai.net/","kagayaki@sunny.ocn.ne.jp","ダリアの種封入作業","箱・袋詰め","10","1000","応相談","50","自力での納品可","無","有","有","キャンペーンなど開催時、種の袋にキャンペーン内容のデザインを施し、ダリアの育て方を同封し配布"
"84","黎音","一般社団法人あんべるどかねる","町田市","042-860-7104","村田","","reon_info@uvd-cannelle.com","紙工品の組み立て","箱・袋詰め","100個","2000個","5日","未定","自力での納品可","無","無","有","３～５日程度の短納期にも対応可能です。納期について是非ご相談ください。"
"85","小金井聖ヨハネワ－クセンタ－","社会福祉法人聖ヨハネ会","小金井市","042-315-2238","渡部","http://www.seiyohanekai.or.jp/","work_koganei@seiyohanekai.or.jp","受注作業","箱・袋詰め","100個","5000個","14日","10円/個","自力での納品可","無","有","有","紙袋、封筒作り等、様々な製品の制作を受注しております。"
"86","木馬の会（ライブワークス）","特定非営利活動法人木馬の会","小金井市","042-316-5438","","http://npo-mokuba.org/","otoiawase@npo-mokuba.org","あめの袋詰め・食品用容器の組み立て等","箱・袋詰め","100","500","１週間","4円/1袋・1個","自力での納品可","","","有","袋詰め：ライトによる異物混入チェックの後、シーラーにて密封作業を実施。食品用容器組み立て（青汁用シェイカー等）：食品用のため、白衣・帽子着用等衛生面に気を配り、異物が混入しないよう最後にシーラーにて密封作業をします。視定数を袋詰め組み立てし企業へ納品。"
"87","バウム","社会福祉法人未来","小平市","042-313-2798","大野","http://mirai.no.coocan.jp","baum.mirai@nifty.com","箱・袋詰め","箱・袋詰め","1000","","5日間程度","未定","自力での納品可","無","無","有","箱組み立て、菓子の袋詰め、箸の袋入れ・箱詰め等納期、総量は応相談。"
"88","光の家栄光園","東京光の家","日野市","042-581-2340","山本","http://www.hikarinoie.org/","eikoh@hikarinoie.org","箱の組み立てダイレクトメール","箱・袋詰め","100個1000通","5000個10000通","14日間","未定","発注元による回収希望","無","無","有","お菓子箱組み立てダイレクトメール・景品袋詰め"
"89","平成の里","社会福祉法人東村山けやき会","東村山市","042-397-5966","浅川","http://www.hmkk.or.jp/","heiseinosato@hmkk.or.jp","簡易作業","箱・袋詰め","","","7日間","","自力での納品可","無","無","有","数量、単価、納期等ご相談下さい。"
"90","SmileArche","ＮＰＯ法人高齢者在宅介護支援センター","清瀬市","042-497-1735","仙石","http://www.smile-arche.com/","smile_arche@yahoo.co.jp","電球","箱・袋詰め","900","2000","1週間","5.00/個","自力での納品可","無","無","有","企業様より、家電店販売用の電球袋詰めとタグのホチキス止めを受託されています。約1週間毎の納品を行なっています。"
"91","えいぶる","社会福祉法人すぎのこ","東久留米市","042-471-4883","中尾","","qq367839n@tulip.ocn.ne.jp","箸の袋入れ","箱・袋詰め","1000セット","5000セット","10日","1円/袋","発注元による回収希望","無","無","有","数量により納期の対応はできます"
