"区市町村名","地域自立支援協議会の活動状況（27年度実績）／設置状況／設置","地域自立支援協議会の活動状況（27年度実績）／設置状況／設置年月","地域自立支援協議会の活動状況（27年度実績）／運営方法","地域自立支援協議会の活動状況（27年度実績）／全体会／回数","地域自立支援協議会の活動状況（27年度実績）／全体会／委員数","地域自立支援協議会の活動状況（27年度実績）／専門部会等／部会名","地域自立支援協議会の活動状況（27年度実績）／専門部会等／回数","地域自立支援協議会の活動状況（27年度実績）／専門部会等／委員数"
"12／世田谷区","済","H19.10","委託","2","44","烏山エリア自立支援協議会","3","18"
"12／世田谷区","済","H19.10","委託","2","44","自立支援協議会地域移行部会","4","11"
"12／世田谷区","済","H19.10","委託","2","44","自立支援協議会虐待防止・権利擁護部会","2","8"
"13／渋谷区","済","H24.12","直営","4","16","相談支援専門部会","6","14"
"13／渋谷区","済","H24.12","直営","4","16","就労支援専門部会","6","18"
"13／渋谷区","済","H24.12","直営","4","16","福祉計画専門部会","5","8"
"14／中野区","済","H20.2","委託","5","24","相談支援部会","12","18"
"14／中野区","済","H20.2","委託","5","24","地域生活支援部会","11","14"
"14／中野区","済","H20.2","委託","5","24","就労支援部会","10","15"
"15／杉並区","済","H18.3","直営","4","21","相談支援部会","2","36"
"15／杉並区","済","H18.3","直営","4","21","地域移行促進部会","3","17"
"16／豊島区","済","H19.11","直営","4","17","就労支援部会","4","10"
"16／豊島区","済","H19.11","直営","4","17","権利擁護部会","4","9"
"16／豊島区","済","H19.11","直営","4","17","相談支援部会","4","12"
"16／豊島区","済","H19.11","直営","4","17","差別解消部会","3","10"
"17／北区","済","H21.3","直営","2","26","相談支援部会","3","10"
"17／北区","済","H21.3","直営","2","26","地域生活部会","5","9"
"17／北区","済","H21.3","直営","2","26","権利擁護部会","5","8"
"18／荒川区","済","H24.2","直営","1","29","","",""
"19／板橋区","済","H19.12","直営","3","15","相談支援部会","2","15"
"19／板橋区","済","H19.12","直営","3","15","就労支援部会","2","8"
"19／板橋区","済","H19.12","直営","3","15","障がい児部会","1","14"
"19／板橋区","済","H19.12","直営","3","15","障がい当事者部会","3","10"
"19／板橋区","済","H19.12","直営","3","15","高次脳機能障がい部会","3","2"
"20／練馬区","済","H20.2","直営","3","22","権利擁護部会","3","14"
"20／練馬区","済","H20.2","直営","3","22","高齢期支援部会","3","13"
"20／練馬区","済","H20.2","直営","3","22","相談支援部会","3","10"
"20／練馬区","済","H20.2","直営","3","22","地域移行部会","3","15"
"20／練馬区","済","H20.2","直営","3","22","発達障害支援部会","3","11"
"21／足立区","済","H19.3","直営","2","22","足立区発達支援機関連絡会（子ども部会）","16",""
"21／足立区","済","H19.3","直営","2","22","足立区発達障がい者支援関係機関連絡会","2",""
"21／足立区","済","H19.3","直営","2","22","足立区障がい者相互支援ﾈｯﾄﾜｰｸ会（Aふらんき）","0",""
"21／足立区","済","H19.3","直営","2","22","就労支援ネットワーク","10",""
"21／足立区","済","H19.3","直営","2","22","地域移行促進部会","1",""
"21／足立区","済","H19.3","直営","2","22","精神保健福祉情報ﾈｯﾄﾜｰｸ連絡会","2",""
"21／足立区","済","H19.3","直営","2","22","ケアマネジメント評価会議","3","10"
"21／足立区","済","H19.3","直営","2","22","高次脳機能障がい関係機関連絡会","4",""
"21／足立区","済","H19.3","直営","2","22","足立区障がい福祉施設連絡会（総会）","2",""
"21／足立区","済","H19.3","直営","2","22","相談支援部会","10",""
"22／葛飾区","済","H19.8","直営","2","22","身体・知的障害者就労支援部会","6","20"
"22／葛飾区","済","H19.8","直営","2","22","身体・知的障害者相談支援部会","2","27"
"22／葛飾区","済","H19.8","直営","2","22","精神障害者就労及び相談支援部会","12","16"
"23／江戸川区","済","H20.4","直営","3","18","","",""
"24／八王子市","済","H23.3","直営","5","26","権利擁護推進部会","10","15"
"24／八王子市","済","H23.3","直営","5","26","就労支援部会","9","17"
"24／八王子市","済","H23.3","直営","5","26","地域移行・継続支援部会","6","14"
"24／八王子市","済","H23.3","直営","5","26","子ども部会","1","14"
"25／立川市","済","H20.1","直営","5","22","相談・権利擁護専門部会","2","13"
"25／立川市","済","H20.1","直営","5","22","就労専門部会","2","9"
"26／武蔵野市","済","H20.1","直営","7","13","はたらく部会","12","15"
"26／武蔵野市","済","H20.1","直営","7","13","くらす部会","10","14"
"26／武蔵野市","済","H20.1","直営","7","13","権利擁護部会","11","14"
"26／武蔵野市","済","H20.1","直営","7","13","相談支援部会","8","13"
"26／武蔵野市","済","H20.1","直営","7","13","障害当事者部会","12","6"
"27／三鷹市","済","H19.11","直営","2","34","相談支援部会","5","10"
"27／三鷹市","済","H19.11","直営","2","34","就労支援部会","2","10"
"27／三鷹市","済","H19.11","直営","2","34","生活支援部会","3","10"
"28／青梅市","済","H20.10","直営","4","19","障害者への理解と啓発部会","5","3"
"28／青梅市","済","H20.10","直営","4","19","相談支援部会","11","3"
"28／青梅市","済","H20.10","直営","4","19","子ども健全育成部会","4","3"
"28／青梅市","済","H20.10","直営","4","19","日中活動・就労支援部会","6","3"
"28／青梅市","済","H20.10","直営","4","19","当事者部会","9","4"
"28／青梅市","済","H20.10","直営","4","19","家族支援部会","5","2"
"29／府中市","済","H20.1","直営","3","17","障害者差別解消法対応部会","4","8"
"29／府中市","済","H20.1","直営","3","17","相談支援部会","7","9"
"30／昭島市","済","H18.1","直営","2","12","地域支援会議","12","10"
"31／調布市","済","H19.3","委託","3","22","ちょうふだぞうワーキング","4","9"
"31／調布市","済","H19.3","委託","3","22","希望ヶ丘ワーキング","4","10"
"31／調布市","済","H19.3","委託","3","22","ドルチェワーキング","4","11"
"31／調布市","済","H19.3","委託","3","22","サービスのあり方検討会","6","20"
"32／町田市","済","H22.10","直営","5","19","就労・生活支援部会","3","10"
"32／町田市","済","H22.10","直営","5","19","相談支援部会","3","9"
"32／町田市","済","H22.10","直営","5","19","障がい児部会","3","9"
"32／町田市","済","H22.10","直営","5","19","障がい者計画部会","5","11"
"32／町田市","済","H22.10","直営","5","19","障がい福祉事業計画部会","1","10"
"33／小金井市","済","H20.1","委託","4","21","相談支援部会","7","7"
"33／小金井市","済","H20.1","委託","4","21","生涯発達支援部会","7","7"
"33／小金井市","済","H20.1","委託","4","21","生活支援部会","7","7"
"34／小平市","済","H20.5","委託","4","15","幹事会","8","7"
"34／小平市","済","H20.5","委託","4","15","地域部会","2","6"
"34／小平市","済","H20.5","委託","4","15","情報部会","2","5"
"35／日野市","済","H18.4","直営","3","15","相談支援部会","6","12"
"35／日野市","済","H18.4","直営","3","15","就労支援部会","6","13"
"36／東村山市","済","H26.5","直営","3","13","相談支援部会","12","11"
"36／東村山市","済","H26.5","直営","3","13","就労支援部会","6","6"
"37／国分寺市","済","H19.1","直営","4","11","","",""
"38／国立市","済","H25.7","直営委託","3","11","くらし部会","4","10"
"38／国立市","済","H25.7","直営委託","3","11","つどい部会","6","11"
"38／国立市","済","H25.7","直営委託","3","11","しごと部会","3","13"
"38／国立市","済","H25.7","直営委託","3","11","あんしん部会","5","10"
"39／福生市","済","H23.4","直営","6","10","","",""
"40／狛江市","済","H22.7","直営","3","15","生活支援の課題を考える部会","12","4+α"
"40／狛江市","済","H22.7","直営","3","15","ペガサス（当事者)部会","18","5"
"41／東大和市","済","H22.3","直営","4","15","生活部会","5","17"
"41／東大和市","済","H22.3","直営","4","15","就労部会","4","13"
"41／東大和市","済","H22.3","直営","4","15","相談部会","12","9"
"41／東大和市","済","H22.3","直営","4","15","防災・防犯部会","3","13"
"42／清瀬市","済","H20.3","直営","2","14","子ども部会","4","11"
"42／清瀬市","済","H20.3","直営","2","14","相談支援部会","4","10"
"42／清瀬市","済","H20.3","直営","2","14","就労支援部会","1","6"
"42／清瀬市","済","H20.3","直営","2","14","権利擁護部会","5","7"
"43／東久留米市","済","H24.10","直営","4","16","相談支援部会","3","13"
"43／東久留米市","済","H24.10","直営","4","16","住みよいまちづくり部会","2","8"
"44／武蔵村山市","済","H22.10","直営","4","19","障害者のくらしを考える部会","7","10"
"44／武蔵村山市","済","H22.10","直営","4","19","障害者のはたらくを考える部会","6","6"
"44／武蔵村山市","済","H22.10","直営","4","19","訪問系サービス事業者部会","6","6"
"44／武蔵村山市","済","H22.10","直営","4","19","日中系サービス事業者部会","6","15"
"44／武蔵村山市","済","H22.10","直営","4","19","居住系サービス事業者部会","6","7"
"44／武蔵村山市","済","H22.10","直営","4","19","相談支援事業者部会","6","5"
"44／武蔵村山市","済","H22.10","直営","4","19","就労アセスメント部会","4","5"
"45／多摩市","済","H23.5","直営","4","13","","",""
"46／稲城市","済","H19.9","直営","4","12","","",""
"47／羽村市","済","H21.11","直営委託","2","14","相談支援部会","3","9"
"47／羽村市","済","H21.11","直営委託","2","14","就労支援部会","3","8"
"47／羽村市","済","H21.11","直営委託","2","14","権利擁護部会","2","13"
"48／あきる野市","済","H20.4","委託","3","18","訪問系サービス事業所部会","3",""
"48／あきる野市","済","H20.4","委託","3","18","居住系サービス事業所部会","3",""
"48／あきる野市","済","H20.4","委託","3","18","日中活動・入所系サービス事業所部会","3",""
"48／あきる野市","済","H20.4","委託","3","18","障がい児者の親の会・家族会部会","3",""
"48／あきる野市","済","H20.4","委託","3","18","当事者部会","3",""
"48／あきる野市","済","H20.4","委託","3","18","就労支援部会","3",""
"48／あきる野市","済","H20.4","委託","3","18","相談支援部会","6",""
"49／西東京市","済","H19.5","直営","2","15","","",""
"50／瑞穂町","済","H25.4","直営","0","14","精神障害者専門部会","1","6"
"51／日の出町","済","H19.1","直営","1","33","こども部会","8","10"
"51／日の出町","済","H19.1","直営","1","33","くらし部会","9","11"
"51／日の出町","済","H19.1","直営","1","33","しごと部会","4","11"
"51／日の出町","済","H19.1","直営","1","33","相談部会","8","11"
"51／日の出町","済","H19.1","直営","1","33","運営委員会","11","3"
"51／日の出町","済","H19.1","直営","1","33","定例会","4","10"
"52／檜原村","済","H24.4","委託","10","13","","",""
"53／奥多摩町","済","H23.3","直営","0","15","","",""
"54／大島町","済","H25.3","直営","0","10","","",""
"55／利島村","未","予定なし","","","","","",""
"56／新島村","未","予定なし","","","","","",""
"57／神津島村","済","H23.9","直営","5","14","","",""
"58／三宅村","未","未定","","","","","",""
"59／御蔵島村","未","予定なし","","","","","",""
"60／八丈町","済","H24.10","直営","4","8","","",""
"61／青ヶ島村","未","予定なし","","","","","",""
"62／小笠原村","未","予定なし","","","","","",""
