"","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／合計","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／就労時間の短縮","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／家事のサポート","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／育児のサポート","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／介護のサポート","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／健康状態の改善","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／通勤･通学時間の短縮","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／睡眠環境を整える","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／就寝前に携帯電話、メール、ゲームなどに熱中しない","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／その他","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／特にない","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／無回答","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／合計","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／毎日吸っている","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／時々吸う日がある","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／以前は吸っていたが、1ヶ月以上吸っていない","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／吸わない","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／無回答"
"女性総数(人)","218","12","13","7","4","21","3","19","16","21","99","3","218","15","3","11","189","0"
"女性総数(%)","100.00","5.50","6.00","3.20","1.8","9.60","1.4","8.70","7.30","9.60","45.40","1.4","100.00","6.90","1.4","5.00","86.70","0.00"
"20～29歳(人)","19","3","1","3","0","1","1","1","3","1","4","1","19","1","2","0","16","0"
"20～29歳(%)","100","15.8","5.3","15.8","0","5.3","5.3","5.3","15.8","5.3","21.1","5.3","100","5.3","10.5","0","84.2","0"
"30～39歳(人)","14","0","1","3","0","1","1","0","4","0","3","0","14","1","0","2","11","0"
"30～39歳(%)","100","0","7.1","21.4","0","7.1","7.1","0","28.6","0","21.4","0","100","7.1","0","14.3","78.6","0"
"40～49歳(人)","48","3","7","1","1","4","0","3","7","5","16","1","48","4","0","1","43","0"
"40～49歳(%)","100","6.3","14.6","2.1","2.1","8.3","0","6.3","14.6","10.4","33.3","2.1","100","8.3","0","2.1","89.6","0"
"50～59歳(人)","33","5","1","0","0","2","0","6","0","2","16","1","33","5","0","2","26","0"
"50～59歳(%)","100","15.2","3","0","0","6.1","0","18.2","0","6.1","48.5","3","100","15.2","0","6.1","78.8","0"
"60～69歳(人)","49","1","3","0","0","5","0","4","2","9","25","0","49","4","1","0","44","0"
"60～69歳(%)","100","2","6.1","0","0","10.2","0","8.2","4.1","18.4","51","0","100","8.2","2","0","89.8","0"
"70歳～(人)","55","0","0","0","3","8","0","5","0","4","35","0","55","0","0","6","49","0"
"70歳～(%)","100","0","0","0","5.5","14.5","0","9.1","0","7.3","63.6","0","100","0","0","10.9","89.1","0"
