"実施計画有","通し番号","事業名","所管局","事業概要","20年度実績（平成20年度末現在）","21年度実績（平成21年度末現在）","目標値","計画番号"
"●","9","女性再就職支援事業","産業労働局","セミナーや職場実習、就職活動ノウハウの提供などを組み合わせたプログラムの実施","〈再就職サポートプログラム〉120人／〈再就職支援セミナー〉379人／〈託児室の運営〉平成19年度から継続実施／〈カウンセリング窓口・情報提供コーナー〉平成20年度から継続実施","〈再就職サポートプログラム〉136人／〈再就職支援セミナー〉359人／〈託児室の運営〉平成19年度から継続実施／〈カウンセリング窓口・情報提供コーナー〉平成20年度から継続実施","働く意欲のある女性の再就職を実現（150人）",""
"●","10","育児離職者向け能力開発訓練","産業労働局","自宅で訓練が可能なｅラーニング委託訓練を実施","受講者数　73人","受講者数　68人","本事業による就業支援者数約300人",""
"重点戦略４　待機児童解消に向けた取組","","","","","","","",""
"●","11","マンション等併設型保育所設置促進事業","福祉保健局","賃借物件の内装工事費等を補助することで、小規模施設や分園の設置を促進し、保育所待機児童の解消に資する。","368人増（認可保育所定員2632人増の内数）／〈参考〉166552人(平成20年4月1日現在)／↓／169184人（平成21年4月1日現在）","1485人増（認可保育所定員4348人増の内数）／〈参考〉169184人(平成21年4月1日現在)／↓／173532人（平成22年4月1日現在）","1200人分の定員増（認可保育所定員を計6500人分増の内数）",""
"●","12","認可保育所サービス向上支援事業","福祉保健局","入所定員の増、年齢別定員の見直し、0歳児保育の実施等、サービスの向上に必要な施設改修経費を補助し、保育所待機児童の解消に資する。","24人増（認可保育所定員2632人増の内数）／〈参考〉166552人(平成20年4月1日現在)／↓／169184人（平成21年4月1日現在）","0人増（認可保育所定員4348人増の内数）／〈参考〉169184人(平成21年4月1日現在)／↓／173532人（平成22年4月1日現在）","900人分の定員増（認可保育所定員を計6500人分増の内数）",""
"●","13","保育サービス拡充緊急３か年事業　認証保育所の設置促進","福祉保健局","大都市特性に合わせた独自の基準を持つ認証保育所を推進","1438人増／〈参考〉12723人(平成20年4月1日現在)／↓／14161人（平成21年4月1日現在）","3146人増／〈参考〉14161人(平成21年4月1日現在)／↓／17307人（平成22年4月1日現在）","6500人分の定員増",""
"●","14","保育サービス拡充緊急３か年事業　家庭福祉員の拡充","福祉保健局","研修プログラム及び評価基準作成、認証保育所における連携事業の実施等","48人増／〈参考〉1808人(平成20年4月1日現在)／↓／1856人（平成21年4月1日現在）","303人増／〈参考〉1856人(平成21年4月1日現在)／↓／2159人（平成22年4月1日現在）","500人分定員増",""
"","15","都有地を活用した認可保育所の設置促進","福祉保健局","都有地を減額貸付することにより、認可保育所の設置促進や老朽化した施設の建て替えを支援","候補地の情報を随時区市町村に紹介","候補地の情報を随時区市町村に紹介","",""
"●","16","保育所開設資金無利子融資制度","福祉保健局","無利子貸付制度を創設することにより、認証保育所等の設置を促進","貸付実績　1件（ただし、貸付内示済　8件あり）","貸付実績　9件（累計）","",""
"●","17","保育サービス拡充緊急３か年事業　認定こども園の設置促進","福祉保健局（生活文化局）（教育庁）","国の補助等の対象外である認定こども園の事業に対し、都独自に補助するとともに、設置促進の取組を行う区市町村を支援","511人増／〈参考〉599人(平成20年4月1日現在)／↓／1110人（平成21年4月1日現在）","741人増／〈参考〉1110人(平成21年4月1日現在)／↓／1851人（平成22年4月1日現在）","1500人分の定員増（幼保連携型、幼稚園型の保育に欠ける子どもの定員）",""
"●","18","認定こども園設置促進事業","福祉保健局（生活文化局）（教育庁）","区市町村が実施する様々な設置促進事業に対して広く柔軟に支援（平成20年度～平成22年度）","補助実績2件","補助実績2件","継続",""
"重点戦略５　緊急的・一時的な保育ニーズへの対応","","","","","","","",""
"●","19","病児・病後児保育設置促進","福祉保健局","病児・病後児保育の設置を促進し、仕事と子育ての両立を支援","44区市","44区市","多様な保育サービスを展開全区市","56"
"●","20","病児・病後児ケア相談支援事業","福祉保健局","病児・病後児ケアの質的向上","1施設","4施設","保育サービスの質の向上69施設",""
"●","21","一時保育・特定保育事業","福祉保健局","地域の保育需要に対応するため、保育所等で児童を一時的に預かるなどにより、安心して子育てができる環境を整備する。","51区市町","52区市町","多様な保育サービスを展開全区市町村","13"
"●","22","在宅子育て家庭一時預かりパイロット事業（2か年モデル事業）","福祉保健局","駅周辺、商業施設内等の利便性の高い場所や需要の高い場所で、理由を問わない一時預かりのモデル事業を行い、利用者ニーズや、児童への適切な援助の確保、安定的かつ効率的な事業の実施などの評価・検証などを行う。","9ヶ所","国庫補助事業終了（地域密着型へ移行）","本格実施",""
"重点戦略６　総合的な放課後対策の推進","","","","","","","",""
"●","23","放課後子どもプラン（放課後子供教室）","教育庁","小学校等施設を活用した、子どもたちの安全・安心な活動拠点（居場所）の確保","（参考）19年度実績　38区市町、475教室／↓／20年度実績　46区市町、713教室","21年度実績　４８区市町　８８３教室","全区市町村で実施（離島を除く）",""
"●","24","学童クラブの設置促進","福祉保健局","既存施設を活用して、学童クラブ事業のための改修を行う事業者に補助を実施（株式会社、ＮＰＯ法人等の民間事業者に補助対象を拡大）施設を新規に設置して、学童クラブ事業を行う事業者に補助を実施（社会福祉法人に補助対象を拡大）","1498ヶ所","1565か所（平成21年度末現在）","学童クラブの需要や大規模クラブ解消等に見合った整備を進める","57"
"重点戦略７　子育て支援拠点の強化と親子の子育て力向上支援","","","","","","","",""
"●","25","子育てひろばＢ型の機能強化・設置促進（区市町村相談対応力強化事業）","福祉保健局","子育てひろばのネットワーク化等による区市町村相談体制の強化","7区市（18か所）","8区市（27か所）","49区市（全区市）",""
"●","26","親支援プログラムの実施（親の子育て力向上支援事業）","福祉保健局","保健医療的な専門指導の必要は無いが、子育て不安を持つ親に対して、グループワーク等を実施","11区市","20区市","53区市町村",""
"●","27","乳幼児期からの子供の教育支援プロジェクト","教育庁","乳幼児期からの子どもの発達に関する基礎理論を踏まえ、乳幼児の教育の定着にかかるモデル事業を実施","○地域における乳幼児期と親の社会的つながりを促す試行的取組（３地区）／○指導者向け資料の作成・配布　２万部／○オリジナルウェブサイトの開設","○地域における乳幼児期と親の社会的つながりを促す試行的取組（３地区）、プログラム事例集の発行／○地域における家庭教育支援の「担い手」養成のカリキュラム開発、養成研修（４回）／○保護者向け資料の作成・配布　３３万５千部／○生活リズム教材の作成・配布　１２万３千部／○オリジナルウェブサイトの継続運営、携帯サイトの敷設","乳幼児期からの子供の教育支援の取組が区市町村において展開（平成24年度目標）",""
"重点戦略８　子ども連れでも気軽に外出できる環境の整備","","","","","","","",""
"●","28","子育て家庭の外出環境の整備「赤ちゃん・ふらっと」","福祉保健局","子育て家庭が、気軽に外出できるよう、授乳やおむつ替えなどができる「赤ちゃん・ふらっと」を保育所や公共施設等、身近な地域に設置する区市町村を支援するほか、都立施設にも設置を進る。","保育所、公園、公共施設など／86ヶ所","保育所、公園、公共施設など／581ヶ所","600ヶ所整備",""
"●","29","ノンステップバスの導入","交通局","すべての人が円滑に乗降できるように、今後購入するバスは、すべてノンステップバスとします。","車両数：110両／総計：1186両（導入率82％）","車両数：104両／総計：1287両（導入率88％）","すべての乗合バスをノンステップバスとする。（平成24年度目標）","157"
"","30","だれにも乗り降りしやすいバス整備事業","福祉保健局","民営バス事業者が整備するノンステップバスに対し、購入経費の一部を補助することにより、だれでも乗り降りしやすいバスの導入促進を図ります。","補助実績／231両／〈参考〉2670両（事業開始からの各年度の補助実績合計）","補助実績／233両／〈参考〉2903両（事業開始からの各年度の補助実績合計）","新たに購入される都内民営路線バスのうち、ノンステップバス整備が必要なすべての車両に対して補助を行う。",""
"●","31","鉄道駅エレベーター等整備事業","福祉保健局","鉄道駅における円滑な移動経路を確保するため、エレベーター等を整備する事業者に対する区市町村の取組を支援します。（交通局・東京メトロを除く）","補助実績／14駅／〈参考〉195駅（事業開始からの各年度の補助実績合計）","補助実績／13駅／〈参考〉208駅（事業開始からの各年度の補助実績合計）","エレベーター等が必要な都内全駅に整備","152"
"","32","駅施設のバリアフリー化（エレベーターの設置）","交通局","都営地下鉄駅を、すべての人が円滑に利用できるように、エレベーター等によりホームから地上まで1ルートを確保し、バリアフリー化を推進します。","1ルート確保駅数：3駅／累計：86駅／106駅","1ルート確保駅数：3駅／累計：89駅／106駅","すべての駅でエレベーター等による１ルートの確保を進める。（平成24年度目標）","153"
"","33","バリアフリー新法（旧　交通バリアフリー法）に係る調整業務","都市整備局","バリアフリー基本構想の策定にあたり、区市町村に対し、その策定費の一部を補助。また、基本構想の作成等について、ノウハウの提供等必要な協力を行い、地域のバリアフリー化を推進します。","○「バリアフリー基本構想作成の手引」を関係区市町村へ配布／○説明会等を通じ、区市町村に基本構想の作成を促す。／○基本構想作成費補助事業を実施（1地区）／○「バリアフリー基本構想」を作成した区市町村の数　15区8市","○説明会等を通じ、区市町村に基本構想の作成を促す。／○基本構想作成費補助事業を実施（３地区）／○「バリアフリー基本構想」を作成した区市町村の数15区8市","駅を有していない、あるいは、まちのバリアフリー化が概ね進んでいる区市を除き、基本構想を作成。","156"
"●","34","ユニバーサルデザイン整備促進事業","福祉保健局","地域において、すべての人が生き生きと暮らせるまちづくりを進めるため、福祉のまちづくりに関する新たな課題に取り組み、先駆的な福祉のまちづくりを実現しようとする区市町村の取組を支援します。","(主な事業)／ユニバーサルデザイン福祉のまちづくり事業／〔継続地区：6地区〕期間：平成19年度～平成21年度／(1)豊島区（池袋駅西口を中心とした西池袋１丁目及び池袋1丁目、2丁目、西池袋3丁目、5丁目の一部整備）／(2)練馬区（練馬駅南口地区及び区役所、豊玉公園、学田公園を含む「練馬の散歩道」「歴史と文化の散歩道・すずしろの道」をめぐる周辺地域整備）／(3)葛飾区（柴又地域整備）／(4)八王子市（西八王子駅周辺整備）／(5)日野市（日野市　落川の一部、百草の一部整備）／(6)町田市（鶴川駅・野津田公園周辺地区及び成瀬駅周辺地区整備）／〔新規指定地区：2地区〕　期間：平成20年度～平成22年度／(1)千代田区（御茶ノ水駅を中心とした神田駿河台1～3丁目先整備）／(2)立川市（西武立川駅周辺地区整備）／とうきょうトイレ整備事業（2区4市16地区指定）／(1)文京区（春日・後楽園駅周辺）／(2)大田区（大森駅南西地区、下丸子駅周辺地区、六郷西地区、大鳥居駅北地区、大鳥居駅南地区、梅屋敷駅東地区、大森町駅東地区）／(3)八王子市（北八王子駅周辺地区）／(4)昭島市（昭島市全域）／(5)東村山市（東村山駅・久米川駅地区、新秋津駅・秋津駅地区、萩山駅地区、八坂駅地区、西武園駅・西武遊園地駅・武蔵大和駅地区）／(6)清瀬市（清瀬金山緑地公園・市役所を含む市域の中心地区）","（主な事業）／ユニバーサルデザイン福祉のまちづくり事業／〔継続地区：８地区〕／期間：平成１９年度～平成２１年度（６地区）／(1)豊島区（池袋駅西口を中心とした西池袋１丁目及び池袋１丁目、２丁目、西池袋３丁目、５丁目の一部整備）／(2)練馬区（練馬駅南口地区及び区役所、豊玉公園、学田公園を含む「練馬の散歩道」「歴史と文化の散歩道・すずしろの道」をめぐる周辺地域整備）／(3)葛飾区（柴又地域整備）／(4)八王子市（西八王子駅周辺整備）／(5)日野市（日野市　落川の一部、百草の一部整備）／(6)町田市（鶴川駅・野津田公園周辺地区及び成瀬駅周辺地区整備）／期間：平成２０年度～平成２２年度（２地区）／(1)千代田区（御茶ノ水駅を中心とした神田駿河台１～３丁目先整備）／(2)立川市（西武立川駅周辺地区整備）／〔新規指定地区：３地区〕期間：平成２１年度～平成２３年度／(1)足立区（西新井大師周辺地区整備）／(2)小平市（鷹の台駅を中心とした、たかの台地内・津田町１丁目地内整備）／(3)日野市（日野市　豊田１丁目、２丁目、３丁目の各一部、豊田４丁目、東豊田２丁目、３丁目の各一部、多摩平２丁目、３丁目、４丁目の各一部、旭が丘１丁目整備）／とうきょうトイレ整備事業（５区４市１７地区指定）／(1)新宿区（西新宿周辺、落合第二地区）／(2)墨田区（文花１・２丁目）／(3)大田区（大森西１丁目地区、馬込駅南地区、平和島駅東地区）／(4)板橋区（本蓮沼駅を中心とした清水地区、ときわ台駅を中心とした常磐台地区、上板橋駅を中心とした中台地区、蓮根駅を中心とした蓮根地　区）／(5)練馬区（西武池袋線石神井公園駅北側地区）／(6)八王子市（北八王子駅周辺地区、高尾駅周辺地区）／(7)青梅市（青梅市長渕３丁目に新設する公園を中心とした、青梅市長渕３・４・６丁目地区、青梅市今井２丁目、藤橋２丁目、今寺３丁目、大門２丁目地区）／(8)東大和市（立野１・２丁目地区）／(9)日野市（浅川スポーツ公園グラウンドを中心とした、万願寺５・６丁目及び浅川河川敷地区）","毎年新規地区を指定する。（平成23年度目標）","151"
"●","35","子育て応援カードの普及促進","福祉保健局","区市町村が地域の企業や商店街の協賛を得て子育て家庭への優待事業を行う取組を支援","７区市","10区市","随時支援子ども連れでも気軽に外出できる環境の整備",""
"","36","都道のバリアフリー化","建設局","駅、公共施設、病院等を結ぶ都道のバリアフリー化を推進します。","平成20年度までに224km完成","平成21年度までに229km完成","255km（平成23年度目標）",""
"","37","魅力ある水辺空間の創出（水辺空間の緑化の推進）【水辺の散策路整備】","建設局","子ども連れでも安全に安心して散策できるテラス等の水辺散策路を早期に整備する。","河川整備に合わせた管理用通路の整備や護岸・管理用通路の緑化、隅田川におけるテラス整備やスーパー堤防の整備などを実施した。","隅田川において、テラス整備やスーパー堤防の整備を実施するとともに、中川、呑川、乞田川の堤防・護岸、管理用通路等の緑化を実施した。","隅田川など５河川において、背後の開発にあわせ、スーパー堤防を整備していく。また、護岸・管理用通路の緑化を図る",""
"重点戦略９　子育て世帯に配慮した住宅環境の整備","","","","","","","",""
"●","38","子育てに配慮した住宅の技術的指針の策定","都市整備局","住戸の広さやバリアフリー化、事故防止の配慮など、子育てに配慮した住宅の技術的指針（ガイドライン）を策定し、都民や住宅供給事業者に対してその普及を図ります。","全国道府県、政令指定都市、都内区市町村の住宅政策における子育て支援施策の状況についての情報収集・整理","住宅事業者や都民が子育てに配慮した住宅を検討する際に役立つ技術的なポイントをまとめた「子育てに配慮した住宅のガイドブック」を作成","子育てに配慮した住宅の技術的指針（ガイドライン）の普及",""
"●","39","勝どき一丁目地区プロジェクトの推進","都市整備局","都営住宅の建替えにより創出した用地を活用し、民間事業者による子育て世帯向け住宅の供給や、子育て支援施設の併設等を推進する。","21年2月に工事着手","施設建築物工事","完成、（23年度運営開始）",""
"","40","住宅困窮度に応じた入居者選定方式の実施","都市整備局","住宅に困窮している多子世帯が、「多子世帯ポイント方式募集」や「多子世帯優遇抽選制度」を活用し、一般より優先・優遇的に都営住宅に入居できるよう、入居者の選定を実施します。","○都営住宅の当選倍率の優遇制度／20年度募集戸数　3007戸（世帯向け募集全体）／○ポイント方式による募集／20年度募集戸数　2581戸（ポイント方式募集全体）／○多子世帯向け期限付き入居制度／　20年度募集戸数　60戸（平成17年度新設）","○都営住宅の当選倍率の優遇制度／21年度募集戸数　3000戸（世帯向け募集全体）／○ポイント方式による募集／21年度募集戸数　　2580戸（ポイント方式募集全体）／○母子生活支援施設転出者向け特別割当て／21年度割当て戸数　50戸／○多子世帯向け期限付き入居制度／21年度募集戸数　　60戸（平成17年度新設）","継続","146"
"","41","若年ファミリー世帯等への入居機会の拡大","都市整備局","入居期限を１０年以内とする期限付きの入居募集方式である「都営住宅定期使用住宅募集」や一般募集とは別枠で行う「都営住宅ファミリー向け募集」を通して、若年ファミリー世帯の入居の機会を拡大します。","○若年ファミリー世帯向け期限付入居制度／20年度募集戸数　440戸／○若年ファミリー世帯向け募集（期限なし）／20年度募集戸数　50戸","○若年ファミリー世帯向け期限付入居制度／21年度募集戸数　940戸／○若年ファミリー世帯向け募集（期限なし）／21年度募集戸数　50戸","継続","147"
"","42","東京都住宅供給公社における子育て世帯への入居機会の拡大","都市整備局","東京都住宅供給公社の一般賃貸住宅の新築(建替)住宅募集及び定期空家募集（抽選方式）において、子育て世帯の当選確率を優遇します。","○一般賃貸住宅の新築（建替）住宅募集における当選倍率の優遇制度／20年度募集戸数　27戸　※／○定期空家募集（抽選方式）における当選倍率の優遇制度／21年度から年６回の定期空家募集に導入","○一般賃貸住宅の新築（建替）住宅募集における当選倍率の優遇制度／21年度募集戸数304戸／※／○定期あき家募集（抽選方式）における当選倍率の優遇制度／21年度募集戸数152戸※","継続",""
"","43","子育て世帯への入居機会の拡大（収入基準）","都市整備局","都営住宅における、小学校就学前の子どものいる世帯の入居収入基準を（収入月額１５８万円→２１４万円）に引き上げます。／※","20年度実績なし／※","○募集パンフレットに応募資格を記載／21年度募集戸数5580戸（募集全体）／内訳　世帯向募集全体3000戸／ポイント方式による募集全体2580戸","継続",""
"","44","子育て世帯への入居機会の拡大（優遇抽選）","都市整備局","都営住宅における、小学校就学前の子どものいる世帯を優遇抽選制度により一般世帯より優先的に都営住宅に入居できるよう、平成19年度から入居者の選定を実施します。","○都営住宅の当選倍率の優遇制度／20年度募集戸数　3007戸（世帯向け募集全体）","○都営住宅の当選倍率の優遇制度／21年度募集戸数　3000戸（世帯向け募集全体）","継続",""
"重点戦略10　安心して産み育てられる医療体制の整備","","","","","","","",""
"●","45","医師等確保対策の推進","福祉保健局","病院勤務医師の過重労働の軽減と離職防止と産科・小児科等の専門医の確保をはかります。","〈医師勤務環境改善事業〉／１　勤務環境改善事業：医療クラークや交代勤務制の導入等医師の勤務負担軽減を図る取組　１４病院／２　再就業支援事業：女性医師等の再就業促進を図る取組　３病院／３　院内放課後支援事業：院内において就学児の保育運営　１病院／４　勤務環境改善施設整備事業：上記１～３に必要な施設整備　３病院／５　勤務環境改善設備整備事業：上記１～３に必要な設備整備　３病院／〈医師奨学金制度〉／小児、周産期医療等に従事する医師確保を目的とした奨学金制度／○　平成20年二定　奨学金貸与条例制定（国の緊急医師確保対策を活用し、都が指定する大学医学部に入学する５名を対象とした奨学金制度）／○　平成21年一定　条例改正（都内１３大学医学部の５、６年生を対象とした都独自の奨学金制度を追加）","〈医師勤務環境改善事業〉／１　勤務環境改善事業：医療クラークや交代勤務制の導入等医師の勤務負担軽減を図る取組　２０病院／２　再就業支援事業：女性医師等の再就業促進を図る取組　２病院／３　院内放課後支援事業：院内において就学児の保育運営　１病院／４　勤務環境改善施設整備事業：上記１～３に必要な施設整備　０病院／５　勤務環境改善設備整備事業：上記１～３に必要な設備整備　２病院／〈医師奨学金制度〉／小児、周産期医療等に従事する医師確保を目的とした奨学金制度／○　特別貸与奨学金（都が指定する大学医学部に入学または在籍する者を対象とした奨学金制度）：５名／○　一般貸与奨学金（都内１３大学医学部の５、６年生を対象とした奨学金制度）：１４名／〈地域小児医療研修（臨床研修）〉／区市町村が実施する「小児初期救急診療事業」に参画する医師の養成・確保を図ることを目的とした臨床研修を実施／平成21年度臨床研修修了者：19名","〈医師勤務環境改善事業〉／地域の中核病院において、病院勤務医の勤務環境が改善されている。／〈医師奨学金制度〉／継続／〈地域小児医療研修(臨床研修)〉／継続","25"
"●","46","小児救急医療対策の整備・充実","福祉保健局","小児科医不足の解消、二次救急への患者集中の緩和、小児の重症患者の対応体制の整備","〈小児救急トリアージ普及事業〉／軽症者を含めた多数の患者の中から、緊急性の高い患者を判別し、迅速に適切な医療提供に繋げる「トリアージ」の実施を小児救急医療の場面において普及させる。／そのため、多数の患者が集中する小児二次救急医療機関に専任看護師を配置し、夜間・休日における小児救急患者のトリアージを実施することとし、２病院においてモデル実施した。／〈重症小児患者対応医療機関の確保〉／都内における小児救急医療の拠点的な施設において、常時、小児科医師を複数配置する体制をとり、小児の重症救急患者に対し、迅速に対応する体制を確保することとし、３医療機関を指定した。","〈小児救急トリアージ専任看護師配置〉／平成20年度からの小児救急トリアージ普及事業によるモデル実施を受けて、多数の患者が集中する小児二次救急医療機関に専任看護師を配置し、夜間・休日における小児救急患者のトリアージの本格実施を開始した。／〈重症小児患者対応医療機関の確保〉／都内における小児救急医療の拠点的な施設において、常時、小児科医師を複数配置する体制をとり、小児の重症救急患者に対し、迅速に対応する体制を確保することとし、３医療機関を指定した。","<小児救急トリアージ普及事業>／救急外来におけるトリアージシステムの普及／※／<重症小児患者対応医療機関の確保>／小児の重症患者に対する体制の強化",""
"●","47","周産期医療体制の整備","福祉保健局","周産期医療ネットワークグループの構築等により、安全な分娩を確保する。","<周産期医療ネットワークグループの構築>／周産期医療機関等の機能別役割分担と連携体制を強化し、妊婦（胎児）・新生児のリスクに応じた医療提供の仕組みづくりを行う周産期医療ネットワークグループの構築を進め、２グループを立ち上げた。","<周産期医療ネットワークグループの構築>／周産期医療機関等の機能別役割分担と連携体制を強化し、妊婦（胎児）・新生児のリスクに応じた医療提供の仕組みづくりを行う周産期医療ネットワークグループの構築を進め、新たに２グループを立ち上げ、計4グループ実施した。","周産期医療ネットワーク都内8グループの構築など","23"
"●","48","多摩総合医療センター（仮称）・小児総合医療センター（仮称）における総合周産期母子医療センターの整備","病院経営本部","多摩総合医療センターの産科部門と、小児総合医療センターの新生児部門が一体となって、「総合周産期母子医療センター」を整備する。","・病院本体建設工事（平成19年7月～）／・宿舎棟建設工事着工（平成20年7月～）／・病院本体、宿舎棟とも／躯体工事完了、内装工事中","・「総合周産期母子医療センター」の指定（平成22年4月予定）に向け、体制を整備","21年度開設／M-FICU　9床／NICU　24床／（平成21年度目標）",""
"","49","大塚病院における総合周産期母子医療センターの整備","病院経営本部","新たにM-FICU6床を整備し、「総合周産期母子医療センター」として整備する。また豊島病院からNICU3床を機能移転し、周産期医療の充実強化(12床⇒15床）を図る。","・平成20年12月末　施設整備を完了／・平成21年度開設に向けた体制整備を検討","・　平成21年10月　「総合周産期母子医療センター」として指定","平成21年度／M-FICU　6床／NICU　15床（3床増床）／（平成21年度目標）",""
"●","50","大塚病院小児精神科外来整備","病院経営本部","平成２１年度末に梅ヶ丘病院が多摩地域に小児総合医療センターとして整備されることに伴い、大塚病院に小児精神科外来を開設する","・平成21年3月末　小児精神科外来棟竣工／・初年度備品・人員要求等開設準備に向けた整備","・　平成21年10月　「児童精神科外来」開設","大塚病院の小児精神科外来を開設し、小児医療の充実を図ることにより、子育てにやさしい環境づくりに寄与する。（平成 21年度目標）",""
"重点戦略11　社会全体で子育てを応援する気運の醸成","","","","","","","",""
"●","51","子育て応援とうきょう会議の設置・運営","福祉保健局","仕事と子育ての両立支援や父親の育児などの必要性についての理解を深めるため、次世代育成支援対策のための「働き方の見直し」をテーマとした講演やパネルディスカッションをはじめ企業への情報提供等を行います。","「子育て応援とうきょう会議」の構成団体である、行政、企業、ＮＰＯ 等が主体となって社会全体で子育てを支援する気運を高めるための事業を展開／＜事業実績＞／○子育て応援とうきょう会議の開催（2回）及び実行委員会の開催（6回）／○都民向けイベント「子育て応援とうきょう広場2008」の開催／○安全で安心な鉄道利用に関するベビーカーキャンペーンの実施など","「子育て応援とうきょう会議」の構成団体である、行政、企業、ＮＰＯ等が主体となって社会全体で子育てを支援する気運を高めつための事業を展開／<事業実績>／○子育て応援とうきょう会議の開催（2回）及び実行委員会の開催(６回）／○都民向けイベント「子育て応援とうきょう広場２００９」の開催／○NPO等のネットワーク形成事業、幼稚園・保育園職員合同研修の実施／○ベビーカーキャンペーン　第２弾／○協働会員の募集／など","企業等の主体的取組に向けた働きかけ","51"
"●","52","子育て応援サイトの立上げ","福祉保健局","ＮＰＯを運営主体とした子育て応援ホームページの創設","子育て応援サイト「とうきょう子育てスイッチ」を開設／子育て応援とうきょう会議による取組みや、区市町村の子育て支援サービスの情報提供などを紹介／１日あたりのアクセス件数　約1400件","子育て応援サイト「とうきょう子育てスイッチ」の運営／子育て応援とうきょう会議による取り組みや、区市町村の子育て支援サービスの情報提供などを紹介／<新規コンテンツ>／○利用者でつくる「おでかけマップ」／○父親の子育て応援「パパのお悩み１１０番」／１か月あたりのアクセス件数　約7400件（平成22年3月）","効果的な情報提供",""
