"","総数","医療通訳の確保","未収金発生への対応","問診票や同意書等、記入書類の多言語化","受付、保険の確認、支払等を補助する外国語会話集や説明資料の作成・配布","診察、検査等を補助する外国語会話集や説明資料の作成・配布","院内表示の多言語化","医療従事者に対する外国人患者の対応、異文化理解等に関する研修","簡易通訳アプリや翻訳ソフトの導入・活用","医療従事者に対する外国語会話研修","特に必要ない","その他"
区市町村,渕江住区センター分館児童館,121-0812,足立区西保木間３－１４－１６－１０１,139.8002,35.80422,JGD2011,03-3884-1159,-
区市町村,竹の塚六月児童館,121-0814,足立区六月２－２６－３－１０１,139.79655,35.78807,JGD2011,03-3850-3494,-
区市町村,島根児童館,121-0815,足立区島根４－１９－１－１０１,139.79601,35.78302,JGD2011,03-3850-9966,-
区市町村,梅島児童館,121-0816,足立区梅島２－１４－５,139.7999,35.77539,JGD2011,03-3849-6374,-
区市町村,伊興児童館,121-0823,足立区伊興５－２２－１３,139.77988,35.79794,JGD2011,03-3855-2707,-
区市町村,西伊興児童館,121-0824,足立区西伊興１－１２－１２,139.77361,35.79089,JGD2011,03-3896-7362,-
区市町村,舎人児童館,121-0831,足立区舎人１－３－２６,139.77293,35.80633,JGD2011,03-3857-0881,-
区市町村,入谷児童館,121-0831,足立区舎人６－１２－４－１０１,139.76215,35.81189,JGD2011,03-3855-1050,-
区市町村,西新井児童館,123-0841,足立区西新井７－１９－６,139.7724,35.78204,JGD2011,03-3854-1527,-
区市町村,栗原北児童館,123-0842,足立区栗原４－１９－１５,139.78523,35.78666,JGD2011,03-3899-8761,-
区市町村,西新井栄町児童館,123-0843,足立区西新井栄町３－１－６－１０１,139.7841,35.77481,JGD2011,03-3880-7705,-
区市町村,西新井本町児童館,123-0845,足立区西新井本町２－３０－３７,139.77092,35.77583,JGD2011,03-3890-5555,-
区市町村,梅田児童館,123-0851,足立区梅田６－２６－１,139.79736,35.76786,JGD2011,03-3848-3421,-
区市町村,本木関原児童館,123-0852,足立区関原１－２１－１１,139.78766,35.76453,JGD2011,03-3849-9735,-
区市町村,興本児童館,123-0853,足立区本木東１７－１０,139.78235,35.76611,JGD2011,03-3889-0388,-
区市町村,加賀児童館,123-0861,足立区加賀２－３１－６－１０１,139.75987,35.79386,JGD2011,03-3857-4639,-
区市町村,鹿浜いきいき館児童館,123-0864,足立区鹿浜２－２４－２,139.74966,35.78047,JGD2011,03-3853-5071,-
区市町村,鹿浜児童館,123-0864,足立区鹿浜６－８－１,139.75874,35.78397,JGD2011,03-3857-6550,-
区市町村,押皿谷児童館,123-0864,足立区鹿浜８－２７－１５,139.76459,35.78996,JGD2011,03-3857-4231,-
区市町村,新田児童館,123-0865,足立区新田２－２－２,139.73824,35.77178,JGD2011,03-3912-3421,-
区市町村,江北児童館,123-0872,足立区江北２－８－２,139.76256,35.76761,JGD2011,03-3890-6224,-
区市町村,扇児童館,123-0873,足立区扇１－４７－３８,139.77512,35.76526,JGD2011,03-3896-0688,-
区市町村,小菅児童館,124-0001,葛飾区小菅２－１９－１,139.82582,35.75019,JGD2011,03-3604-2645,-
区市町村,中道児童館,124-0002,葛飾区西亀有１－２－７,139.83699,35.75663,JGD2011,03-3604-6561,-
区市町村,東堀切児童館,124-0004,葛飾区東堀切２－２０－８,139.8353,35.75078,JGD2011,03-3602-6808,-
区市町村,宝町児童館,124-0005,葛飾区宝町１－５－１,139.83517,35.74249,JGD2011,03-5698-1703,-
区市町村,堀切児童館,124-0006,葛飾区堀切１－９－１８,139.82787,35.74015,JGD2011,03-5698-1706,-
区市町村,梅田児童館,124-0012,葛飾区立石３－２６－１０,139.84521,35.74092,JGD2011,03-5698-1701,-
区市町村,渋江児童館,124-0014,葛飾区東四つ木１－２０－４,139.84062,35.72883,JGD2011,03-5698-1702,-
区市町村,西奥戸児童館,124-0022,葛飾区奥戸１－１２－１,139.85399,35.7288,JGD2011,03-5698-1704,-
区市町村,南奥戸児童館,124-0022,葛飾区奥戸２－３０－１１,139.85912,35.73333,JGD2011,03-5698-1707,-
区市町村,東奥戸児童館,124-0022,葛飾区奥戸４－２０－１１,139.86754,35.7284,JGD2011,03-5698-1705,-
区市町村,西亀有児童館,125-0002,葛飾区西亀有４－２４－１,139.84392,35.76512,JGD2011,03-5616-1776,-
区市町村,幸田児童館,125-0031,葛飾区西水元２－１６－１０,139.85127,35.78585,JGD2011,03-5699-1244,-
区市町村,新水元児童館,125-0033,葛飾区東水元３－５－７,139.86613,35.78404,JGD2011,03-5699-1260,-
区市町村,花の木児童館,125-0035,葛飾区南水元３－７－１,139.86581,35.77343,JGD2011,03-5699-1298,-
区市町村,金町子どもセンター,125-0041,葛飾区東金町３－８－１,139.87549,35.77158,JGD2011,03-5699-1224,-
区市町村,東金町児童館,125-0041,葛飾区東金町５－２２－１８,139.87787,35.7794,JGD2011,03-5699-1314,-
区市町村,末広児童館,125-0042,葛飾区金町５－４－１,139.86678,35.76581,JGD2011,03-5699-1275,-
区市町村,南新宿児童館,125-0051,葛飾区新宿１－２３－４,139.86095,35.76056,JGD2011,03-5699-1333,-
区市町村,柴又児童館,125-0052,葛飾区柴又２－４－５,139.87013,35.75816,JGD2011,03-5699-1257,-
区市町村,新柴又児童館,125-0052,葛飾区柴又５－３３－８,139.88097,35.75348,JGD2011,03-5694-2982,-
区市町村,鎌倉児童館,125-0053,葛飾区鎌倉２－６－２０,139.87433,35.74531,JGD2011,03-5694-2292,-
区市町村,高砂児童館,125-0054,葛飾区高砂５－６－７,139.86525,35.75124,JGD2011,03-3627-6948,-
区市町村,亀有児童館,125-0061,葛飾区亀有１－１７－５,139.84593,35.75911,JGD2011,03-3604-7756,-
区市町村,青戸児童館,125-0062,葛飾区青戸３－１０－５,139.8488,35.74647,JGD2011,03-3602-0221,-
区市町村,青戸中央児童館,125-0062,葛飾区青戸６－１６－１２,139.85678,35.75296,JGD2011,03-3604-6306,-
区市町村,白鳥児童館,125-0063,葛飾区白鳥３－３２－６,139.84431,35.75538,JGD2011,03-3602-3452,-
区市町村,共育プラザ一之江,132-0024,江戸川区一之江３－１３－７,139.88434,35.68967,JGD2011,03-3652-5911,-
区市町村,共育プラザ中央,132-0031,江戸川区松島１－３８－１グリーンパレス内,139.86636,35.70605,JGD2011,03-5662-7661,-
区市町村,共育プラザ平井,132-0035,江戸川区平井７－２１－６,139.84042,35.71465,JGD2011,03-3618-4031,-
区市町村,共育プラザ小岩,133-0051,江戸川区北小岩２－１４－１７,139.88454,35.73995,JGD2011,03-3672-0604,-
区市町村,共育プラザ南小岩,133-0056,江戸川区南小岩４－５－８,139.88564,35.72095,JGD2011,03-3673-2206,-
区市町村,共育プラザ南篠崎,133-0065,江戸川区南篠崎町３－１２－８,139.89914,35.69662,JGD2011,03-3678-8241,-
区市町村,共育プラザ葛西,134-0082,江戸川区宇喜田町１７５,139.8615,35.67343,JGD2011,03-3688-8611,-
区市町村,南大谷児童館,192-0034,八王子市大谷町４６－１,139.3537,35.66929,JGD2011,042-645-0482,-
区市町村,中野児童館,192-0042,八王子市中野山王３－６－２７,139.32471,35.67445,JGD2011,042-624-9559,-
区市町村,松が谷児童館鹿島分館,192-0353,八王子市鹿島２,139.42668,35.63253,JGD2011,042-675-0150,-
区市町村,松が谷児童館,192-0354,八王子市松が谷１３,139.41422,35.62923,JGD2011,042-675-0151,-
区市町村,由木児童館,192-0361,八王子市越野６９２－１,139.38437,35.62955,JGD2011,042-676-8713,-
区市町村,北野児童館,192-0906,八王子市北野町５４９－９,139.35321,35.64614,JGD2011,042-645-8580,-
区市町村,川口児童館,193-0801,八王子市川口町３９７４,139.28227,35.69294,JGD2011,042-654-4757,-
区市町村,元八王子児童館,193-0816,八王子市大楽寺町５０８－３,139.29648,35.67197,JGD2011,042-625-6484,-
区市町村,中郷児童館長房分館,193-0824,八王子市長房町３４１,139.29739,35.65749,JGD2011,042-663-6485,-
区市町村,中郷児童館,193-0824,八王子市長房町８９１－２,139.29031,35.65393,JGD2011,042-663-6770,-
区市町村,浅川児童館,193-0845,八王子市初沢町１３２３,139.28186,35.63897,JGD2011,042-665-2506,-
区市町村,館ケ丘児童館,193-0944,八王子市館町１０９７－５７,139.28412,35.62996,JGD2011,042-665-5231,-
区市町村,立川市若葉児童館,190-0001,立川市若葉町４－２５－１１４,139.43663,35.72409,JGD2011,042-536-1400,-
区市町村,立川市幸児童館,190-0002,立川市幸町２－１９－１,139.42761,35.71949,JGD2011,042-537-0358,-
区市町村,立川市高松児童館,190-0011,立川市高松町２－２５－２６,139.4196,35.70476,JGD2011,042-528-2925,-
社福法人,西立川児童会館,190-0013,立川市富士見町１－２３－６,139.39536,35.70187,JGD2011,042-525-0571,-
区市町村,立川市富士見児童館,190-0013,立川市富士見町７－７－１２,139.39725,35.69349,JGD2011,042-525-9020,-
区市町村,立川市羽衣児童館,190-0021,立川市羽衣町２－４４－１６,139.42502,35.69305,JGD2011,042-526-2336,-
区市町村,立川市錦児童館,190-0022,立川市錦町３－１２－１,139.41661,35.69114,JGD2011,042-525-6684,-
区市町村,立川市上砂児童館,190-0032,立川市上砂町１－１３－１,139.38809,35.72075,JGD2011,042-535-1557,-
区市町村,立川市西砂児童館,190-0033,立川市一番町６－８－３７,139.3761,35.73307,JGD2011,042-531-0433,-
区市町村,桜堤児童館,180-0021,武蔵野市桜堤２－１－２９,139.53267,35.70765,JGD2011,0422-53-2206,-
区市町村,東多世代交流センター,181-0002,三鷹市牟礼２－１３－１９,139.58371,35.68499,JGD2011,0422-44-2150,-
区市町村,西多世代交流センター,181-0016,三鷹市深大寺２－３－５,139.54472,35.68876,JGD2011,0422-31-6039,-
区市町村,紅葉丘児童館,183-0004,府中市紅葉丘２－１,139.50908,35.67656,JGD2011,042-365-1188,-
区市町村,白糸台児童館,183-0011,府中市白糸台１－６０,139.50629,35.66702,JGD2011,042-363-6208,-
区市町村,押立児童館,183-0012,府中市押立町５－４,139.51843,35.65363,JGD2011,042-488-4966,-
区市町村,是政児童館,183-0014,府中市是政２－２０,139.49541,35.66087,JGD2011,042-365-6211,-
区市町村,片町児童館,183-0021,府中市片町２－１７,139.46954,35.67072,JGD2011,042-368-7001,-
区市町村,西府児童館,183-0031,府中市西府町１－６０,139.45483,35.67249,JGD2011,042-364-0811,-
区市町村,住吉児童館,183-0034,府中市住吉町１－６１,139.46051,35.66029,JGD2011,042-366-8611,-
区市町村,四谷児童館,183-0035,府中市四谷２－７５,139.4458,35.66507,JGD2011,042-367-1441,-
区市町村,武蔵台児童館,183-0042,府中市武蔵台２－２,139.46095,35.68863,JGD2011,042-576-3231,-
区市町村,新町児童館,183-0052,府中市新町１－６６,139.48955,35.68703,JGD2011,042-366-7611,-
区市町村,中央児童館,183-0055,府中市府中町２－２５,139.4827,35.67585,JGD2011,042-364-3611,-
区市町村,昭島市児童センター,196-0012,昭島市つつじが丘２－３－２１,139.36705,35.71416,JGD2011,042-544-5132,-
区市町村,緑ヶ丘児童館,182-0001,調布市緑ヶ丘２－２０－１６,139.58386,35.66895,JGD2011,03-3309-0521,-
区市町村,東部児童館,182-0003,調布市若葉町１－２９－２１,139.58328,35.65791,JGD2011,03-3307-6146,-
区市町村,つつじケ丘児童館,182-0006,調布市西つつじケ丘３－１９－１,139.57129,35.65785,JGD2011,0424-82-6201,-
区市町村,深大寺児童館,182-0012,調布市深大寺東町５－１４－１,139.55579,35.67256,JGD2011,042-488-7159,-
区市町村,佐須児童館,182-0016,調布市佐須町４－４２－２,139.55618,35.6587,JGD2011,0424-81-0348,-
区市町村,調布ヶ丘児童館,182-0021,調布市調布ヶ丘２－３６－１,139.55141,35.65497,JGD2011,0424-85-3101,-
区市町村,国領児童館,182-0022,調布市国領町３－８－１５,139.56068,35.6501,JGD2011,0424-85-8423,-
区市町村,染地児童館,182-0023,調布市染地２－４１－１２,139.55545,35.64242,JGD2011,042-485-3102,-
区市町村,多摩川児童館,182-0025,調布市多摩川５－１－２,139.53757,35.64531,JGD2011,0424-81-7680,-
区市町村,富士見児童館,182-0033,調布市富士見町１－８－１,139.53653,35.65837,JGD2011,042-481-7677,-
区市町村,調布市青少年ステーション,182-0035,調布市上石原１－３６－２,139.53252,35.65906,JGD2011,0424-42-5535,-
区市町村,西部児童館,182-0035,調布市上石原３－２１－６,139.52229,35.65305,JGD2011,042-484-0313,-
区市町村,子どもセンターばあん,194-0012,町田市金森４－５－７,139.46707,35.52381,JGD2011,042-788-4181,-
区市町村,子どもセンター　まあち,194-0021,町田市中町１－３１－２２,139.44852,35.5482,JGD2011,042-7
