"区市町村","福祉事務所／福祉事務所名","福祉事務所／住所・電話","福祉事務所／緯度","福祉事務所／経度","福祉事務所／座標系","母子・父子自立支援員配置先／部署名・電話"
"豊島区","豊島区西部生活福祉課","豊島区要町1-5-1／03-5917-5761","35.732933","139.695969","JGD2011","子育て支援課子ども家庭・女性相談グループ※／03-3981-2119"
"北区","北区福祉事務所","北区王子本町1-15-22／03-3908-1111","35.753197","139.734283","JGD2011","同左"
"荒川区","荒川区福祉事務所","荒川区荒川2-2-3／03-3802-3111","35.735130","139.783615","JGD2011","子育て支援課ひとり親女性福祉係／03-3802-4827"
"板橋区","板橋区板橋福祉事務所","板橋区板橋2-66-1／03-3579-2322","35.750694","139.709503","JGD2011","同左"
"板橋区","板橋区赤塚福祉事務所","板橋区赤塚6-38-1／03-3938-5126","35.778679","139.645477","JGD2011","同左"
"板橋区","板橋区志村福祉事務所","板橋区蓮根2-28-1／03-3968-2331","35.784122","139.675156","JGD2011","同左"
"練馬区","練馬区練馬総合福祉事務所","練馬区豊玉北6-12-1／03-3993-1111","35.735710","139.651672","JGD2011","同左"
"練馬区","練馬区石神井総合福祉事務所","練馬区石神井町3-30-26／03-5393-2801","35.743645","139.602905","JGD2011","同左"
"練馬区","練馬区光が丘総合福祉事務所","練馬区光が丘2-9-6／03-5997-7713","35.759140","139.630356","JGD2011","同左"
"練馬区","練馬区大泉総合福祉事務所","練馬区東大泉1-29-1／03-5905-5262","35.750179","139.585770","JGD2011","同左"
"足立区","足立区千住福祉事務所","足立区千住仲町19-3／03-3888-3141","35.746437","139.801193","JGD2011","同左"
"足立区","足立区中部福祉事務所","足立区中央本町1-17-1／03-3880-5880","35.775124","139.805023","JGD2011","同左"
"足立区","足立区東部福祉事務所","足立区東綾瀬1-26-2／03-3605-7105","35.765862","139.830856","JGD2011","同左"
"足立区","足立区西部福祉事務所","足立区鹿浜8-27-15／03-3897-5011","35.790096","139.765015","JGD2011","同左"
"足立区","足立区北部福祉事務所","足立区竹の塚2-25-17／03-3883-6800","35.792858","139.794678","JGD2011","同左"
"葛飾区","葛飾区福祉事務所西生活課","葛飾区立石5-13-1／03-3695-1111","35.743164","139.847290","JGD2011","子育て支援課ひとり親家庭相談係※／03-5654-8276"
"葛飾区","葛飾区福祉事務所東生活課","葛飾区金町1-6-24／03-3607-2152","35.762035","139.866043","JGD2011","子育て支援課ひとり親家庭相談係※／03-5654-8276"
"江戸川区","江戸川区生活援護第一課","江戸川区中央1-3-17／03-3652-1151","35.705959","139.868835","JGD2011","児童女性課子ども家庭支援センター／03-3877-2460"
"江戸川区","江戸川区生活援護第二課","江戸川区東小岩6-9-14／03-3657-1105","35.733685","139.888214","JGD2011","児童女性課子ども家庭支援センター／03-3877-2460"
"江戸川区","江戸川区生活援護第三課","江戸川区東葛西7-12-6／03-5659-6610","35.658928","139.875916","JGD2011","児童女性課子ども家庭支援センター／03-3877-2460"
"八王子市","八王子市福祉事務所","八王子市元本郷町3-24-1／042-626-3111","35.666496","139.316162","JGD2011","子育て支援課こども福祉担当／042-620-7362"
"立川市","立川市福祉事務所","立川市泉町1156-9／042-523-2111","35.715286","139.406281","JGD2011","同左"
"武蔵野市","武蔵野市福祉事務所","武蔵野市緑町2-2-28／0422-51-5131","35.717499","139.566452","JGD2011","子ども家庭課子ども家庭支援センター／0422-60-1850"
"三鷹市","三鷹市福祉事務所","三鷹市野崎1-1-1／0422-45-1151","35.683262","139.559418","JGD2011","同左"
"青梅市","青梅市福祉事務所","青梅市東青梅1-11-1／0428-22-1111","35.788086","139.275269","JGD2011","同左"
"府中市","府中市福祉事務所","府中市宮西町2-24／042-364-4111","35.668858","139.477768","JGD2011","子育て支援課／042-335-4240"
"昭島市","昭島市福祉事務所","昭島市田中町1-17-1／042-544-5111","35.705971","139.354507","JGD2011","同左"
"調布市","調布市福祉事務所","調布市小島町2-35-1／042-481-7111","35.650593","139.540894","JGD2011","子ども家庭課／042-481-7095"
"町田市","町田市福祉事務所","町田市森野2-2-22／042-722-3111","35.547039","139.438141","JGD2011","子育て支援課支援係／042-724-2137"
"小金井市","小金井市福祉事務所","小金井市本町6-6-3／042-383-1111","35.699074","139.503128","JGD2011","子育て支援課子育て支援係／042-387-9836"
"小平市","小平市福祉事務所","小平市小川町2-1333／042-341-1211","35.729321","139.476929","JGD2011","子育て支援課相談支援担当※／042-346-9618"
"日野市","日野市福祉事務所","日野市神明1-12-1／042-585-1111","35.670986","139.395279","JGD2011","同左（セーフティーネットコールセンター）"
"東村山市","東村山市福祉事務所","東村山市本町1-2-3／042-393-5111","35.754490","139.468414","JGD2011","同左"
"国分寺市","国分寺市福祉事務所","国分寺市戸倉1-6-1／042-325-0111","35.710770","139.462646","JGD2011","同左"
"国立市","国立市福祉事務所","国立市富士見台2-47-1／042-576-2111","35.684376","139.441513","JGD2011","同左"
"福生市","福生市福祉事務所","福生市本町5／042-551-1511","35.738701","139.326782","JGD2011","子育て支援課子育て支援係／042-551-1737"
"狛江市","狛江市福祉事務所","狛江市和泉本町1-1-5／03-3430-1111","35.634491","139.577927","JGD2011","同左"
"東大和市","東大和市福祉事務所","東大和市中央3-930／042-563-2111","35.745262","139.426498","JGD2011","同左"
"清瀬市","清瀬市福祉事務所","清瀬市中里5-842／042-492-5111","35.785568","139.526550","JGD2011","同左"
"東久留米市","東久留米市福祉事務所","東久留米市本町3-3-1／042-470-7777","35.758629","139.529709","JGD2011","子育て支援課ひとり親支援係／042-470-7736"
"武蔵村山市","武蔵村山市福祉事務所","武蔵村山市本町1-1-1／042-565-1111","35.754745","139.387360","JGD2011","同左"
"多摩市","多摩市福祉事務所","多摩市関戸6-12-1／042-375-8111","35.637653","139.447174","JGD2011","子育て支援課手当・医療・相談担当／042-338-6833"
"稲城市","稲城市福祉事務所","稲城市東長沼2111／042-378-2111","35.638123","139.504288","JGD2011","同左"
"羽村市","羽村市福祉事務所","羽村市緑ヶ丘5-2-1／042-555-1111","35.767506","139.310928","JGD2011","同左"
"あきる野市","あきる野市福祉事務所","あきる野市二宮350／042-558-1111","35.729115","139.294510","JGD2011","同左"
"西東京市","西東京市福祉事務所","西東京市中町1-5-1／042-464-1311","35.741821","139.557983","JGD2011","子育て支援課手当助成係／042-460-9840"
"日の出町／瑞穂町／奥多摩町／檜原村","西多摩福祉事務所","青梅市河辺町6-4-1／0428-22-1165","35.780197","139.289810","JGD2011","同左"
"大島町／利島村／新島村／神津島村","大島支庁","大島町元町字オンダシ222-1／04992-2-4421","34.756977","139.357208","JGD2011","同左"
"三宅村／御蔵島村","三宅支庁","三宅村伊豆642／04994-2-1311","34.108025","139.510315","JGD2011","同左"
"八丈町／青ヶ島村","八丈支庁","八丈町大賀郷2466-2／04996-2-1112","33.108711","139.786728","JGD2011","同左"
"小笠原村","小笠原支庁","小笠原村父島字西町／04998-2-2121","27.071243","142.209610","JGD2011","同左"
