"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"16","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","デコパージュ","生活用品","50","500","1ｗから6ｗ","1個￥140","自力での納品可","無","有","無","受注により生産している。ただし、他の受注作業の受け入れ状況により納期は相談"
"17","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","布草履","生活用品","5","10","1か月","1足￥１０００～￥1500","自力での納品可","無","無","有","クルミルに納品"
"18","たいとう第二福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3843-5580","小山","http://tunagu-taitou.sakura.ne.jp/","taitoudai2@jcom.home.ne.jp","Tシャツ","生活用品","1","20","２０日間","２５００円","発注元による回収希望","無","無","無","利用者さんのイラストをシルクスクリーンで手刷りしています。普段使いはもちろん、プレゼントにも喜ばれています。"
"19","たいとう第二福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3843-5580","小山","http://tunagu-taitou.sakura.ne.jp/","taitoudai2@jcom.home.ne.jp","エプロン","生活用品","1","20","２０日間","２０００円","発注元による回収希望","無","無","無","利用者さんのイラストをシルクスクリーンで手刷りしています。普段使いはもちろん、プレゼントにも喜ばれています。"
"20","たいとう第二福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3843-5580","小山","http://tunagu-taitou.sakura.ne.jp/","taitoudai2@jcom.home.ne.jp","トートバッグ","生活用品","1","20","２０日間","１２００円","発注元による回収希望","無","有","有","利用者さんのイラストをシルクスクリーンで手刷りしています。普段使いはもちろん、プレゼントにも喜ばれています。"
"21","たいとう第二福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3843-5580","小山","http://tunagu-taitou.sakura.ne.jp/","taitoudai2@jcom.home.ne.jp","ランチトート","生活用品","1","20","２０日間","６００円","発注元による回収希望","無","無","無","利用者さんのイラストをシルクスクリーンで手刷りしています。普段使いはもちろん、プレゼントにも喜ばれています。"
"22","喜楽里すみだ工房","社会福祉法人墨田さんさん会","墨田区","03-6661-8561","礒井","https://33kai.com/","kirari@33kai.com","クッキー","生活用品","1袋(8枚)","１５００袋","2週間","220円/1袋","発注元による回収希望","無","有","有","手作りクッキーの製造、販売行事の記念品や企業、地域公共施設等で販売しています。"
"23","すみだふれあいセンター福祉作業所","墨田区","墨田区","03-5600-2001","山本山崎","","hureaicent@city.sumida.lg.jp","ポチ袋(1セット3枚）・だるま（紙製）","生活用品","１０セット・５個","100セット・50個","1か月","300円・400円","自力での納品可","無","無","有",""
"24","のびのび共同作業所大河","のびのび福祉会","江東区","03-5634-8558","笹山","","taiga@saturn.dti.ne.jp","自主製品","生活用品","10","50","２週間","アクリルたわし１００円","発注元による回収希望","無","有","有",""
"25","ふれあい作業所西大井","社会福祉法人品川区社会福祉協議会","品川区","03-3775-4585","杉本","http://shinashakyo.jp/hureai/office.html#ooi","fureai@galaxy.ocn.ne.jp","あずま袋","生活用品","要相談","要相談","３か月～","４００円/個～","自力での納品可","無","有","無","エコバッグやお弁当袋、いろいろな場面で活用できます。"
"26","ふれあい作業所西大井","社会福祉法人品川区社会福祉協議会","品川区","03-3775-4585","杉本","http://shinashakyo.jp/hureai/office.html#ooi","fureai@galaxy.ocn.ne.jp","刺繍布巾","生活用品","要相談","要相談","３か月","２００円/枚～","自力での納品可","無","有","無","かわいい絵柄を刺繍した布巾です。"
"27","ふれあい作業所西大井","社会福祉法人品川区社会福祉協議会","品川区","03-3775-4585","杉本","http://shinashakyo.jp/hureai/office.html#ooi","fureai@galaxy.ocn.ne.jp","草木染ストール","生活用品","要相談","要相談","２か月～","３000円/枚～","自力での納品可","無","無","無","草木で染めたシルクや綿のストールです。"
"28","ふれあい作業所西大井","社会福祉法人品川区社会福祉協議会","品川区","03-3775-4585","杉本","http://shinashakyo.jp/hureai/office.html#ooi","fureai@galaxy.ocn.ne.jp","草木染トートバッグ","生活用品","要相談","要相談","３か月","１０００円/個","自力での納品可","無","有","無","草木で染めた生地を縫製しています。Ａ4サイズが入ります。"
"29","就労継続支援B型事業所TODAY南品川","リアルカンパニー株式会社","品川区","03-6260-0862","大滝","http://realcompany.jp/","todayminamishinagawa@gmail.com","ほっつかいろ販売","生活用品","10","1000","3日間","500円/個","自力での納品可","無","無","有","米ぬかを使用したホッカイロを作成しております。電子レンジを使用して何度も使用いただけます。"
"30","就労継続支援B型事業所TODAY南品川","リアルカンパニー株式会社","品川区","03-6260-0862","大滝","http://realcompany.jp/","todayminamishinagawa@gmail.com","お塩販売","生活用品","1","1000","3日間","1000円/個","自力での納品可","無","無","有","沖縄のお塩の販売を行っております。"
"31","就労継続支援B型ガーデン","社会福祉法人げんき","品川区","03-3474-2515","伊藤","https://swc-genki.org/","place@swc-genki.org","自主製品（くるみボタンアクセサリー・マグネット／フロートキャンドル）","生活用品","1セット～","応相談","セット数により応相談","1セット250円～","発注元による回収希望","無","有","有","記念品としてマグネット150セット（対応日数1か月）の注文をお受けしました"
"32","かもめ第一工房","社会福祉法人福栄会","品川区","03-3458-4307","高橋","http://www.fukueikai.or.jp/","kamome1@fukueikai.or.jp","自主製品の製造","生活用品","５０個","30日間","１００円～","自力での納品可","自力での納品可","無","有","有","ペーパークラフト（コースター、小物入れ）イベントの記念品等にお使いいただけます。"
"33","かもめ第二工房","社会福祉法人福栄会","品川区","03-6429-8401","渡辺","http://www.fukueikai.or.jp/","","アメリカンたわしの制作","生活用品","３０個","６０個","１ヶ月","２００円","自力での納品可","有","有","有","食器洗い・浴槽の掃除に使えます。水キレがよい"
"34","かもめ第二工房","社会福祉法人福栄会","品川区","03-6429-8401","渡辺","http://www.fukueikai.or.jp/","kamome2@fukueikai.or.jp","ティッシュケース・ブックカバー等の布製品の制作","生活用品","20個","４0個","１か月","１６０円～５００円～","自力での納品可","無","有","有","ミシンで各布製品を作成しています。"
"35","目黒区高次脳機能障害者支援センターいきいき＊せかんど","特定非営利活動法人いきいき福祉ネットワークセンター","目黒区","03-3713-8207","高山","http://www.ikiikifukushi.jp/","report-iki@ikiikifukushi.jp","ロゴ入りキーホルダー","生活用品","","150個","1か月","300円/個","発注元による回収希望","有","無","無","会社や団体の名前・ロゴ・キャラクター等のキーホルダーを制作します。行事の景品等にお使いいただけます。"
"36","目黒区高次脳機能障害者支援センターいきいき＊せかんど","特定非営利活動法人いきいき福祉ネットワークセンター","目黒区","03-3713-8207","高山","http://www.ikiikifukushi.jp/","report-iki@ikiikifukushi.jp","ロゴ入り缶バッチ","生活用品","","150個","1か月","200円/個","発注元による回収希望","無","無","有","会社や団体の名前・ロゴ・キャラクター等の缶バッチを制作します。行事の景品等にお使いいただけます。"
"37","目黒区立大橋えのき園","社会福祉法人目黒区社会福祉事業団","目黒区","03-3465-5192","","http://www.meguro-fukushi.jp/","enoki@herb.ocn.ne.jp","ガラス製品（箸置き、アクセサリー）","生活用品","5個","20個","10日～2週間","500～2000円","自力での納品可","無","無","無",""
"38","東が丘福祉工房","社会福祉法人東京援護協会","目黒区","03-3410-0778","蟻坂","https://www.tokyoengokyokai.or.jp/15higashigaoka/","kobo.higashi@bz03.plala.or.jp","革製品","生活用品","30","100","1か月","200円～１２００円","発注元による回収希望","無","有","無","・革のキーホルダーに名前やマークを刻印します。（形：犬、猫、イルカなど）（色：青、黄、黒など）・学校、幼稚園の卒業記念品等・商品の数量、納期等については、ご相談下さい。"
"39","東が丘福祉工房","社会福祉法人東京援護協会","目黒区","03-3410-0778","蟻坂","https://www.tokyoengokyokai.or.jp/15higashigaoka/","kobo.higashi@bz03.plala.or.jp","ビーズ製品","生活用品","5","20","1か月","１００円～2000円","発注元による回収希望","無","無","無","・商品の数量、納期等については、ご相談下さい。"
"40","下目黒福祉工房","目黒区社会福祉事業団","目黒区","03-3793-2590","齋藤","","shimomeguro@clock.ocn.ne.jp","革小物（パスケース・キーケース・キーホルダー・カップホルダー）","生活用品","1","応相談","10日(注文数により変動)","単価2500円から6500円","発注元による回収希望","無","無","有","記念品としてご活用いただいています。他にはないカラーバリエーションをご用意しています。刻印は手作業のため納期について応相談。"
"41","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","アクセサリー（自主生産品）の製作・販売","生活用品","10個","1000個","10日～30日","300円～3000円","発注元による回収希望","無","無","有","スワロフスキー社製クリスタルを使用したアクセサリー製作（ピンブローチ、ブローチ、ネックレス、クリップ式ｷｰﾎﾙﾀﾞｰ等）"
"42","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","エプロンの製作","生活用品","1","30","１ヶ月","1500~","自力での納品可","無","無","有","福祉・保育施設のスタッフ用にいかがですか。名入れ・ロゴなどの刺しゅうも承ります。オリジナルデザインのオーダーも可能です。"
"43","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","巾着・バッグの製作","生活用品","1","300","１ヶ月","350~","自力での納品可","無","有","有","ご要望に合わせた大きさや素材でお作りします。販促物品やノベルティにご活用ください。"
"44","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","青森ヒバ巾着セット","生活用品","1個","25個","14日","500円","発注元による回収希望","無","無","無","100%青森ヒバのかんなくずと、かんなくずを入れてサシュとしても使用できる巾着袋２つのセットです。10個以上のご注文は納品いたします。"
"45","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","ポプリ","生活用品","1個","100個","14日","100円","発注元による回収希望","無","無","有","ローズやラベンダー等のポプリを小さな袋に詰めました。香をお楽しみください。50個以上のご注文は納品いたします。"
"46","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","アートせっけん","生活用品","1個","100個","50日","300円","発注元による回収希望","無","無","無","片面に絵柄の付いた石鹸です。キャンディタイプのラッピングが目を引きます。用途に応じて絵柄オーダーも可能。20個以上のご注文は納品致します。"
"47","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","袋詰め・箱入れ","生活用品","200個","5000個","週","１円/1工程","自力での納品可","無","無","有","イベント用、缶バッチ・キーホルダーの袋詰め、納品実績があります"
"48","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","たまピカクロス","生活用品","１０個","２００個","週","２００円／１０枚","自力での納品可","無","有","有","コットン１００％の使用済みお手拭をお掃除クロスにリサイクルし太≫製品です。"
"49","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","名刺","生活用品","50枚","300枚","14日間","50枚￥1800～","自力での納品可","無","有","有","紙パックなどを再利用した手すき紙の名刺です。印刷データはご入稿ください。"
"50","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","焼き菓子","生活用品","1個～","200個","7日間","150円～/個","自力での納品可","無","有","有","個包装からギフトセット、ちょっとしたプレゼント向けのアソートなど、ご相談に応じた形で販売します。"
"51","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","革のカードケース・小銭入れ・ブックカバー","生活用品","1個～","10個","1ヶ月","1000円～2800円","発注元による回収希望","","有","","某省にて海外へのお土産になりました。"
"52","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","七宝ブローチ","生活用品","1個～","100個","1ヶ月","600円～","自力での納品可","","","有","手描きの猫のブローチが人気です。民間の動物愛護団体や、動物病院、雑貨店などに卸しています。"
"53","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","アロマキャンドル","生活用品","1個～","100個","1ヶ月","300円～","発注元による回収希望","","有","","某省にて海外へのお土産になりました。"
"54","むつみ工房","特定非営利活動法人むつみ福祉会","渋谷区","03-5351-9395","赤澤","https://mutsumi-kobo.com","mutsumi_kobo@iris.ocn.ne.jp","オリパラ応援タオル","生活用品","1枚","100枚","3日間","1000円","自力での納品可","無","有","有","シブヤフォントを使用したオリンピックパラリンピック応援タオルです。業者によりプリント済の製品なので即納可能です。"
"55","コロニーもみじやま支援センター","社会福祉法人東京コロニー","中野区","03-5318-9952","","http://colony.gr.jp/momijiyama/","asou@tocolo.or.jp","組み紐・和紙製品作成","生活用品","1","20","常時在庫量を大幅に超える場合は要相談","随時/店舗販売","発注元による回収希望","有","無","有","直売店舗で常時販売。その他、中野区福祉売店やKURUMIRUでも販売しています。"
"56","コロニー中野","社会福祉法人東京コロニー","中野区","03-3953-3541","満富","https://www.tocolo.or.jp/","mitutomi@tocolo.or.jp","プリザーブドフラワー","生活用品","1","60（コサージュ）","1.5ヶ月","800～10000円","自力での納品可","有","有","有","KURUMIRUや中野区福祉売店に納品。季節に合わせた商品をそろえ、ECサイトにて注文も受けております。式典用のコサージュ等、まとまった量でも受注可能です。"
"57","コロニー中野","社会福祉法人東京コロニー","中野区","03-3953-3541","満富","https://www.tocolo.or.jp/","mitutomi@tocolo.or.jp","バスボム","生活用品","1","50","1ヶ月","300～500円","自力での納品可","有","有","有","KURUMIRUや中野区福祉売店に納品。ECサイトでも注文を受けております。企業のノベルティとしても（年末年始挨拶等）ご注文をいただいております。"
"58","ひまわり作業所","社会福祉法人済美会","杉並区","03-3333-9724","","https://www.seibikai.com/","hmshouan@pluto.plala.or.jp","刺繍製品","生活用品","","","在庫状況による","200～1500円/個","自力での納品可","無","無","無","コースター、ティッシュケース、ブックカバー、ランチョンマットがあります。数量や納期はご相談ください。"
"59","Ivy","（社福）豊芯会","豊島区","03-3915-9002","武岡","http://www.housinkai.or.jp","jobtr@housinkai.or.jp","生活用品","生活用品","100","1000","5日","別途相談","自力での納品可","無","無","有","一般的な軽作業関係"
"60","北区立あすなろ福祉園","東京都手をつなぐ育成会","北区","03-3913-0188","","http://www.ikuseikai-tky.or.jp/~iku-kitaku_asunaro/","k_asunaro@@ikuseikai-tky.or.jp","フラワービーズストラップ","生活用品","1","60","1ヶ月","100円","発注元による回収希望","無","無","無","色のオーダーは可能です。"
"61","北区立あすなろ福祉園","東京都手をつなぐ育成会","北区","03-3913-0188","","http://www.ikuseikai-tky.or.jp/~iku-kitaku_asunaro/","k_asunaro@@ikuseikai-tky.or.jp","アイロンビーズ","生活用品","1","60","1ヶ月","30円～200円","発注元による回収希望","無","無","無","色のオーダーは可能です。キーホルダー、コースターの種類もあります。"
"62","北区立あすなろ福祉園","東京都手をつなぐ育成会","北区","03-3913-0188","","http://www.ikuseikai-tky.or.jp/~iku-kitaku_asunaro/","k_asunaro@@ikuseikai-tky.or.jp","さをり製品","生活用品","1","20","1ヶ月","200円","発注元による回収希望","無","無","無","包みボタン、ポーチ、パスケースなどいろいろな種類があります。"
"63","王子福祉作業所","（社福）北区社会福祉事業団","北区","03-3919-9575","","http://kitajigyo.com/handicapped/oji.html","oji-fuku-sa@jcom.zaq.ne.jp","キャンペーン用グッズ作成","生活用品","","300個","10日","10日","発注元による回収希望","有","無","無","北区からの依頼を受け、オレンジリボン等作成の実績あり"
"64","北区立赤羽西福祉工房","社会福祉法人北区社会福祉事業団","北区","03-3908-4111","酒井","http://kitajigyo.com","a-ko-bo@jcom.zaq.ne.jp","ビーズ製品キーホルダー・ストラップ","生活用品","20","100","１週間以上","１００円～３５０円","発注元による回収希望","無","無","無","色合い・金具の選択ができます。メッセージカードを添えたラッピング可能です。"
"65","北区立赤羽西福祉工房","社会福祉法人北区社会福祉事業団","北区","03-3908-4111","酒井","http://kitajigyo.com","a-ko-bo@jcom.zaq.ne.jp","マグネット木工・タイル","生活用品","20","100","１週間以上","１００円","発注元による回収希望","有","有","無","デコ（タイル・ビーズ）の選択ができます。メッセージカードを添えたラッピング可能です。"
"66","北区立赤羽西福祉工房","社会福祉法人北区社会福祉事業団","北区","03-3908-4111","酒井","http://kitajigyo.com","a-ko-bo@jcom.zaq.ne.jp","ステンシル製品Tシャツ・コットントートバッグ","生活用品","10","30","１週間以上","３００円～","発注元による回収希望","無","無","有","形・大きさ・柄・色合い等の選択ができます。メッセージカードを添えたラッピング可能です。"
"67","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","革製品（定期入れ、キーホルダー、小銭入れほか）","生活用品","要相談","要相談","30日","250円から1000円くらい","発注元による回収希望","無","無","有","詳細はご相談願います。"
"68","田柄福祉園","社旗福祉法人東京援護協会","練馬区","03-3577-2201","鈴木","https://www.tokyoengokyokai.or.jp/11tagara/","tagara-shien@mirror.ocn.ne.jp","ビーズ製品、石鹸、その他遊具の制作","生活用品","10個","30個","1カ月","未定","自力での納品可","無","無","無","ビーズ製品、石鹸、その他遊具も制作・販売しております。10個以上注文の場合は、事前に連絡いただければと思います。"
"69","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","織物の作製","生活用品","1","5","5日間","400円～4000円/個","発注元による回収希望","無","無","有","記念品"
"70","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","アクセサリー・フラワーアレジメントの製造","生活用品","1","20","2週間","1000円～","自力での納品可","無","無","有","ﾚｼﾞﾝや水引等を使ったﾋﾟｱｽやｲﾔﾘﾝｸﾞ、髪留め、ﾈｯｸﾚｽ等を作っています。ﾌﾗﾜｰｱﾚｼﾞﾒﾝﾄは誕生日や母の日等の催事にも適しています。"
"71","江戸川区立福祉作業所","社会福祉法人江戸川菜の花の会","江戸川区","03-3657-1971","柏谷","http://www.edogawa-nanohana.or.jp/index.html","fukusaku@edogawa-nanohana.or.jp;","リサイクル植木鉢の製造・販売","生活用品","10個","100個以上応相談","1か月","50円～","自力での納品可","無","無","有","古紙を原料にした植木鉢です。材料の製造から成型まで行っています。"
"72","江戸川区立福祉作業所","社会福祉法人江戸川菜の花の会","江戸川区","03-3657-1971","柏谷","http://www.edogawa-nanohana.or.jp/index.html","fukusaku@edogawa-nanohana.or.jp;","織物製品の製造・販売","生活用品","5本","10本以上応相談","1か月","1000円～","自力での納品可","無","無","有","”EDOORI”として商標登録をしており「KURUMIRU」にも出店しています。"
"73","江戸川区立福祉作業所","社会福祉法人江戸川菜の花の会","江戸川区","03-3657-1971","柏谷","http://www.edogawa-nanohana.or.jp/index.html","fukusaku@edogawa-nanohana.or.jp;","トイレットペーパーの販売","生活用品","50個","1000個以上応相談","1か月","60円～","自力での納品可","無","無","有","作業所オリジナルの包装紙を利用者が巻き、販売しています。"
"74","いちょう工房ぎんなんの家","社会福祉法人八王子いちょうの会","八王子市","042-651-5717","梅澤恵子","http://www.ichounokai.or.jp/","ginnannoie@tbu.t-com.ne.jp","藍染製品","生活用品","","20個","無","300円～","自力での納品可","無","無","有","手ぬぐい、ミニタオル、フェイスタオル、マフラー等"
"75","うらら八日町工房","特定非営利活動法人八王子うらら会","八王子市","042-627-6780","芳澤","http://urara.main.jp/","urara-yokamachi@bz04.plala.or.jp","パッカー製作","生活用品","6000","6000","2週間","0.75","自力での納品可","","","",""
"76","かたくりの家","社会福祉法人由木かたくりの会","八王子市","042-674-0520","平野","http://yugi-katakuri.or.jp/","hirano@yugi-katakuri.or.jp","石鹸","生活用品","20","40","約40日","100円/個","発注元による回収希望","無","無","有","食器洗い、ワイシャツの襟の汚れ落とし等。自然に生成されたグリセリンを含んでいますので手にやさしい石鹸です。"
"77","ハートエース","株式会社ハートエース","八王子市","042-649-2432","","","yamauchi.heartace@kind.ocn.ne.jp","菓子箱・タバコサンプル等の組み立て","生活用品","5000","10000","5日間","未定","自力での納品可","無","無","有","３～４日程度の短納期にも対応可能です。"
"78","希望の里","社会福祉法人武蔵野会","八王子市","042-654-7311","中神","http://kibounosato.sakura.ne.jp","kibou@river.ocn.ne.jp","木工製品","生活用品","応相談","応相談","応相談","300円～3000円/個","自力での納品可","無","無","有",""
"79","第三高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-628-0569","中根","https://www.supporttakao.or.jp/","dai3takao@yahoo.co.jp","芳香剤","生活用品","","1000","1か月","15円/個","発注元による回収希望","","","",""
"80","麦（ばく）","麦の会","八王子市","042-624-4645","","","bakunokai1989@aol.com","マグネットクリップ","生活用品","10","300","14日","150円","自力での納品可","無","有","有","迷うほど、かわいい柄が豊富なマグネットクリップです。さらに安くて便利で使いやすいです。"
"81","麦（ばく）","麦の会","八王子市","042-624-4645","","","bakunokai1989@aol.com","マグネットクリップ","生活用品","10","400","14日","100円","自力での納品可","無","有","有","あなたのお家の冷蔵庫を可愛い柄で彩ってください。"
"82","クレヨンハウス","特定非営利活動法人くるみ会","八王子市","042-621-1344","酒本","","npo-kureyon@sound.ocn.ne.jp","刺し子","生活用品","1","20","30日","550円","発注元による回収希望","無","無","有",""
"83","森のぱんやさん","特定非営利活動法人みんなのひろば","八王子市","042-673-7827","石井","https://npohiroba.com","minnanohiroba@world.ocn.ne.jp","陶器","生活用品","5","50","2ヵ月","400円","自力での納品可","","","","納品方法は提供量と配達距離によって回収をお願いする場合があります"
"84","いちょう工房そら","社会福祉法人八王子いちょうの会","八王子市","042-627-0079","大村","","ityou4sora@kna.biglobe.ne.jp","ショッピングバッグの製造","生活用品","500","3000","１日","3.5~4.0","発注元による回収希望","無","無","有",""
