"共同受注窓口情報／No.","共同受注窓口情報／区市町村","共同受注窓口情報／共同受注窓口名","共同受注窓口情報／電話","共同受注窓口情報／担当者名","共同受注窓口情報／ホームページ","共同受注窓口情報／Email","今後販売・受注可能な作業／製品・サービスの内容／内容","今後販売・受注可能な作業／分類","今後販売・受注可能な作業／提供可能総量／最小","今後販売・受注可能な作業／提供可能総量／最大","今後販売・受注可能な作業／納期","今後販売・受注可能な作業／販売・契約参考単価","今後販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"34","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ポスティング","その他","1000","1000","要相談","要相談","自力での納品可","無","有","無","八王子市の市議会議員便りを、年間5回、指定された郵便局、銀行、コンビニエンスストアに配布。エリアは市内のみでの対応となります。"
"35","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ポスティング","その他","2000部","5000部","1か月","1枚3円","発注元による回収希望","無","無","有",""
"36","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","公園清掃","その他","1か所","3ヶ所","1か月","1か所1か月1回あたり2900円","","無","無","有",""
"37","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","藍染製品","生活用品","","20個","無","300円～","自力での納品可","無","無","有","手ぬぐい、ミニタオル、フェイスタオル、マフラー等"
"38","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","受注作業","封入・封緘","","1000","有","","自力での納品可","無","無","有","1部に含む枚数、重量により異なる単価は異なる。"
"39","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","公園掃除","清掃","944m2","2225m2","1年","","自力での納品可","無","有","無","八王子市陵北児童遊園八王子市川原宿東児童遊園のごみ拾い、砂場の掘り起こし等を行っています。"
"40","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","手芸製品（編み物・ビーズ・刺子）","生活用品","","","製品及び数量による","製品による","自力での納品可","無","無","無",""
"41","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","名刺・封筒印刷","印刷","","","製品及び数量による","製品による","自力での納品可","無","無","無",""
"42","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","クッキー","食品","5","100","7日間","300円","発注元による回収希望","無","無","有","賞味期限は10日から21日間になります"
"43","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ポチ袋","事務用品","1","50","7日間","200円","発注元による回収希望","無","無","有",""
"44","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","刺し子","生活用品","1","20","30日間","550円","発注元による回収希望","無","無","有",""
"45","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","焼き菓子サブレアマンド・フルーツクッキー・ココアクッキー・紅茶クッキー","食品","20個","300個","1週間～2週間","１袋/38ｇ150円","自力での納品可","有","無","有","菓子折り1500円～ご用意させていただきます。参考：特別支援学校ご用命品（1500円）添加物不使用の為、賞味期限は30日間"
"46","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","デコパッチマグネット","事務用品","20個","200個","2週間～4週間","1個110円","自力での納品可","有","無","有","フランス製等のお洒落なペーパーを使用したマグネットです。（ホワイトボード等に使用）"
"47","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","労役・業務委託作業","その他","10食","","12ヵ月・月締め","朝食250円昼・夕食450円","自力での納品可","","","有","福祉系の通所施設・ＧＨ等への配食業務"
"48","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","労役・業務委託作業","清掃","￥5000/1回","","12ヵ月・月締め","年契約・作業規模による","自力での納品可","","","有","他施設の建物内・公園・駐車場清掃等の実績。受注費用はすべて（時給設定し）工賃支給の原資になる"
"49","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","業務委託作業・内職","箱・袋詰め","200","2000","1ッか月","随時契約・作業内容別に単価設定","自力での納品可","","","有","厨房業務・清掃業務に就けずにいる利用者様の作業として、創作活動をしながら取り組んでいます。"
"50","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","製菓製造","食品","１袋","３００袋","１４日間","１５０円～","自力での納品可","無","無","無","様々な種類の商品があります。単価については相談可能です。"
"51","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","焼き菓子（クッキー・パウンド）製造","食品","応相談","","2週間","100円～","自力での納品可","","","",""
"52","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ダイレクトメール封入","封入・封緘","応相談","2000","1～2週間","応相談","自力での納品可","","","",""
"53","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","木工製品","その他","１個","３０個","１か月間","330円/個","発注元による回収希望","無","無","有","手のひらサイズの檜の木工製品「ちょー気持ちいい」です。皆でつるつるすべすべに磨き上げ、市内で生まれてくる赤ちゃんへのギフトに選ばれました。"
"54","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ゴルフ場整備","その他","","","","1回８ホール10000円","","無","無","有","８ホールを週３回作業は、目土（穴を埋めて整備する）作業。雨天中止"
"55","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","天然酵母パン","食品","1","100","酵母仕込み含めて7～10日位","120~660","自力での納品可","無","無","有","パンのギフト・社内販売会・自然食品店へ卸販売"
"56","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","クッキー","食品","1","300","2～4週間","200~330","自力での納品可","有","無","有","会社・保育園・幼稚園・町会などのギフト、販売会赤い羽根共同募金会"
"57","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","パウンドケーキ","食品","1","20","3～4日","200.700.1400","自力での納品可","無","無","有","ギフト・販売会等"
"58","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","焼菓子","食品","30","100程度","10日","\160~450","自力での納品可","","","",""
"59","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ダイレクトメール封入封緘","封入・封緘","応相談","応相談","封入点数、封緘方法により異なる","応相談（封入点数、工程数により異なる）","自力での納品可","無","有","有",""
"60","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","お菓子の包装紙巻","箱・袋詰め","応相談","応相談","応相談","8円/個","発注元による回収希望","無","無","有",""
"61","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","木工製品","生活用品","応相談","応相談","応相談","300円～3000円/個","自力での納品可","無","無","有",""
"62","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","墓地清掃代行","清掃","応相談","応相談","応相談","1カ所3000円～","自力での納品可","無","無","有",""
"63","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","芳香剤","生活用品","1000","1か月","15円/個","発注元による回収希望","","","","",""
"64","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","紅茶パック梱包","箱・袋詰め","2000~3000","2日間","1,2円/個","自力での納品可","","","","",""
"65","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","スポイト袋入れ","箱・袋詰め","1200","2週間","4円/個","自力での納品可","","","","",""
"66","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","公園清掃","清掃","1公園","12回","8400円","","","","","",""
"67","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","マグネットクリップ","生活用品","10","300","14日","150円","自力での納品可","無","有","有","迷うほど、かわいい柄が豊富なマグネットクリップです。さらに安くて便利で使いやすいです。"
"68","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","マグネットクリップ","生活用品","10","400","14日","100円","自力での納品可","無","有","有","あなたのお家の冷蔵庫を可愛い柄で彩ってください。"
"69","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","自主製品巾着(ナチュラル）","生活用品","1枚","300枚","1ｶ月","990円/1枚","自力での納品可","無","有","無","八王子はちベビプロジェクトからの発注"
"70","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","自主製品ひざ掛け","生活用品","1枚","6枚","2ｶ月","応相談","自力での納品可","無","無","有","敬老の日のお祝い"
"71","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","自主製品ポストマンバッグ","生活用品","1枚","応相談","応相談","12.600円","自力での納品可","無","有","無","八王子市ふるさと納税返礼品"
"72","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","自主製品コースター","生活用品","1枚","300枚","4カ月","300～500円","自力での納品可","無","無","有","引き出物やイベントのノベルティーグッズ"
"73","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","DM･チラシの封入や宛名シール貼付発送等","封入・封緘","","30000通","５日間","１工程１円","自力での納品可","無","有","有","迅速丁寧がモットーです。急なご注文にも対応できます。３０点等、多点封入対応します。結束もできます。２トン車やフォークリフト、コレーターもございます。"
"74","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","DM","封入・封緘","500","1500","30","50","自力での納品可","","","有","3点封入での納期です。毎月、当法人の広報誌にて実践中。"
"75","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","弁当","食品","50","50","1","応相談","自力での納品可","無","無","無",""
"76","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","仕出し（パーティー料理）","食品","50","50","1","応相談","自力での納品可","無","無","無",""
"77","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","クッキー・パウンドケーキ","食品","50","50","7","応相談","自力での納品可","無","無","無",""
"78","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","肉じゃが・里芋の煮物","事務用品","50","50","7","応相談","自力での納品可","無","無","無",""
"79","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","パン","食品","","300","３日","約100円","自力での納品可","有","無","有","・学童・保育園の給食やおやつパンとして・会社やイベント等での外部販売"
"80","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","軽作業","箱・袋詰め","2000","5000","7日","0.5~1.0","自力での納品可","無","無","有","・PC部品組立の下請け作業・資材保管場所が小スペースで済むものを受注"
"81","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","軽作業","箱・袋詰め","1000","2000","3日","2","自力での納品可","無","無","有","・梱包資材のシール貼り・資材保管場所が小スペースで済むものを受注"
"82","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","軽作業","箱・袋詰め","","1000","2日","1.5~4","自力での納品可","無","無","有","・食玩等の組立や封入作業・資材保管場所が小スペースで済むものを受注"
"83","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","施設清掃、公園清掃壁掛けエアコン清掃","清掃","50m2","200m2","7日間","施工内容による","自力での納品可","無","有","有","簡易清掃からポリッシャー洗浄、ワックスコーティングお客様のニーズに合った清掃内容、方法、金額で相談しながら進めてまいります。"
"84","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","革のキーホルダー","生活用品","10","300","2か月","500円～","自力での納品可","無","無","有","簡単なメッセージ、社名等を刻印することができます。"
"85","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ポスティング","その他","1000","2000","2週間","3円/件","自力での納品可","無","無","有","1件1件丁寧にさせていただきます。"
"86","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ボールチェーン封入","生活用品","1000","3000","2週間","1.5円/袋","自力での納品可","無","無","有","お急ぎの場合はご連絡下さい。可能な限り対応させていただきます。"
"87","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","フェルト玩具","生活用品","1","1","2週間","3000","自力での納品可","無","無","有","幼稚園・保育園・子育て支援事業等で是非ご活用ください"
"88","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","音声書き起こし、データ入力","データ入力","１５分","120分","営業日10日間","2500円/15分","自力での納品可","","","有","単価は納期により応相談。会議録の作成、ＡＩの学習用データ入力作業など受注実績多数あり。"
"89","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ダイレクトメール等の丁合・封入・封かん・宛名ラベル貼","封入・封緘","１０００通","1～2点封入5000通/日3点以上3000通/日","営業日３日間","1円/1工程（応相談）","自力での納品可","","有","有","丁合機、計数機あり。丁合のみの発注も可能です。封入点数、形状応相談。納期についてもご相談ください。"
"90","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","お菓子の箱おり、箱詰め、袋詰め","箱・袋詰","100","5000（袋詰めの場合）","営業日７日","4円～15円（応相談）","自力での納品可","","","有","例）お菓子数種の箱詰め、のし紙貼付け：２００箱/日（約３０円/１箱）、かりんとう袋詰め・帯かけ：約1000袋/日（１５円/１袋）など"
"91","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ダイレクトメール等の丁合・封入・封緘・ラベル貼り","封入・封緘","1000","10000","1週間","重さや大きさによる1円程度/1工程","自力での納品可","無","無","有","丁合点数３点～４点で1万件可能です。ペラや2つ折り資材のみの場合は丁合機を使うことにより1万件以上でも可能、ご相談ください。"
"92","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","施設外作業（外部の事業所での作業など）","箱・袋詰め","1000","2000","応相談","４００円～/1名1時間","自力での納品可","無","無","有","外部の事業所に行き、職員と利用者数名で軽作業（組立て、袋詰め、値札付け、仕分けなど）、清掃作業。人数・単価などは相談に応じます。"
"93","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","物品配達・買い物同行","その他","","応相談","応相談","応相談","自力での納品可","無","無","有","八王子市内への配達業務。1件20ｋｇ以上の重たいものについては応相談。買い物は八王子駅周辺地域で購入可能なものに限ります。"
"94","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","データ入力","データ入力","","応相談","応相談","応相談","自力での納品可","無","無","無","データ入力のみの取引の実績はありませんが、実際の内職作業でデータ入力に取り組んでいます。店舗毎の作業数管理データ作成等。"
"95","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ショッピングバッグの製造","生活用品","500","3000","１日","3.5~4.0","発注元による回収希望","無","無","有",""
"96","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ポスティング","その他","100","300","１日","4","発注元による回収希望","無","無","有",""
"97","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","公園清掃","清掃","１か所","２か所","１日","60~70/m2","発注元による回収希望","無","無","有",""
"98","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","ブルーベリージャム","食品","5本","100本","30日","594円／本","自力での納品可","無","無","有","会員・ボランティアさんへのお礼の品としてご利用いただきました。年130本×2回＝260本"
"99","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","和紙はがきセット（5枚入）","事務用品","5セット","100セット","30日","250円／1セット","自力での納品可","無","無","無",""
"100","三鷹市","三鷹市障がい者施設等自主製品開発・販売ネットワーク事業（ぴゅあネット事業）","0422-44-2255","","http://www.hanano-kai.jp/hoshi-cafe/","hoshi-cafe@hanano-kai.jp","菓子（クッキー、パウンドケーなど）","食品","1枚","5000枚","１週間以上","１枚120円～250円","自力での納品可","","","","予算に応じてギフト等の対応も可"
"101","三鷹市","三鷹市障がい者施設等自主製品開発・販売ネットワーク事業（ぴゅあネット事業）","0422-44-2255","","http://www.hanano-kai.jp/hoshi-cafe/","hoshi-cafe@hanano-kai.jp","雑貨","生活用品","応相談","応相談","商品による","ハンカチ600円アクセサリー700円～","自力での納品可","","","","ｋＵＲＵＭＩＲＵ納品アクセサリー、刺しゅうハンカチ等ギフト対応も可"
"102","三鷹市","三鷹市障がい者施設等自主製品開発・販売ネットワーク事業（ぴゅあネット事業）","0422-44-2255","","http://www.hanano-kai.jp/hoshi-cafe/","hoshi-cafe@hanano-kai.jp","太宰治商品","食品","1箱","応相談","応相談","太宰人形焼800円太宰クッキー550円～","自力での納品可","","","","三鷹のお土産品に認定された商品箱入りなのでお土産品としての需要有"
