"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"21","コム・オアシス","社会福祉法人おあしす福祉会","江東区","03-5690-5959","藤田","http://www.oasisfukushi.or.jp/","com@oasisfukushi.or.jp","企業等の商品・販促品等/防災備蓄品等の在庫回収・処分","その他","","","応相談","無償提供","自力での納品可","","","有","リサイクル事業を行っています。様々な物の有効活用を目指しています。"
"22","のびのび作業所フーズ","のびのび福祉会","江東区","03-6807-0900","佐藤","http://www.nobihuku.or.jp/","nobinobi.foods@mx5.alpha-web.ne.jp","ポスティング","その他","500","900","要相談","要相談","発注元による回収希望","無","無","有","近隣の地域への情報誌の帳合・投函を行っています。"
"23","のびのび作業所フーズ","のびのび福祉会","江東区","03-6807-0900","佐藤","http://www.nobihuku.or.jp/","nobinobi.foods@mx5.alpha-web.ne.jp","資源・古紙回収","その他","","","要相談","要相談","自力での納品可","無","有","有","近隣の水道橋等へ古紙の回収を定期的に行っています。"
"24","ゆめ工房北砂","社会福祉法人ゆめグループ福祉会","江東区","03-3644-0654","臼井","","yumekobo-kitasuna@yumegroup.or.jp","組み立て作業カードキーを入れる神のホルダー等","その他","応相談","応相談","応相談","1工程1円～","発注元による回収希望","無","無","有","定期的なものだけでなく、短納期の仕事にも対応可能です。ご相談ください。"
"25","ゆめ工房北砂","社会福祉法人ゆめグループ福祉会","江東区","03-3644-0654","臼井","","yumekobo-kitasuna@yumegroup.or.jp","軽作業リーフレットにサンプルをホチキス留め、箱の組み立て等","その他","応相談","応相談","応相談","1工程1円～","発注元による回収希望","無","無","有","定期的なものだけでなく、短納期の仕事にも対応可能です。ご相談ください。"
"26","若竹作業所","社会福祉法人江東楓の会","江東区","03-3648-1053","輿水","http://www.kaede.or.jp/","wakatakedondon@kaede.or.jp","コンテナ洗浄・バット洗浄","その他","50","100","１日","４０円/１個","発注元による回収希望","","","",""
"27","就労継続支援B型事業所TODAY南品川","リアルカンパニー株式会社","品川区","03-6260-0862","大滝","http://realcompany.jp/","todayminamishinagawa@gmail.com","ポスティング","その他","500","1000","3日間","戸建1件5.5円集合1件3.2円","自力での納品可","無","無","有","品川区内・近隣市区町村のポスティングを行います。"
"28","福祉工場しながわ","品川総合福祉センター","品川区","03-5460-8601","石川","http://www.shinafuku.com/","koujoe@shinafuku.org","骨壺/分骨壺","その他","1","応相談","10日","1850～5500円","自力での納品可","無","無","有","分骨壺から7号壺までのセット価格です。壺単体でも承ります。"
"29","就労継続支援B型ガーデン","社会福祉法人げんき","品川区","03-3474-2515","伊藤","https://swc-genki.org/","place@swc-genki.org","スキャニング作業紙書類の電子化","その他","応相談","A４用紙2000枚（自動読み取り可能な場合）","1か月（ご依頼内容により変動有）","10円/枚12円/枚（カラー）","発注元による回収希望","無","無","有","紙ベースの書類をCDR等にして納品します"
"30","かもめ第三工房","社会福祉法人福栄会","品川区","03-5435-1808","勝亦","http://www.fukueikai.or.jp","kamome3@fukueikai.or.jp","シーツ等のクリーニング","その他","５０枚～","１００枚程度","約７日～     土・日・祝含まず","１５０円～","自力での納品可","無","有","無","区立保育園のシーツ等、洗濯をしています。集配については隣接区は可能です。ご相談ください。"
"31","かもめ第二工房","社会福祉法人福栄会","品川区","03-6429-8401","渡辺","http://www.fukueikai.or.jp/","kamome2@fukueikai.or.jp","受注作業","その他","20000枚","20000枚","5日間","2円／枚","自力での納品可","無","有","有","ちらしの折り込み"
"32","ブレス学芸大学","社会福祉法人みきの会","目黒区","03-5721-6516","","http://www.mikinokai.jp","breath-gakudai@lagoon.ocn.ne.jp","電気部品組立","その他","","1000","５日","１円～/１工程","発注元による回収希望","無","無","有","数量、納期等はご相談下さい。"
"33","ブレス中目黒","社会福祉法人みきの会","目黒区","03-3716-1464","","http://www.mikinokai.jp","youlike@sight.ne.jp","キャンドル","その他","10","100","数に応じて相談","150円～2000円","発注元による回収希望","無","無","有","ノベルティ。記念品として最適です。"
"34","目黒区立かみよん工房","社会福祉法人目黒区社会福祉事業団","目黒区","03-3760-3059","山口","https://www.meguro-fukushi.jp/facilities/kamiyon/index.html","kamiyon@comet.ocn.ne.jp","メール便仕分け","その他","要相談","5000枚","3日","1．5円～/1工程","自力での納品可","無","無","有",""
"35","目黒区立目黒本町福祉工房","社会福祉法人いたるセンター","目黒区","03-3714-0514","五木田","http://itarucenter.com/meguro/index.html","meguro@itarucenter.com","干支土鈴","その他","1","100","6か月","８５０円","自力での納品可","有","有","有","年始の日本伝統の十二干支の土鈴を制作しています。贈答品としてご注文いただいております。"
"36","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","プラスチック製品等の組込、検品、バリ取りほか","その他","","要相談","要相談","１工程/１円","自力での納品可","無","無","有","納期については、相談可。"
"37","さわやかワークセンター","社会福祉法人大田幸陽会","大田区","03-5747-5670","","http://www.ota-koyokai.or.jp","sawayakaws@image.ocn.ne.jp","使用済コピー紙の仕分","その他","１枚","5000枚","1年間","8000円/回","自力での納品可","無","有","無","庁舎内の使用済コピー紙を回収しホチキス取り用紙の向きを揃える。丁寧に作業をします。"
"38","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","箱の組み立て","その他","1000個","10000個","1～2週間程度","要相談","発注元による回収希望","無","無","有","化粧品箱等の組立実績あり。出来上がり後の検品も重視しています。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"39","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","メール便・ポスティング","その他","10通（メール便）","1000部（ポスティング）","10日","メール便18円/通・ポスティング4円/部","発注元による回収希望","無","無","有",""
"40","にこにこみやさか","非営利活動法人ワーカーズコープ","世田谷区","03-6413-7585","","http://nikonikomiya.roukyou.gr.jp","nikonikomiya@roukyou.gr.jp","水引","その他","1","10","7日間","未定","発注元による回収希望","無","無","有","アクセサリーとして、又ポチ袋として制作をしているので贈答用としても使えます。"
"41","にこにこみやさか","非営利活動法人ワーカーズコープ","世田谷区","03-6413-7585","","http://nikonikomiya.roukyou.gr.jp","nikonikomiya@roukyou.gr.jp","ハワイアンリボン","その他","1","2","14日間","700～800円","発注元による回収希望","無","無","有","ネームホルダーやストラップとして制作しています。"
"42","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","缶バッチ・キーホルダー作成","その他","500","2000","1～2週間","8～15円","発注元による回収希望","無","無","有","缶バッチ用プレス機あり"
"43","世田谷区立砧工房","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3417-4604","田中","http://ns2.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta@ikuseikai-tky.or.jp","クーポン等ホチキス留め","その他","","3000セット","5日間","1円（1セット）","発注元による回収希望","","","有","点数等ご相談に応じます。"
"44","ローランズプラス2","一般社団法人ローランズプラス","渋谷区","03-6434-0607","佐藤","https://www.floran-jp.com/harajuku/","info@floran-jp.com","生花アレンジメント","その他","1","未定","4日","3000円～","自力での納品可","無","有","有","開店のお祝いやお誕生日など様々なシーンにお使い頂けます。詳細は、HPからご確認頂けます。数量が多い場合は事前にご相談下さい。"
"45","ローランズプラス2","一般社団法人ローランズプラス","渋谷区","03-6434-0607","佐藤","https://www.floran-jp.com/harajuku/","info@floran-jp.com","観葉植物","その他","1","未定","4日","10000円～","自力での納品可","無","無","有","ギフト以外に、ご自宅への配送も承っております。詳細はHPからご確認頂けます。"
"46","ローランズプラス2","一般社団法人ローランズプラス","渋谷区","03-6434-0607","佐藤","https://www.floran-jp.com/harajuku/","info@floran-jp.com","生花・造花のコサージュ","その他","5","未定","7日","１つ1000円～","自力での納品可","無","無","有","パーティーなどイベント用のコサージュを一つひとつ丁寧に心を込めておつくりします。"
"47","ワークささはた","特定非営利活動法人あさのはネットワーク","渋谷区","03-3376-8924","菱木","http://worksasahata.com/","sasahata-1@asanoha-net.com","チラシ折り・シール貼りホチキス留","その他","3000部","100000部","10日","1円～","発注元による回収希望","無","無","有",""
"48","ワークセンターひかわ","ＮＰＯ法人渋谷神宮前","渋谷区","03-6712-5120","野崎克己","http://www.workcenter-hikawa.org/","hikawa@workcenter-hikawa.org","缶バッジ製造","その他","相談","相談","相談","１個/４５０円～","自力での納品可","無","有","有","単価は量と納期によります。"
"49","ル・ピュル","特定非営利活動法人ネットワーク豊友","豊島区","03-6905-8005","梁","","nwh-lepur@tiara.ocn.ne.jp","ゴミ袋の販売・配達","その他","1００冊","３０００冊","5日","未定","自力での納品可","無","有","有","ゴミ袋を2０リットル～９０リットルの幅広い品揃えで豊島区を中心に販売・配達いたします。"
"50","ワークインあすか","特定非営利活動法人北区精神を守る家族会飛鳥会","北区","03-3910-7550","松岡","","work-in-asuks@bz04.plala.or.jp","屋外、屋内清掃","その他","","","","","","無","有","有","区や企業と契約を結び、決められた時間数を行っている。"
"51","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","箱折り","その他","500","2000","作業日数1日以降","10円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"52","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","両面テープ貼り","その他","500","5000","作業日数1日以降","5円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"53","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","カシメ","その他","1000","5000","7日間","0.95円（応相談）","自力での納品可","無","無","有","プレートの大きさ、種類により仕上がり個数に差が出るため応相談"
"54","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","ポスティング","その他","500","2000","２日","５円/枚","自力での納品可","無","無","有","練馬区内のポスティングを行っています。"
"55","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","チラシ折り","その他","1","10万","10日間","0.3円～","発注元による回収希望","無","無","有","状況により、短納期にも対応が可能です。お気軽にご相談ください。"
"56","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","差し込み","その他","1","10万","10日間","0.3円～","発注元による回収希望","無","無","有","様々な内容に対応が可能です。ぜひご相談ください。"
"57","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","缶バッジ製作","その他","要相談","300","１日","６３円～","自力での納品可","無","有","無","キャンペーン、記念品、販促等"
"58","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","クリーニング","その他","フェイスタオル200枚","フェイスタオル500枚","１週間","1枚当たり20円","自力での納品可","無","無","無",""
"59","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","花苗","その他","","800","","100~","自力での納品可","有","","有","区立公園花壇の植え替えなども行っています。"
"60","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","花壇植栽・管理","その他","","","半日～２日","面積・植栽花個数による","自力での納品可","","","有","公園・公共施設・老人ホーム等の花壇植替え・店舗等の年間を通じての花壇管理を行っています。（年間管理は花の植栽も含みます）"
"61","あさひ","株式会社ビジネスパートナーズ","葛飾区","03-3826-6075","","https//www.asahi-bp.co.jp/","asahi@dynam.co.jp","ボタン加工・検品","その他","1000","10000","10日","3～8円／個","発注元による回収希望","無","無","有","ハンドプレス機2台で2～4ヶ所のボタンの加工をし、検品後納入。"
"62","水元そよかぜ園","社会福祉法人手をつなぐ福祉会","葛飾区","03-3607-5656","","http://tefuku.or.jp/","soyokaze@tefuku-mizumoto.jp","プラスチック組み立て","その他","未定","5日間","未定","自力での納品可","","","","","民間"
"63","水元そよかぜ園","社会福祉法人手をつなぐ福祉会","葛飾区","03-3607-5656","","http://tefuku.or.jp/","soyokaze@tefuku-mizumoto.jp","ラムネビン組み立て","その他","６００本","１日","５０円／ケース","発注元による回収希望","","","","","民間"
"64","エルムワークメイト","楡の木会","江戸川区","03-6458-9511","菅原","","nirenoki@mbe.nifty.com","受注業務","その他","50","500","５日","要相談","発注元による回収希望","無","無","有","請求書、各種お知らせ、カタログ、テキスト等のセット組み等受注実績あります。"
"65","江戸川区立障害者就労支援センター","特定非営利活動法人自立支援センターむく","江戸川区","03-5622-6050","鈴木","https://www.city.edogawa.tokyo.jp/e041/kuseijoho/gaiyo/shisetsuguide/bunya/kenkofukushi/fukushi/shogaishashuro.html","info@shuroushien-muku.org","ﾌﾗﾜｰｱﾚﾝｼﾞﾒﾝﾄ","その他","応相談","応相談","1週間程度","35本以上の季節の花籐製25ｃｍ円形花かご","自力での納品可","無","有","有",""
"66","アポイント","株式会社ハートエース","八王子市","042-649-5012","","http://www.takenet.or.jp/~ace/appoint/","heartace.appoint@gmail.com","部品の加工","その他","1個","500個","5日","発注元の条件による","自力での納品可","無","無","有","納期、数量は調整可能です。"
"67","デイサービスTRY","社会福祉法人もくば会","八王子市","042-634-9067","佐竹","https://mokubakai.or.jp/","try@mokubakai.or.jp","ポスティング","その他","1000","1000","要相談","要相談","自力での納品可","無","有","無","八王子市の市議会議員便りを、年間5回、指定された郵便局、銀行、コンビニエンスストアに配布。エリアは市内のみでの対応となります。"
"68","ひゅーまにあ八王子","株式会社チャレンジドジャパン","八王子市","042-646-0536","長井","https://ch-j.jp/","humania_hachioji@ch-j.jp","メール便仕分け","その他","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","無",""
"69","ふきのとう","社会福祉法人蕗の会","八王子市","042-667-4158","清水","","fukinokaifukinoto@yahoo.co.jp","木工製品","その他","１個","３０個","１か月間","330円/個","発注元による回収希望","無","無","有","手のひらサイズの檜の木工製品「ちょー気持ちいい」です。皆でつるつるすべすべに磨き上げ、市内で生まれてくる赤ちゃんへのギフトに選ばれました。"
"70","プレワーク","特定非営利活動法人わかくさ福祉会","八王子市","042-686-0325","立川伸吾","https;//wakakusaf.or.jp","prework@wakakusaf.or.jp","部品管理","その他","","","応相談","","発注元による回収希望","","","有","電子部品を300アイテム預かりつつ、指示のあった通り出荷の準備を行う。また、追加部品など入荷処理データを作成し、部品管理も行っている。"
"71","プレワーク","特定非営利活動法人わかくさ福祉会","八王子市","042-686-0325","立川伸吾","https;//wakakusaf.or.jp","prework@wakakusaf.or.jp","チラシ計数、発送","その他","","","応相談","1工程1.5円","自力での納品可","","有","有","市内の小中学校向けに、各種案内のチラシを枚数指定で仕分けをし、箱にまとめ発送の準備まで行い依頼もとに納品した。"
"72","リーフ","株式会社ピーライフ","八王子市","042-629-9602","原","https://www.peaceful-life.jp/","info@peaceful-life.jp","部品の組立て","その他","","","1週間","工程数による","発注元による回収希望","無","無","有","ハーネス配線部品の組立て業務の継続した受注実績あり。自力での納品も可能。"
"73","レストランあさかわ","特定非営利活動法人あさかわ","八王子市","042-667-1771","","","","ハンドベル演奏","その他","1","1","30","30000円","自力での納品可","無","有","有","パーティーや開会式などで演奏します。"
"74","高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-662-7441","岡本","https://www.supporttakao.or.jp/","takao.1988.4.11@ae.wakwak.com","チラシなどのポスティング","その他","100","400","5日間","応相談","自力での納品可","無","無","有",""
"75","八王子障害者総合支援センターとことこ","社会福祉法人もくば会","八王子市","042-668-8848","佐藤","","tokotoko@lime.ocn.ne.jp","労役・業務委託作業","その他","10食","","12ヵ月・月締め","朝食250円昼・夕食450円","自力での納品可","","","有","福祉系の通所施設・ＧＨ等への配食業務"
"76","いちょう工房そら","社会福祉法人八王子いちょうの会","八王子市","042-627-0079","大村","","ityou4sora@kna.biglobe.ne.jp","ポスティング","その他","100","300","１日","4","発注元による回収希望","無","無","有",""
"77","ひのき工房","社会福祉法人蕗の会","八王子市","042-667-2158","依田","https://www.hinokikobo.com/","hinoki2158@yahoo.co.jp","リサイクル事業","その他","40","58","応相談","１日","自力での納品可","無","無","有",""
"78","めだか販売店","株式会社あやめ会","八王子市","042-649-4410","林","https://www.ayamekai.co.jp/","ayamekai@circus.ocn.ne.jp","パルダリウム","その他","1個","20個","1ヵ月","10000円～","自力での納品可","無","無","有","開店・開所祝いなどに花を贈る代わりに、水草を贈ってみては。手入れも霧吹きで水を吹きかけるだけで非常に簡単です。"
"79","ピアわかくさ","社会福祉法人マインドはちおうじ","八王子市","042-631-9404","","http://mindhachioji.org/","lei03416@nifty.ne.jp","物品配達・買い物同行","その他","","応相談","応相談","応相談","自力での納品可","無","無","有","八王子市内への配達業務。1件20ｋｇ以上の重たいものについては応相談。買い物は八王子駅周辺地域で購入可能なものに限ります。"
"80","かまどっちゃ","特定非営利活動法人ここかまど","八王子市","042-621-0541","樋口","https://cocokamado.org/","cocohouse@tiara.ocn.ne.jp","ポスティング","その他","2000部","5000部","1か月","1枚3円","発注元による回収希望","無","無","有",""
"81","かまどっちゃ","特定非営利活動法人ここかまど","八王子市","042-621-0541","樋口","https://cocokamado.org/","cocohouse@tiara.ocn.ne.jp","公園清掃","その他","1か所","3ヶ所","1か月","1か所1か月1回あたり2900円","","無","無","有",""
"82","まこもっちゃ","特定非営利活動法人ここかまど","八王子市","042-621-0541","板垣","https://cocokamado.org/","cocohouse@tiara.ocn.ne.jp","ゴルフ場整備","その他","","","","1回８ホール10000円","","無","無","有","８ホールを週３回作業は、目土（穴を埋めて整備する）作業。雨天中止"
"83","ワークステーション立川","社会福祉法人東京リハビリ協会","立川市","042-521-1234","緑川","http://www.trg.jp","ma01@trg.jp","寝具類のクリーニング","その他","","1日当たり1万点","回収2日後納品","シーツ：90～200円枕ｶﾊﾞｰ：25～35円掛布団：～3000円","自力での納品可","有","有","有",""
"84","立川リハビリ","社会福祉法人東京リハビリ協会","立川市","042-521-1234","緑川","http://www.trg.jp","ma01@trg.jp","寝具類のクリーニング","その他","","1日当たり1万点","回収2日後納品","シーツ：90～200円枕ｶﾊﾞｰ：25～35円掛布団：～3000円","自力での納品可","有","有","有",""
"85","ワークセンターけやき","社会福祉法人武蔵野","武蔵野市","0422-54-50960422-54-5051","","http://fuku-musashino.or.jp/","keyaki@fuku-musashino.or.jp","切り文字、看板、横断幕、懸垂幕などの各種サイン","その他","1枚","応相談","5日～応相談（内容による）","お見積り","自力での納品可","有","有","有",""
"86","三鷹ひまわり第一共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-76-0388","東長田","http://m-himawari.net/","m-hmwr1@m-himawari.net","東都生協チラシセット丁合チラシセット差し込み","その他","25.000部","25.000部","7日間","6円/部","発注元による回収希望","無","無","有","機械を使っての丁合作業、手作業でチラシの差し込みを行っています。"
"87","三鷹ひまわり第一共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-76-0388","東長田","http://m-himawari.net/","m-hmwr1@m-himawari.net","カードケース受注","その他","指定なし","15.000枚","一か月間","5円/枚","発注元による回収希望","無","無","有","資材の受注からB型への引き渡し、B型からの引き取り後の管理を行っています。"
"88","三鷹ひまわり第一共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-76-0388","関","http://m-himawari.net/","m-hmwr1@m-himawari.net","マイクの部品組み立て","その他","1個","5000個","10日間","0.8円/1個","発注元による回収希望","無","無","有","マイクの一部組み立てを行っています。薬品を使用し接着作業を行っています。機械部品の組み立て為丁寧かつ正確な作業を行います。"
"89","三鷹ひまわり第二共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-48-5240","","http://m-himawari.net","m-hmwr2@m-himawari.net","箱・袋詰め","その他","1000個","3000個","30日間","3円/個","発注元による回収希望","無","無","有","納期や単価については、作業内容によりますのでご相談下さい。"
"90","いいあさファーム","社会福祉法人年輪","青梅市","0428-85-8676","","http://www.nenrin-sw.org/","iiasafarm@nenrin-sw.org","資源回収","その他","10名","2名","","1000円/1人工賃","自力での納品可","無","無","有","自治会との協力連携"
"91","あきしま福祉作業所","社会福祉法人昭島市社会福祉協議会","昭島市","042-541-0742","上之園あゆみ","http://www.acsw.jp/","fuku-syocyou@acsw.or.jp","シール貼","その他","100","5000","1日","1円～/枚","発注元による回収希望","無","無","有","キャンディーの袋、ペットボトル等へのシール貼り"
