"年・死因別","解剖数(件)","総数／男(件)","総数／女(件)","0～4／男(件)","0～4／女(件)","5～9／男(件)","5～9／女(件)","10～14／男(件)","10～14／女(件)","15～19／男(件)","15～19／女(件)","20～24／男(件)","20～24／女(件)","25～29／男(件)","25～29／女(件)","30～34／男(件)","30～34／女(件)","35～39／男(件)","35～39／女(件)","40～44／男(件)","40～44／女(件)","45～49／男(件)","45～49／女(件)","50～54／男(件)","50～54／女(件)","55～59／男(件)","55～59／女(件)","60～64／男(件)","60～64／女(件)","65以上／男(件)","65以上／女(件)","65～69／男(件)","65～69／女(件)","70～74／男(件)","70～74／女(件)","75～79／男(件)","75～79／女(件)","80～84／男(件)","80～84／女(件)","85以上／男(件)","85以上／女(件)","年齢・性別不詳"
"4溺死","77","46","31","","","","","","","","","1","","1","","","","","","","","2","1","","1","5","","5","1","32","28","11","5","8","9","8","7","3","4","2","3",""
"5煙・火災及び火炎による障害","22","13","9","","","","","","","","","","1","","","","","","","","","","","1","","","","2","","10","8","","3","2","","6","","","4","2","1",""
"6窒息","44","27","17","2","","","","","","","","","","","","1","","1","","3","1","","1","2","2","3","4","4","2","11","7","2","3","4","","3","3","1","1","1","",""
"7中毒","46","27","19","","","","","","","","","1","","2","","1","2","3","","3","4","1","2","","2","6","3","1","1","9","5","4","2","1","","3","1","1","1","","1",""
"催眠剤・向精神薬等","16","9","7","","","","","","","","","","","1","","","1","1","","2","3","","","","2","2","1","","","3","","2","","","","1","","","","","",""
"麻薬・精神変容薬［幻覚発現薬］","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","","","","","","","",""
"アルコール","24","17","7","","","","","","","","","1","","1","","1","","2","","1","1","1","2","","","3","2","1","","6","2","2","1","1","","2","","1","","","1",""
"一酸化炭素等のガス・蒸気","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他","3","1","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","1","","1","","",""
"8その他","67","49","18","1","","","","","","","","","","","","1","","","","1","","2","1","5","","5","2","11","2","23","13","10","1","6","1","3","5","2","5","2","1",""
"凍死","24","13","11","","","","","","","","","","","","","","","","","","","","1","1","","1","2","3","2","8","6","3","","2","","1","3","1","3","1","",""
"鈍器・鈍体","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"圧死","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"機械","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"熱傷","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","1","","","","",""
"爆発","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"感電","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他","40","34","6","1","","","","","","","","","","","","1","","","","1","","2","","3","","4","","8","","14","6","7","1","3","1","2","1","1","2","1","1",""
"その他及び不詳の外因死（９～１１）","121","68","53","","","","","","","","","2","2","3","5","3","5","1","2","7","3","12","5","10","2","6","4","4","2","20","23","7","3","6","4","4","9","1","2","2","5",""
"9自殺","36","17","19","","","","","","","","","","1","3","2","2","2","1","1","1","1","2","2","3","1","2","1","","","3","8","2","","1","2","","3","","1","","2",""
"催眠剤・向精神薬等","15","8","7","","","","","","","","","","1","2","1","1","2","","1","1","","1","2","2","","1","","","","","","","","","","","","","","","",""
"麻薬・精神変容薬［幻覚発現薬］","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他の薬物・薬剤・製剤","4","2","2","","","","","","","","","","","","1","","","","","","","1","","","","1","","","","","1","","","","","","","","1","","",""
"農薬","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","",""
"その他の化学物質・有害物質による中毒","4","3","1","","","","","","","","","","","1","","1","","","","","","","","1","","","","","","","1","","","","1","","","","","","",""
"縊死","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"溺死","6","2","4","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","3","1","","1","","","2","","","","1",""
"銃器","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"焼身・熱傷","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","",""
"鋭器","2","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","1","","","","","","",""
"飛降","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"交通機関","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他（感電を含む）","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1",""
"10他殺","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11その他及び不詳の外因","85","51","34","","","","","","","","","2","1","","3","1","3","","1","6","2","10","3","7","1","4","3","4","2","17","15","5","3","5","2","4","6","1","1","2","3",""
"中毒","40","22","18","","","","","","","","","2","1","","3","1","2","","1","5","1","5","1","4","1","1","2","1","2","3","4","1","","2","1","","3","","","","",""
"溺死","14","5","9","","","","","","","","","","","","","","","","","","1","1","2","","","1","1","","","3","5","","2","1","1","1","1","1","1","","",""
"交通機関","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他","31","24","7","","","","","","","","","","","","","","1","","","1","","4","","3","","2","","3","","11","6","4","1","2","","3","2","","","2","3",""
"12不詳の死","145","97","48","5","2","","","","","","","2","","2","2","2","2","4","","8","2","4","8","7","10","13","2","7","","43","20","19","3","9","2","5","5","7","2","3","8",""
"人骨・人体部分","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"不詳","145","97","48","5","2","","","","","","","2","","2","2","2","2","4","","8","2","4","8","7","10","13","2","7","","43","20","19","3","9","2","5","5","7","2","3","8",""
"その他","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
