"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"11","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","手帳カバー付け","事務用品","500","10000","作業日数1日以降","10円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"12","練馬区立かたくり福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-5387-4610","上野","https://www.neri-shakyo.com/","","和紙・ちりめん商品（祝箸、ぽち袋、ふせん等）","事務用品","10セット","100セット","10日","200～500円","自力での納品可","無","有","有","日本伝統の和紙や布で作成した小物は、海外の方へのお土産や記念品等にもご活用いただけます。また、希望の金額に応じて詰め合わせることができます。"
"13","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","手すきはがき等の作製","事務用品","1","100","5日間","100円～250円/枚","発注元による回収希望","無","無","有","記念品"
"14","エルムワークメイト","楡の木会","江戸川区","03-6458-9511","菅原","","nirenoki@mbe.nifty.com","受注業務","事務用品","10","5000","５日","要相談","発注元による回収希望","無","無","有","事務用品全般のセット組、梱包、箱詰め等臨機応変に対応致します。"
"15","HACHIOJIFARMER'SKITCHENふぁむ","(株)グッドホーム","八王子市","042-659-1133","登坂","https://www.kcfam.com/","info@kcfam.com","肉じゃが・里芋の煮物","事務用品","50","50","7","応相談","自力での納品可","無","無","無",""
"16","らいふ結","特定非営利活動法人結の会","八王子市","042-667-0039","宮崎","http://npoyui.com","npoyui@ybb.ne.jp","和紙はがきセット（5枚入）","事務用品","5セット","100セット","30日","250円／1セット","自力での納品可","無","無","無",""
"17","クレヨンハウス","特定非営利活動法人くるみ会","八王子市","042-621-1344","酒本","","npo-kureyon@sound.ocn.ne.jp","ポチ袋","事務用品","1","50","7日","200円","発注元による回収希望","無","無","有",""
"18","森のぱんやさん","特定非営利活動法人みんなのひろば","八王子市","042-673-7827","石井","https://npohiroba.com","minnanohiroba@world.ocn.ne.jp","ポストカード","事務用品","20","300","1週間","100円","自力での納品可","","","","納品方法は提供量と配達距離によって回収をお願いする場合があります"
"19","すまいる工房","一般社団法人大樹","八王子市","042-649-3373","伊東?","","smilekobo115@gmai.com","デコパッチマグネット","事務用品","20個","200個","2週間～4週間","１個１１０円","自力での納品可","有","無","有","フランス製等のお洒落なペーパーを使用したマグネットです。（ホワイトボード等に使用）"
"20","ミナモ","一般社団法人花みずき","八王子市","042-686-1689","齋藤","https://hanamizuki-b.jimdofree.com/","minamo@iaa.itkeeper.ne.jp","ボールペン組み立て","事務用品","","2000","2日間","$1 ","自力での納品可","無","無","無",""
"21","光の家栄光園","東京光の家","日野市","042-581-2340","山本","http://www.hikarinoie.org/","eikoh@hikarinoie.org","メモ帳、ノート等の製作","事務用品","10冊","1000冊","20日間","100円～700円","自力での納品可","有","無","有","社名や団体名を入れられます。ノベルティに対応。行事景品や記念品にも適しています。"
"22","ぶどうの郷","特定非営利活動法人武蔵野の里","東久留米市","042-471-6388","","http://musashinonosato.com/","budo@aroma.ocn.ne.jp","メモ症作成","事務用品","20","60","30日間","120円/冊","自力での納品可","無","無","有","利用者が描いた表紙イラストを使用。イラスト内容を指定できます"
"23","こすもす福祉作業所","社会福祉法人あきる野市社会福祉協議会","あきる野市","042-558-2566","大原","http://www.akiruno-shakyo.or.jp","cosmos@akiruno-shakyo.or.jp","アルバム背表紙抜き作業","事務用品","内容による","内容による","内容による","0.375円/1枚～","発注元による回収希望","無","無","有","作業内容等を考慮して受注をしております。納期までには仕上げることは可能です。ご相談ください。"
