"種別","名称","郵便番号","所在地","緯度","経度","座標系","電話番号"
"老人福祉センターB","六木悠々館","121-0052","足立区六木3-39-5-101","35.799755","139.839691","JGD2011","03-3629-1716"
"老人福祉センターB","竹の塚六月悠々館","121-0814","足立区六月2-26-3-101","35.785480","139.796295","JGD2011","03-3850-3494"
"老人福祉センターB","本木関原悠々館","123-0852","足立区関原1-21-11","35.764618","139.787170","JGD2011","03-3849-9735"
"老人福祉センターB","大谷田悠々館","120-0001","足立区大谷田1-1-2-101","35.776573","139.844925","JGD2011","03-3629-5460"
"老人福祉センターB","千住本町悠々館","120-0034","足立区千住5-6-2","35.754871","139.803604","JGD2011","03-3870-6221"
"老人福祉センターB","青井悠々館","121-0012","足立区青井5-11-40-101","35.776775","139.819687","JGD2011","03-3852-3750"
"老人福祉センターB","綾瀬悠々館","120-0005","足立区綾瀬3-17-9","35.764816","139.824570","JGD2011","03-3628-9908"
"老人福祉センターB","梅田悠々館","123-0851","足立区梅田6-26-1","35.767319","139.797562","JGD2011","03-3848-3421"
"老人福祉センターB","大谷田谷中悠々館","120-0001","足立区大谷田4-16-6","35.781040","139.838303","JGD2011","03-5697-3390"
"老人福祉センターB","押皿谷悠々館","123-0864","足立区鹿浜8-27-15","35.790096","139.765015","JGD2011","03-3857-4231"
"老人福祉センターB","加賀悠々館","123-0861","足立区加賀2-31-6-101","35.790623","139.760315","JGD2011","03-3857-4639"
"老人福祉センターB","新田悠々館","123-0865","足立区新田2-2-2","35.771782","139.738235","JGD2011","03-3912-3421"
"老人福祉センターB","入谷悠々館","121-0831","足立区舎人6-12-4-101","35.809635","139.773651","JGD2011","03-3855-1050"
"老人福祉センターB","神明悠々館","121-0057","足立区神明南2-6-19","35.787743","139.833435","JGD2011","03-5682-5089"
"老人福祉センターB","花保悠々館","121-0063","足立区東保木間1-25-4-101","35.790203","139.814301","JGD2011","03-3884-1229"
"老人福祉センターB","島根悠々館","121-0815","足立区島根4-19-1-101","35.781818","139.797516","JGD2011","03-3850-9966"
"老人福祉センターB","佐野悠々館","121-0053","足立区佐野2-43-5","35.788284","139.840012","JGD2011","03-3628-3277"
"老人福祉センターB","江南悠々館","120-0046","足立区小台2-4-18","35.756027","139.758408","JGD2011","03-3914-3427"
"老人福祉センターB","弘道悠々館","120-0013","足立区弘道2-16-1-101","35.768047","139.816360","JGD2011","03-3840-9354"
"老人福祉センターB","栗原北悠々館","123-0842","足立区栗原4-19-15","35.786865","139.784973","JGD2011","03-3899-8761"
"老人福祉センターB","栗島悠々館","121-0011","足立区中央本町4-5-2","35.776459","139.805557","JGD2011","03-3848-3471"
"老人福祉センターB","千住柳町悠々館","120-0032","足立区千住柳町12-5","35.753742","139.795959","JGD2011","03-3870-3490"
"老人福祉センターB","鹿浜いきいき館","123-0864","足立区鹿浜2-24-2","35.780472","139.749664","JGD2011","03-3853-5071"
"老人福祉センターB","桜花悠々館","121-0061","足立区花畑6-4-16","35.804981","139.817017","JGD2011","03-3850-7190"
