"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"17","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","封入・封緘","封入・封緘","","15000","20日","16円","自力での納品可","無","有","有","年3～4回法人内事業所3所にて大口受注しています"
"18","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","封入・封緘","封入・封緘","","3000","5日","7円～","自力での納品可","無","無","有","封入物1～10点くらいまで対応可能です。封入点数によって単価が変わります。"
"19","小石川福祉作業所","社会福祉法人佑啓会","文京区","03-3811-1431","","http://fgakusya.sakura.ne.jp/","fg.koishikawa@yukeikai.jp","DM封入、封緘","封入・封緘","300","10000","10日","未定","発注元による回収希望","無","無","有","具体的な数量、単価、納期に関しては発注時にご確認、ご相談させて頂きます。"
"20","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","チラシの封入","封入・封緘","1","800000","１ヶ月","１円","発注元による回収希望","無","無","有","多量のチラシの封入を行い、結束後出荷しています。"
"21","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","色紙","封入・封緘","1","5000","２週間","２．５円","発注元による回収希望","無","無","有","色紙をビニールに入れ、テープ止めした後、梱包して出荷しています。"
"22","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","DMの封入、封緘、ラベル貼り","封入・封緘","1000組","250000組","一週間～応相談","1.5円～/件","自力での納品可","無","無","有","チラシの封入、封緘、ラベル貼りまでを一貫して請け負っています。25万件の受注が可能です。単価や納期などお気軽にご相談ください。"
"23","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","印刷物の丁合、封入、封緘","封入・封緘","1万部","10万部","2日から10日","1工程につき\0.5～\1.5","発注元による回収希望","無","無","有","実績：チラシ仕分け、OPP袋への封入、封緘は定期的に受注、"
"24","すみだふれあいセンター福祉作業所","墨田区","墨田区","03-5600-2001","山本山崎","","hureaicent@city.sumida.lg.jp","ＤＭ等の封入・封緘","封入・封緘","1000","５００００通","1週間～半月","1通10円位","自力での納品可","無","有","有",""
"25","隅田作業所","特定非営利活動法人とらいあんぐる","墨田区","03-3616-3465","長濱","http://www.triangle.or.jp/","sumidasagyousyo@nifty.com","商品(消しゴム、お菓子などの封入)","封入・封緘","500","10000","7日","3円／1個","自力での納品可","無","無","有","商品の納品などは依頼元の納入品が希望ですが事業所車での納品の可能です"
"26","コム・オアシス","社会福祉法人おあしす福祉会","江東区","03-5690-5959","藤田","http://www.oasisfukushi.or.jp/","com@oasisfukushi.or.jp","軽印刷・DM発送作業等","封入・封緘","","２０００程度/日","応相談","５円","発注元による回収希望","","","有","地域の団体等の機関誌発送などの経験があります。現地での作業も可能です。ご相談ください。"
"27","のびのび共同作業所大河","のびのび福祉会","江東区","03-5634-8558","笹山","","taiga@saturn.dti.ne.jp","受遺中作業","封入・封緘","100","10000","５日","一工程一円","発注元による回収希望","無","無","有",""
"28","ゆめ工房北砂","社会福祉法人ゆめグループ福祉会","江東区","03-3644-0654","臼井","","yumekobo-kitasuna@yumegroup.or.jp","封入作業印刷物・マグネット等の封入・封緘","封入・封緘","応相談","応相談","応相談","1工程1円～","発注元による回収希望","無","無","有","定期的なものだけでなく、短納期の仕事にも対応可能です。ご相談ください。"
"29","若竹作業所","社会福祉法人江東楓の会","江東区","03-3648-1053","輿水","http://www.kaede.or.jp/","wakatakedondon@kaede.or.jp","DM封入・封緘・シール貼り","封入・封緘","1500","10000","２週間","１工程１円を基本に相談","発注元による回収希望","","","",""
"30","就労継続支援B型ガーデン","社会福祉法人げんき","品川区","03-3474-2515","伊藤","https://swc-genki.org/","place@swc-genki.org","資料セット・封入","封入・封緘","1500セット","応相談","10日間～","1工程1円～","発注元による回収希望","無","無","有","資料セット・封入として3300セット（対応日数10日）、シール貼りとして10000枚（対応日数10日）の注文をお受けしました"
"31","品川区立西大井福祉園","社会福祉法人福栄会","品川区","03-3777-0294","福島","","nisiooi@fukueikai.or.jp","チラシの折り込み","封入・封緘","１枚","３０００枚","２日間","１行程１円","発注元による回収希望","無","無","有","作業内容により納期がかわります。ご相談ください。"
"32","品川区立西大井福祉園","社会福祉法人福栄会","品川区","03-3777-0294","福島","","nisiooi@fukueikai.or.jp","シール貼り","封入・封緘","１枚","５０００枚","１日間","１枚１円","発注元による回収希望","無","無","有","作業内容により納期がかわります。ご相談ください。"
"33","かもめ第三工房","社会福祉法人福栄会","品川区","03-5435-1808","勝亦","http://www.fukueikai.or.jp","kamome3@fukueikai.or.jp","軽作業","封入・封緘","100~","５００程度","約７日～土・日・祝含まず","５円～","発注元による回収希望","無","無","有","作業内容によっては短納期も可能です。作業単価、納品方法についてもご相談に応じます。"
"34","ブレス学芸大学","社会福祉法人みきの会","目黒区","03-5721-6516","","http://www.mikinokai.jp","breath-gakudai@lagoon.ocn.ne.jp","DM封入","封入・封緘","","2000","３日","１円～/枚","発注元による回収希望","無","無","有","数量、納期等はご相談下さい。"
"35","ブレス学芸大学","社会福祉法人みきの会","目黒区","03-5721-6516","","http://www.mikinokai.jp","breath-gakudai@lagoon.ocn.ne.jp","シール貼り","封入・封緘","","2000","２日","１円/枚","発注元による回収希望","無","無","有","数量、納期等はご相談下さい。"
"36","ブレス中目黒","社会福祉法人みきの会","目黒区","03-3716-1464","","http://www.mikinokai.jp","youlike@sight.ne.jp","DM封入","封入・封緘","","2000","３日","１円～/枚","発注元による回収希望","無","無","有","数量、納期等はご相談下さい。"
"37","ブレス中目黒","社会福祉法人みきの会","目黒区","03-3716-1464","","http://www.mikinokai.jp","youlike@sight.ne.jp","シール貼り","封入・封緘","","2000","2日","1円/枚","発注元による回収希望","無","無","有","数量、納期等はご相談下さい。"
"38","めぐろ","一般社団法人ウェル","目黒区","03-3710-7770","","","meguro3104@mx52.tiki.ne.jp","封入封緘作業","封入・封緘","１００枚","10000枚","１週間","8円／枚","発注元による回収希望","無","無","有","封入封緘作業、切手貼り等手作業をやっています。納品については、車がないので発送ならば出来ます。"
"39","目黒区立かみよん工房","社会福祉法人目黒区社会福祉事業団","目黒区","03-3760-3059","山口","https://www.meguro-fukushi.jp/facilities/kamiyon/index.html","kamiyon@comet.ocn.ne.jp","宛名シール貼り","封入・封緘","要相談","5000枚","3日","1．5円～/1工程","自力での納品可","無","無","有",""
"40","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","印刷物の封入・封緘・梱包","封入・封緘","","要相談","要相談","1工程/1円","自力での納品可","無","無","有","短納期にも対応できます。"
"41","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","雑誌付録封入・コンサートちらし封入","封入・封緘","1000部","6000部","3週間","18円/部","発注元による回収希望","無","有","有","子供向け雑誌の付録封入、コンサートのプログラム封入、地域向け情報誌のポスティング"
"42","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","DM・チラシ等の封入","封入・封緘","10000枚","300000枚","1～2週間程度","3円/枚（要相談）","発注元による回収希望","無","無","有","プライバシーマーク取得により宛名が印字されているラベル貼りも可能。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"43","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","チラシ折り作業","封入・封緘","10000枚","300000枚","1～2週間程度","1円/枚（要相談）","発注元による回収希望","無","無","有","折った後の丁合や封入も可能です。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"44","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","分梱・封入・封緘・丁合セット","封入・封緘","1","50000","14日","活用事例13円／部","自力での納品可","有","有","有","７点封入封緘３０,０００セット正味10日"
"45","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","封入・封緘","封入・封緘","100部","1000部","3日","1点封入3円","発注元による回収希望","有","有","有",""
"46","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","封入・封緘・発送（封入物の印刷含む）","封入・封緘","１件","1000件","1ヶ月","要相談","自力での納品可","無","有","無","封入物や封筒の差出人・宛名印刷を含め封入封かん発送業務を承ります。"
"47","コイノニアかみきた","社会福祉法人泉会","世田谷区","03-5316-2251","越川","https://izumikai.jp/","koinonia@izumikai.jp","チラシ等の封入・封緘作業","封入・封緘","500","2000","1ヶ月","10","自力での納品可","無","無","無","1回だけの単発の発注も承ります"
"48","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","封入・封緘・発送","封入・封緘","500","10000","1～2週間","5～10円","発注元による回収希望","無","有","有","短納期にも対応可能です。"
"49","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","シール貼り","封入・封緘","500","10000","1～２週間","1～3円","発注元による回収希望","無","無","有","短納期にも対応可能です。"
"50","リバティ世田谷","特定非営利活動法人リンク・オブりばてぃ","世田谷区","03-6450-9970","田端","http://www.liberty-setagaya.jp/","liberty-setagaya@liberty-setagaya.jp","受注作業","封入・封緘","3000","5000","10～１４日","封入￥1/1枚封緘￥1.5/1枚","発注元による回収希望","有","有","有",""
"51","ワークランド・フレンドパーク","特定非営利活動法人S.U総合企画","世田谷区","03-5374-3895","成田","http://fc00020220170201.web3.blks.jp/","friendpark@za.wakwak.com","封入・封緘","封入・封緘","5000","10000","1日～2日","1円/枚","自力での納品可","無","無","無","作業工程や納品の方法は要相談でお願い致します。"
"52","喜多見夢工房","社会福祉法人せたがや樫の木会","世田谷区","03-3430-5400","甲斐","https://www.kashinokikai.net/","kitamifukusaku@drive.ocn.ne.jp","DM・チラシの封入、封緘","封入・封緘","","50000","4週間","2円/1点","発注元による回収希望","","","",""
"53","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","封入・丁合・封緘ラベル貼り","封入・封緘","1","10000","2日～5日間","1工程1円～","発注元による回収希望","無","有","有",""
"54","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","袋詰め","封入・封緘","500セット","3000セット","10日","1円～／1工程","発注元による回収希望","無","有","有","受注量・作業単価・引き取り・納品につきましてはご相談ください。少量でも可能な限りお引き受けします。"
"55","世田谷区立下馬福祉工房","社会福祉法人せたがや樫の木会","世田谷区","03-5712-5103","長見","https://www.kashinokikai.net/","shimouma-f.k@vesta.ocn.ne.jp","封入作業","封入・封緘","3000","10000","30日","","発注元による回収希望","無","無","有",""
"56","世田谷区立砧工房","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3417-4604","田中","http://ns2.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta@ikuseikai-tky.or.jp","新聞丁合い（チラシ7点）","封入・封緘","","1200部","2日間","0.5円（チラシ1点）","発注元による回収希望","","","有","丁合い点数等ご相談に応じます。"
"57","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","DM・チラシの封入、発送","封入・封緘","500枚","3000枚","7日間","10円/枚","発注元による回収希望","無","有","有","手作業ですが、OPP袋・封筒など、種別は問いません。"
"58","ワークささはた","特定非営利活動法人あさのはネットワーク","渋谷区","03-3376-8924","菱木","http://worksasahata.com/","sasahata-1@asanoha-net.com","チラシ・DM等封入作業(宛名シール・バルク分含む）","封入・封緘","3000部","100","2点封入・封緘2週間","6円(封入物によって変動有）","発注元による回収希望","無","無","有",""
"59","ワークセンターひかわ","ＮＰＯ法人渋谷神宮前","渋谷区","03-6712-5120","野崎克己","http://www.workcenter-hikawa.org/","hikawa@workcenter-hikawa.org","ダイレクトメール等","封入・封緘","相談","10000","１０日","１部/５円～","自力での納品可","無","有","有","単価は量と納期によります。"
"60","コロニーもみじやま支援センター","社会福祉法人東京コロニー","中野区","03-5318-9952","","http://colony.gr.jp/momijiyama/","asou@tocolo.or.jp","封入・封緘・区分、シール貼","封入・封緘","10000","20000","内容により1日～1箇月","丁合一点0.5～1.00円、封緘一点1.00～1.50","自力での納品可","無","有","有","DM封入、封緘、シール貼や。封緘機・折り機・結束機・計数機を備え、短納期や多量の仕事にも対応可能。Ｐマーク取得済。"
"61","ひまわり作業所","社会福祉法人済美会","杉並区","03-3333-9724","","https://www.seibikai.com/","hmshouan@pluto.plala.or.jp","印刷物の封入・封緘","封入・封緘","","10000部","2日","1円/1工程","自力での納品可","無","無","有","ＤＭ業者やポスティング業者から日常的に受注しており、宛名シール貼りなども可能です。"
"62","ワークショップ・かたつむり","社会福祉法人かたつむり会","杉並区","03-3381-4278","森","http://www.jcpa.net/kata/","kata@jcpa.net","ＤＭ封入・折込","封入・封緘","１０００枚","10000枚","３日","２円/１工程","自力での納品可","無","有","有",""
"63","E・G・B・A","（社福）豊芯会","豊島区","03-3915-9063","武岡","http://www.housinkai.or.jp","su-takeoka@housinkai.or.jp","封入・封緘","封入・封緘","100","10000","10日","1点5円前後","自力での納品可","無","有","有","広告類・会員向けDM等の発送"
"64","Ivy","（社福）豊芯会","豊島区","03-3915-9002","武岡","http://www.housinkai.or.jp","jobtr@housinkai.or.jp","封入・封緘","封入・封緘","500","10000","10日","1点5円前後","自力での納品可","無","有","有","広告類・会員向けDM等の発送"
"65","ル・ピュル","特定非営利活動法人ネットワーク豊友","豊島区","03-6905-8005","梁","","nwh-lepur@tiara.ocn.ne.jp","ＤＭ・チラシの封入や発送、宛名シール貼り等","封入・封緘","5００件","４０００件","5日","未定","自力での納品可","無","無","有","単価・納期についてはご相談ください。"
"66","ワークインあすか","特定非営利活動法人北区精神を守る家族会飛鳥会","北区","03-3910-7550","松岡","","work-in-asuks@bz04.plala.or.jp","宛名シール貼り","封入・封緘","","3000","1日","2円","自力での納品可","無","無","有","宛名や値段のシールを貼る"
"67","ワークハウスペガサス","社会福祉法人さざんかの会","北区","03-3903-3942","杉本","http://sazanka.info/","pegasus@hattatsu.or.jp","冊子・DM発送作業（各シール貼り、折り、丁合含む）","封入・封緘","1000件/日","5000件/日","1週間～","1工程1円～","発注元による回収希望","無","無","有","北区内の作業所ネットワークによる共同受注の実績あり。作業内容や納期、多い件数など先以外の条件でもご相談ください。"
"68","北区立たばた福祉作業所","東京都手をつなぐ育成会","北区","03-5907-5215","","http://www.ikuseikai-tky.or.jp/~iku-tabata/","tabata@ikuseikai-tky.or.jp","小物・封筒等の封入・封緘","封入・封緘","200","5000","１０日間","作業内容による","自力での納品可","無","無","有","作業内容によっては、短期納期が可能です。"
"69","王子福祉作業所","（社福）北区社会福祉事業団","北区","03-3919-9575","","http://kitajigyo.com/handicapped/oji.html","oji-fuku-sa@jcom.zaq.ne.jp","封入作業（ダイレクトメール・チラシ・冊子等）","封入・封緘","","30000枚/月","10日","2円/枚","発注元による回収希望","無","無","有",""
"70","王子福祉作業所","（社福）北区社会福祉事業団","北区","03-3919-9575","","http://kitajigyo.com/handicapped/oji.html","oji-fuku-sa@jcom.zaq.ne.jp","宛名・バーコード等シール貼り","封入・封緘","","10000枚/月","10日","2円/枚","発注元による回収希望","無","無","有",""
"71","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","チラシ封入","封入・封緘","要相談","1点封入2000枚","3日間","1枚3円","発注元による回収希望","無","無","有","詳細はご相談願います。"
"72","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","DM封入","封入・封緘","1000","10000","5","2","自力での納品可","無","有","有","オートコレーターにて最大10種を機械丁合できます。送付先の区分け等にもご対応できます。"
"73","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","封入・封緘","封入・封緘","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","各種封入・封緘、DM宛名貼り、袋詰め、箱折り等の実績があります"
"74","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","ＤＭ等封入・封緘ラベル貼り・シール貼り","封入・封緘","100枚","15000枚","5日間","相談","発注元による回収希望","無","無","有","複数点の丁合・封入可数量・納期要相談（結束機あり）"
"75","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","缶バッジ","封入・封緘","2000","20000","14日間","4円（応相談）","自力での納品可","無","無","有","分納可であれば万単位での受注可。"
"76","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","キーホルダー、アクリルバッジ","封入・封緘","2000","5000","10日間","8円（応相談）","自力での納品可","無","無","有","キーホルダーのプレートへのチェーン付け、ナス環、カニ環付け、クリッキー付も受注可。"
"77","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","軽作業","封入・封緘","100","2000","３日","１円/枚","自力での納品可","無","無","有","チラシ折り、封入、丁合など軽作業のお仕事は何でもご相談ください。"
"78","練馬区立かたくり福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-5387-4610","上野","https://www.neri-shakyo.com/","","ＤＭ・チラシの封入や宛名シール貼り等","封入・封緘","2000","20000","１週間","１工程１円～","自力での納品可","無","無","有","数量・金額・短納期等については、ご相談ください。"
"79","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","封入","封入・封緘","1","4万","10日間","0.3円～","発注元による回収希望","無","無","有","封入する内容によって、納期等異なります。記入した納期は封入のみの場合になります。"
"80","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","丁合、封入れ、封緘","封入・封緘","","週5000枚","１週間","２円／枚","自力での納品可","","","有","丁合機、紙折り機等を導入している為、数量に関してはご相談下さい。"
"81","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","封入封緘・発送代行","封入・封緘","5000","2点封入程度7000","１週間","２点封入５円","自力での納品可","無","有","有",""
"82","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","封入・封緘","封入・封緘","","3000セット","5日","封入点数による","自力での納品可","無","有","無",""
"83","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","受注作業","封入・封緘","","10000","２日～３日","応相談","自力での納品可","有","","有","行政から区民の方への通知の封入封緘10000件程度を２～３日で行いました。"
"84","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","封入封緘","封入・封緘","5000枚","30000枚","一週間","未定","発注元による回収希望","無","無","有",""
"85","あさひ","株式会社ビジネスパートナーズ","葛飾区","03-3826-6075","","https//www.asahi-bp.co.jp/","asahi@dynam.co.jp","封入封緘","封入・封緘","5000","10000","5日","5～10円／枚","発注元による回収希望","無","無","有","封入物の数により単価が異なる。"
"86","西水元福祉館","東京都知的障害者育成会","葛飾区","03-5660-2101","","http://www.ikuseikai-tky.or.jp/~iku-nishimizumoto/","mizumoto@ikuseikai-tky.or.jp","封入等","封入・封緘","1000個","5000個","５日間","５円/個","自力での納品可","無","無","有","学校教材の封入作業、商品の値札付け、シール貼り作業の実績があります。単価・期間・数量はご相談ください。"
"87","エルムワークメイト","楡の木会","江戸川区","03-6458-9511","菅原","","nirenoki@mbe.nifty.com","受注業務","封入・封緘","50","5000","５日","要相談","発注元による回収希望","無","無","有","キャラクターグッズ、紙製品全般、１００円ショップ製品等対応致します。"
"88","小岩作業所","NPO法人ワークあけぼの会","江戸川区","03-3671-8828","亀田","https://work-akebonokai-koiwasagyoujyo.com/","koiwa1sa@yahoo.co.jp","封入、封緘","封入・封緘","5000","10000","5日間","2円","自力での納品可","無","無","有","当法人は約40年に渡り、内職作業全般を受託しています。地域の取引先企業からの信頼と実績があります。"
"89","アポイント","株式会社ハートエース","八王子市","042-649-5012","","http://www.takenet.or.jp/~ace/appoint/","heartace.appoint@gmail.com","シール貼り等","封入・封緘","1枚","1000枚","5日","発注元の条件による","自力での納品可","無","無","有","納期、数量は調整可能です。"
"90","いちょう工房ぎんなんの家","社会福祉法人八王子いちょうの会","八王子市","042-651-5717","梅澤恵子","http://www.ichounokai.or.jp/","ginnannoie@tbu.t-com.ne.jp","受注作業","封入・封緘","","1000","有","","自力での納品可","無","無","有","1部に含む枚数、重量により異なる単価は異なる。"
"91","ハートエース","株式会社ハートエース","八王子市","042-649-2432","","","yamauchi.heartace@kind.ocn.ne.jp","ふせん・サンプル品の封入・封緘等","封入・封緘","3000","8000","4日間","未定","自力での納品可","無","無","有","化粧品のサンプルやその他のサンプル品の封入や封緘、付箋のセットやケースの組み立て・封緘作業など一通りの工程を行っています。"
