"番号","自治体名","住宅名","住宅の所在地","お問い合わせ先","電話番号","開設状況（開設予定時期）"
"21","江東区","銀木犀＜東砂＞","江東区東砂","銀木犀＜東砂＞","03-6666-0933","開設済"
"22","品川区","品川区高齢者向け優良賃貸住宅コムニカ","品川区旗の台","有限会社新井湯","03-3781-9926","開設済"
"23","品川区","ケアホーム西大井こうほうえん","品川区西大井","ケアホーム西大井こうほうえん","03-5718-1331","開設済"
"24","品川区","東急ウェリナ旗の台","品川区旗の台","東急ウェルネス株式会社シニア住宅事業部東急ウェリナ営業部","0120-51-7201","開設済"
"25","品川区","品川区立大井林町高齢者住宅","品川区東大井","品川区立大井林町高齢者住宅指定管理者社会福祉法人さくら会","03-5495-7080","開設済"
"26","品川区","そんぽの家Ｓ西大井","品川区西大井","そんぽの家Ｓ西大井","03-5746-6231","開設済"
"27","品川区","carna五反田","品川区西五反田","carna五反田","03-5496-0671","開設済"
"28","品川区","ケアホスピタル西小山","品川区小山","医療法人社団南七星会","03-6426-2616","開設済"
"29","大田区","そんぽの家Ｓ羽田","大田区羽田","そんぽの家Ｓ羽田","03-5735-5155","開設済"
"30","大田区","そんぽの家Ｓ西糀谷","大田区西糀谷","そんぽの家Ｓ西糀谷","03-5737-7061","開設済"
"31","大田区","ココファンレイクヒルズ","大田区南千束","株式会社学研ココファン","03-6431-1860","開設済"
"32","大田区","ココファン池上","大田区池上","株式会社学研ココファン","03-6431-1860","開設済"
"33","大田区","大田幸陽会ラナハウス西糀谷","大田区西糀谷","社会福祉法人大田幸陽会","03-3745-0808","開設済"
"34","大田区","アクセスホーム「庵」","大田区本羽田","株式会社アクセス","03-5713-0760","開設済"
"35","大田区","デンハウス大森山王","大田区山王","医療法人財団中島記念会","03-3775-7711","開設済"
"36","大田区","パティオ虹の里","大田区東馬込","山王物産株式会社","03-5746-0375","開設済"
"37","大田区","グレイプスウィズ大森西","大田区大森西","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"38","大田区","プライマリー山王","大田区山王","株式会社ケアサービスゆき","03-5737-5323","開設済"
"39","大田区","メディカルホームセントラル南馬込","大田区南馬込","社会医療法人若竹会","029-872-1771","開設済"
"40","大田区","ココファン仲池上","大田区仲池上","株式会社学研ココファン","03-6431-1860","開設済"
"41","大田区","くらら西馬込","大田区西馬込","株式会社ベネッセスタイルケア","0120-220-880","開設済"
"42","大田区","グランディナ嶺町","大田区鵜の木","株式会社ホームケア井上","03-3750-2077","開設済"
"43","大田区","ホームステーションらいふ羽田大鳥居","大田区萩中","株式会社らいふ","03-5769-7268","(R3.1.1)"
"44","大田区","ライブラリ大森東五丁目","大田区大森東","株式会社リビングプラットフォーム","011-633-7727","開設済"
"45","世田谷区","アンジェリカハイツ","世田谷区上用賀","社会福祉法人ふきのとうの会","03-3706-2545","開設済"
"46","世田谷区","そんぽの家Ｓ上野毛","世田谷区中町","そんぽの家Ｓ上野毛","03-5752-2121","開設済"
"47","世田谷区","そんぽの家Ｓ烏山","世田谷区北烏山","そんぽの家Ｓ烏山","03-5314-1020","開設済"
"48","世田谷区","そんぽの家Ｓ喜多見","世田谷区喜多見","そんぽの家Ｓ喜多見","03-5438-2030","開設済"
"49","世田谷区","祖師谷ケアパークそよ風","世田谷区祖師谷","株式会社ユニマットリタイアメント・コミュニティ","03-5413-8228","開設済"
"50","世田谷区","コーシャハイム千歳烏山サービス付き高齢者向け住宅10号棟","世田谷区南烏山","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"51","世田谷区","コーシャハイム千歳烏山サービス付き高齢者向け住宅9号棟","世田谷区南烏山","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"52","世田谷区","コーシャハイム千歳烏山サービス付き高齢者向け住宅11号棟","世田谷区南烏山","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"53","世田谷区","グランクレール成城","世田谷区成城","東急不動産株式会社","03-5458-0733","開設済"
"54","世田谷区","ぐりーん・さいとサルビア荘","世田谷区若林","株式会社生・活・計・画","03-5787-6153","開設済"
"55","世田谷区","小田急のサービス付き高齢者向け住宅レオーダ成城","世田谷区成城","小田急不動産株式会社","0120-72-3510","開設済"
"56","世田谷区","小田急のサービス付き高齢者向け住宅レオーダ経堂","世田谷区宮坂","小田急不動産株式会社","0120-72-3510","開設済"
"57","世田谷区","そんぽの家Ｓ上野毛駅前","世田谷区上野毛","そんぽの家Ｓ上野毛駅前","03-5752-1606","開設済"
"58","世田谷区","アイリスガーデン用賀","世田谷区玉川台","株式会社ニチイケアパレス","03-3291-8965","開設済"
"59","世田谷区","コーシャハイム千歳船橋フロント3号棟サービス付き高齢者向け住宅","世田谷区経堂","社会福祉法人正吉福祉会","042-331-2001","開設済"
"60","世田谷区","水車の家","世田谷区桜新町","水車の家","03-6413-6700","開設済"
"61","世田谷区","グランクレール世田谷中町ケアレジデンス","世田谷区中町","株式会社東急イーライフデザイン","03-5414-1900","開設済"
"62","世田谷区","グランクレール世田谷中町シニアレジデンス","世田谷区中町","東急不動産株式会社","03-5414-1706","開設済"
"63","世田谷区","リハビリホームまどか上祖師谷","世田谷区上祖師谷","株式会社ベネッセスタイルケア","0120-17-1165","開設済"
"64","世田谷区","グランドマスト八幡山","世田谷区八幡山","積和グランドマスト株式会社","03-5350-3900","開設済"
"65","世田谷区","グレイプス用賀","世田谷区用賀","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"66","世田谷区","四季菜館","世田谷区北烏山","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"67","世田谷区","ハーモニーライフ八幡山","世田谷区八幡山","メディカル・ケア・プランニング株式会社","03-6663-6036","開設済"
"68","世田谷区","グレイプス世田谷千歳台","世田谷区千歳台","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"69","世田谷区","グランドマスト成城北","世田谷区上祖師谷","積和グランドマスト株式会社","03-5350-3900","開設済"
"70","世田谷区","エイジフリーハウス南烏山","世田谷区南烏山","パナソニックエイジフリー株式会社","06-6906-2224","開設済"
"71","世田谷区","リアンレーヴ世田谷","世田谷区上用賀","株式会社木下の介護","03-5908-1310","開設済"
"72","世田谷区","グランドマスト赤堤","世田谷区赤堤","積和グランドマスト株式会社","03-5350-3900","開設済"
"73","世田谷区","グランジュール尾山台","世田谷区玉堤","シマダリビングパートナーズ株式会社","03-6275-1182","開設済"
"74","世田谷区","(仮称)ガーデンテラス砧公園","世田谷区大蔵","シマダリビングパートナーズ株式会社","03-6275-1182","(R2.6.1)"
"75","世田谷区","ココファン世田谷砧","世田谷区砧","株式会社学研ココファン","03-6431-1860","(R2.6.1)"
"76","中野区","かがやきの季中野南台","中野区南台","株式会社大京","03-3475-3901","開設済"
"77","中野区","コープみらいサービス付き高齢者向け住宅コープみらいえ中野","中野区中央","生活協同組合コープみらい福祉事業本部","048-755-9801","開設済"
"78","中野区","グランドマスト中野若宮","中野区若宮","積和グランドマスト株式会社","03-5350-3900","開設済"
"79","中野区","グランドマスト江古田の杜","中野区江古田","積和グランドマスト株式会社","03-5350-3900","開設済"
"80","杉並区","そんぽの家Ｓ井荻","杉並区井草","そんぽの家Ｓ井荻","03-5311-7880","開設済"
"81","杉並区","杉並区立和田サービス付き高齢者向け住宅","杉並区和田","杉並区役所都市整備部住宅課","03-3312-2111","開設済"
"82","杉並区","グランドマスト浜田山","杉並区成田西","積和グランドマスト株式会社","03-5350-3900","開設済"
"83","杉並区","パークウェルステイト浜田山","杉並区高井戸東","三井不動産レジデンシャルウェルネス株式会社","03-3246-3969","(R1.6.3)"
"84","杉並区","ハートランド・エミシア久我山","杉並区久我山","株式会社ワイグッドケア","0495-71-6551","(R2.4.1)"
"85","杉並区","（仮称）西荻北住宅","杉並区西荻","株式会社東日本福祉経営サービス","025-381-8256","(R3.2.1)"
"86","豊島区","グランドマスト椎名町","豊島区南長崎","積和グランドマスト株式会社","03-5350-3900","開設済"
"87","豊島区","グレイプスＪ東池袋","豊島区東池袋","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"88","豊島区","グランドマスト大塚駅前","豊島区北大塚","積和グランドマスト株式会社","03-5350-3900","開設済"
"89","北区","マストライフ古河庭園","北区西ヶ原","積和グランドマスト株式会社","03-5350-3900","開設済"
"90","北区","ロケアホーム北赤羽","北区浮間","工藤建設株式会社","045-911-5736","開設済"
"91","北区","ふれあいはうす昴","北区王子","株式会社園修会","03-6903-2372","開設済"
"92","北区","グランドマスト西ヶ原","北区西ヶ原","積和不動産株式会社","03-5350-3900","開設済"
"93","北区","ガーデンテラス赤羽","北区桐ヶ丘","シマダリビングパートナーズ株式会社","03-6275-1182","開設済"
"94","北区","サンセゾン・I","北区志茂","株式会社OHリアルエステート・マネジメント","03-6854-7494","開設済"
"95","板橋区","サンベストビレッジ浮間公園","板橋区舟渡","株式会社サンベスト東信","03-5918-6790","開設済"
"96","板橋区","そんぽの家Ｓ新高島平","板橋区高島平","そんぽの家Ｓ新高島平","03-5968-5181","開設済"
"97","板橋区","そんぽの家Ｓ板橋仲宿","板橋区仲宿","そんぽの家Ｓ板橋仲宿","03-5944-3481","開設済"
"98","板橋区","そんぽの家Ｓときわ台南","板橋区東新町","そんぽの家Ｓときわ台南","03-5964-5515","開設済"
"99","板橋区","プラチナ・シニアホーム板橋徳丸","板橋区徳丸","株式会社レイクス21","03-3564-1620","開設済"
"100","板橋区","グリーンヒルズときわ台","板橋区前野町","有限会社石田ビル","03-6763-8656","開設済"
"101","板橋区","そんぽの家Ｓ板橋若木","板橋区若木","そんぽの家Ｓ板橋若木","03-5922-3397","開設済"
"102","板橋区","サービス付き高齢者向け住宅みどりの杜","板橋区成増","サービス付き高齢者向け住宅みどりの杜","03-5383-2772","開設済"
"103","板橋区","そんぽの家Ｓ奈美木成増","板橋区赤塚","株式会社ナミキ賃貸営業部","03-5383-9333","開設済"
"104","板橋区","コーシャハイム向原7号棟（サービス付き高齢者向け住宅）","板橋区向原","社会福祉法人こうほうえん","03-5917-0753","開設済"
"105","板橋区","サービス付き高齢者向け住宅シニアコートビオラ","板橋区前野町","医療法人財団朔望会","03-3960-7211","開設済"
"106","板橋区","プラチナ・シニアホーム高島平","板橋区新河岸","プラチナ・シニアホーム高島平","03-5968-3337","開設済"
"107","板橋区","寿らいふときわ台","板橋区東新町","株式会社シノケンウェルネス","03-5777-0175","開設済"
"108","板橋区","寿らいふ高島平","板橋区新河岸","株式会社シノケンウェルネス","03-5777-0175","開設済"
"109","板橋区","小茂根さつきハイム","板橋区小茂根","有限会社城北メディコン","048-467-0881","開設済"
"110","板橋区","つき乃ひるね","板橋区坂下","株式会社こねこのて","03-5970-4337","(R2.4.27)"
"111","板橋区","ホームステーションらいふ蓮根","板橋区坂下","株式会社らいふ","03-5769-7268","開設済"
"112","板橋区","ゆいま～る高島平","板橋区高島平","株式会社コミュニティネット","0800-800-6779","開設済"
"113","板橋区","プラチナ・シニアホーム板橋徳丸弐番館","板橋区徳丸","プラチナ・シニアホーム板橋徳丸弐番館","03-6906-8103","開設済"
"114","板橋区","ホームステーションらいふ中板橋","板橋区弥生町","株式会社らいふ","03-5769-7268","開設済"
"115","板橋区","なごやかレジデンス板橋","板橋区徳丸","株式会社やまねメディカル","03-5201-3995","開設済"
"116","板橋区","グランドマスト板橋本蓮沼","板橋区蓮沼町","積和グランドマスト株式会社","03-5350-3900","開設済"
"117","板橋区","アミカの郷成増","板橋区三園","株式会社ＨＣＭ","03-3568-1171","(R1.10.1)"
"118","板橋区","ローベル西台","板橋区西台","株式会社東日本福祉経営サービス","025-381-8256","(R2.3.1)"
"119","板橋区","なごやかレジデンス板橋西台","板橋区西台","株式会社やまねメディカル","03-5201-3995","(R2.3.1)"
"120","練馬区","そんぽの家Ｓ江古田","練馬区旭丘","そんぽの家Ｓ江古田","03-5964-5880","開設済"
"121","練馬区","そんぽの家Ｓ大泉北","練馬区大泉町","そんぽの家Ｓ大泉北","03-5947-5657","開設済"
"122","練馬区","サービス付き高齢者住宅リンク平和台","練馬区平和台","株式会社ヒーロー","03-3937-1331","開設済"
"123","練馬区","そんぽの家Ｓ練馬土支田","練馬区土支田","株式会社ナミキ","03-5383-9333","開設済"
"124","練馬区","ココファン練馬関町","練馬区関町南","株式会社学研ココファン","03-6431-1860","開設済"
"125","練馬区","そんぽの家Ｓ上石神井","練馬区上石神井","そんぽの家Ｓ上石神井","03-5903-7522","開設済"
"126","練馬区","なごやかレジデンス練馬大泉","練馬区大泉町","株式会社やまねメディカル","03-6225-2138","開設済"
"127","練馬区","カーサルーデ","練馬区南田中","有限会社ライフ・ワン","03-3996-4958","開設済"
"128","練馬区","そんぽの家Ｓ平和台","練馬区平和台","そんぽの家Ｓ平和台","03-5922-5651","開設済"
"129","練馬区","はーとびれっじ豊島園","練馬区練馬","はーとびれっじ豊島園事務室","03-6914-8528","開設済"
"130","練馬区","なごやかレジデンス東大泉","練馬区東大泉","なごやかレジデンス東大泉","03-5905-3052","開設済"
"131","練馬区","ウエリスオリーブ武蔵野関町ケアレジデンス","練馬区関町南","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","開設済"
"132","練馬区","ウエリスオリーブ武蔵野関町","練馬区関町南","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","開設済"
"133","練馬区","グランドマスト練馬桜台","練馬区桜台","積和グランドマスト株式会社","03-5350-3900","(H30.5.1)"
"134","練馬区","イリーゼ練馬中村橋","練馬区中村南","ＨＩＴＯＷＡケアサービス株式会社","03-6632-7702","(H30.10.1)"
"135","練馬区","ヴィラージュリーシュ上石神井","練馬区上石神井","リーシュライフケア株式会社","03-6899-3270","(R1.10.1)"
"136","足立区","プラチナ・シニアホーム足立竹ノ塚","足立区西伊興","プラチナ・シニアホーム足立竹ノ塚","03-5838-0607","開設済"
"137","足立区","そんぽの家Ｓ王子神谷","足立区新田","そんぽの家Ｓ王子神谷","03-5902-3791","開設済"
"138","足立区","そんぽの家Ｓ足立保塚","足立区保塚町","そんぽの家Ｓ足立保塚","03-5851-0605","開設済"
"139","足立区","そんぽの家Ｓ綾瀬","足立区綾瀬","そんぽの家Ｓ綾瀬","03-3838-1202","開設済"
"140","足立区","そんぽの家Ｓ北綾瀬","足立区北加平町","そんぽの家Ｓ北綾瀬","03-5697-8526","開設済"
"141","足立区","そんぽの家Ｓ扇東","足立区扇","そんぽの家Ｓ扇東","03-5837-7031","開設済"
"142","足立区","そんぽの家Ｓ扇大橋","足立区扇","そんぽの家Ｓ扇大橋","03-5838-2607","開設済"
"143","足立区","憩いの家","足立区保木間","有限会社ウメモトコーポレーション","03-3880-9330","開設済"
"144","足立区","星風会サービス付き高齢者向け住宅カーサ・ラ・ヴィーダ保木間","足立区保木間","社会福祉法人星風会","0282-27-3969","開設済"
"145","足立区","じゃすみん扇","足立区扇","有限会社アウトソーじゃすみん扇","03-6807-1278","開設済"
"146","足立区","グループリビングあやせ","足立区谷中","社会福祉法人長寿村","03-3855-6363","開設済"
"147","足立区","サービス付き高齢者向け住宅かい花畑","足立区花畑","株式会社TSC","03-5719-5678","開設済"
"148","足立区","ガーデンフィールズ六木","足立区六木","株式会社明昭","03-5851-3810","開設済"
"149","足立区","ガーデンフィールズ花畑","足立区花畑","株式会社明昭","03-5851-3581","開設済"
"150","足立区","ガーデンフィールズとねり公園ＢｉｇＢｅｌｌ","足立区伊興","株式会社明昭","03-5851-3581","開設済"
"151","足立区","ようせいメディカルコート","足立区保塚町","ようせいメディカルコート","03-5831-0319","開設済"
"152","足立区","きららハウス花畑","足立区南花畑","株式会社グッドスタッフ","03-5365-2342","開設済"
"153","足立区","リリィパワーズレジデンス竹ノ塚","足立区東伊興","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"154","足立区","ガーデンフィールズ竹の塚","足立区保木間","株式会社明昭","03-5851-3581","開設済"
"155","足立区","ガーデンフィールズ竹の塚ＩＩ","足立区保木間","株式会社明昭","03-5809-6261","(R1.10.1)"
"156","足立区","ミモザ白寿庵足立江北","足立区江北","ミモザお客様センター","0120-081-303","開設済"
"157","足立区","エーデルブルーメ島根","足立区島根","株式会社新井商事不動産社","03-3885-2401","開設済"
"158","足立区","ハートランド足立","足立区堀之内","株式会社ワイグッドケア","0495-71-6551","開設済"
"159","足立区","じゃすみん2番館","足立区扇","有限会社アウトソーじゃすみんの家","03-5647-9111","開設済"
"160","足立区","グレイプスガーデン西新井大師","足立区西新井","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"161","足立区","じゃすみん花畑","足立区花畑","有限会社アウトソーじゃすみん花畑","03-5856-7032","開設済"
"162","足立区","ガーデンフィールズふちえ","足立区保木間","株式会社明昭","03-5851-3581","開設済"
"163","足立区","ホスピタウン梅島","足立区梅島","株式会社ケアフレンド","03-3889-8051","開設済"
"164","足立区","フォセット六月","足立区六月","フォセット六月","0120-253-025","開設済"
"165","足立区","銀木犀＜西新井大師＞","足立区栗原","銀木犀＜西新井大師＞","03-5856-8568","開設済"
"166","足立区","レジデンス足立島根","足立区島根","ACANext株式会社","03-6550-9821","開設済"
"167","足立区","ドーミー亀有Ｌｅｖｉ","足立区東和","株式会社共立メンテナンス","03-5295-7884","開設済"
"168","足立区","えがおの家花畑","足立区花畑","株式会社ケアサービスとも","03-5851-8177","開設済"
"169","足立区","アミカの郷亀有","足立区佐野","株式会社ＨＣＭ","03-3568-1171","開設済"
"170","足立区","リハビリホーム花はた","足立区花畑","株式会社明昭","03-5851-0180","開設済"
"171","足立区","プライムライフ西新井","足立区関原","株式会社トーハン・コンサルティング","03-3267-8686","開設済"
"172","葛飾区","そんぽの家Ｓ四つ木","葛飾区東四つ木","そんぽの家Ｓ四つ木","03-5671-8262","開設済"
"173","葛飾区","そんぽの家Ｓ堀切菖蒲園","葛飾区堀切","そんぽの家Ｓ堀切菖蒲園","03-5671-0061","開設済"
"174","葛飾区","ウェリスオリーブ新小岩","葛飾区東新小岩","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","開設済"
"175","葛飾区","フルール細田","葛飾区細田","スミカフルール・ケア株式会社","03-5889-8732","開設済"
"176","葛飾区","ココチケア住宅ケアリビング","葛飾区東新小岩","株式会社ソラスト","03-3450-2610","開設済"
"177","葛飾区","ココチケア住宅メディカルレジデンス","葛飾区東新小岩","株式会社ソラスト","03-3450-2610","開設済"
"178","葛飾区","グランフレア金町","葛飾区金町","株式会社グランフレア金町","03-5876-1888","開設済"
"179","葛飾区","クオーレトーリツ立石","葛飾区立石","クオーレトーリツ立石","03-3691-8722","開設済"
"180","葛飾区","ココファン水元","葛飾区水元","株式会社学研ココファン","03-6431-1860","開設済"
"181","葛飾区","そんぽの家Ｓ西新小岩","葛飾区西新小岩","そんぽの家Ｓ西新小岩","03-5671-3107","開設済"
"182","葛飾区","ナーシングホーム奥戸","葛飾区奥戸","株式会社ウェルフォース","03-5875-7983","開設済"
"183","葛飾区","ケアガーデンISHIDA","葛飾区立石","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"184","葛飾区","日生オアシス東新小岩","葛飾区東新小岩","株式会社日本生科学研究所","03-3341-2421","開設済"
"185","葛飾区","高齢者賃貸住宅もも","葛飾区東金町","合資会社ファミリーサポートセンターもも","03-5660-7601","開設済"
"186","葛飾区","おひさまハウス柴又","葛飾区柴又","一般財団法人日本医療輸出協力機構","03-6206-1572","開設済"
"187","葛飾区","コンフォートフォレスタ新柴又","葛飾区柴又","株式会社コンフォート","03-5612-5311","開設済"
"188","葛飾区","グレイプス立石","葛飾区立石","東京建物シニアライフサポート株式会社","03-3274-0451","開設済"
"189","葛飾区","サービス付き高齢者向け住宅白鳥二丁目","葛飾区白鳥","株式会社ウェルフォース","03-6662-6772","(R2.10.1)"
"190","江戸川区","ライフサポートレジデンスゆらら船堀駅前","江戸川区船堀","スターツケアサービス株式会社","03-3686-2226","開設済"
"191","江戸川区","共英ハウス","江戸川区江戸川","株式会社共英","03-3687-0333","開設済"
"192","江戸川区","さくらレジデンス篠崎","江戸川区篠崎町","株式会社ＭＢＳ","03-5879-7733","開設済"
"193","江戸川区","Ｋ.Ｍ.ヴィレッジ（こもれび平井）","江戸川区平井","特定非営利活動法人いちごの会","042-476-4115","開設済"
"194","江戸川区","なごやかレジデンス一之江北","江戸川区一之江","株式会社やまねメディカル","0120-15-7580","開設済"
"195","立川市","そんぽの家Ｓ玉川上水","立川市柏町","そんぽの家Ｓ玉川上水","042-538-3751","開設済"
"196","立川市","グランマリバーサイド立川","立川市富士見町","株式会社日本トータルライフ","042-678-6720","開設済"
"197","立川市","高齢者向け住宅せせらぎ","立川市錦町","社会福祉法人至誠学舎立川","042-527-0033","開設済"
"198","立川市","そんぽの家Ｓ武蔵砂川","立川市上砂町","そんぽの家Ｓ武蔵砂川","042-538-1103","開設済"
"199","立川市","そんぽの家Ｓ立川","立川市高松町","そんぽの家Ｓ立川","042-548-3451","開設済"
"200","立川市","ココファン立川弐番館","立川市錦町","株式会社学研ココファン","03-6431-1860","開設済"
"201","立川市","ココファン立川","立川市錦町","株式会社学研ココファン","03-6431-1860","開設済"
"202","立川市","リアンレーヴ立川","立川市柏町","株式会社木下の介護","03-5908-1310","開設済"
"203","立川市","エクラシア立川","立川市幸町","株式会社ウェルオフ西部","050-6861-5201","(R3.4.1)"
"204","立川市","立川紀水苑","立川市幸町","大和リビングケア株式会社","0120-676-262","開設済"
"205","立川市","ハイムガーデン立川幸町","立川市幸町","アイネット株式会社","03-6741-4053","開設済"
"206","武蔵野市","なごやかレジデンス武蔵境","武蔵野市境","株式会社やまねメディカル","0120-15-7580","開設済"
"207","武蔵野市","ココファン武蔵境","武蔵野市境","株式会社学研ココファン","03-6431-1860","(R1.11.1)"
"208","三鷹市","そんぽの家Ｓ吉祥寺南","三鷹市新川","そんぽの家Ｓ吉祥寺南","0422-79-8371","開設済"
"209","三鷹市","けやき館","三鷹市北野","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"210","三鷹市","そんぽの家Ｓ三鷹丸池公園","三鷹市新川","そんぽの家Ｓ三鷹丸池公園","042-240-1171","開設済"
"211","三鷹市","グランドマスト三鷹上連雀","三鷹市上連雀","積和グランドマスト株式会社","03-5350-3900","開設済"
"212","三鷹市","和","三鷹市大沢","有限会社ケアサービスこまつ","042-239-3520","開設済"
"213","三鷹市","ホームステーションらいふ三鷹","三鷹市上連雀","株式会社らいふ","03-5769-7268","開設済"
"214","三鷹市","やさしい手シニアリビングやさしえ三鷹中原","三鷹市中原","株式会社やさしい手","03-5433-5513","開設済"
"215","三鷹市","ガーデンテラス仙川","三鷹市北野","シマダリビングパートナーズ株式会社","03-6275-1182","(H30.12.1)"
"216","三鷹市","オウカス吉祥寺","三鷹市下連雀","野村不動産ウェルネス株式会社","03-3348-8748","(R2.6.1)"
"217","府中市","そんぽの家Ｓ府中住吉","府中市住吉町","そんぽの家Ｓ府中住吉","042-358-2066","開設済"
"218","府中市","そんぽの家Ｓ西府","府中市本宿町","そんぽの家Ｓ西府","042-340-5161","開設済"
"219","府中市","そんぽの家Ｓ府中中河原","府中市住吉町","そんぽの家Ｓ府中中河原","042-358-2660","開設済"
"220","府中市","そんぽの家Ｓ府中南町","府中市南町","そんぽの家Ｓ府中南町","042-354-2655","開設済"
"221","府中市","府中市高齢者住宅うらら多磨","府中市多磨町","社会福祉法人多摩同胞会","042-367-8801","開設済"
"222","府中市","グランド・マスターズ武蔵府中","府中市分梅町","積和グランドマスト株式会社","03-5350-3900","開設済"
"223","府中市","リレ府中白糸台","府中市白糸台","株式会社ベネッセスタイルケア","0120-220-880","開設済"
"224","府中市","安立園サービス付住宅さんぽ道","府中市晴見町","社会福祉法人安立園","042-367-6511","開設済"
"225","府中市","なごやかレジデンス府中白糸台","府中市白糸台","なごやかレジデンス府中白糸台","042-340-3242","開設済"
"226","府中市","アビリティーズコート府中","府中市西府町","アビリティーズ・ケアネット株式会社","03-5388-7530","開設済"
"227","府中市","エイジフリーハウス府中栄町","府中市栄町","パナソニック・エイジフリー株式会社","06-6906-2224","開設済"
"228","昭島市","パステルライフ昭島","昭島市緑町","パステルライフ昭島","042-519-4165","開設済"
"229","昭島市","友友ビレッジ昭島","昭島市昭和町","株式会社市進ケアサービス","042-519-2828","開設済"
"230","昭島市","アイリスガーデン昭島","昭島市松原町","株式会社ニチイケアパレス","03-3291-8965","開設済"
"231","昭島市","アイリスガーデン昭島昭和の森","昭島市拝島町","株式会社ニチイケアパレス","03-3291-8965","開設済"
"232","昭島市","高齢者住宅さくらガーデン","昭島市中神町","社会福祉法人恩賜財団東京都同胞援護会","03-3341-7161","開設済"
"233","昭島市","エクラシア昭島","昭島市中神町","株式会社ウェルオフ","050-6861-5201","開設済"
"234","昭島市","エクラシア昭島宮沢町","昭島市宮沢町","株式会社ウェルオフ","050-6861-5201","(R2.11.1)"
"235","調布市","そんぽの家Ｓ調布","調布市多摩川","そんぽの家Ｓ調布","042-490-5051","開設済"
"236","調布市","そんぽの家Ｓ国領","調布市国領町","そんぽの家Ｓ国領","042-440-1850","開設済"
"237","調布市","やすらぎの丘アルメリア深大寺南","調布市深大寺南町","株式会社渋谷不動産エージェント","042-444-5950","開設済"
"238","調布市","ウエリスオリーブ成城学園前","調布市入間町","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","(H31.4.19)"
"239","調布市","ウエリスオリーブ成城学園前ケアレジデンス","調布市入間町","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","(H31.4.19)"
