"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"11","金森、金森東、南成瀬、成瀬が丘、原町田の一部（都営金森1丁目アパート）","南第2高齢者支援センター","ﾐﾅﾐﾀﾞｲﾆｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-796-3899","042-799-2145","194-0015","町田市金森東3-18-16 （特別養護老人ホーム合掌苑桂寮内）","35.531769","139.466049","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"12","成瀬、西成瀬、高ケ坂、成瀬台","南第3高齢者支援センター","ﾐﾅﾐﾀﾞｲｻﾝｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-720-3801","042-860-7022","194-0046","町田市西成瀬2-48-23","35.543419","139.471664","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"13","相原町","相原あんしん相談室","ｱｲﾊﾗｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-700-7121","042-700-7122","194-0211","町田市相原町1158-26","35.607006","139.331741","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"14","小山町、小山ヶ丘、上小山田町","小山あんしん相談室","ｵﾔﾏｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-794-8751","042-794-8752","194-0212","町田市小山町2619","35.598221","139.366440","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"15","図師町、下小山田町、忠生、矢部町、小山田桜台、常盤町、根岸町、根岸","忠生あんしん相談室","ﾀﾀﾞｵｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-792-8888","042-792-8888","194-0035","町田市忠生3-1-34 もりやハイツ2１０１号室","35.571674","139.421463","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"16","山崎町、山崎、木曽町、木曽西、木曽東（都営木曽森野アパートを除く）、本町田の一部（公社住宅町田木曽）","木曽山崎あんしん相談室","ｷｿﾔﾏｻﾞｷｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-792-7927","042-792-5543","195-0074","町田市山崎町2200","35.572918","139.431610","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"17","小野路町、野津田町、金井、金井町（藤の台団地を除く）、大蔵町、薬師台","野津田あんしん相談室","ﾉﾂﾞﾀｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-708-8964","042-735-5872","195-0063","町田市野津田町831-1","35.588425","139.450272","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"18","能ヶ谷、三輪町、三輪緑山、広袴、広袴町真光寺、真光寺町、鶴川","鶴川あんしん相談室","ﾂﾙｶﾜｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-718-1223","042-860-5833","195-0061","町田市鶴川6-7-2-103号室","35.587303","139.473465","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"19","原町田（都営金森1丁目アパートを除く）、中町、森野、旭町、木曽東の一部（都営木曽森野アパート）","原町田あんしん相談室","ﾊﾗﾏﾁﾀﾞｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-722-8500","042-722-8500","194-0013","町田市原町田4-24-6 せりがや会館１階","35.544724","139.453049","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"20","本町田（公社住宅町田木曽を除く）、金井町の一部（藤の台団地）、南大谷の一部（公社住宅本町田）","本町田あんしん相談室","ﾎﾝﾏﾁﾀﾞｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-812-3396","042-812-3396","194-0032","町田市本町田3486 藤の第団地1-50-109","35.569607","139.445740","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"21","玉川学園、南大谷（公社住宅本町田を除く）、東玉川学園","南大谷あんしん相談室","ﾐﾅﾐｵｵﾔｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-851-8421","042-851-8426","194-0031","町田市南大谷205-1-2","35.554821","139.456757","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"22","南町田、鶴間、小川、つくし野、南つくし野","小川あんしん相談室","ｵｶﾞﾜｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-850-6234","042-850-6234","194-0003","町田市小川6-1-11","35.522091","139.471252","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"23","金森、金森東、南成瀬、成瀬が丘、原町田の一部（都営金森1丁目アパート）","金森あんしん相談室","ｶﾅﾓﾘｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-795-9100","042-795-9101","194-0015","町田市金森東4-2-252 3号室","35.533897","139.461243","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"24","成瀬、西成瀬、高ケ坂、成瀬台","成瀬あんしん相談室","ﾅﾙｾｱﾝｼﾝｿｳﾀﾞﾝｼﾂ","042-732-3239","042-860-7022","194-0046","町田市西成瀬2-48-23","35.543419","139.471664","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","〇","","","〇","〇"
"25","市内全域","医療と介護の連携支援センター","イリョウトカイゴノレンケイシエンセンター","042-794-6527","042-794-6627","194-0037","町田市木曽西4-12-22 ＫＩＳＯコミュニティベース１F","35.566994","139.413712","JGD2011","月曜日～金曜日（土日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","",""
"26","市内全域","町田市高齢者福祉課","ﾏﾁﾀﾞｼｺｳﾚｲｼｬﾌｸｼｶ","（日中）042-724-2140／（夜間・休日）042-722-3111","","194-8520","町田市森野2-2-22","35.547039","139.438141","JGD2011","月曜日～金曜日（土日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","","","","〇","〇","〇"
