"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"12","オアシス・プラス","社会福祉法人おあしす福祉会","江東区","03-5646-7811","友田奈津美","http://www.oasisfukushi.or.jp/","plus@oasisfukushi.or.jp","オードブル、総菜など","食品","2500円以上","100人分","１～7日","オードブルMサイズ2500円、Lサイズ4000円","自力での納品可","無","有","有","懇親会等のイベント時に金額や内容・量についてはご要望に可能な限りお応えします。近隣の一般企業や住民、区内の障害者施設、関係機関のイベント時に注文を頂いています。"
"13","のびのび作業所フーズ","のびのび福祉会","江東区","03-6807-0900","佐藤","http://www.nobihuku.or.jp/","nobinobi.foods@mx5.alpha-web.ne.jp","製菓・製パン","食品","1","要相談","要相談","100～350円","自力での納品可","有","有","有","季節やイベント等で出張販売・注文販売も行っています。併設の店舗でも販売しています。"
"14","ゆめ工房北砂","社会福祉法人ゆめグループ福祉会","江東区","03-3644-0654","臼井","","yumekobo-kitasuna@yumegroup.or.jp","菓子製造・販売手焼きせんべい・芋けんぴ・あげせん等","食品","応相談","応相談","応相談","・手焼きせんべい（２枚）120円・あげせん（塩味80ｇ）220円・芋けんぴ（50g）100円","自力での納品可","無","有","有","店舗を持たない菓子製造・販売です。イベントへの出店や地域での売り歩き、ギフト用の箱入り商品の製造・販売をしております。"
"15","福祉工場しながわ","品川総合福祉センター","品川区","03-5460-8601","石川","http://www.shinafuku.com/","koujoe@shinafuku.org","パン","食品","20","100","10日","150～400円","自力での納品可","無","有","無",""
"16","福祉工場しながわ","品川総合福祉センター","品川区","03-5460-8601","石川","http://www.shinafuku.com/","koujoe@shinafuku.org","クッキー/マドレーヌ","食品","30~50","100~300","14日","150～300円","自力での納品可","無","無","無",""
"17","かもめ第一工房","社会福祉法人福栄会","品川区","03-3458-4307","高橋","http://www.fukueikai.or.jp/","kamome1@fukueikai.or.jp","自主製品の製造","食品","１０００個","１５日間","１００円～","自力での納品可","自力での納品可","無","有","有","数によりけりですが、少数であれば３日以内の納品も可能です。"
"18","かもめ第二工房","社会福祉法人福栄会","品川区","03-6429-8401","渡辺","http://www.fukueikai.or.jp/","kamome2@fukueikai.or.jp","焼き菓子製造","食品","５００個","７００個","15日間","１００円～","自力での納品可","無","有","有","個別の注文、贈答用の箱詰めの注文を承ります。"
"19","ブレス学芸大学","社会福祉法人みきの会","目黒区","03-5721-6516","","http://www.mikinokai.jp","breath-gakudai@lagoon.ocn.ne.jp","クッキー","食品","10","100","数に応じて相談","100円～３００円","発注元による回収希望","無","無","有",""
"20","目黒区立大橋えのき園","社会福祉法人目黒区社会福祉事業団","目黒区","03-3465-5192","","http://www.meguro-fukushi.jp/","enoki@herb.ocn.ne.jp","ピクルス","食品","10パック","100パック","10日","500円/150g","自力での納品可","無","無","無",""
"21","目黒区立かみよん工房","社会福祉法人目黒区社会福祉事業団","目黒区","03-3760-3059","山口","https://www.meguro-fukushi.jp/facilities/kamiyon/index.html","kamiyon@comet.ocn.ne.jp","パン・焼き菓子の製造販売","食品","要相談","100個程度","7日以上","100円～/個","自力での納品可","無","有","有","社会福祉協議会のイベント用クッキーの製造"
"22","下目黒福祉工房","目黒区社会福祉事業団","目黒区","03-3793-2590","齋藤","","shimomeguro@clock.ocn.ne.jp","焼菓子（シフォンケーキ）単品・ギフトセット","食品","1",250セット","2日から3週間(注文数により変動)","単品150円からセット2000円","自力での納品可","無","有","有","企業様の式典でのギフトとして、複数年継続してご活用いただいています。賞味期限の長いラスクもあります。"
"23","目黒区立目黒本町福祉工房","社会福祉法人いたるセンター","目黒区","03-3714-0514","五木田","http://itarucenter.com/meguro/index.html","meguro@itarucenter.com","菓子","食品","1","50","４週間","５８０円","自力での納品可","有","有","有","人気のチョコレート菓子はクリスマスやバレンタインデーなどのギフトとして好まれています。"
"24","フードコミュニティ目黒","特定非営利活動法人フードコミュニティ目黒","目黒区","03-5768-0707","","http://fc-meguro.jp/","okowa@fc-meguro.com","弁当（白米、赤飯、山菜おこわ）","食品","","180食/日","１～４日個数が多い場合は相談","610円～810円","自力での納品可","無","有","有","商品の数量、単価、納期についてはご相談ください。ご飯は白米、赤飯、山菜おこわの中からお選びいただけます。"
"25","フードコミュニティ目黒","特定非営利活動法人フードコミュニティ目黒","目黒区","03-5768-0707","","http://fc-meguro.jp/","okowa@fc-meguro.com","お萩（５個入り/2個入り）","食品","","３０パック/日","２～４日","４50円/170円","自力での納品可","無","有","有","夏季（７・８月）は製造、販売をお休みさせていただいてます。"
"26","フードコミュニティ目黒","特定非営利活動法人フードコミュニティ目黒","目黒区","03-5768-0707","","http://fc-meguro.jp/","okowa@fc-meguro.com","赤飯/山菜おこわ","食品","","50パック/日","２～4日","４００円","自力での納品可","無","有","有",""
"27","クッキングワーク街の駅","社会福祉法人プシケおおた","大田区","03-6410-6400","","http://www.koujiya-center.com","machinoeki@mx3.alpha-web.ne.jp","配食サービス","食品","1食","60食","1日","400～550円／食","自力での納品可","無","有","有","野菜中心でバランスの良い手作り弁当を日替わりメニューでご自宅・職場までお届けしています。1食からのご注文も承ります。"
"28","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","プリントクッキーの製造","食品","10枚","1000枚","1.5ヶ月","80・120・150/枚","自力での納品可","無","有","有","世界でただ一つのオーダーメイドクッキーはいかがですか。ﾉﾍﾞﾙﾃｨやプレゼント、周年記念などに"
"29","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","クッキー（各種）の製造","食品","10袋","1500袋","２ヶ月","100・230・350/袋","自力での納品可","無","有","有","ｲﾍﾞﾝﾄのお土産、贈り物用に箱入りのご用意もあります"
"30","コイノニアかみきた","社会福祉法人泉会","世田谷区","03-5316-2251","越川","https://izumikai.jp/","koinonia@izumikai.jp","野菜","食品","10","50","1ヶ月","150","自力での納品可","無","無","無","水耕栽培で育てた新鮮で洗わないで食べられる野菜。社名入りラベルも対応可能なのでノベルティにも使えます。"
"31","にこにこみやさか","非営利活動法人ワーカーズコープ","世田谷区","03-6413-7585","","http://nikonikomiya.roukyou.gr.jp","nikonikomiya@roukyou.gr.jp","お菓子","食品","5","30","5日間","100～600円","発注元による回収希望","無","無","有","焼き菓子、ジャム(季節限定)です。ジャムの原材料は世田谷区内で採れたものに限定しているので、世田谷のおみやげともしてお使いいただけます。"
"32","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","季節のジャム","食品","1","300要相談","1か月程要相談","400～450円","自力での納品可","無","有","無",""
"33","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","切干大根ドライ野菜・フルーツ","食品","1","300要相談","2週間程","200円350～400円","自力での納品可","無","無","無",""
"34","多機能型事業所さわやかはーとあーす世田谷","社会福祉法人さわやか会","世田谷区","03-6413-0610","高橋","http://www.shinsetsu.net/sawayakakai.html","he-satagaya@shinsetsu.net","パン","食品","1０個","300個","1０日間","110円～／個","発注元による回収希望","無","無","有","３０個程度であれば、２日前発注も可能です。注文数、納品希望時間帯によっては自力納品を行います。（応相談）"
"35","世田谷区立下馬福祉工房","社会福祉法人せたがや樫の木会","世田谷区","03-5712-5103","長見","https://www.kashinokikai.net/","shimouma-f.k@vesta.ocn.ne.jp","焼き菓子","食品","100袋","1000袋","30日","1袋150円","発注元による回収希望","無","有","有",""
"36","世田谷区立砧工房分場キタミ・クリーンファーム","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3749-3880","小林","http://www.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta_bun@ikuseikai-tky.or.jp","水耕栽培サラダ菜","食品","","30","5日","100円","自力での納品可","無","無","有","生育状況により、出荷できない場合もあります。納品に関しましては、受注先の所在地、発注個数により、ご相談させていただく場合があります。"
"37","世田谷区立砧工房分場キタミ・クリーンファーム","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3749-3880","小林","http://www.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta_bun@ikuseikai-tky.or.jp","水耕栽培リーフレタス","食品","","15","5日","100円","自力での納品可","無","無","有","生育状況により、出荷できない場合もあります。納品に関しましては、受注先の所在地、発注個数により、ご相談させていただく場合があります。"
"38","世田谷区立砧工房分場キタミ・クリーンファーム","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3749-3880","小林","http://www.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta_bun@ikuseikai-tky.or.jp","水耕栽培ブーケレタス","食品","","15","5日","100円","自力での納品可","無","無","有","生育状況により、出荷できない場合もあります。納品に関しましては、受注先の所在地、発注個数により、ご相談させていただく場合があります。"
"39","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","昼食弁当","食品","10食","40食","14日前までに注文","1000円～/1食","発注元による回収希望","","","有","雑穀米に主菜、副菜２品＋お漬物が付いています。１つ1,000円で配達可能です。会議弁当（1,500円～）もご用意できます。"
"40","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","ケーキ・クッキー","食品","10袋","50袋","14日前までに注文","300円～/1袋","発注元による回収希望","","","有","マーガリンを使わず、バターやグレープシードオイルを使用。３００円は個包装タイプの価格です。お歳暮等の季節の贈答品として、焼き菓子とハーブティーの詰め合わせセット（\2,150～＋送料）もご用意できます。"
"41","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","パーティー料理","食品","10食","20食","14日前までに注文","2000円～／1人分","自力での納品可","","","有","イベント用のパーティー料理を配達し、会場での盛り付けも承れます。メニューや品数、提供様式はご相談に応じます。"
"42","ローランズプラス2","一般社団法人ローランズプラス","渋谷区","03-6434-0607","佐藤","https://www.floran-jp.com/harajuku/","info@floran-jp.com","ドライフルーツギフトセット","食品","5","10","4日","９８０円","自力での納品可","無","無","有","ドライフルーツと季節のドライフラワーが入ったギフトセットです。"
"43","コロニーもみじやま支援センター","社会福祉法人東京コロニー","中野区","03-5318-9952","","http://colony.gr.jp/momijiyama/","asou@tocolo.or.jp","葉物野菜栽培・販売","食品","1","10"," ２営業日","100ｇひと袋で150円","自力での納品可","無","無","有","直売店舗で販売しています。定期的な納品にも対応可。栽培品種についてもご相談に乗ることができます。"
"44","コロニー中野","社会福祉法人東京コロニー","中野区","03-3953-3541","満富","https://www.tocolo.or.jp/","mitutomi@tocolo.or.jp","天然酵母パン・焼き菓子","食品","1","約200人分（20万円相当）","2.5日（事前予約が必要）","120～250円","自力での納品可","無","有","有","身体に優しい材料で作った商品です。中野区福祉売店にも納品しています。昼食やイベントの出張販売を行っています。キッチンカーもあります。"
"45","ひまわり作業所","社会福祉法人済美会","杉並区","03-3333-9724","","https://www.seibikai.com/","hmshouan@pluto.plala.or.jp","食パン","食品","","15斤","1週間","330円/斤","自力での納品可","無","無","有","木曜及び金曜のみ対応可能です。自前の店舗で販売している他、保育園の給食用にも提供しています。"
"46","ひまわり作業所","社会福祉法人済美会","杉並区","03-3333-9724","","https://www.seibikai.com/","hmshouan@pluto.plala.or.jp","クッキー","食品","","3個入り50袋","1～2週間","100～120円/袋","自力での納品可","無","無","有","１袋3個入りですが、変更可能です。数種類の味があります。イベントの記念品にも活用いただいています。"
"47","うきま幸朋苑ブレッド＆バター","社会福祉法人こうほうえん","北区","03-5914-1371","藤井","","b-butter@kohoen","ランチボックス","食品","10","50","10日","８００円より","自力での納品可","有","有","有","会議イベント"
"48","うきま幸朋苑ブレッド＆バター","社会福祉法人こうほうえん","北区","03-5914-1371","藤井","","b-butter@kohoen","焼き菓子","食品","30","100","１か月","２００円より","自力での納品可","有","有","有","記念品お土産贈答"
"49","うきま幸朋苑ブレッド＆バター","社会福祉法人こうほうえん","北区","03-5914-1371","藤井","","b-butter@kohoen","パン","食品","50","300","１０日","２００円前後","自力での納品可","有","有","有","イベント軽食"
"50","りんりんりん","社会福祉法人さざんかの会","北区","03-5948-9181","伊藤","http://www.sazanka.info","rinrinrin@hattatsu.or.jp","弁当製造","食品","1食","50食（応相談）","1日","500円～/食","発注元による回収希望","無","有","有","日替わり弁当の製造・販売を行っています。ご希望の金額に合わせてお作りすることやお近くでしたら配達も承ります。"
"51","りんりんりん","社会福祉法人さざんかの会","北区","03-5948-9181","伊藤","http://www.sazanka.info","rinrinrin@hattatsu.or.jp","菓子清掃","食品","1セット","200セット","3日","100～200円/セット","発注元による回収希望","無","無","有","クッキーやフィナンシェ等の焼菓子の製造・販売を行っています。ご希望の金額に合わせて詰め合わせをお作りすることや近くでしたら配達も承ります。"
"52","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","パウンドケーキ","食品","要相談","要相談","30日","160円","発注元による回収希望","無","有","有","サブレ、パウンドケーキ、フィナンシェのセットも、ご予算に応じて承ります。"
"53","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","フィナンシェ","食品","要相談","要相談","30日","110円","発注元による回収希望","無","有","有","サブレ、パウンドケーキ、フィナンシェのセットも、ご予算に応じて承ります。"
"54","荒川ひまわり第2","社会福祉法人トラムあらかわ","荒川区","03-3895-6149","","https://www.tram-arakawa.org/","tram2@rf7.so-net.ne.jp","クッキーの製造","食品","100枚","18000枚","2か月","40円～/10ｇ","自力での納品可","無","有","有","クッキーをイベント記念品として注文いただきました。保育園や小学校の卒業シーズンには謝恩会の記念品の注文多数いただいてます。"
"55","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","弁当の製造","食品","2","100","翌日","600","自力での納品可","無","無","有","体にやさしく、野菜がたくさん入ったお弁当をお届けいたします。"
"56","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","まんじゅう","食品","50","600","２週間","110","自力での納品可","","","有","お祝い事、お土産"
"57","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","クッキー","食品","20","300","２週間","170","自力での納品可","","","有","お祝い事、お土産"
"58","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","パウンドケーキ","食品","20","300","２週間","170","自力での納品可","","","有","お祝い事、お土産"
"59","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","ピクルス","食品","20","500","３週間","400","自力での納品可","","","有","お祝い事、お土産"
"60","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","パン","食品","30","200","2週間","60～320円","自力での納品可","無","有","有","当日、店頭販売も行っております。"
"61","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","煎餅","食品","1","300","2週間～","100円","自力での納品可","無","無","有","ラベル、内容オリジナル作成が可能です。手土産だけではなく、名刺代わりもご活用いただけます。"
"62","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","梅干しの委託販売","食品","1","","5日間","500円～1000円","発注元による回収希望","無","有","無","催し物の景品"
"63","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","パウンドケーキの制作","食品","パウンドケーキ９本","パウンドケーキ３０本","３日","６００１０００円","自力での納品可","","","","利用者の方と一緒に作成しており、種類も豊富で、季節限定の商品等も販売しております。"
"64","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","クッキー製造販売","食品","","400袋","3週間","200円/袋9枚入り","自力での納品可","無","有","有","会議でのお菓子、贈答用箱詰め等"
"65","江北ひまわり園","あだちの里","足立区","03-5809-5815","加藤","http://www.a-sato.jp","k.himawari@a-sato.jp","パン製造","食品","1","500","4日間","商品による","自力での納品可","無","無","有","最大数であれば4日間での準備があれば納品できます。一般的な家庭での消費量であっても生地の量が変わりますので、ご注文は3日前までにお願いします。"
"66","江北ひまわり園","あだちの里","足立区","03-5809-5815","加藤","http://www.a-sato.jp","k.himawari@a-sato.jp","クッキー製造","食品","1","500","7日間","100~120","自力での納品可","無","無","有",""
"67","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","パン製造・販売","食品","200個","500個","一週間","1個130円～","発注元による回収希望","無","有","有","庁舎内販売、イベント等"
"68","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","パウンドケーキ・チョコブラウニーの製造","食品","3","15","7日間","1000円/個","自力での納品可","無","無","有","1個当たり、ﾊﾟｳﾝﾄﾞｹﾝｰｷは270g、ﾁｮｺﾌﾞﾗｳﾆｰは150ｇで販売しています。ﾁｮｺﾌﾞﾗｳﾆｰは500円で販売。ご贈答用としてｾｯﾄもできます。"
"69","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","お米の精米","食品","3kg","100kg","７日間","400円/kg","自力での納品可","無","有","有","区立施設の給食に納品しています。その他地域の方々やご家族に購入していただいています。岩手県奥州市江刺金札米ひとめぼれ特Aの美味しいお米を精米したてで提供できます。"
"70","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","米ぬか商品","食品","３個","食品：６０個生活用品：３０個","７日間","１２０円～270円","自力での納品可","無","無","有","米ぬかを使ってのクッキー、ふりかけや入浴剤を製造しています。ビタミンC豊富で健康食品です。また乾燥肌に良い入浴剤を作っています。"
"71","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","煎餅","食品","３個","２０個","７日間","200円","自力での納品可","無","無","有","揚げ煎餅、手焼きせんべいを作っています。区役所や区関連施設、バザーや模擬店での販売を行っています。"
"72","奥戸福祉館","社会福祉法人原町成年寮","葛飾区","03-5670-8111","丸山","http://www.haramachiseinenryo.com/","okudo8111@msn.com","パン製品（メロンパン等）","食品","20","300以上","応相談","100円～","自力での納品可","無","無","有","区内小学校、保育園の祝賀行事で紅白メロンパンセット（300個以上）実績があります。その他、イベント使用の製品納品・販売も行えます。"
"73","奥戸福祉館","社会福祉法人原町成年寮","葛飾区","03-5670-8111","丸山","http://www.haramachiseinenryo.com/","okudo8111@msn.com","マドレーヌ","食品","20","500以上","応相談","５０円～","自力での納品可","無","無","無","区内保育園のおやつでの受注納品、当施設関係先でのイベントのプレゼントで使用いただいております。"
"74","叶夢","フューチャーダイアリー株式会社","葛飾区","070-5575-2851","","","futurediary.coltd@gmail.com","コーヒー製造","食品","100","ドリップバック単品１０００","1週間","100~170","自力での納品可","無","無","有","一粒一粒ハンドピッキングした自家焙煎珈琲です。"
"75","高砂福祉館","東京都手をつなぐ育成会","葛飾区","03-5699-6221","土屋拓哉","http://www.ikuseikai-tky.or.jp/~iku-takasago","takasago@ikuseikai-tky.or.jp","クッキー","食品","1","200","５日～２週間","100~","発注元による回収希望","無","無","無","贈り物、子供会のイベント等対応できます。"
"76","高砂福祉館","東京都手をつなぐ育成会","葛飾区","03-5699-6221","土屋拓哉","http://www.ikuseikai-tky.or.jp/~iku-takasago","takasago@ikuseikai-tky.or.jp","パン","食品","1","150","１日","100~","発注元による回収希望","無","無","無","贈り物、子供会のイベント等対応できます。"
"77","高砂福祉館","東京都手をつなぐ育成会","葛飾区","03-5699-6221","土屋拓哉","http://www.ikuseikai-tky.or.jp/~iku-takasago","takasago@ikuseikai-tky.or.jp","ゼリー","食品","1","200","５日～２週間","100","発注元による回収希望","無","無","無","贈り物、子供会のイベント等対応できます。"
"78","西水元福祉館","東京都知的障害者育成会","葛飾区","03-5660-2101","","http://www.ikuseikai-tky.or.jp/~iku-nishimizumoto/","mizumoto@ikuseikai-tky.or.jp","焼き菓子（クッキー等）","食品","４枚/１袋","４０袋","１日","１００円/４枚","自力での納品可","無","有","有","贈答用も承ります。その他パウンドケーキやガレット、ゼリーも作成しています。ドライフルーツの取り扱いを始めました。"
"79","江戸川区立福祉作業所","社会福祉法人江戸川菜の花の会","江戸川区","03-3657-1971","柏谷","http://www.edogawa-nanohana.or.jp/index.html","fukusaku@edogawa-nanohana.or.jp;","豆乳関連菓子の製造・販売","食品","50個","200個以上応相談","１か月前に連絡","100円～","自力での納品可","無","有","有","保育園・支援学校・地域まつりでの注文や販売をさせて頂いております。"
"80","東京ソテリアエンプロイメント","特定非営利活動法人東京ソテリア","江戸川区","03-5879-4970","宮澤明音","http://soteria.jp/","benri@soteria.jp","フリーズドライ食品加工","食品","単発","1年間","1週間～1カ月","応相談","自力での納品可","無","無","有","フリーズドライ加工や、フリーズドライ製品を入れたグラノーラを製造し納品します。"
"81","江戸川区立障害者就労支援センター","特定非営利活動法人自立支援センターむく","江戸川区","03-5622-6050","鈴木","https://www.city.edogawa.tokyo.jp/e041/kuseijoho/gaiyo/shisetsuguide/bunya/kenkofukushi/fukushi/shogaishashuro.html","info@shuroushien-muku.org","乾燥きくらげ（自主製品）","食品","100袋","300袋","14日間","1袋25グラム300円","自力での納品可","無","無","有","※時期により提供可能な数量が異なります"
"82","江戸川区立障害者就労支援センター","特定非営利活動法人自立支援センターむく","江戸川区","03-5622-6050","鈴木","https://www.city.edogawa.tokyo.jp/e041/kuseijoho/gaiyo/shisetsuguide/bunya/kenkofukushi/fukushi/shogaishashuro.html","info@shuroushien-muku.org","乾燥しいたけ（自主製品）","食品","10袋","30袋","14日間","1袋25グラム300円","自力での納品可","無","無","有","※時期により提供可能な数量が異なります"
"83","ESPRIT","社会福祉法人SHIP","八王子市","042-696-3381","渥美","https://ship-esprit.com/","esprit3381@gmail.com","パン","食品","100","300","2日間","110円","自力での納品可","","有","有","地域での運動会のパン食い競争で受注実績あります。あんぱん、抹茶パン等提供させていただきます。"
"84","ESPRIT","社会福祉法人SHIP","八王子市","042-696-3381","渥美","https://ship-esprit.com/","esprit3381@gmail.com","クッキー","食品","100","200","2日間","１１０円","自力での納品可","","","有","1袋6個入りの手作りクッキーです。施設等のおやつやイベントでの販売実績があります。"
"85","HACHIOJIFARMER'SKITCHENふぁむ","(株)グッドホーム","八王子市","042-659-1133","登坂","https://www.kcfam.com/","info@kcfam.com","弁当","食品","50","50","1","応相談","自力での納品可","無","無","無",""
