"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"11","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","住居表示板（小）清掃","清掃","","２～３枚/日","1ヶ月","2000円/枚","","無","有","無","洗剤、専用スプレー等を使って落書き、貼り紙等を落とします。"
"12","リバーサイドつつじ","特定非営利活動法人つつじ","中央区","03-6673-8081","","http://npotutuji.com/riverside.html","rivetutu@yahoo.co.jp","名刺","印刷","100枚","2000枚","3日～5日「","100枚2370円～","自力での納品可","無","無","有","注文枚数や納品方法はご相談下さい。自力納品できる地域が限定されます。それ以外の地域は郵送で納品致します。郵送、自力納品に係る費用は別途かかります。"
"13","リバーサイドつつじ","特定非営利活動法人つつじ","中央区","03-6673-8081","","http://npotutuji.com/riverside.html","rivetutu@yahoo.co.jp","封入作業","封入・封緘","100セット","1000セット","1週間～1ヵ月","1工程で金額を要相談","発注元による回収希望","無","無","有","封入内容、量等により、納期や単価、納品方法はご相談下さい。郵送費は別途かかります。"
"14","中央区立レインボーハウス明石","社会福祉法人東京都手をつなぐ育成会","中央区","03-6226-1099","小宮","http://www.ikuseikai-tky.or.jp/~iku-r.b.h/","rbh_akashi@ikuseikai-tky.or.jp","クラフトカゴ","生活用品","1","10","１０日","500円/個","発注元による回収希望","無","無","有","赤茶色の商品となります。その他の色については応相談。"
"15","中央区立レインボーハウス明石","社会福祉法人東京都手をつなぐ育成会","中央区","03-6226-1099","小宮","http://www.ikuseikai-tky.or.jp/~iku-r.b.h/","rbh_akashi@ikuseikai-tky.or.jp","クラフトリボンヘアゴム","その他","1","10","７日","320円/個","発注元による回収希望","無","無","有","色については応相談。"
"16","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","タオル折り、のし掛け、ポリ袋入れ","箱・袋詰め","1枚","1000枚","４日","5円/枚","発注元による回収希望","無","有","有",""
"17","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","箱組立て","箱・袋詰め","1枚","200個","2日","20円/個","発注元による回収希望","無","無","有",""
"18","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","値札・商品シール貼り","その他","100枚","3000枚","3日","2円/枚","発注元による回収希望","無","無","有",""
"19","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","商品タグ紐結び","その他","100枚","1000枚","3日","2円/枚","発注元による回収希望","無","無","有",""
"20","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","ぬいぐるみ制作","その他","100個","1000個","6か月","4000円/個","自力での納品可","無","無","有","婚礼､出産祝い用ぬいぐるみの制作､加工にて全国式場､ﾎﾃﾙへの納品を行っています｡"
"21","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","縫製小物（マスコット、バッグ、ポーチ等）","生活用品","50個","5000個","6か月","1000円/個","自力での納品可","無","有","有","デザイントートバッグやキャラクタ―マスコットの企画制作が可能。港区：スマートバッグ、民間⇒キャラクターマスコット、その他"
"22","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","洋服（丈詰め、袖詰め）","生活用品","30枚","300枚","1か月","500円/枚","自力での納品可","無","無","有","スーツ等のパンツの丈詰め、ジャケットの袖詰め等"
"23","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","PRフラッグ再利用","その他","10枚","300枚","1か月","1000円/枚","自力での納品可","無","有","有","PR用フラッグの再利用としてリメイクを行います。東京マラソン財団⇒トートバッグ港区⇒ステージ用カバー麻布十番商店街⇒トートバッグ"
"24","オフィス クローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","ダイレクトメールなどの丁合、封入、封緘、発送","封入・封緘","100セット","5000セット","5日間","5点丁合封入、封緘で10円～50円","発注元による回収希望","有","有","有","イベントや会議の資料のセット組、関係機関や団体への機関誌の発送他、資料をセットし、封入可能。封筒に宛名シールとメール便シールや切手を貼付し発送可能。"
"25","オフィス クローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","文章・住所録、会計用レシート等の入力","データ入力","1000字","10000字","10日間","入力1字0.5円～レシート入力1件5円～","発注元による回収希望","無","無","有","手書きの原稿をワードで入力し機関誌を作成したり、レシートをエクセルの書式に入力するなど可。最終チェックは必ず職員が行い納品します。"
"26","オフィス クローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","白黒印刷","印刷","100枚","50000枚","10日間","白黒印刷A41版1円～作業基本料1000円～","発注元による回収希望","有","無","有","封筒に社名やイベント名印刷。イベントや会議の配布資料印刷が可能。ご要望に合わせて版下作成も可能。簡易印刷機による白黒印刷の他、ご相談によっては一部カラーページも可。"
"27","オフィス クローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","商品の袋詰め","箱・袋詰め","100セット","3000セット","5日間","1セット10円","発注元による回収希望","無","無","有","イベントで配布するもののセット組などできます。ビーズなどの小物のOPP袋への封入や、カルチャー教室のキットのセット作業を受託しています。"
"28","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","CMS作業","データ入力","","25人/日","1日","1200円 ～","自力での納品可","無","無","有","自治体の運営するHPなどの、多量なページのリニューアルやアクセシビリティー化を、専用のシステムを使用し、短期間で行います。"
"29","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","画像加工（白塗り）","データ入力","","200画像","3日","100円 ～","自力での納品可","無","無","有","商品画像の白塗りやトリミングなど、丁寧に行います。"
"30","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","HP編集・データ入力","データ入力","","1HP","2週間","10万円 ～","自力での納品可","無","無","有","アンケート集計・データ入力・情報処理からHP制作・ワードプレスへの流し込みまでIT軽作業を請負います。"
"31","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","軽作業・検品・梱包","箱・袋詰め","","300個","１日","30円 ～","自力での納品可","無","有","有","検品・箱折り・封入・梱包など軽作業全般を請負います。"
"32","ストローク・サービス","ストローク会","新宿区","03-5996-9533","","http://stroke-kai.jimdo.com","shuuroushien@stroke.jp","施設清掃","清掃","見積もりの上応相談","見積もりの上応相談","1年間","見積もりの上応相談","自力での納品可","無","無","有","高い技術力を持った職員による指導の下、安全で丁寧な作業を心がけ、日常清掃・定期清掃どちらも行います。作業内容・費用についてはご相談ください。"
"33","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","点字用紙封筒の作成・販売","事務用品","30","1000","1か月","３枚入￥150","発注元による回収希望","有","有","有","企業さまのイベント記念品として￥1200セット×180点納品"
"34","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","タクシー点字シール作成","その他","1","600","１週間","１枚￥242","自力での納品可","無","無","有","タクシー点字シールを600件受注。その他タクシー用でなくても、点字シールの作成受注いたします。"
"35","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","点字印刷の受注","印刷","100","1000","１週間","１枚￥15","発注元による回収希望","有","有","有","名刺に点字印刷を施す作業や、書類・紙製品に点図印刷をする仕様などを亜鉛版作成から受注しております。"
"36","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","点字古紙封筒の受注","事務用品","100","1500","2か月","1枚￥20","自力での納品可","有","有","有","定型サイズ（角型３号・長３・長4・洋型封筒など）の封筒を点字リサイクル用紙で作成したものを受注しております。（印刷も可）"
"37","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","封入・封緘","封入・封緘","1点封入1枚","1点封入の場合1000枚/日","土日祝を除く5日間","1工程1円～","発注元による回収希望","無","無","有","短納期・大量数に関しては、近隣事業所と共同受注で対応することも出来ます。"
"38","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","箱・袋詰め","箱・袋詰め","1点袋詰1個","1点袋詰の場合500個/日","土日祝を除く5日間","1工程1円～","発注元による回収希望","無","無","有","短納期・大量数に関しては、近隣事業所と共同受注で対応することも出来ます。"
"39","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","清掃","清掃","50m2","1000m2","1年間","10円/m2","自力での納品可","無","無","有","公園の清掃を複数名の利用者と職員がチームになり丁寧に作業致します。"
"40","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","花壇の維持管理","その他","5m2","50m2","1年間","500円/m2（花代含む）","自力での納品可","無","有","無","公園内の花壇の花が年間を通して綺麗に咲いている状態を維持します。"
"41","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","CMS作業","データ入力","","25人/日","1日","1200円 ～","自力での納品可","無","無","有","自治体の運営するHPなどの、多量なページのリニューアルやアクセシビリティー化を、専用のシステムを使用し、短期間で行います。"
"42","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","画像加工（白塗り）","データ入力","","200画像","3日","100円 ～","自力での納品可","無","無","有","商品画像の白塗りやトリミングなど、丁寧に行います。"
"43","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","HP編集・データ入力","データ入力","","1HP","2週間","10万円 ～","自力での納品可","無","無","有","アンケート集計・データ入力・情報処理からHP制作・ワードプレスへの流し込みまでIT軽作業を請負います。"
"44","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","軽作業・検品・梱包","箱・袋詰め","","300個","１日","30円 ～","自力での納品可","無","有","有","検品・箱折り・封入・梱包など軽作業全般を請負います。"
"45","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","CMS作業","データ入力","","25人/日","1日","1200円 ～","自力での納品可","無","無","有","自治体の運営するHPなどの、多量なページのリニューアルやアクセシビリティー化を、専用のシステムを使用し、短期間で行います。"
"46","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","画像加工（白塗り）","データ入力","","200画像","3日","100円 ～","自力での納品可","無","無","有","商品画像の白塗りやトリミングなど、丁寧に行います。"
"47","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","HP編集・データ入力","データ入力","","1HP","2週間","10万円 ～","自力での納品可","無","無","有","アンケート集計・データ入力・情報処理からHP制作・ワードプレスへの流し込みまでIT軽作業を請負います。"
"48","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","軽作業・検品・梱包","箱・袋詰め","","300個","１日","30円 ～","自力での納品可","無","有","有","検品・箱折り・封入・梱包など軽作業全般を請負います。"
"49","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","封筒印刷（単色及びフルカラー）","印刷","50枚","10000枚","7日間","6円","自力での納品可","有","有","有","名入り封筒(色彩はいろいろと調整可能です）"
"50","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","プラスティック製カード印刷","印刷","１枚","50枚","7日間","800円","自力での納品可","無","無","有","顔写真付き職員証"
"51","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","紙製品の印刷・製本","印刷","１部","1000部","３0日間","12円／枚","自力での納品可","有","有","有","生徒証（大きさは調整可能です）事業概要・研究報告書等（製本）"
"52","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","ＤＭ・チラシの封入や発送、宛名シール貼り等","封入・封緘","200","20000","7日間","１工程１～５円","発注元による回収希望","無","有","有","会報誌封入封緘、ポケットティッシュチラシ封入等"
"53","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","清掃作業","清掃","","","１年間","","自力での納品可","無","有","有","施設外清掃（公園清掃、新宿大ガード清掃、幼稚園清掃、旧西新宿小学校清掃など）"
"54","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","メール便仕分け作業","その他","","","１年間","","自力での納品可","無","無","有","ヤマト運輸落合支店（月～土）"
"55","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","封入・封緘","封入・封緘","","5000","１週間","","自力での納品可","無","有","有",""
"56","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","清掃作業","清掃","","","１年間","","自力での納品可","無","有","有","施設外清掃（公園清掃、新宿大ガード清掃、幼稚園清掃、旧西新宿小学校清掃など）"
"57","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","メール便仕分け作業","その他","","","１年間","","自力での納品可","無","無","有","ヤマト運輸落合支店（月～土）"
"58","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","封入・封緘","封入・封緘","","5000","１週間","","自力での納品可","無","有","有",""
"59","西早稲田あした作業所","社会福祉法人新宿あした会","新宿区","03-5155-3340","小山","http://www.ashitakai.or.jp","nishiwaseda-s@ashitakai.or.jp","コーヒー豆焙煎ドリップバック5個詰","食品","1","50","7日","400円","自力での納品可","無","無","有","ご自宅用・社内ドリンク用・贈答用・喫茶店委託販売"
"60","西早稲田あした作業所","社会福祉法人新宿あした会","新宿区","03-5155-3340","小山","http://www.ashitakai.or.jp","nishiwaseda-s@ashitakai.or.jp","コーヒー豆焙煎焙煎豆100ｇ","食品","1","40","7日","500円","自力での納品可","無","無","有","ご自宅用・社内ドリンク用・贈答用・喫茶店委託販売"
"61","西早稲田あした作業所","社会福祉法人新宿あした会","新宿区","03-5155-3340","小山","http://www.ashitakai.or.jp","nishiwaseda-s@ashitakai.or.jp","コーヒー豆焙煎焙煎豆200ｇ","食品","1","20","7日","900円","自力での納品可","無","無","有","ご自宅用・社内ドリンク用・贈答用・喫茶店委託販売"
"62","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","封入作業","封入・封緘","500","100000","作業量による","2円/枚","発注元による回収希望","無","有","有","急ぎの作業にも対応します"
"63","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","パン販売","食品","50","200","1日","種類のより異なる","発注元による回収希望","無","有","有","早い時間や土日祝祭日の場合は前日焼きになる場合があります"
"64","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","機織り","生活用品","製品による","製品による","製品による","製品による","自力での納品可","無","無","有","手作り品の為、在庫に限りがあります"
"65","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","柚子胡椒","食品","10","100","3週間","400円","自力での納品可","無","無","有","時期により対応が難しい場合があるので要相談"
"66","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","くるもボタンブローチ（刺繍）","生活用品","10","30","２週間","２００円","自力での納品可","無","無","無",""
"67","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","ハッピーバード（フェルト装飾品）","生活用品","10","30","２週間","６００円","自力での納品可","無","無","無",""
"68","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","キャンディーポーチ（刺繍）","生活用品","5","10","２週間","５００円～","自力での納品可","無","無","有","一般社団法人むすびリボンプロジェクト"
"69","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","がま口ポーチ（刺繍）","生活用品","3","6","２週間","1600円","自力での納品可","無","無","無",""
"70","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","パン・焼き菓子","食品","３０個","２５０個","１週間","１５０円～","自力での納品可","無","有","有","焼立てパンと焼き菓子（ラスク・マフィン）を製造致します。"
"71","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","受注作業","封入・封緘","適量","要相談","適時","要相談","自力での納品可","無","有","有","封入・封緘作業を行います。"
"72","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","メモ帳","生活用品","１０個","要相談","適時","１００円～","自力での納品可","無","無","有","当施設キャラクター商品です。付箋タイプもございます。"
"73","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","刺繍加工","生活用品","適量","要相談","適時","５００円～","自力での納品可","無","無","無","布製品（Tシャツ、ミニトートなど）への刺繍を致します。"
"74","アビーム","社会福祉法人復生あせび会","文京区","03-3945-2195","","http://www.asebika.com","abeam@asebikai.com","名刺／封筒","印刷","１セット：１００枚","１０００枚","７営業日(原則）","片面カラー１セット９１６円～","発注元による回収希望","無","有","有",""
"75","アビーム","社会福祉法人復生あせび会","文京区","03-3945-2195","","http://www.asebika.com","abeam@asebikai.com","ダイレクトメール発送代行","封入・封緘","","３０００部","７営業日(原則）","","自力での納品可","無","無","有","３点封入までは５０００部対応可能"
"76","アビーム","社会福祉法人復生あせび会","文京区","03-3945-2195","","http://www.asebika.com","abeam@asebikai.com","自主製品(水引しおり/ストラップ他）","生活用品","","２０セット","７営業日(原則）","しおり５００円～ストラップ４００円～","自力での納品可","無","無","有",""
"77","は～と・ピア２","社会福祉法人文京槐の会","文京区","03-6801-8571","市川","http://www.enjunokai.com/","heartpia2@enjunokai.com","チラシ等の挿み込み","封入・封緘","500部","２０００部","３日","２円/１枚２．８円/２枚３．６円/３枚４．４円/４枚","自力での納品可","無","無","有",""
"78","は～と・ピア２","社会福祉法人文京槐の会","文京区","03-6801-8571","市川","http://www.enjunokai.com/","heartpia2@enjunokai.com","箸の袋入れ","箱・袋詰め","500膳","２０００膳","１日","１円/１膳","自力での納品可","無","無","無",""
"79","は～と・ピア２","社会福祉法人文京槐の会","文京区","03-6801-8571","市川","http://www.enjunokai.com/","heartpia2@enjunokai.com","公園清掃","清掃","1000m2","4500m2","週１/1年間","1.3円／m2","自力での納品可","無","無","有",""
"80","ワークプレイスぶんぶん","武蔵野会","文京区","03-5940-2822","近藤","https://team-lien.com/","kondo@team-lien.com","パン","食品","50","150","７日","１００～３００円","自力での納品可","無","無","有","喫茶にて毎日パンを焼成しています。販売から、ご注文いただいてからの納品など毎日対応可能です。"
"81","ワークプレイスぶんぶん","武蔵野会","文京区","03-5940-2822","近藤","https://team-lien.com/","kondo@team-lien.com","封入・封緘","封入・封緘","100","15000","１０日","５円","自力での納品可","無","無","有","製品や内容によってお受けできない場合もありますが、いただける仕事は誠実に取り組みます。"
"82","ワークプレイスぶんぶん","武蔵野会","文京区","03-5940-2822","近藤","https://team-lien.com/","kondo@team-lien.com","部品、食品等のパッキング","箱・袋詰め","100","120","７日","50円","自力での納品可","無","無","有",""
"83","銀杏企画","社会福祉法人本郷の森","文京区","03-5684-0991","瀬川","http://www.hongounomori.com/","ichou@hongounomori.com","封入・封緘","封入・封緘","100","70000","1か月","1工程2円～","自力での納品可","無","有","有","近くなら自力での納品も出来ますが、出来れば発注元の回収を望みます"
"84","銀杏企画","社会福祉法人本郷の森","文京区","03-5684-0991","瀬川","http://www.hongounomori.com/","ichou@hongounomori.com","封入・封緘","封入・封緘","","3500","1日","1工程2円～","自力での納品可","無","有","有","近くなら自力での納品も出来ますが、出来れば発注元の回収を望みます"
"85","銀杏企画","社会福祉法人本郷の森","文京区","03-5684-0991","瀬川","http://www.hongounomori.com/","ichou@hongounomori.com","封入・封緘","封入・封緘","","40200","1か月","21円～28円","自力での納品可","無","有","","文京区からの依頼郵便局納品までの手数料含む"
"86","銀杏企画2","社会福祉法人本郷の森","文京区","03-5684-0999","若狭","http://www.ab.auone-net.jp/~ichou2/","ichou2@hongounomori.com","ＤＭ・チラシの封入や発送、宛名シール貼り等","封入・封緘","","5000","5日","10円/1件","発注元による回収希望","無","有","有",""
"87","銀杏企画2","社会福祉法人本郷の森","文京区","03-5684-0999","若狭","http://www.ab.auone-net.jp/~ichou2/","ichou2@hongounomori.com","グリーティングカードの加工","その他","","300","1日","10円/1セット","発注元による回収希望","無","無","有",""
"88","銀杏企画2","社会福祉法人本郷の森","文京区","03-5684-0999","若狭","http://www.ab.auone-net.jp/~ichou2/","ichou2@hongounomori.com","ポスティング","その他","","300枚","1日","5円/1枚","発注元による回収希望","無","無","有","チラシを送って頂けば文京区本郷近郊に配ります。"
"89","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","封入・封緘","封入・封緘","","15000","20日","16円","自力での納品可","無","有","有","年3～4回法人内事業所3所にて大口受注しています"
