"保険者番号","保険者別","税・料別","賦課算定方式","徴収回数(回)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"14","中野区","料","2方式","10","1799385","64.87","","","974300","35.13","","","2773685","213039","213","1553","446464","-19963","2092453"
"15","杉並区","料","2方式","10","3214357","67.90","","","1519906","32.10","","","4734263","295465","164","7709","795191","-140885","3494849"
"16","豊島区","料","2方式","10","1668072","64.22","","","929221","35.78","","","2597293","218171","57","886","429406","-43380","1905393"
"17","北区","料","2方式","10","1345557","57.27","","","1003925","42.73","","","2349482","245687","80","1559","214703","58738","1946191"
"18","荒川区","料","2方式","10","949196","58.46","","","674492","41.54","","","1623688","156239","0","0","140176","-47287","1279986"
"19","板橋区","料","2方式","10","2461008","61.00","","","1573322","39.00","","","4034330","352283","1","3678","470349","-50301","3157718"
"20","練馬区","料","2方式","10","3564762","64.94","","","1924301","35.06","","","5489063","400826","401","7215","913142","-83203","4084276"
"21","足立区","料","2方式","10","3068505","58.75","","","2154254","41.25","","","5222759","485915","276","4190","534030","-38928","4159420"
"22","葛飾区","料","2方式","10","1942976","59.07","","","1346436","40.93","","","3289412","304727","23","1292","330276","-49319","2603775"
"23","江戸川区","料","2方式","10","2911160","60.12","","","1930932","39.88","","","4842092","428460","73","2674","572032","-106201","3732652"
"24","八王子市","税","2方式","9","2052391","56.52","","","1578696","43.48","","","3631087","338126","82","3247","318958","-47367","2923307"
"25","立川市","料","2方式","9","867856","63.93","","","489632","36.07","","","1357488","109450","3","372","191375","-19819","1036469"
"26","武蔵野市","税","2方式","8","771648","73.82","","","273696","26.18","","","1045344","53608","172","1893","233856","-27085","728730"
"27","三鷹市","税","2方式","8","638820","64.96","","","344590","35.04","","","983410","68927","91","1682","165949","-9713","737048"
"28","青梅市","税","2方式","8","450576","60.62","","","292718","39.38","","","743294","64828","2","654","44097","-6895","626818"
"29","府中市","税","2方式","9","786350","65.41","","","415845","34.59","","","1202195","89280","40","1343","130360","-10083","971089"
"30","昭島市","税","2方式","8","437063","57.10","","","328416","42.90","","","765479","75085","0","273","64485","-12315","613321"
"31","調布市","税","2方式","8","722075","64.95","","","389722","35.05","","","1111797","82082","4","1792","141110","1973","888782"
"32","町田市","税","3方式","8","1347699","59.34","","","734414","32.34","188990","8.32","2271103","193156","241","3919","221344","-10738","1841705"
"33","福生市","税","2方式","8","231559","53.84","","","198539","46.16","","","430098","49559","0","173","29972","-6924","343470"
"34","羽村市","税","2方式","8","165549","57.92","","","120292","42.08","","","285841","24593","0","186","14042","-3986","243034"
"35","瑞穂町","税","2方式","8","114454","64.41","","","63243","35.59","","","177697","13371","17","62","15776","-2391","146080"
"36","あきる野市","税","2方式","8","284902","57.46","","","210897","42.54","","","495799","42390","0","397","21490","-9903","421619"
"37","日の出町","税","2方式","8","52646","56.59","","","40384","43.41","","","93030","7649","0","116","2210","-842","82213"
"39","檜原村","税","2方式","8","5448","47.59","","","6000","52.41","","","11448","1532","0","0","144","397","10169"
