"","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／合計","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／1～10本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／11～20本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／21～30本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／31～40本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／40本以上","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／(再掲)21本以上","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／無回答","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／合計／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／1～10本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／11～20本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／21～30本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／31～40本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／40本以上／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／(再掲)21本以上／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／無回答／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／合計／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／1～10本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／11～20本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／21～30本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／31～40本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／40本以上／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／(再掲)21本以上／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／無回答／(再掲)ときどき吸う日がある","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／合計","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／やめたい","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／本数を減らしたい","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／やめたくない","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／わからない","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／無回答","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／合計","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／ある","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／ない","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／わからない","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／無回答"
"70歳～(人)","14","8","5","1","0","0","1","0","12","6","5","1","0","0","1","0","2","2","0","0","0","0","0","0","14","2","0","12","0","0","14","4","2","8","0"
"70歳～(%)","100","57.1","35.7","7.1","0","0","7.1","0","100","50","41.7","8.3","0","0","8.3","0","100","100","0","0","0","0","0","0","100","14.3","0","85.7","0","0","100","28.6","14.3","57.1","0"
"女性総数(人)","18","8","9","0","1","0","1","0","15","5","9","0","1","0","1","0","3","3","0","0","0","0","0","0","18","3","6","6","3","0","18","8","0","10","0"
"女性総数(%)","100","44.4","50","0","5.6","0","5.6","0","100","33.3","60","0","6.7","0","6.7","0","100","100","0","0","0","0","0","0","100","16.7","33.3","33.3","16.7","0","100","44.4","0","55.6","0"
"20～29歳(人)","3","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","3","1","1","0","1","0","3","0","0","3","0"
"20～29歳(%)","100","66.7","33.3","0","0","0","0","0","100","0","100","0","0","0","0","0","100","100","0","0","0","0","0","0","100","33.3","33.3","0","33.3","0","100","0","0","100","0"
"30～39歳(人)","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0"
"30～39歳(%)","100","100","0","0","0","0","0","0","100","100","0","0","0","0","0","0","","","","","","","","","100","0","100","0","0","0","100","0","0","100","0"
"40～49歳(人)","4","2","2","0","0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","2","0","0","4","2","0","2","0"
"40～49歳(%)","100","50","50","0","0","0","0","0","100","50","50","0","0","0","0","0","","","","","","","","","100","0","50","50","0","0","100","50","0","50","0"
"50～59歳(人)","5","1","4","0","0","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","2","1","1","0","5","2","0","3","0"
"50～59歳(%)","100","20","80","0","0","0","0","0","100","20","80","0","0","0","0","0","","","","","","","","","100","20","40","20","20","0","100","40","0","60","0"
"60～69歳(人)","5","2","2","0","1","0","1","0","4","1","2","0","1","0","1","0","1","1","0","0","0","0","0","0","5","1","0","3","1","0","5","4","0","1","0"
"60～69歳(%)","100","40","40","0","20","0","20","0","100","25","50","0","25","0","25","0","100","100","0","0","0","0","0","0","100","20","0","60","20","0","100","80","0","20","0"
"70歳～(人)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70歳～(%)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
