"施策の体系","少子化打破","実P","重点的取組","数値目標","計画番号","事業名","所管局","事業概要","平成22年度実績","平成23年度実績","平成24年度実績","平成25年度実績","平成26年度実績"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","12","食を通じた子供の健全育成","教育庁","子供たちが食に関する適切な判断力を養い、健全な食生活を身に付けられるよう、次の取組を推進する。／○「食育研究指定地区」に指定した区市に栄養教諭を配置し、地場産物を活用した食育の実践研究を行い、研究成果を全区市町村に広め、食育の推進を図る。","○食育研究指定地区10区市／栄養教諭を指定地区に各1名配置（計26名配置）／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○食育研究指定地区9区市／栄養教諭を指定地区に各1名配置（計35名配置）／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○食育研究指定地区8区市／栄養教諭を指定地区に各1名配置（計44名配置）／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○栄養教諭の複数配置（９区）栄養教諭配置計49名／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○栄養教諭の複数配置の推進（１１区１市）／○栄養教諭の資質向上及び食育リーダーの支援等による食育の推進／○食に関する指導研修会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","12","食を通じた子供の健全育成","福祉保健局","○幼児期からの健康的な食習慣の確立を図るため、「東京都幼児向け食事バランスガイド」の普及を行うとともに、区市町村等が実施する親子食育教室等の開催を支援する。／○「東京都健康推進プラン21（栄養・食生活分野）推進連絡会議」を開催し、区市町村や保健所における食を通じた子どもの健全育成のための推進方策の検討や情報交換等を行い、各自治体の取組を支援する。","○技術支援／・幼稚園、保育所等の職員向け講習会の開催5回／・親子食育教室等の開催支援70回／・栄養士・管理栄養士養成施設向け講習の開催１回／○普及啓発／・都民に対する普及啓発等2回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催8回／・親子食育教室等の開催支援67回／・栄養士・管理栄養士養成施設向け講習の開催1回／○普及啓発／・都民に対する普及啓発等2回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催3回／・親子食育教室等の開催支援85回／・栄養士・管理栄養士養成施設向け講習の実施1回／○普及啓発／・都民に対する普及啓発等3回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催1回／・親子食育教室等の開催支援69回／・栄養士・管理栄養士養成施設向け講習の実施1回／○普及啓発／・都民に対する普及啓発等3回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催 1回／・親子食育教室等の開催支援 73回／・栄養士・管理栄養士養成施設向け講習の実施 0回／○普及啓発／・都民に対する普及啓発等 2回"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","13","医療保健政策区市町村包括補助事業","福祉保健局","身近な地域医療・保健の実施主体である区市町村が地域の実情に合わせて行う自主的、主体的な取組を支援し、医療保健サービスの向上を推進する。","交付確定額2,026,089千円／62区市町村","交付確定額2,145,275千円／61区市町村","交付確定額1,862,331千円／61区市町村","交付確定額2,193,248千円／61区市町村","交付確定額 1,782,003千円 61区市町村"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","","○","14","子育て短期支援事業（ショートステイ）","福祉保健局","子育て家庭が、ショートステイのサービスを、必要に応じて利用することができるよう、整備に取り組む区市町村を支援する。","45区市町（20区24市１町）","47区市町（21区25市１町）","51区市町（23区26市2町）","51区市町（23区26市2町）","51区市町（23区26市2町）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","○","○","15","一時預かり事業","福祉保健局","地域の保育需要に対応するため、保育所等で児童を一時的に預かるなどにより、安心して子育てができる環境を整備する。","年間延べ利用児童数：375,958人","年間延べ利用児童数：423,948人","年間延べ利用児童数：454,285人","年間延べ利用児童数：514,205人","年間延べ利用児童数：572,441人【確定見込数】"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","","○","16","乳児家庭全戸訪問（こんにちは赤ちゃん）・養育家庭訪問事業","福祉保健局","生後4ヶ月までの乳児のいるすべての家庭を訪問する乳児家庭全戸訪問事業や、保護者の養育を支援することが特に必要な家庭を訪問し支援する養育支援訪問事業を実施する区市町村の取組を支援する。","乳児家庭全戸訪問事業48区市町村（20区22市4町2村）／養育支援訪問事業49区市町","乳児家庭全戸訪問事業52区市町村（21区24市4町3村）／養育支援訪問事業50区市町","乳児家庭全戸訪問事業54区市町村（22区25市4町3村）／養育支援訪問事業52区市町（23区26市3町）","乳児家庭全戸訪問事業54区市町村（22区25市4町3村）／養育支援訪問事業53区市町（23区26市4町）","乳児家庭全戸訪問事業 53区市町村（23区25市3町2村）養育支援訪問事業 50区市町（23区25市2町）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","","○","17","ファミリー・サポート・センター事業<子供家庭支援区市町村包括補助事業及び保育緊急確保事業>","福祉保健局","仕事と家庭の両立や子を持つすべての家庭の子育てを支援するため、地域の会員同士で育児の援助を行うファミリー･サポート･センターの安定的な実施に取り組む区市町村を支援する。","47区市町（22区23市2町）／提供会員数：13,012人","47区市町（22区23市2町）／提供会員数：13,446人","47区市町（22区23市2町）／提供会員数：13,496人","48区市町（22区24市2町）／提供会員数：13,968人","48区市町（22区24市2町）提供会員数：14,452人"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","新","○","","18","子育て支援のための拠点施設整備事業","福祉保健局","地域における子育て支援の中心となる「子育て支援のための拠点施設」の整備に取り組む区市町村を支援する。また、子育て家庭に対する一時預かりを実施する施設整備への補助を拡充し、在宅で子育てをする家庭への支援を推進する。","1か所／1区","7か所／7区市（3区4市）","1か所／1市","2か所／2区","2か所／1区1市"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","","○","","19","小児救急医療体制の充実（初期・二次救急）","福祉保健局","子どもの急病に対応するため、区市町村が地域の小児科医の協力を得て実施する「小児初期救急平日夜間診療事業」に対して積極的な支援を行う。入院を必要とする小児の救急患者に対応する二次救急医療については、小児科の「休日・全夜間診療事業」を引き続き実施し、原則、固定・通年制で常時小児科医師による対応が可能な体制を確保する。","＜初期救急＞32区市（18区14市）／＜二次救急＞71床（46施設）","＜初期救急＞32区市（18区14市）／＜二次救急＞72床（47施設）","＜初期救急＞32区市（18区14市）／＜二次救急＞76床（50施設）","＜初期救急＞35区市町（18区16市1町）／＜二次救急＞79床（51施設）","＜初期救急＞35区市町（18区16市1町）／＜二次救急＞80床（51施設）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","○","","","20","地域における小児医療研修","福祉保健局","地域の診療所の医師を対象とした「地域小児医療研修（臨床研修）」や症例報告・疾病別の発生動向等の情報交換を行う地域研修会の実施などにより、小児救急医療の基盤を強化する。","地域小児医療研修（臨床研修）11名","地域小児医療研修（臨床研修）15名","地域小児医療研修（臨床研修）４名","地域小児医療研修（臨床研修）１６名","地域小児医療研修（臨床研修） １２名小児救急研修会 ４１名"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","","","","21","休日・全夜間診療参画医療機関整備費等補助（小児）","福祉保健局","小児科の救急患者に対し、24時間365日小児科医が対応する診療体制を確保するため、整備費の補助を行う。","0施設","0施設","2施設","１施設","１施設"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","","","","22","休日・全夜間診療事業（小児・専任看護師配置）","福祉保健局","休日・全夜間診療事業（小児）を行う医療機関において、緊急性の高い患者の命を守るため、救急医療の要否や診療の順番を判断する「トリアージ」の実施を支援し、迅速に適切な治療につなげる体制を整備する。","3施設","6施設","7施設","7施設","7施設"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","","","","23","休日・全夜間診療事業（小児・重症対応）","福祉保健局","夜間・休日に複数の小児科医師を配置し、重症の小児救急患者を積極的に受け入れて治療にあたる小児二次救急医療機関を確保する。","3施設","※平成23年度から救命救急センター運営事業の小児救急専門病床加算により推進することとし、平成22年度末で本事業は終了。","※平成23年度から救命救急センター運営事業の小児救急専門病床加算により推進することとし、平成22年度末で本事業は終了。","※平成23年度から救命救急センター運営事業の小児救急専門病床加算により推進することとし、平成22年度末で本事業は終了。","※平成23年度から救命救急センター運営事業の小児救急専門病床加算により推進することとし、平成22年度末で本事業は終 了。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","★","","","","24","休日・全夜間診療事業（小児）参画等支援","福祉保健局","休日・全夜間診療事業参画医療機関及び参画予定医療機関に対し、医師確保経費を補助することにより小児医療体制の強化を図る。","11施設","10施設","8施設","引き続き、地域における小児二次救急医療体制の強化を図っていくこととし、本事業は終了。","引き続き、地域における小児二次救急医療体制の強化を図っていくこととし、本事業は終了。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","★","","","","25","小児救急医師確保緊急事業","福祉保健局","地域における小児医療体制の強化が必要な保健医療圏の中核的病院等での病院勤務を通じて小児医療の調査研究を行う意向を有する大学に「小児医療調査研究講座（仮称）」を設置する。","8大学","8大学","8大学","引き続き、地域における小児二次救急医療体制の強化を図っていくこととし、本事業は終了。","引き続き、地域における小児二次救急医療体制の強化を図っていくこととし、本事業は終了。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","☆","○","","","26","救急専門医等養成事業（小児）","福祉保健局","小児救急患者に対し、より的確で迅速な救命処置を行うことのできる人材を育成するため、小児救急医療を担う救急医療機関に勤務する小児科医等を対象に、小児救急医療に関する専門的な研修（PALS研修）を行う。","235名","239名","254名","230名","234名"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","★","新","","○","27","こども救命センターの創設","福祉保健局","重篤な小児救急患者を迅速に受け入れ、外科・内科を問わず小児特有の症状に対応した高度な救命治療を実施する。こども救命センターでは、医療連携の拠点として、円滑な転院搬送のための施設間調整を行うとともに、地域の医療機関をサポートする臨床教育・研修等を実施する。","4施設（平成22年8月27日指定、平成22年9月1日運用開始）","4施設","4施設","4施設","4施設"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","★","新","","","28","小児救急医療対策協議会","福祉保健局","小児医療体制の強化に向けた検討・協議を行う「小児救急医療対策協議会」を設置する。協議会では、小児医療体制の強化に向け、一次から三次救急医療施設の小児医療ネットワークの構築について検討・協議を行う。","1回開催","協議会１回、部会１回開催","協議会１回、部会３回開催","協議会１回、部会５回開催","協議会１回、部会３回開催"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","★","","","","29","小児医療ネットワークモデル事業","福祉保健局","医療施設間のネットワーク構築を円滑なものとし、効率的な医療連携体制を確立するため、一次から二次、二次から三次までの連携について、多摩地域を対象として、ネットワーク構築のための連携モデル事業を実施する。","○地域小児医療ネットワーク（初期～二次連携モデル事業）／地域の小児医療の中核となる二次救急医療施設と地域の診療所等との初期～二次の医療連携を図るため、地域の連携会議を行うほか、研修事業等を実施／○多摩小児医療ネットワーク（二次～三次連携モデル事業）／こども救命センターである都立小児総合医療センターと、地域の二次医療機関である多摩北部医療センターに情報システムを整備し、二次医療機関と三次医療機関の連携モデル事業を実施","継続実施","継続実施","事業終了。今後は、本事業で構築したネットワークを活用し、地域の小児医療ネットワークの強化を図る。","事業終了。今後は、本事業で構築したネットワークを活用し、地域の小児医療ネットワークの強化を図る。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","☆","新","","○","30","周産期医療システムの整備","福祉保健局","出産前後の母体・胎児や新生児に対する高度な医療に対応できる周産期母子医療センターなどの整備を進めるとともに、総合的な周産期医療体制の確立を図る。","NICU（新生児集中治療管理室）病床数264床／（参考）／総合周産期母子医療センター11所（新規1所）／地域周産期母子医療センター12所（新規1所）","NICU（新生児集中治療管理室）病床数282床／（参考）／総合周産期母子医療センター12所（新規1所）／地域周産期母子医療センター12所","NICU（新生児集中治療管理室）病床数291床／（参考）／総合周産期母子医療センター13所（新規1所）／地域周産期母子医療センター11所","NICU（新生児集中治療管理室）病床数294床／（参考）／総合周産期母子医療センター13所／地域周産期母子医療センター12所（新規1所）","NICU（新生児集中治療室）病床数 ３１５床／（参考）／総合周産期母子医療センター 13所／地域周産期母子医療センター 12所"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","☆","","","","31","周産期医療施設等整備費補助","福祉保健局","都内の新生児疾患の診断･治療及びリスクの高い妊産婦等の医療的管理を行う周産期施設の整備等を行うことにより、地域において出産前後の母体胎児から新生児に至る一貫した医療を提供する。","施設整備（小児）2施設、施設整備（周産期）1施設、GCU施設整備1施設／設備整備（小児）11施設、設備整備（周産期）5施設、GCU設備整備10施設／新生児蘇生法研修用物品3施設","設備整備（小児）10施設、設備整備（周産期）5施設／GCU設備整備6施設／新生児蘇生法研修用物品1施設","施設整備（小児）1施設、施設整備（周産期）1施設／設備整備（小児）12施設、設備整備（周産期）7施設／GCU設備整備6施設／新生児蘇生法研修用物品2施設","施設整備（小児）2施設、施設整備（周産期）1施設／設備整備（小児）10施設、設備整備（周産期）5施設／GCU施設整備1施設、GCU設備整備8施設／新生児蘇生法研修用物品3施設","施設整備（小児）1施設、施設整備（周産期）1施設設備整備（小児）13施設、設備整備（周産期）7施設 GCU設備整備11施設、新生児蘇生法研修用物品3施設地域産科施設設備整備８施設"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","","新","","○","32","母体救命対応総合周産期母子医療センターの設置","福祉保健局","救命救急センターと総合周産期母子医療センターの密接な連携により、緊急に母体救命処置が必要な妊産褥婦を必ず受け入れる「母体救命対応総合周産期母子医療センター」（いわゆる「スーパー総合周産期センター」を指定し、母体が迅速に救命処置を受けられる体制を確保することにより、都民が安心して妊娠･出産できる環境を整備する。","4施設","4施設","4施設","4施設","4施設"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","","新","","","33","周産期搬送コーディネーターの配置","福祉保健局","総合周産期母子医療センターのブロック内では受入困難な事例について、都内全域の搬送調整等を集中して行う周産期搬送コーディネーターを配置することにより、総合周産期母子医療センターにおいて搬送調整業務を行う医師の負担軽減を図るとともに、母体･新生児の迅速な医療の確保を図る。","継続実施","継続実施","継続実施","継続実施","継続実施"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","","○","○","","34","周産期医療ネットワークグループの構築","福祉保健局","周産期ネットワークグループを構築し、地域の中で一次、二次、三次それぞれの医療機関が機能に応じた役割分担と連携をすすめ、リスクに応じた医療提供体制を構築する。","周産期医療ネットワークグループの構築を進め、新たに２グループを立ち上げ、計6グループで連携会議を開催した。","周産期医療ネットワークグループの構築を進め、新たに1グループを立ち上げ、計7グループで連携会議を開催した。","周産期医療ネットワークグループの構築を進め、新たに1グループを立ち上げ、計8グループで連携会議を開催した。","周産期医療ネットワークグループの構築を進め、計8グループで連携会議を開催した。","周産期医療ネットワークグループの構築を進め、計8グループで連携会議を開催した。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","","○","","","35","周産期連携病院の確保","福祉保健局","ミドルリスクの妊産婦に緊急診療を行う「周産期連携病院」を拡充することにより、周産期母子医療センターへの分娩･搬送集中を緩和し、妊婦のリスクに応じた体系的な受入体制の確保を図る。","2施設（計10施設）","新規指定0施設（計10施設）","新規指定2施設（累計12施設）","新規指定0施設（累計11施設）／※平成25年4月1日に公立昭和病院が地域周産期母子医療センターに認定されたため、1施設減","新規指定 0施設（累計 11施設）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","★","新","","","36","多摩新生児連携病院の創設","福祉保健局","区部に比べて周産期センターが少ない多摩地域において、比較的リスクの高い新生児の対応が可能な医療機関を確保することにより、多摩地域の新生児受入体制の強化を図る。","1施設指定（平成22年9月1日運用開始）","新規指定0施設（計1施設）","新規指定0施設（累計1施設）","新規指定1施設（累計2施設）","新規指定 0施設（累計 1施設）／※共済立川病院がＮＩＣＵを整備したため平成２５年度末で多／摩新生児連携病院の指定対象外となり、1施設減"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(2)周産期医療体制の整備","☆","新","","","37","ＮＩＣＵからの円滑な退院に向けた取組への支援","福祉保健局","在宅移行が望ましいNICUの入院児を対象に、在宅への移行支援及び継続した支援を実施するための取組をモデル的に行うとともに、都全域への取組の拡大に向けて、医療ケアが必要な入院児の円滑な退院に必要な支援体制について検討を行う。","都立墨東病院を中心とした区東部地域における2か年モデル事業を開始し、NICU入院児の親の支援、退院調整等を実施した。また、NICU退院支援体制検討会を1回開催した。","都立墨東病院を中心とした区東部地域における2か年モデル事業の2年目の取組を実施し、NICU入院児の親の支援、退院調整等を実施した。また、NICU退院支援体制検討会を2回開催した。","平成23年度事業終了","平成23年度事業終了","平成23年度事業終了"
