"年月[西暦]","調査項目","設問","住宅関連のサービス","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","利用したことがある","17","1.2","1.5"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","今後利用したい","163","11.7","14.5"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","知っているが利用したいとは思わない","286","20.5","25.5"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","知らない","657","47.1","58.5"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","無回答","271","19.4",
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","エ. 公的住宅使用料の減額","利用したことがある","87","6.2","7.6"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","エ. 公的住宅使用料の減額","今後利用したい","184","13.2","16.0"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","エ. 公的住宅使用料の減額","知っているが利用したいと思わない","193","13.8","16.8"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","エ. 公的住宅使用料の減額","知らない","683","49.0","59.5"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","エ. 公的住宅使用料の減額","無回答","247","17.7",

"港区保健福祉基礎調査（身体障害者）・単純集計表・生活状況等についてQ3","Ver202003",,,,,,
