消防署, 損害額（ 円 ）・計, 損害額（ 円 ）・建物, 損害額（ 円 ）・建物内収容物, 損害額（ 円 ）・林野, 損害額（ 円 ）・車両, 損害額（ 円 ）・船舶, 損害額（ 円 ）・航空機, 損害額（ 円 ）・その他,死者,負傷者・計,負傷者・重症,負傷者・中等症,負傷者・軽症
志村,"64,706,570","35,898,810","26,599,420",-,"2,120,000",-,-,"88,340",2,14,4,3,7
練馬,"21,563,494","9,770,186","4,293,230",-,"7,494,200",-,-,"5,878",2,11,1,3,7
光が丘,"10,988,055","6,219,800","4,686,945",-,"67,010",-,-,"14,300",3,10,1,5,4
石神井,"49,455,200","37,596,200","9,099,900",-,"2,615,600",-,-,"143,500",2,19,-,8,11
上野,"5,503,942","3,770,040","1,675,760",-,"11,082",-,-,"47,060",-,5,1,3,1
浅草,"15,399,360","11,421,160","3,857,300",-,"120,000",-,-,900,1,4,-,-,4
日本堤,"40,501,000","36,119,900","3,652,700",-,"728,000",-,-,400,2,5,-,1,4
荒川,"1,910,261","1,185,004","672,333",-,47944,-,-,"4,980",1,4,-,1,3
尾久,"30,024,040","8,291,700","18,877,930",-,-,-,-,2854410,-,10,-,3,7
千住,"10,792,880","7,403,450","3,301,830",-,-,-,-,"87,600",4,3,1,1,1
足立,"54,382,260","37,650,560","6,615,560",-,"9,740,400",-,-,"375,740",2,14,2,4,8
西新井,"105,097,711","47,245,740","56,684,571",-,"1,158,900",-,-,"8,500",2,12,-,2,10
本所,"77,070,640","67,656,310","8,924,540",-,"471,700",-,-,"18,090",1,13,2,3,8
向島,"19,381,300","13,077,500","5,496,000",-,"805,000",-,-,"2,800",1,9,2,1,6
深川,"56,955,400","34,219,695","19,314,383",-,"3,285,622",-,-,"135,700",1,15,3,5,7
城東,"21,599,972","9,815,990","11,760,016",-,"21,466",-,-,"2,500",2,21,1,7,13
本田,"56,431,875","10,080,608","41,062,767",-,"4,686,900",-,-,"601,600",1,9,-,2,7
金町,"11,732,516","8,732,896","2,839,095",-,"82,208",-,-,"78,317",2,7,3,3,1
江戸川,"46,447,000","18,173,200","28,213,000",-,"37,500",-,-,"23,300",1,8,1,3,4
葛西,"31,871,389","27,635,704","3,730,579",-,"501,770",-,-,"3,336",-,9,1,2,6
小岩,"34,456,810","26,825,100","7,376,020",-,"221,000",-,-,"34,690",2,10,2,5,3
受託地区,"1,083,653,533","617,141,514","423,656,837",198900,"39,971,778",-,-,"2,684,504",28,161,22,37,102
立川,"114,698,830","64,527,000","48,537,880",-,"1,537,850",-,-,"96,100",1,12,1,2,9
武蔵野,"20,857,226","18,144,700","2,613,376",-,"52,600",-,-,"46,550",1,2,-,1,1
三鷹,"28,518,722","24,128,800","3,427,030",-,"395,450",-,-,"567,442",1,7,1,3,3
府中,"78,153,510","52,768,000","25,095,310",-,"236,800",-,-,"53,400",3,11,2,1,8
昭島,"2,395,168","1,102,000","67,988",-,"1,220,880",-,-,"4,300",2,2,-,-,2
調布,"48,597,599","39,802,791","4,242,020",-,"4,512,288",-,-,"40,500",2,9,-,3,6
小金井,"35,671,488","29,101,488","6,399,750",-,"100,000",-,-,"70,250",2,5,3,2,-
小平,"24,149,622","17,014,092","4,581,930",-,"2,534,700",-,-,"18,900",2,6,-,2,4
東村山,"27,608,766","23,112,800","3,777,240",-,"562,300",-,-,"156,426",1,6,2,2,2
国分寺,"41,791,000","17,231,800","24,469,000",-,"70,800",-,-,"19,400",1,4,2,-,2
狛江,"309,520","186,400","123,120",-,-,-,-,-,-,-,-,-,-
北多摩西部,"27,952,610","25,583,100","2,359,210",-,"1,500",-,-,"8,800",2,6,3,2,1
清瀬,"11,402,600","9,321,400","2,075,300",-,-,-,-,5900,1,2,1,-,1
東久留米,"5,676,827","752,000","4,046,615",-,"870,000",-,-,"8,212",-,3,-,-,3
西東京,"15,094,139","8,633,480","5,960,876",-,"120,000",-,-,"379,783",-,4,1,-,3
八王子,"343,037,282","103,093,597","223,404,510",-,"16,305,990",-,-,"233,185",5,26,2,4,20
青梅,"36,028,690","26,583,640","6,846,050",-,"2,328,000",-,-,"271,000",-,4,-,2,2
町田,"49,611,700","26,846,600","19,655,400",-,"2,828,700",-,-,"281,000",1,21,1,4,16
日野,"11,151,780","4,840,306","3,198,674",-,"3,055,200",-,-,"57,600",-,7,-,2,5
福生,"75,199,509","65,748,400","8,071,733",-,"1,365,000",-,-,"14,376",-,16,1,4,11
多摩,"30,895,095","12,200,700","18,582,325",-,"51,120",-,-,"60,950",-,2,-,1,1
秋川,"53,306,600","45,496,000","6,112,500",198900,1222600,-,-,"276,600",1,5,2,2,1
奥多摩,"1,545,250","922,420","9,000",-,600000,-,-,13830,2,1,-,-,1
